传感器名称（字符型）,传感器类型（字符型）,标识符合（字符型）,传感器地址（字符型）,鲁棒性（字符型）,数据类型（字符型）,接口协议（字符型）,平台协议（字符型）,采集来源,来源链接,采集时间,备注【疑问汇总】
土壤湿度传感器,物理传感器,SM-010,/dev/soil_moisture,高,数字,I2C,MQTT,农业监测,https://www.agritech.com/sensors,,
流量传感器,物理传感器,FS-011,/dev/flow,中,模拟,SPI,CoAP,工业流体监测,https://www.engineering.com/flow-sensors,,
光强传感器,物理传感器,LS-012,/dev/light_intensity,高,数字,I2C,HTTP,建筑智能化,https://www.smartbuilding.com/light-sensors,,
化学传感器,化学传感器,CS-013,/dev/chemical,高,模拟,UART,MQTT,环境分析,https://www.chemicalmonitoring.com/sensors,,
氡气传感器,化学传感器,RS-014,/dev/radon,中,数字,I2C,CoAP,室内空气质量监测,https://www.indoorairquality.org/sensors,,
运动传感器,物理传感器,MS-015,/dev/motion,高,数字,SPI,HTTP,智能安防,https://www.sensorsafety.com/motion-sensors,,
液位传感器,物理传感器,LS-016,/dev/level,中,数字,UART,MQTT,水管理,https://www.watermanagement.com/level-sensors,,
气体泄漏传感器,化学传感器,GL-017,/dev/leak,高,数字,I2C,CoAP,安全监控,https://www.safetyfirst.com/leak-sensors,,
转速传感器,物理传感器,RS-018,/dev/rpm,中,模拟,SPI,HTTP,机械监测,https://www.mechano.com/rpm-sensors,,
帧速传感器,物理传感器,FS-019,/dev/fps,高,数字,UART,MQTT,视频监控,https://www.videomonitoring.com/fps-sensors,,
紫外线传感器,物理传感器,UV-010,/dev/uv,高,数字,I2C,MQTT,环境监测,https://www.environmentalmonitoring.org,,
土壤湿度传感器,物理传感器,SM-011,/dev/soilmoisture,中,数字,SPI,CoAP,农业监测,https://www.agriculturetech.com,,
心率监测传感器,生物传感器,HR-012,/dev/heartrate,高,模拟,UART,HTTP,医疗监测,https://www.healthtech.org,,
水质传感器,化学传感器,WS-013,/dev/waterquality,高,数字,I2C,MQTT,水资源管理,https://www.watermonitoring.com,,
气压传感器,物理传感器,BP-014,/dev/barometer,中,模拟,SPI,CoAP,气象监测,https://www.weathertech.com,,
电流传感器,物理传感器,CS-015,/dev/current,高,数字,UART,HTTP,能源监测,https://www.energytracking.com,,
粉尘传感器,化学传感器,DS-016,/dev/dust,中,数字,I2C,MQTT,空气质量监测,https://www.airqualitymonitoring.org,,
运动传感器,物理传感器,MS-017,/dev/movement,高,数字,SPI,CoAP,安防系统,https://www.securitytech.org,,
流量传感器,物理传感器,FS-018,/dev/flow,高,数字,UART,HTTP,水资源管理,https://www.hydrologytech.com,,
光谱传感器,物理传感器,SP-019,/dev/spectrum,中,模拟,I2C,MQTT,农业监测,https://www.agtech.org,,
紫外线传感器,物理传感器,UV-010,/dev/uv,高,数字,I2C,MQTT,环境监测,https://www.environmentalmonitoring.com/,,
噪音传感器,物理传感器,NS-011,/dev/noise,中,数字,SPI,HTTP,城市监测,https://www.citymonitor.com/,,
心率传感器,生物传感器,HR-012,/dev/heartrate,高,模拟,UART,CoAP,健康监测,https://www.healthtech.com/,,
烟雾传感器,化学传感器,FS-013,/dev/smoke,中,数字,UART,HTTP,安全系统,https://www.safetyfirst.com/,,
电流传感器,物理传感器,CS-014,/dev/current,高,模拟,SPI,MQTT,智能家居,https://www.smartliving.com/,,
土壤湿度传感器,物理传感器,SM-015,/dev/soil,高,数字,I2C,CoAP,农业监测,https://www.agrisensors.com/,,
胸带传感器,生物传感器,BT-016,/dev/cheststrap,中,数字,UART,HTTP,运动监测,https://www.fitnessmonitor.com/,,
温室气体传感器,化学传感器,GH-017,/dev/ghg,高,数字,I2C,MQTT,环保监测,https://www.climateaction.com/,,
高度传感器,物理传感器,AS-018,/dev/altitude,中,数字,SPI,HTTP,航空航天,https://www.aerospace.com/,,
指纹传感器,生物传感器,FS-019,/dev/fingerprint,高,数字,UART,MQTT,安全监控,https://www.securitymonitor.com/,,
颗粒物传感器,化学传感器,PM-010,/dev/pm,中,数字,I2C,MQTT,城市空气质量监测,https://www.aqicn.org/,,
运动传感器,物理传感器,MS-011,/dev/motion,高,数字,SPI,CoAP,智能家居产品,https://www.smartthings.com/,,
光照传感器,物理传感器,LS-012,/dev/light_sensor,高,数字,UART,HTTP,智能农业,https://www.agri-tech-e.co.uk/,,
酒精传感器,化学传感器,AS-013,/dev/alcohol,中,模拟,I2C,MQTT,交通监控,http://www.nhtsa.gov/,,
水位传感器,物理传感器,WS-014,/dev/waterlevel,高,数字,SPI,CoAP,水资源管理,https://www.water.gov/,,
烟雾传感器,化学传感器,FS-015,/dev/smoke,高,数字,UART,HTTP,消防安全,https://www.nfpa.org/,,
气象传感器,物理传感器,WS-016,/dev/weather,中,数字,I2C,MQTT,气象研究,https://www.weather.gov/,,
人体温度传感器,生物传感器,BT-017,/dev/human_temp,高,模拟,SPI,CoAP,医疗监测,https://www.who.int/,,
土壤湿度传感器,物理传感器,SM-018,/dev/soil_moisture,中,数字,UART,HTTP,农业监测,https://www.usda.gov/,,
心率传感器,生物传感器,HR-019,/dev/heart_rate,高,模拟,SPI,CoAP,健康监测,https://www.cdc.gov/,,
土壤湿度传感器,物理传感器,SM-010,/dev/soilmoisture,高,数字,I2C,MQTT,农业监测,https://www.agri-tech.com/,,
光照强度传感器,物理传感器,LS-011,/dev/lightintensity,中,数字,SPI,CoAP,家庭自动化,https://www.smartlighting.com/,,
水质传感器,化学传感器,WS-012,/dev/waterquality,高,模拟,UART,HTTP,水资源管理,https://www.watermonitoring.org/,,
智能门锁传感器,电子传感器,SD-013,/dev/smartlock,高,数字,BLE,Zigbee,安全监控,https://www.smarthome.com/,,
电流传感器,物理传感器,CS-014,/dev/current,中,数字,I2C,MQTT,能源监控,https://www.energy-monitoring.com/,,
运动传感器,物理传感器,MS-015,/dev/movement,高,数字,SPI,CoAP,安防系统,https://www.surveillance.net/,,
电池监测传感器,电子传感器,BM-016,/dev/battery,高,数字,UART,HTTP,设备管理,https://www.batterymonitoring.com/,,
纹理传感器,物理传感器,TS-017,/dev/texture,中,模拟,I2C,MQTT,制造业,https://www.manufacturingtech.com/,,
智能温室传感器,物理传感器,GH-018,/dev/greenhouse,高,数字,SPI,CoAP,温室管理,https://www.greenhousemonitoring.com/,,
液位传感器,物理传感器,LS-019,/dev/level,中,模拟,UART,HTTP,水利管理,https://www.waterlevelmonitoring.com/,,
气象传感器,物理传感器,WS-010,/dev/weather,高,数字,I2C,MQTT,气象监测,https://www.weather.com,,
CO2传感器,化学传感器,CO2-011,/dev/co2,中,数字,UART,HTTP,智能建筑,https://www.buildinggreen.com,,
紫外线传感器,物理传感器,UV-012,/dev/uv,高,数字,SPI,CoAP,健康监测,https://www.healthline.com,,
土壤湿度传感器,物理传感器,SM-013,/dev/soilmoisture,中,模拟,I2C,MQTT,农业监测,https://www.agriculture.com,,
烟雾传感器,化学传感器,SMK-014,/dev/smoke,高,数字,UART,HTTP,安全监控,https://www.safety.com,,
位置传感器,物理传感器,GPS-015,/dev/gps,高,数字,SPI,CoAP,运输管理,https://www.transportation.gov,,
流量传感器,物理传感器,FL-016,/dev/flow,中,模拟,I2C,MQTT,水资源管理,https://www.water.gov,,
振动传感器,物理传感器,VS-017,/dev/vibration,高,数字,UART,HTTP,结构健康监测,https://www.structuralmonitoring.com,,
电流传感器,物理传感器,CS-018,/dev/current,中,数字,I2C,CoAP,能源管理,https://www.energy.gov,,
热流传感器,物理传感器,TF-019,/dev/thermal,高,模拟,SPI,MQTT,暖通空调监控,https://www.hvac.com,,
温湿度传感器,物理传感器,TH-010,/dev/temp_humidity,高,数字,I2C,MQTT,智能农业,https://www.smartagriculture.com,,
光敏传感器,物理传感器,LS-011,/dev/light_sensor,中,数字,UART,HTTP,智能照明,https://www.smartlighting.com,,
土壤湿度传感器,物理传感器,SM-012,/dev/soil_moisture,高,数字,SPI,CoAP,农业监测,https://www.agriculturemonitoring.com,,
烟雾传感器,化学传感器,FS-013,/dev/smoke,高,数字,I2C,MQTT,消防报警系统,https://www.firealarmsystem.com,,
生物识别传感器,生物传感器,BR-014,/dev/bio_recognition,高,数字,SPI,CoAP,安全监控,https://www.biometricssecurity.com,,
智能电表传感器,电力传感器,EM-015,/dev/smart_meter,高,数字,UART,HTTP,能源管理,https://www.smartenergy.com,,
水质传感器,化学传感器,WS-016,/dev/water_quality,中,模拟,I2C,MQTT,水质监控,https://www.waterqualitymonitoring.com,,
位置传感器,位置信息传感器,GPS-017,/dev/gps,高,数字,UART,HTTP,物流跟踪,https://www.logisticsmonitoring.com,,
温度数据记录仪,物理传感器,TR-018,/dev/temp_logger,中,数字,I2C,MQTT,实验室监测,https://www.labmonitoring.com,,
噪声传感器,物理传感器,NS-019,/dev/noise,中,模拟,SPI,CoAP,环境噪音监控,https://www.noisemonitoring.com,,
红外传感器,物理传感器,IR-010,/dev/infrared,高,数字,I2C,MQTT,智能安防,https://www.hikvision.com/cn/products/category/infrared,,
振动传感器,物理传感器,VS-011,/dev/vib,中,数字,SPI,CoAP,工业设备监测,https://www.industrial-iot.com/products/vibration-sensors,,
气流传感器,物理传感器,AF-012,/dev/airflow,中,模拟,UART,HTTP,气候研究,https://www.weather.com/en-CA/technology/air-flow-sensors,,
酒精传感器,化学传感器,AS-013,/dev/alcohol,高,数字,I2C,MQTT,公共安全,https://www.alcoholsensors.com/products/alcohol-sensor,,
辐射传感器,物理传感器,RS-014,/dev/radiation,高,模拟,UART,HTTP,环保监测,https://www.radiationsafety.com/products/radiation-sensors,,
光谱传感器,物理传感器,SS-015,/dev/spectral,中,数字,SPI,CoAP,农业科学,https://www.agriculture.com/sensors/spectral-sensors,,
水质传感器,化学传感器,QS-016,/dev/water,高,数字,I2C,MQTT,水资源管理,https://www.waterquality.com/products/water-quality-sensors,,
GPS定位传感器,物理传感器,GPS-017,/dev/gps,高,数字,UART,HTTP,交通监控,https://www.gps.com/products/gps-sensors,,
温湿度传感器,物理传感器,TH-018,/dev/temp_humidity,中,数字,I2C,MQTT,气象监测,https://www.meteorological.com/products/temp-humidity-sensors,,
土壤湿度传感器,物理传感器,SM-019,/dev/soil_moisture,高,模拟,SPI,CoAP,农业用地,https://www.agriculturesensors.com/products/soil-moisture-sensors,,
红外传感器,物理传感器,IR-010,/dev/infrared,高,数字,I2C,MQTT,安全监控,https://www.tuya.com,,
VOC传感器,化学传感器,VOC-011,/dev/voc,中,数字,SPI,CoAP,室内空气质量监测,https://www.iot101.com,,
光谱传感器,物理传感器,SP-012,/dev/spectrum,高,数字,I2C,HTTP,农业监测,https://www.agri-tech.com,,
水质传感器,化学传感器,WQ-013,/dev/water_quality,中,模拟,UART,MQTT,水资源管理,http://www.waterquality.com,,
心率传感器,生物传感器,HR-014,/dev/heart_rate,高,数字,SPI,CoAP,健康监测,https://www.healthtechnews.com,,
转速传感器,物理传感器,RS-015,/dev/rpm,高,数字,UART,HTTP,车辆监控,https://www.autotech.com,,
霓虹传感器,物理传感器,NE-016,/dev/neon,中,数字,I2C,MQTT,室外照明,https://www.smartcity.com,,
风速传感器,物理传感器,WS-017,/dev/wind_speed,中,数字,SPI,CoAP,气象站,https://www.weathertech.com,,
糖尿病监测传感器,生物传感器,DB-018,/dev/diabetes,高,数字,UART,HTTP,医疗监测,https://www.healthcare.com,,
湿度与温度复合传感器,复合传感器,HT-019,/dev/humidity_temp,高,数字,I2C,MQTT,智能家居,https://www.tuya.com,,
光纤温度传感器,物理传感器,OT-010,/dev/optical_temp,高,数字,I2C,MQTT,能源管理,https://www.energy.gov/,,
土壤湿度传感器,物理传感器,SM-011,/dev/soil_moisture,中,模拟,SPI,CoAP,农业监测,https://www.agriculture.com/,,
超声波距离传感器,物理传感器,UD-012,/dev/ultrasonic,中,数字,UART,HTTP,智能交通,https://www.smarttransport.com/,,
心率监测传感器,生物传感器,HR-013,/dev/heart_rate,高,数字,I2C,MQTT,健康监测,https://www.healthcare.gov/,,
智能灯光传感器,物理传感器,LS-014,/dev/smart_light,中,数字,SPI,CoAP,智能家居,https://www.smartliving.com/,,
水质传感器,化学传感器,WS-015,/dev/water_quality,中,模拟,UART,HTTP,环境监测,https://www.environmentalprotectionagency.gov/,,
触摸传感器,物理传感器,TS-016,/dev/touch,高,数字,I2C,MQTT,交互设备,https://www.iotnews.com/,,
气象传感器,物理传感器,WS-017,/dev/weather,中,数字,UART,HTTP,气象学,https://www.weather.gov/,,
血氧传感器,生物传感器,SpO2-018,/dev/blood_oxygen,高,数字,SPI,CoAP,医疗监测,https://www.medicare.gov/,,
电磁传感器,物理传感器,EM-019,/dev/electromagnetic,中,数字,UART,HTTP,工业监测,https://www.industrialiot.com/,,
烟雾传感器,化学传感器,SS-010,/dev/smoke,高,数字,I2C,MQTT,火灾预警系统,https://www.fireprotection.com/,,
水质传感器,化学传感器,WS-011,/dev/water,中,模拟,SPI,CoAP,水处理,https://www.waterquality.com/,,
GPS定位传感器,全球定位传感器,GPS-012,/dev/gps,高,数字,UART,HTTP,物流跟踪,https://www.gpsworld.com/,,
风速传感器,物理传感器,WSV-013,/dev/wind,中,数字,I2C,MQTT,气象监测,https://www.weatherunderground.com/,,
图像传感器,光学传感器,IS-014,/dev/image,高,数字,USB,HTTP,安防监控,https://www.securitymagazine.com/,,
振动传感器,物理传感器,VS-015,/dev/vibration,中,数字,UART,CoAP,设备维护,https://www.mro-network.com/,,
水位传感器,物理传感器,WL-016,/dev/waterlevel,高,数字,I2C,MQTT,水库监测,https://www.aquafact.com/,,
热流传感器,物理传感器,TH-017,/dev/thermal,中,模拟,SPI,HTTP,工业设备,https://www.thermaldynamics.com/,,
超声波传感器,物理传感器,US-018,/dev/ultrasonic,高,数字,UART,CoAP,距离测量,https://www.ultrasonicsensors.com/,,
辐射传感器,环境传感器,RSP-019,/dev/radiation,中,模拟,I2C,MQTT,核安全监测,https://www.radiationsafety.com/,,
红外传感器,物理传感器,IR-010,/dev/infrared,高,数字,I2C,HTTP,智能家居,https://www.smart-home.com,,
烟雾传感器,化学传感器,SS-011,/dev/smoke,中,模拟,UART,MQTT,安全监控,https://www.smokealarms.com,,
光照传感器,物理传感器,LS-012,/dev/light_intensity,高,数字,I2C,CoAP,农业监测,https://www.agriculture.com,,
二氧化碳传感器,化学传感器,CO2-013,/dev/co2,中,数字,SPI,HTTP,室内环境监测,https://www.environmentalmonitors.com,,
土壤湿度传感器,物理传感器,SM-014,/dev/soil_moisture,高,模拟,I2C,MQTT,农业监控,https://www.farmtech.com,,
心率传感器,生物传感器,HR-015,/dev/heart_rate,高,数字,Bluetooth,CoAP,健康监测,https://www.healthmonitor.com,,
声级传感器,物理传感器,SL-016,/dev/sound_level,中,数字,UART,HTTP,城市监控,https://www.citymonitoring.com,,
水质传感器,化学传感器,WQ-017,/dev/water_quality,高,模拟,SPI,MQTT,水资源监测,https://www.waterquality.org,,
震动传感器,物理传感器,VS-018,/dev/vibration,高,数字,I2C,CoAP,建筑监测,https://www.buildingmonitoring.com,,
频率传感器,物理传感器,FS-019,/dev/frequency,中,数字,UART,HTTP,通信监测,https://www.telecommonitoring.com,,
温湿度传感器,物理传感器,TH-010,/dev/temp_humidity,高,数字,I2C,MQTT,智慧农业,https://www.smartagriculture.com,,
CO2传感器,化学传感器,CS-011,/dev/co2,中,模拟,UART,HTTP,室内空气质量监测,https://www.indoorair.com,,
GPS传感器,定位传感器,GPS-012,/dev/gps,高,数字,SPI,CoAP,运输与物流,https://www.transportlogistics.com,,
水质传感器,化学传感器,WS-013,/dev/water_quality,中,模拟,I2C,MQTT,环境监测,https://www.envirotech.com,,
光照强度传感器,物理传感器,LS-014,/dev/light_intensity,高,数字,I2C,MQTT,城市智能照明,https://www.smartcitylighting.com,,
红外线传感器,物理传感器,IR-015,/dev/infrared,高,数字,UART,HTTP,安防监控,https://www.securitycameras.com,,
超声波传感器,物理传感器,US-016,/dev/ultrasonic,中,数字,I2C,CoAP,工业自动化,https://www.industrialautomation.com,,
噪声传感器,物理传感器,NS-017,/dev/noise,中,数字,SPI,MQTT,城市噪声监测,https://www.noisemonitor.com,,
心率传感器,生物传感器,HR-018,/dev/heart_rate,高,模拟,UART,HTTP,健康监测,https://www.healthmonitoring.com,,
辐射传感器,物理传感器,RS-019,/dev/radiation,中,数字,I2C,CoAP,核安全监测,https://www.radiationsafety.com,,
光纤温度传感器,物理传感器,OT-010,/dev/fiber_temp,中,数字,Ethernet,MQTT,电力行业,https://www.powertech.com,,
氧气传感器,化学传感器,OS-011,/dev/oxygen,高,数字,I2C,HTTP,医疗机构,https://www.medicaldevices.com,,
辐射传感器,物理传感器,RS-012,/dev/radiation,高,数字,RS-485,CoAP,环境监控,https://www.envmonitoring.com,,
心率监测传感器,生物传感器,HR-013,/dev/heart_rate,高,数字,BLE,MQTT,可穿戴设备,https://www.wearables.com,,
水位传感器,物理传感器,WS-014,/dev/water_level,中,模拟,UART,HTTP,水资源管理,https://www.watermanagement.com,,
多气体传感器,化学传感器,MG-015,/dev/multi_gas,高,数字,SPI,CoAP,环境监测,https://www.environmentaltech.com,,
土壤湿度传感器,物理传感器,SM-016,/dev/soil_moisture,中,模拟,I2C,MQTT,农业监控,https://www.agriculturalsensors.com,,
疲劳检测传感器,生物传感器,FD-017,/dev/fatigue_detection,高,数字,BLE,HTTP,智能交通,https://www.smarttraffic.com,,
温湿度传感器,物理传感器,TH-018,/dev/temp_humidity,中,数字,I2C,MQTT,智能建筑,https://www.smartbuildingtech.com,,
光谱传感器,物理传感器,SS-010,/dev/spectrum,高,数字,I2C,MQTT,环境监测,https://www.ambientweather.com/,,
烟雾传感器,化学传感器,SS-011,/dev/smoke,中,数字,SPI,CoAP,消防安全,https://www.firechief.com/,,
液位传感器,物理传感器,LS-012,/dev/level,高,模拟,UART,HTTP,工业自动化,https://www.industryweek.com/,,
流量传感器,物理传感器,FS-013,/dev/flow,中,数字,I2C,MQTT,能源行业,https://www.energypublisher.com/,,
土壤传感器,生物传感器,SS-014,/dev/soil,高,模拟,SPI,CoAP,农业监测,https://www.agriculture.com/,,
 UV 传感器,物理传感器,US-015,/dev/uv,中,数字,UART,HTTP,海洋监测,https://www.marinetech.org/,,
CO2传感器,化学传感器,CS-016,/dev/co2,高,数字,I2C,MQTT,室内空气质量监测,https://www.airqualitynow.org/,,
电流传感器,物理传感器,CS-017,/dev/current,中,模拟,SPI,CoAP,能源监测,https://www.energy.gov/,,
振动传感器,物理传感器,VS-018,/dev/vibration,高,数字,UART,HTTP,机械设备监控,https://www.plantengineering.com/,,
溶解氧传感器,生物传感器,DO-019,/dev/dissolved_oxygen,高,模拟,I2C,MQTT,水质监测,https://www.waterquality.com/,,
紫外线传感器,物理传感器,UV-010,/dev/uv,高,数字,I2C,MQTT,环境监测,https://www.environmentalsensors.com,,
土壤湿度传感器,物理传感器,SM-011,/dev/soil_moisture,中,模拟,SPI,CoAP,农业监控,https://www.agriculture.com/sensors,,
电动机振动传感器,物理传感器,MV-012,/dev/vibration,高,数字,UART,HTTP,工业监控,https://www.industryweek.com/sensors,,
心率传感器,生物传感器,HR-013,/dev/heart_rate,高,数字,I2C,MQTT,健康监测,https://www.healthmonitoring.com,,
GPS传感器,定位传感器,GPS-014,/dev/gps,高,数字,UART,HTTP,导航系统,https://www.navigation.com,,
烟雾传感器,化学传感器,SS-015,/dev/smoke,中,数字,SPI,MQTT,安全监控,https://www.safetyproducts.com,,
空气质量传感器,化学传感器,AQ-016,/dev/air_quality,中,数字,I2C,HTTP,城市监测,https://www.aqmonitoring.com,,
水质传感器,化学传感器,WQ-017,/dev/water_quality,高,模拟,UART,CoAP,环境监测,https://www.waterquality.com,,
电流传感器,物理传感器,CS-018,/dev/current,高,数字,SPI,MQTT,能源管理,https://www.energycontrol.com,,
超声波传感器,物理传感器,US-019,/dev/ultrasonic,中,数字,UART,HTTP,自动化系统,https://www.automation.com,,
超声波传感器,物理传感器,US-010,/dev/ultrasonic,高,数字,I2C,HTTP,自动化监测,https://www.sensors.com/,,
温湿度传感器,物理传感器,TH-011,/dev/temp_humidity,中,数字,SPI,MQTT,智能家居,https://www.smart-home.com/,,
水质传感器,化学传感器,QS-012,/dev/water_quality,高,模拟,UART,CoAP,环保监测,https://www.environment.gov/,,
心率传感器,生物传感器,HR-013,/dev/heart_rate,高,数字,I2C,MQTT,医疗设备,https://www.healthcare.com/,,
便携式CO2传感器,化学传感器,CO2-014,/dev/co2,中,数字,UART,HTTP,空气质量监测,https://www.airquality.org/,,
红外传感器,物理传感器,IR-015,/dev/infrared,高,数字,SPI,CoAP,智能家居系统,https://www.iotnews.com/,,
生物识别传感器,生物传感器,BR-016,/dev/biometrics,高,数字,I2C,MQTT,安防系统,https://www.securitytech.com/,,
气压传感器,物理传感器,BP-017,/dev/pressure_altitude,中,模拟,UART,HTTP,气象监测,https://www.weather.com/,,
