零部件名称,生产企业,生产所属地,供给情况,采集来源,来源链接,采集时间,备注
传感器集成模块,苏州新宁科技有限公司,苏州,供给良好,电子元件与材料协会,http://www.electroniccomponents.org.cn,,
车身控制模块,上海汽车集团股份有限公司,上海,供给稳定,中国汽车产业发展月刊,https://www.sauto.com,,
动力电池组,宁德时代新能源科技股份有限公司,宁德,供给紧张,新能源汽车产业发展报告,https://www.catl.com,,
排气涡轮,博世自动化技术有限公司,德国,供给良好,德国汽车工业协会,https://www.bosch.com,,
电机控制器,地平线机器人技术有限公司,杭州,供给稳定,人工智能产业研究中心,http://www.horizon.ai,,
电池冷却模块,小鹏汽车有限公司,广州,供给良好,电动车产业发展报告,https://www.xiaopeng.com,,
车载通信模块,中兴通讯股份有限公司,深圳市,供给稳定,无线通信技术协会,http://www.zte.com.cn,,
车轮转向系统,日本新森科技,日本,供给缓解,日本汽车工业协会,http://www.jama.or.jp,,
气动加速器,美国哈利伯顿公司,美国,供给紧张,国际机械工程师协会,https://www.halliburton.com,,
垃圾处理装置,三一重工股份有限公司,长沙,供给稳定,环卫设备产业协会,http://www.sany.com,,
制动盘,日立汽车系统有限公司,日本,供给稳定,日本汽车零部件行业报告,http://www.hitachi-automotive.com,,
涡轮增压涡壳,福特汽车公司,美国,供给趋紧,美国汽车工程师协会,http://www.ford.com,,
透明显示屏,京东方科技集团股份有限公司,北京,供给稳定,电子行业展览会,http://www.boe.com.cn,,
电机,比亚迪股份有限公司,深圳,供给良好,新能源车产业协会,https://www.byd.com,,
刹车片,泰克集团,浙江省温州,供给紧张,中国摩擦材料行业协会,http://www.chinafma.org,,
涡轮增压器,福特汽车公司,美国密歇根,供给稳定,美国汽车工程师协会,https://www.sae.org,,
空气悬挂系统,丰田汽车公司,日本东京,供给良好,丰田汽车官网,https://www.toyota-global.com,,
车载音响系统,哈曼国际,加州,供给稳定,跨国电子协作平台,https://www.harman.com,,
动力转向泵,上海汽车集团股份有限公司,上海,供给缓解,中国汽车研究院,https://www.saicmotor.com,,
电池管理系统,宁德时代新能源科技股份有限公司,福建省宁德,供给良好,电池技术发展报告,https://www.catl.com,,
动力总成系统,广州汽车集团有限公司,广州,供给稳定,广汽集团科技创新中心,https://www.gacmotor.com,,
控制模块,中控科技股份有限公司,江苏省苏州,供给紧张,电子工业发展报告,https://www.zktech.com.cn,,
传感器网络,华为技术有限公司,深圳,供给良好,通信与汽车科技发展论坛,https://www.huawei.com,,
燃油喷射系统,大陆集团,德国,供给稳定,欧洲汽车制造商协会,https://www.continental.com,,
整车电子控制单元,美的集团,广东省佛山,供给稳定,中国电子信息行业协会,https://www.midea.com,,
座椅调节器,立讯精密工业股份有限公司,深圳,供给良好,中国汽车座椅协会,https://www.luxshare-ict.com,,
智能钥匙系统,博世集团,中国上海,供给稳定,智能汽车产业链研究报告,https://www.bosch.com,,
悬挂系统,特斯拉汽车公司,美国加州,供给紧张,新能源汽车市场研究,https://www.tesla.com,,
车灯系统,飞利浦照明,荷兰,供给稳定,国际灯光与汽车研究中心,https://www.philips.com,,
车载GPS导航,高德地图有限公司,中国北京,供给稳定,数字导航研究论坛,https://www.amap.com,,
前视摄像头," OmniVision Technologies, Inc.",美国加州,供给良好,先进制造技术协会,https://www.ovt.com,,
电动助力转向系统,上海汽车工业研究院,上海,供给缓解,智能汽车技术发展报告,http://www.saiic.com,,
轮胎压力监测系统,米其林轮胎（中国）有限公司,中国上海,供给良好,国际轮胎与零部件评估中心,https://www.michelin.com,,
车载导航系统,华为技术有限公司,深圳,供给良好,中国信息产业发展报告,https://www.huawei.com,,
电动助力转向系统,电装株式会社,广州市,供给稳定,中国汽车动力研究中心,https://www.denso.com,,
激光雷达,寻车科技,上海,供给紧张,智能网联汽车产业通报,https://www.xunche.com,,
动力传动系统,现代汽车株式会社,北京,供给稳定,中国汽车工业协会,https://www.hyundai.com,,
智能电池管理系统,宁德时代新能源科技股份有限公司,广州,供给缓解,新能源产业观察,https://www.catl.com,,
高压油泵,上汽集团,上海,供给稳定,汽车零部件供应链研究,https://www.saicmotor.com,,
涡旋式压缩机,松下电器产业株式会社,日本,供给良好,国际制冷设备协会,https://www.panasonic.com,,
电动车充电桩,特斯拉中国,上海,供给紧张,电动汽车行业协会,https://www.tesla.com,,
撞击传感器,博世集团,德国,稳定供给,国际汽车安全标准委员会,https://www.bosch.com,,
液压制动系统,意大利法拉利,意大利,供给良好,全球汽车技术研究所,http://www.ferrari.com,,
电子控制单元,大陆集团,德国,供给稳定,国际汽车电子协会,https://www.continental.com,,
LED大灯,海拉汽车部件有限公司,德国,供给稳定,汽车照明行业报告,https://www.hella.com,,
能量回收系统,丰田汽车公司,东京,供给良好,汽车创新与技术发展报告,https://www.toyota.com,,
安全气囊,Autoliv公司,瑞典,供给稳定,汽车安全研究中心,https://www.autoliv.com,,
变速器控制单元,Aisin Seiki株式会社,日本,供给良好,汽车技术论坛,https://www.aisinworld.com,,
出油阀,吉利汽车,杭州,供给缓解,热点汽车评论,https://www.geely.com,,
高性能机油,壳牌公司,荷兰,供给稳定,国际润滑油协会,https://www.shell.com,,
电子差速器,阿斯顿·马丁,英国,供给紧张,豪华车型技术论坛,https://www.astonmartin.com,,
刹车盘,宁波汽配制造有限公司,浙江省宁波,供给良好,中国汽车配件协会,http://www.caapa.org.cn,,
电动助力转向系统,万里汽车科技有限公司,江苏省苏州,供给紧张,智能交通研究中心,http://www.iitp.org.cn,,
发动机控制单元,英飞凌科技股份公司,德国慕尼黑,供给稳定,国际半导体行业协会,https://www.semiconductors.org,,
柴油机,潍坊柴油机公司,山东省潍坊,供给充足,中国重型机械协会,http://www.chmc.org.cn,,
高压燃油泵,辽阳机电有限公司,辽宁省辽阳,供给缓解,柴油机配件行业观察,http://www.dieselparts.org.cn,,
空气压缩机,西安压缩机制造厂,陕西省西安,供给稳定,中国机械工程学会,http://www.cmes.org,,
液压泵,湖北江汉液压科技有限公司,湖北省武汉,供给稳定,中国流体动力协会,http://www.chinafd.org,,
车门控制模块,松下电器(苏州)有限公司,江苏省苏州,供给良好,汽车电子技术协会,http://www.aet.cn,,
导航系统,华为技术有限公司,广东省深圳,供给稳定,智能网联汽车产业联盟,http://www.wlac.org.cn,,
动力总成控制单元,雷诺汽车公司,法国巴黎,供给良好,欧洲汽车工程师协会,https://www.eaes.org,,
传感器适配器,长安汽车股份有限公司,重庆,供给稳定,中国汽车电子技术协会,http://www.caetech.org.cn,,
电池管理系统,比亚迪股份有限公司,广东省深圳,供给稳定,新能源产业发展报告,https://www.byd.com,,
涡轮增压发动机,大众汽车(中国)销售有限公司,上海,供给缓解,中国汽车产业发展报告,http://www.volkswagen.com.cn,,
电动机,苏州电器有限公司,江苏省苏州,供给良好,电机和控制行业协会,http://www.ieee.org.cn,,
车载信息娱乐系统,索尼（中国）有限公司,广东省深圳,供给稳定,智能汽车技术平台,http://www.sony.com.cn,,
玻璃升降器,国内汽车一汽集团,吉林省长春,供给良好,中国标准化协会,http://www.sac.gov.cn,,
车身稳定控制系统,丰田汽车公司,日本东京,供给稳定,汽车安全技术协会,http://www.japanauto.com,,
环保型轮胎,米其林（中国）有限公司,上海,供给缓解,中国轮胎行业最新报告,http://www.michelin.com.cn,,
刹车系统,海拉汽车零部件有限公司,湖南省长沙,供给稳定,中国汽车市场调研报告,https://www.china-automarket.com,,
涡轮增压器,博世汽车部件有限公司,湖北省武汉,供给紧张,汽车零部件供给链分析,https://www.bosch.com,,
电子控制单元,安波福科技公司,江苏省南京,供给良好,全球汽车电子行业协会,https://www.autoebc.com,,
车灯,飞利浦照明公司,浙江省宁波,供给稳定,中国汽车灯具协会,https://www.philips.com,,
燃油泵,德尔福汽车系统有限公司,山东省济南,供给缓解,汽车零部件市场预测报告,https://www.delphi.com,,
电动助力转向,采埃孚股份公司,上海,供给良好,中国汽车产业发展网,https://www.zeiss.com,,
变速器控制模块,华晨汽车零部件公司,沈阳,供给稳定,中国交通运输协会,https://www.bmw.com,,
电池管理系统,比亚迪股份有限公司,广东省深圳,供给良好,新能源汽车产业发展报告,https://www.byd.com,,
底盘模块,几何汽车科技有限公司,天津市,供给稳定,中国汽车底盘协会,https://www.geometric.com,,
智能后视镜,博世与海拉合资公司,上海,供给紧张,汽车智能化趋势报告,https://www.bosch.com,,
汽车级摄像头,亿光电子工业股份有限公司,台湾,供给稳定,全球消费电子协会,https://www.everlight.com,,
混合动力系统,现代汽车股份有限公司,韩国,供给缓解,亚洲汽车工业协会,https://www.hyundai.com,,
风扇电机,博世电动工具公司,德国,供给良好,欧洲电机技术协会,https://www.bosch.com,,
传感器模块,迅达科技有限公司,陕西省西安,供给稳定,智能传感技术国际会议,https://www.sensortechsummit.com,,
电动机,日本电气公司,日本,供给良好,日本汽车制造商协会,https://www.eneos.com,,
车身控制模块,美国德州仪器公司,美国德克萨斯州,供给稳定,美国汽车协会,https://www.ti.com,,
悬挂系统,力帆汽车股份有限公司,重庆市,供给缓解,中国汽车资深技术论坛,https://www.lifan.com,,
连接器,华为技术有限公司,广东省深圳,供给良好,电子行业月刊,https://www.huawei.com,,
车载空气净化器,小米科技有限公司,北京,供给稳定,环保科技前沿,https://www.mi.com,,
电动机,电气集团有限公司,江苏省南京,供给良好,中国电器工业协会,http://www.ceia.org.cn,,
制动片,百利恒汽车零部件有限公司,湖北省武汉,供给稳定,中国汽车零部件行业协会,http://www.china-parts.org.cn,,
整车控制器,长安汽车科技公司,重庆市,供给紧张,自动化与技术发展报告,https://www.changan.com.cn,,
空调压缩机,海拉汽车系统有限公司,德国,供给稳定,全球汽车供应链分析,https://www.hella.com,,
燃油喷射系统,博世汽配公司,上海,供给良好,中国汽车工程学会,https://www.sae.org.cn,,
电子稳定程序,大陆集团,浙江省绍兴,供给稳定,全球汽车电子系统市场报告,https://www.continental.com,,
车载导航系统,高德软件公司,北京市,供给良好,智能汽车发展趋势,https://www.amap.com,,
悬架系统,日本镇海工业株式会社,日本,供给恢复,亚洲汽车工业观察,https://www.tokyo-gel.com,,
轮胎,倍耐力轮胎公司,意大利,供给紧张,国际轮胎与橡胶协会,https://www.pirelli.com,,
车身电子系统,德赛西威汽车电子有限公司,福建省福州,供给稳定,汽车电子技术与市场观察,https://www.desay-sv.com,,
活塞,宏伟汽车零部件公司,河南省郑州,供给健康,中国机械工业信息网,http://www.cmii.com.cn,,
车载电池管理系统,瑞尔科技有限公司,深圳市,供给放松,新能源汽车发展动态,https://www.realtech.com.cn,,
进气歧管,东风汽车公司,武汉,供给良好,汽车行业发展预测,https://www.dfmc.com.cn,,
传感器,华为技术有限公司,深圳,供给稳定,智能传感技术年度报告,https://www.huawei.com,,
电子助力转向,南京理工大学智造公司,江苏省南京,供给健康,汽车电子创新论坛,https://www.n just.edu.cn,,
超声波探测器,斯坦利汽车部件公司,日本,供给紧张,国际汽车技术展,https://www.stanley.com,,
LED车灯,阳光照明科技有限公司,浙江省温州,供给稳定,光电技术与市场分析,https://www.sunny-light.com,,
油门控制装置,小米汽车科技,北京市,供给恢复,智能汽车市场观察,https://www.xiaomi.com,,
高性能刹车系统,阿普利亚车业,意大利,供给稳定,汽车制造周刊,https://www.aprilia.com,,
电动机,西门子（中国）有限公司,上海,供给稳定,中国电气行业协会,http://www.ceia.org.cn,,
驱动电器,比亚迪电动汽车有限公司,深圳,供给良好,电动汽车产业发展报告,https://www.byd.com,,
高压开关,国产开关电器有限公司,广州,供给紧张,电力设备制造商协会,http://www.equipment.org.cn,,
液压泵,凯斯机械制造有限公司,南京,供给稳定,中国产业信息网,http://www.chinainfo.com,,
刹车片,阿卡科技有限公司,郑州,供给缓解,中国汽车零部件协会,http://www.capia.org.cn,,
燃料电池,氢燃料科技有限公司,合肥,供给良好,新能源技术发展期刊,https://www.hydrogentech.com,,
自动变速器,梅赛德斯-奔驰（中国）,北京,供给稳定,中国汽车工业发展报告,http://www.mercedes-benz.com.cn,,
冷却系统,东风汽车公司,武汉,供给稳定,中国汽车零部件产业网,http://www.dongfeng.com,,
车载导航系统,广州博泰科技有限公司,广州,供给良好,中国智能驾驶产业协会,http://www.botaitech.com,,
车载摄像头,华为技术有限公司,深圳,供给紧张,物联网产业发展报告,https://www.huawei.com,,
制动系统,博世中国,苏州,供给稳定,国际汽车技术论坛,https://www.bosch.com,,
传感器模块,德州仪器,上海,供给良好,半导体行业协会,http://www.ti.com.cn,,
切削工具,山特维克工具有限公司,西安,供给稳定,金属加工技术研究所,https://www.sandvik.com,,
激光焊接机,福耀玻璃工业集团,福州,供给缓解,中国玻璃工业协会,http://www.fuyaoglass.com,,
智能电网设备,国网电力公司,北京,供给稳定,中国电力行业协会,http://www.sgcc.com.cn,,
火花塞,宁波火花塞公司,浙江,供给良好,汽车零部件协会,http://www.sparkplug.org.cn,,
导航芯片,高通中国,南京,供给紧张,芯片产业发展报告,http://www.qualcomm.com,,
电池管理系统,小鹏汽车股份有限公司,广州,供给稳定,新能源汽车产业发展报告,https://www.xiaopeng.com,,
油泵,浙江吉利控股集团,浙江省杭州市,供给稳定,中国汽车配件供应链协会,http://www.capsa.org.cn,,
电动助力转向系统,法雷奥汽车系统有限公司,江苏省苏州市,供给良好,全球汽车市场研究报告,https://www.fourthquarterly.com,,
电池管理系统,比亚迪股份有限公司,广东省深圳市,供给不足,新能源汽车市场日报,https://www.byd.com,,
燃料电池,氢能科技有限公司,上海,供给稳定,中国氢能发展报告,http://www.chinahy.com,,
制动卡钳,广州汽车集团股份公司,广东省广州市,供给良好,汽车零部件行业分析,http://www.gacgroup.com,,
钣金件,上海汽车工业集团股份有限公司,上海,供给充足,中国汽车制造工艺杂志,https://www.saicmotor.com,,
电子控制单元,博世电动驱动技术有限公司,德国,供给紧张,国际电子工业协会,https://www.bosch.com,,
变速箱控制模块,艾默生电气公司,美国,供给稳定,全球自动化市场动态,https://www.emerson.com,,
机油滤清器,华普汽车部件有限公司,山东省济宁,供给良好,汽配供应链研究中心,http://www.huapu.com,,
车载无线充电器,小米电子科技有限公司,北京,供给稳定,智能汽车协会,https://www.mi.com,,
冷却液管,福州汽车配件公司,福建省福州市,供给不足,福建汽车行业月刊,http://www.fjauto.com,,
发生器,长安汽车集团,重庆市,供给稳定,汽车工业协会,http://www.caa.org.cn,,
传感器模组,慕尼黑再保险公司,德国,供给稳定,自动化技术期刊,https://www.munichre.com,,
车载多媒体系统,宁德时代新能源科技股份有限公司,宁德,供给良好,中国汽车电子行业分析,https://www.catl.com,,
发动机控制单元,特斯拉汽车公司,美国,供给稳定,新能源汽车产业发展报告,https://www.tesla.com,,
座椅调节电机,万得车业集团,沈阳,供给稳定,汽车内饰行业协会,http://www.wande.com,,
汽车后视镜系统,镜头科技有限公司,广东省东莞市,供给良好,智能制造与创新论坛,http://www.jingtou.com,,
轮胎压力监测系统,优利特技术有限公司,浙江省温州市,供给稳定,中国轮胎产业大会,http://www.u-lift.com,,
车载导航仪,宝时捷电子科技公司,四川省成都市,供给不足,中国汽车信息网,http://www.bsdj.com,,
控制器,格力电器股份有限公司,珠海,供给稳定,家电行业研究报告,https://www.gree.com,,
机械手臂,安川电机株式会社,东京,供给缓解,日本自动化行业协会,https://www.yaskawa.co.jp,,
光纤传感器,华为技术有限公司,深圳,供给良好,光电技术发展趋势,https://www.huawei.com,,
电动机,西门子有限公司,德国,供给稳定,全球电气设备市场报告,https://www.siemens.com,,
锂电池包,比亚迪股份有限公司,深圳,供给紧张,新能源汽车市场分析,https://www.byd.com,,
传感器模块,德州仪器公司,美国德克萨斯州,供给稳定,电子元件行业协会,https://www.ti.com,,
伺服电机,发那科有限公司,日本,供给良好,自动化与机器人研究报告,https://www.fanuc.com,,
电力转化器,阳光电源股份有限公司,合肥,供给稳定,可再生能源行业动态,https://www.sungrowpower.com,,
冷却系统,弘扬科技有限公司,杭州,供给紧张,HVAC行业调研,https://www.honyar.com,,
激光切割机,通快股份有限公司,德国,供给良好,机器制造行业报告,https://www.trumpf.com,,
机械传动系统,米其林集团,法国,供给稳定,汽车零件行业协会,https://www.michelin.com,,
气门弹簧,全柴动力股份有限公司,合肥,供给缓解,中国汽车配件市场报告,http://www.quanchai.com,,
电动助力转向系统,大陸集团,德国,供给稳定,欧洲汽车制造商协会,https://www.continental.com,,
汽油喷射系统,博世集团,德国,供给良好,国际汽车技术协会,https://www.bosch.com,,
电池管理系统,宁德时代新能源科技股份有限公司,福州,供给紧张,清洁能源技术报告,https://www.catl.com,,
发动机控制单元,麦格纳国际公司,加拿大,供给稳定,汽车电子发展动态,https://www.magna.com,,
高压油泵,潍柴动力股份有限公司,潍坊,供给良好,中国重型柴油发动机协会,https://www.weichai.com,,
碳纤维复合材料,中复神鹰科技有限公司,西安,供给稳定,航空航天材料行业分析,https://www.zhongfu.com,,
电动车驱动电机,巴士动力科技有限公司,江苏省无锡,供给充足,电动车行业协会,https://www.evassociation.org,,
新能源车控制器,比亚迪股份有限公司,广东省深圳,供给稳定,汽车电子产业峰会,https://www.byd.com,,
动力总成系统,长安汽车股份有限公司,重庆,供给紧张,中国汽车工业协会,https://www.changan.com.cn,,
导航系统,北京海华科技有限公司,北京,供给良好,全球智能交通网络,https://www.gits.org,,
车身控制单元,德赛西威汽车电子有限公司,广东省惠州,供给稳定,汽车电子与安全性能研究中心,http://www.desay.com,,
汽车空调压缩机,富士康科技集团,河南省郑州,供给良好,世界汽车工程技术交流会,https://www.foxconn.com,,
自动变速器,东风汽车公司,湖北省武汉,供给缓解,中国汽车发展出口报告,http://www.dfmc.com.cn,,
油冷却器,广汽集团,广东省广州,供给稳定,全球汽车零部件峰会,http://www.gacgroup.com,,
电瓶管理系统,宁德时代电池科技有限公司,福建省宁德,供给紧张,电池产业前沿论坛,https://www.catl.com,,
高性能轮胎,优科豪马轮胎（中国）有限公司,浙江省宁波,供给良好,轮胎行业发展研究报告,https://www.yokohama.co.jp,,
车载无线充电模块,华为技术有限公司,广东省深圳,供给稳定,智能汽车技术博览会,https://www.huawei.com,,
汽车线束,博世汽车部件（中国）有限公司,上海,供给充足,汽车工业协会,https://www.bosch.com.cn,,
车灯,飞利浦汽车照明系统,福建省福州,供给稳定,国际照明协会,https://www.philips.com,,
自动驾驶雷达,禾赛科技,北京,供给紧张,自动驾驶技术前沿,http://www.hesai.com,,
安全气囊,下午二十基金会,全球,供给良好,汽车安全研究报告,https://www.evening20.org,,
传感器,意法半导体,德国,供给稳定,半导体行业报告,https://www.st.com,,
混合动力系统,通用汽车公司,美国,供给良好,汽车市场分析报告,https://www.gm.com,,
碳纤维车身结构,宝马集团,德国,供给稳定,汽车创新与技术趋势,https://www.bmw.com,,
氢燃料电池,丰田汽车公司,日本,供给紧张,新能源车市场动态,https://www.toyota.com,,
电动助力转向器,浙江万丰奥特控股集团有限公司,浙江省温州,供给稳定,中国汽车配件行业协会,http://www.caap.com.cn,,
动力驱动模块,通用电气公司,美国,供给良好,全球电气工程论坛,https://www.ge.com,,
燃料喷射器,博世汽车部件（苏州）有限公司,江苏省苏州,供给缓解,汽车电子行业研究报告,http://www.bosch.com.cn,,
电池管理系统,比亚迪股份有限公司,广东省深圳,供给稳定,中国电动车产业发展报告,https://www.byd.com,,
车载信息娱乐系统,阿里巴巴集团有限公司,浙江省杭州,供给良好,智能汽车技术论坛,https://www.alibaba.com,,
锂离子电池,松下电器（中国）有限公司,上海,供给紧张,中国新能源电池产业报告,https://www.jp.panasonic.com,,
轮胎压力监测系统,米其林集团,法国,稳定供给,国际轮胎制造商协会,https://www.michelin.com,,
