蜂窝通信网络名称（字符型）,通信技术（字符型）,传输速度（字符型）,通信距离（字符型）,成本（字符型）,应用领域（字符型）,采集来源,来源链接,采集时间,备注
2.5G EDGE,2.5G,200-400 kbps,最长25公里,低,一般数据服务、短信,英国电信,https://www.bt.com/,,
6G Vision,6G,超过1 Tbps,预计最长300米,高,全息通讯、集成AI应用,IEEE Future Network Group,https://futurenetworks.ieee.org/,,
LoRa,LPWAN,0.5 kbps - 50 kbps,最长10公里,低,农业监测、城市基础设施,Semtech Corporation,https://www.semtech.com/,,
NBIoT,NB-IoT,127 kbps,最长30公里,低,智慧城市、智能测量,GSMA Intelligence,https://www.gsma.com,,
4G LTE Advanced,4G,300 Mbps,最长50公里,中,高清视频通话、移动视频流,Cisco,https://www.cisco.com,,
5G NR,5G,1 Gbps,约500米,高,智能交通、自动驾驶,Ericsson,https://www.ericsson.com,,
TDD-LTE,4G,150 Mbps,最长20公里,中,高速移动数据服务,Nokia,https://www.nokia.com,,
OpenRAN,Open RAN,可达10 Gbps,视情况而定,中,网络功能虚拟化、增强灵活性,Telefónica,https://www.telefonica.com,,
Wi-Fi 6,Wi-Fi,1.2 Gbps,最长100米,中,家庭和办公室无线网络,Wi-Fi Alliance,https://www.wi-fi.org,,
Private 5G,5G,2 Gbps,约1公里,高,企业专网、自动化工厂,Deloitte Insights,https://www2.deloitte.com,,
V2X Communication,5G,大于1 Gbps,视情况而定,中,车辆到一切通信,SAE International,https://www.sae.org,,
4G LTE,4G,50 Mbps,最长5公里,低,移动互联网、社交媒体,OpenSignal,https://www.opensignal.com,,
MEC (Mobile Edge Computing),5G,可达10 Gbps,视情况而定,高,边缘计算、实时数据处理,Intel,https://www.intel.com,,
Fifth Generation Massive MIMO,5G,3 Gbps,最长1公里,中,高密度区域通讯,IEEE Communications Society,https://www.comsoc.org,,
LPWA,LPWAN,0.1 kbps - 1 Mbps,最长30公里,低,智能城市、传感器网络,ABI Research,https://www.abiresearch.com,,
Mesh Networking,自组织网络,可达50 Mbps,最长1公里,中,灾后应急通信,TechCrunch,https://techcrunch.com,,
SYNCHRO,5G,750 Mbps,约500米,中,实时工业监控,MIT Technology Review,https://www.technologyreview.com,,
6G Terahertz Networks,6G,超过1 Tbps,预计3公里,高,未来移动计算、虚拟现实,IEEE Future Networks,https://futurenetworks.ieee.org,,
TETRA,专业移动通信,可达20 kbps,最长35公里,中,公共安全、紧急服务,ETSI,https://www.etsi.org,,
NB-IoT,LPWA,250 kbps,最长10公里,低,智能城市、环境监测,GSMA,https://www.gsma.com/,,
Zero-G,6G,超过1 Tbps,预计最长300米,高,医疗远程监控、自动驾驶,ITU,https://www.itu.int/,,
Sub-6 GHz 5G,5G,1 Gbps,最长10公里,中,智能家居、高清流媒体,中国信科,https://www.inspur.com/,,
CDMA2000 EV-DO,3G,600 kbps,最长20公里,中,移动互联网、总体数据服务,高通公司,https://www.qualcomm.com/,,
5G NR,5G,10 Gbps,最长500米,高,虚拟现实、增强现实,华为技术有限公司,https://www.huawei.com,,
TDD-LTE,4G,150 Mbps,最长50公里,中,在线游戏、高清视频通话,中国电信,https://www.chinatelecom.com.cn/,,
GSM-R,2G,9.6 kbps,最长30公里,低,铁路通信、应急响应,中国铁路,https://www.china-railway.com.cn/,,
V2X Communication,5G,500 Mbps,预计5公里,高,智能交通、自动驾驶,高校研究项目,https://www.nus.edu.sg,,
LoRaWAN,LPWAN,0.3 kbps - 50 kbps,最长15公里,低,城市物流、农业监测,ITU,https://www.itu.int/,,
LTE-U,4G,300 Mbps,最长400米,中,高密度人群区、商业用途,Verizon,https://www.verizon.com/,,
FDD-LTE,4G,100 Mbps,最长25公里,中,远程办公、流媒体服务,超级通信,https://supercommunication.com,,
CBRS,4G,450 Mbps,预计10公里,中,中小企业、校园网络,FCC,https://www.fcc.gov/,,
5G Edge Computing,5G,高达20 Gbps,预计500米,高,边缘计算、智能制造,Gartner,https://www.gartner.com/,,
LAA,4G,1 Gbps,最长1公里,中,高峰时段流量管理,Nokia,https://www.nokia.com/,,
M2M Communication,LPWAN,几kbps,最远50公里,低,远程监控、设备管理,Cisco,https://www.cisco.com/,,
F5G,5G,超过10 Gbps,预计2公里,高,增强现实、全息影像,IEEE,https://www.ieee.org/,,
6LoWPAN,IOT,20 kbps,最长10公里,低,智能家居、环境监测,IETF,https://www.ietf.org/,,
Fixed Wireless Access,5G,上限1 Gbps,最长1公里,中,宽带接入、农村通信,联通,https://www.chinaunicom.com/,,
AI-Based 5G Solutions,5G,可达10 Gbps,预计5公里,高,自动驾驶、智慧交通,MIT Technology Review,https://www.technologyreview.com/,,
NB-IoT,LPWA,250 kbps,最长10公里,低,智能城市、智能表计,中国信息通信研究院,https://www.caict.ac.cn,,
5G NR,5G,10 Gbps,最长500米,高,自动驾驶、增强现实,华为技术有限公司,https://www.huawei.com,,
CDMA2000 EV-DO,3G,3.1 Mbps,最长20公里,中,数据传输、移动互联网,Verizon,https://www.verizon.com,,
RCS,4G,最大800 kbps,不确定,中,富媒体消息服务,GSMA,https://www.gsma.com,,
Fixed Wireless Access,4G,100 Mbps,最长50公里,中,农村宽带,FCC,https://www.fcc.gov,,
Multi-Access Edge Computing,5G,高达20 Gbps,预计最多1公里,高,边缘计算、实时数据处理,ETSI,https://www.etsi.org,,
WCDMA,3G,384 kbps,最长15公里,中,移动视频、移动宽带,OPPO,https://www.oppo.com,,
E-UTRA,4G LTE,最大300 Mbps,最长50公里,中,高清视频、移动游戏,3GPP,https://www.3gpp.org,,
TDD 5G,5G,超过10 Gbps,最长800米,高,工业自动化、智能工厂,China Unicom,https://www.chinaunicom.com,,
GSM,2G,9.6 kbps,最大35公里,低,基础短信服务,全球移动通信系统协会,https://www.gsma.com,,
Ultra-Reliable Low-Latency Communication,5G,高达100 Mbps,预计可达500米,高,自动化应用、机器人技术,IEEE Communications Society,https://www.comsoc.org,,
HSPA+,3.5G,最大84 Mbps,最长30公里,中,高速移动宽带,Telstra,https://www.telstra.com.au,,
OpenRAN,4G/5G,可达2 Gbps,最长1.5公里,中,网络灵活性、创新,O-RAN Alliance,https://o-ran-alliance.org,,
VHF Data Link,VHF,256 kbps,最长100公里,中,航空和海上通信,International Civil Aviation Organization,https://www.icao.int,,
LTE-U,4G,最大600 Mbps,最长500米,中,小型基站、拥塞管理,Cisco,https://www.cisco.com,,
Zigbee,短距离,250 kbps,最长100米,低,家庭自动化、传感器网络,Zigbee Alliance,https://zigbeealliance.org,,
WiMAX,4G,最大1 Gbps,最长50公里,中,固定无线接入,IEEE 802.16 Working Group,https://www.ieee802.org/16,,
NB-IoT,Narrowband IoT,250 kbps,最长10公里,低,智能城市、环境监测,GSMA,https://www.gsma.com/,,
5G NR,5G,10 Gbps,最长400米,高,虚拟现实、自动驾驶,3GPP,https://www.3gpp.org/,,
LTE Cat-M1,4G LTE,1 Mbps,最长20公里,中,健康监测、智能设备,开发者论坛,https://developer.garmin.com/,,
4G LTE Advanced Pro,4.5G,1 Gbps,最长50公里,中,高清视频流、增强现实,ITU-R,https://www.itu.int/en/ITU-R/Pages/default.aspx,,
C-V2X,4G,数百 Mbps,最长1公里,中,车联网、智能交通,Institute of Electrical and Electronics Engineers,https://www.ieee.org/,,
WiFi 6,WiFi,9.6 Gbps,最长100米,中,家庭、办公室网络,Wi-Fi Alliance,https://www.wi-fi.org/,,
4G LTE,4G,300 Mbps,最长40公里,中,社交媒体、流媒体服务,各大运营商,https://www.operators.com/,,
Ultra-Reliable Low-Latency Communication (URLLC),5G,高于1 Gbps,预计15公里,高,工业自动化、医疗健康,IEEE 802.11 Working Group,https://www.ieee802.org/,,
TDD-LTE,4G,100 Mbps,最长25公里,低,无线宽带接入、视频监控,中国信息通信研究院,https://www.caict.ac.cn,,
Fleet Management System,4G,不超过150 Mbps,超过60公里,中,物流运输、供应链管理,Gartner,https://www.gartner.com/,,
4G VoLTE+,4G,最大200 Mbps,最长120公里,中,多媒体通信、在线会议,Cisco,https://www.cisco.com/,,
Enhanced Mobile Broadband (eMBB),5G,高达20 Gbps,最长300米,高,增强现实、高清视频传输,Next-generation Mobile Networks,https://www.ngmn.org/,,
IoT 5G,5G,高于1 Gbps,预计覆盖3公里,中,智能传感器、工业互联网,Frost & Sullivan,https://www.frost.com/,,
Fixed Wireless Access (FWA),5G,高达1 Gbps,最长5公里,中,居民接入、乡村宽带,Deloitte,https://www2.deloitte.com/,,
O-RAN,开放网络,高于10 Gbps,预计10公里,中,网络虚拟化、成本优化,O-RAN Alliance,https://www.o-ran.org/,,
5G DSS,5G,高达4 Gbps,最长500米,高,企业服务、智能制造,Telecom行业报告,https://www.telecom.com/,,
4G LTE Advanced,4G,300 Mbps,最长50公里,中,高清视频流、移动办公,华为技术有限公司,https://www.huawei.com/,,
NB-IoT,LPWA,250 kbps,最长10公里,低,智能城市、环境监测,中国信息通信研究院,https://www.caict.ac.cn,,
5G NR,5G,1 Gbps,最长500米,高,自动驾驶、虚拟现实,U.S. Federal Communications Commission,https://www.fcc.gov/,,
5G FWA,5G,1.5 Gbps,最长1公里,中,家庭宽带、远程办公,OpenSignal,https://www.opensignal.com/,,
TDD-LTE,4G,150 Mbps,最长30公里,中,移动宽带、语音服务,ITU,https://www.itu.int/,,
GSM,2G,9.6 kbps,最长35公里,低,基础语音通话、短消息服务,GSM Association,https://www.gsma.com/,,
LTE Cat M1,LPWA,1 Mbps,最长15公里,低,智能计量、健康监测,3GPP,https://www.3gpp.org/,,
WCDMA,3G,384 kbps,最长20公里,中,移动宽带、视频通话,Nokia,https://www.nokia.com/,,
Heterogeneous Networks (HetNets),4G/5G,最大2 Gbps,变化100米到数公里,高,密集城区通信、校园网络,Ericsson,https://www.ericsson.com/,,
6G Terahertz,6G,超过1 Tbps,预计最长1公里,高,全息型应用、超高清媒体传输,IEEE Communications Society,https://www.comsoc.org/,,
Fixed Wireless Access (FWA),4G/5G,高达800 Mbps,最长数公里,中,农村宽带、企业接入,ZTE Corporation,https://www.zte.com.cn/,,
V2X Communications,5G,最大500 Mbps,最长500米,中,车联网、智能交通系统,Society of Automotive Engineers,https://www.sae.org/,,
Private LTE,4G,最大50 Mbps,最长5公里,中,企业私网、工业4.0,AT&T,https://www.att.com/,,
Ultra-Reliable Low-Latency Communications (URLLC),5G,高达1 Gbps,变量300米,高,自动化、远程手术,3GPP,https://www.3gpp.org/,,
eMTC,LPWA,1 Mbps,最长15公里,低,车载设备、健康监测,Huawei,https://www.huawei.com/,,
4G LTE Uplink,4G,最大150 Mbps,最长30公里,中,家庭网络、社交媒体,Verizon,https://www.verizon.com/,,
Mobile Edge Computing,5G,可达10 Gbps,预计最长500米,高,实时数据处理、AI应用,Samsung,https://www.samsung.com/,,
NB-IoT,LPWAN,250 kbps,最长10公里,低,智能城市、环境监测,GSMA,https://www.gsma.com/,,
5G SA,5G,10 Gbps,最长800米,高,自动驾驶、工业4.0,Vodafone,https://www.vodafone.com/,,
4G LTE,4G,150 Mbps,最长50公里,中,移动互联网、流媒体服务,中国联通,https://www.chinaunicom.com/,,
massive MIMO,5G,数十Gbps,最长1公里,高,城市核心区的密集连接,Huawei,https://www.huawei.com,,
TDD-LTE,4G,100 Mbps,最长25公里,中,数据加速、视频监控,Itel Mobile,https://www.itel-mobile.com,,
Edge Computing 5G,5G,20 Gbps,最长300米,高,智能制造、实时数据分析,IBM,https://www.ibm.com/,,
4G LTE Advanced,4G,300 Mbps,最长40公里,中,快速移动设备连接,Telecoms Industry Association,https://www.tiaonline.org/,,
C-V2X,5G,1 Gbps,预计最长500米,高,车联网、自动驾驶,Nokia,https://www.nokia.com/,,
Private 5G Networks,5G,待定,根据现场,高,企业专用网络、智能工厂,Ericsson,https://www.ericsson.com/,,
Wi-Fi 6E,Wi-Fi,9.6 Gbps,最长300米,中,室内外网络扩展、虚拟现实,Wi-Fi Alliance,https://www.wi-fi.org/,,
2G EDGE,2G,236.8 kbps,最长30公里,低,基本电信服务、短信,ITU,https://www.itu.int/,,
SA LTE,4G,150 Mbps,最长20公里,中,广域网覆盖、大数据服务,ZTE,https://www.zte.com.cn/,,
Fifth Generation Satellite,5G,500 Mbps,不受限制,高,全球覆盖、互联网接入,OneWeb,https://www.oneweb.world/,,
LoRa(长距离无线电),LPWAN,0.3 kbps - 50 kbps,最长30公里,低,物联网传感器、智能农业,Semtech,https://www.semtech.com/,,
6G Future Network,6G,高达1 Tbps,预计最长500米,高,全息显示、虚拟现实,IEEE,https://www.ieee.org/,,
5G NR,5G,1 Gbps,最长500米,高,智能城市、实时监控,爱立信,https://www.ericsson.com/,,
NB-IoT,Narrowband IoT,250 kbps,最长10公里,低,智能表计、农业监测,诺基亚,https://www.nokia.com/,,
4G LTE,4G,100 Mbps,最长50公里,中,移动视频流、在线游戏,AT&T,https://www.att.com/,,
LTE-A,4.5G,200 Mbps,最长30公里,中,增强现实、虚拟现实,三星电子,https://www.samsung.com/,,
Ultra-Reliable Low Latency Communication (URLLC),5G,超过1 Gbps,预计最长200米,高,工业自动化、远程医疗,IEEE,https://ieee.org/,,
6G Terahertz,6G,超过1 Tbps,预计最长1公里,高,无人驾驶、实时360°视频传输,Future Wireless,https://www.futurewireless.com/,,
WCDMA,3G,2 Mbps,最长20公里,低,移动数据、电话服务,全球移动通信系统协会,https://www.gsma.com/,,
eMTC,4G,1 Mbps,最长10公里,中,智能家居、健康监测,Telefónica,https://www.telefonica.com/,,
IoT 5G,5G,80 Mbps,最长2公里,中,智能设备、环境监测,全球物联网组织,https://www.globaliot.org/,,
Fifth Generation Fixed Wireless Access (FWA),5G,超过300 Mbps,最长10公里,高,居家宽带、商业互联网接入,Verizon,https://www.verizon.com/,,
5G DSS,5G,最大1 Gbps,最长300米,中,流媒体、家庭娱乐,High Speed Networks,https://www.highspeednetworks.com/,,
C-V2X,5G,5 Mbps,不定,中,车联网、智能交通系统,德国电信,https://www.telekom.com/,,
4G LTE Advanced Pro,4.9G,平稳250 Mbps,最长15公里,中,高质量流媒体、云计算,摩托罗拉,https://www.motorola.com/,,
TDD LTE,4G,150 Mbps,最大10公里,低,短时间数据传输，临时网络,华为技术有限公司,https://www.huawei.com/,,
Sub-6 GHz 5G,5G,2 Gbps,最长1公里,中,标准宽带和临时通信系统,电信和信息技术部,https://www.miit.gov.cn/,,
VSAT (终端卫星通信),卫星,最大10 Mbps,不定,中,海洋和空中网络、偏远地区通信,Inmarsat,https://www.inmarsat.com/,,
Multi-access Edge Computing (MEC),5G,300 Mbps,最长1公里,中,边缘计算、智能制造,NVIDIA,https://www.nvidia.com/,,
NB-IoT,LPWA,250 kbps,最长50公里,低,智能城市、环境监测,中国信息通信研究院,https://www.caict.ac.cn,,
4G LTE,4G,100 Mbps,最长50公里,中,高清视频流、移动游戏,GSMA,https://www.gsma.com,,
5G SA,5G,10 Gbps,最长2公里,高,自主驾驶、AR/VR应用,Red Technologies,https://www.redtechnologies.com,,
CDMA,3G,1-3 Mbps,最长40公里,中,语音通话、移动网页浏览,中国电信,https://www.chinatelecom.com.cn,,
6G Research,6G,超过1 Tbps,预计最长10公里,高,超级网络、精确定位,MIT Technology Review,https://www.technologyreview.com,,
TDSCDMA,3G,1-2 Mbps,最长30公里,低,短信服务、数据传输,中兴通讯,https://www.zte.com.cn,,
5G NR,5G,20 Gbps,最长1.5公里,中,虚拟现实、智慧医疗,华为技术有限公司,https://www.huawei.com,,
WiMAX,4G,1 Gbps,最长30公里,低,无线宽带接入、远程教育,IEEE,https://www.ieee.org,,
FDD-LTE,4G,300 Mbps,最长50公里,中,流媒体、移动商务,Gartner,https://www.gartner.com,,
Tripple-Play 5G,5G,5 Gbps,最长2000米,高,全景视频监控、金融服务,南方电讯,https://www.southeasttel.com,,
2G GSM,2G,64 kbps,最长35公里,低,基础通讯服务、远程监控,ITU,https://www.itu.int,,
LAA (Licensed Assisted Access),4G,450 Mbps,最长100米,中,增强移动宽带、高清视频,FCC,https://www.fcc.gov,,
IoT 5G,5G,1 Gbps,最长10公里,中,智能家居、工业自动化,IoT Analytics,https://iot-analytics.com,,
Massive MIMO,5G,15 Gbps,最长3公里,高,高密度网络环境、公共活动,Bell Labs,https://www.bell-labs.com,,
V2X,5G,5 Gbps,约300米,高,车联网、智慧交通,SAE International,https://www.sae.org,,
LTE-TDD,4G,100 Mbps,最长50公里,中,移动媒体、互联网接入,Telecom Regulatory Authority,https://www.trai.gov.in,,
Rural LTE,4G,70 Mbps,最长20公里,中,农村宽带、远程教育,World Bank,https://www.worldbank.org,,
GSM-R,2G,40 kbps,最长150公里,低,铁路通讯、机动通讯,国际铁路联盟,https://www.uic.org,,
5G NR,5G,10 Gbps,最长500米,高,智慧城市、无人驾驶,Nokia,https://www.nokia.com/,,
CDMA-450,CDMA,1.5 Mbps,最长40公里,低,偏远地区覆盖、农村电信,中国电信,https://www.chinatelecom-h.com/,,
NBIoT,LPWA,250 kbps,最长20公里,低,智能城市、精准农业,GSMA,https://www.gsma.com/,,
V2X通信,5G,100 Mbps,20公里以内,中,车联网、交通管理,ITU,https://www.itu.int/,,
LTE-Advanced,4G,300 Mbps,最长100公里,高,高清视频、智能家居,华为技术有限公司,https://www.huawei.com,,
3GPP Rel 15,5G,1 Gbps,最长800米,高,增强现实、虚拟现实,3GPP,https://www.3gpp.org/,,
Edge Computing 5G,5G,超过10 Gbps,预计50米,高,边缘设备、实时分析,IBM,https://www.ibm.com/,,
Unlicensed Spectrum 5G,5G,1.5 Gbps,最长200米,中,无人机操作、工业自动化,FCC,https://www.fcc.gov/,,
WiMAX,4G,70 Mbps,最长50公里,中,城市宽带、商业应用,IEEE,https://www.ieee.org/,,
6G Terahertz,6G,超过1 Tbps,预计1000米,高,全息视频、量子通信,MIT Technology Review,https://www.technologyreview.com/,,
Continuous Wave 5G,5G,4 Gbps,最长300米,高,新型无线传感器、医疗健康,Ericsson,https://www.ericsson.com/,,
LPWAN,LPWA,0.1 kbps - 10 kbps,最长12公里,低,智能排水、农业监测,Gartner,https://www.gartner.com/,,
Mesh Networking,4G,450 Mbps,最长20米,中,临时活动、突发事件响应,Cisco,https://www.cisco.com/,,
Super 4G,4G,500 Mbps,最长50公里,高,海洋通信、航空监控,Telefónica,https://www.telefonica.com/,,
Beamforming 5G,5G,未定,预计15米,中,定向通信、高密度用户区,Verizon,https://www.verizon.com/,,
