网络与通信系统名称（字符型）,网络与通信系统类型（字符型）,规格（字符型）,企业名称（字符型）,批准日期（日期型）,上市许可持有人（字符型）,规范企业名称，用于企业关联（字符型）,面向群体（字符型）,采集来源,来源链接,采集时间,备注
增强现实通信平台,新媒体通信,AR/VR内容共享,索尼公司,2022-11-05,Sony Interactive Entertainment,索尼互动娱乐公司,内容创作者,娱乐科技日报,https://www.sony.com,,
全光网络通信系统,宽带通信系统,光纤到户,中国移动,2023-04-22,中国移动通信公司,中国移动通信集团公司,家庭用户,电信行业研究院,https://www.chinamobileltd.com,,
无人驾驶车联网,智慧交通,车联网V2X,百度公司,2023-09-23,百度Apollo,百度公司,自动驾驶开发者,智能交通新闻,https://apollo.auto,,
高频交易网络,金融通信,超高频低延迟网络,阿里巴巴金融,2023-02-18,阿里金融,阿里巴巴集团,金融机构,金融科技研究,https://finance.alibaba.com,,
量子安全通信系统,量子通信,量子位传输,中国科学院,2023-05-05,中国科学院,中国科学院量子信息重点实验室,科研机构,科技前沿杂志,http://www.cas.cn,,
全球数据中心互连网络,数据中心网络,SDN数据管理,微软公司,2023-07-30,Azure,微软公司,企业用户,IT技术杂志,https://www.microsoft.com,,
智能客服通信系统,客户服务通信,AI聊天机器人,腾讯公司,2023-08-15,腾讯云,腾讯科技(深圳)有限公司,企业客户,客户服务研究所,https://www.tencent.com,,
边缘计算安全网,云计算系统,边缘安全管理,IBM,2022-10-29,IBM Cloud,国际商用机器公司,企业和开发者,技术咨询公司,https://www.ibm.com,,
国际卫星导航系统,卫星通信,全球定位导航,卫星导航网络,2023-11-05,GPS Satellite Network,全球卫星导航服务公司,全球用户,交通运输部,https://www.gps.gov,,
智能家居安全网络,物联网通信,智能传感器集成,米家科技,2023-06-15,小米科技,小米科技有限公司,家庭用户,家居智能化研究报告,https://www.mi.com,,
下一代无线电网络,无线通信系统,LR-WPAN,英特尔公司,2023-08-22,Intel,英特尔科技有限公司,开发者与企业,无线通信技术评价,https://www.intel.com,,
跨境光纤通信网络,国际通信系统,海底光缆,AT&T,2022-02-10,AT&T,AT&T公司,国际业务用户,国际电信联盟,https://www.att.com,,
量子通信加密网络,量子通信,量子密钥分配,IBM,2023-09-29,IBM,国际商业机器公司,金融与政府机构,最新量子技术展望,https://www.ibm.com,,
智能农业传感网络,物联网通信,农业监测传感器,华为技术有限公司,2023-03-11,华为,华为技术有限公司,农业用户,农业科技杂志,https://www.huawei.com,,
卫星互联网服务,卫星通信,低延迟卫星链路,SpaceX,2023-04-25,Starlink,Space Exploration Technologies Corp.,偏远地区用户,空间行业报告,https://www.spacex.com,,
大城市公共Wi-Fi网络,无线通信系统,开放网络,Ruckus Networks,2023-08-06,CommScope,CommScope Holding Company,公众,城市规划审核报告,https://www.commscope.com,,
自动驾驶交通通信系统,车联网,DSRC,福特汽车公司,2023-07-14,Ford,福特汽车公司,汽车制造商,汽车安全技术协会,https://www.ford.com,,
网格能源管理通信系统,能源通信,智能计量解決方案,施耐德电气,2023-01-13,Schneider Electric,施耐德电气公司,能源机构,能源行业分析,https://www.se.com,,
高效能数据中心网络,数据通信,超低延迟网络,亚马逊网络服务,2023-05-07,AWS,亚马逊公司,云服务用户,数据中心研究,https://aws.amazon.com,,
全球5G通信网络,移动通信系统,5G NR,诺基亚,2023-10-05,Nokia,诺基亚公司,普通用户与企业,5G技术展望,https://www.nokia.com,,
智能卫生健康监测系统,健康通信,可穿戴设备整合,Apple Inc.,2023-09-01,Apple,苹果公司,消费者及医疗行业,健康科技报告,https://www.apple.com,,
智能城市基础设施网络,智慧城市通信,IoT平台集成,西门子股份公司,2023-04-20,Siemens,西门子．,市政政府,智慧城市发展研究,https://www.siemens.com,,
超高速光纤网络,固定通信系统,100Gbps,电信运营公司,2023-02-18,电信运营公司,国有电信公司,企业用户,国家通信发展报告,https://www.telecom.com,,
全球电力监控通信网络,能源通信,动态数据传输,通用电气,2023-09-10,GE Power,通用电气公司,电力公司,能源行业技术发展,https://www.ge.com,,
全球海底数据传输网络,国际数据通信,ECTE海缆,马尔代夫电信,2022-11-25,MTL,马尔代夫电信有限公司,国际用户,国际电信数据中心,https://www.maldives.com,,
大数据分析传输系统,云计算通信,数据集成框架,谷歌云,2023-03-08,Google Cloud,谷歌公司,企业及开发者,云服务技术研究,https://cloud.google.com,,
智能家居控制网络,物联网系统,Smart Home Automation,小米科技,2023-01-15,小米,小米集团有限公司,家庭用户,市场分析报告,https://www.xiaomi.com,,
抗干扰卫星通信系统,卫星通信,抗干扰技术,欧洲航天局,2022-05-12,ESA,欧洲航天局,军事与政府机构,国防科技报告,https://www.esa.int,,
超低延迟网络,移动通信,Ultra-Low Latency,AT&T,2023-03-28,AT&T,AT&T Inc.,企业客户,通信行业分析,https://www.att.com,,
下一代Bluetooth网络,短距离通信,Bluetooth 5.1,蓝牙特别兴趣小组,2023-09-30,Bluetooth SIG,Bluetooth Special Interest Group,消费者电子,行业新闻,https://www.bluetooth.com,,
大规模MIMO系统,移动通信,Massive MIMO,Ericsson,2023-08-15,爱立信,爱立信有限公司,电信运营商,电信行业指南,https://www.ericsson.com,,
智能城市光纤网络,固定通信,FTTH,英国电信,2023-06-22,BT Group,British Telecommunications plc,城市居民,城市规划报告,https://www.bt.com,,
智能公共媒体网络,广播通信,超高清内容传输,索尼公司,2023-07-19,Sony,Sony Corporation,媒体行业,行业新闻发布,https://www.sony.com,,
德国智能电网通信系统,能源通信,Smart Grid Technology,西门子,2023-02-10,Siemens,Siemens AG,能源公司,能源科技文献,https://www.siemens.com,,
全球贸易区网络,跨国通信,Cross-Border Data Exchange,IBM,2022-11-25,IBM,International Business Machines Corporation,国际企业,全球商业报告,https://www.ibm.com,,
澳大利亚智能农村网络,固定无线通信,Fixed Wireless Access,NBN Co,2021-12-14,NBN,NBN Co Limited,农村用户,政府项目报告,https://www.nbnco.com.au,,
南美洲跨境光纤网络,国际通信,Submarine Fiber Optics,Grupo Telecomunicaciones,2022-04-05,Grupo,Grupo Telecomunicaciones S.A.,跨境贸易公司,南美洲电信机构,http://www.grupotelecom.com,,
虚拟现实通信网络,新型通信,VR Communication,Facebook Technologies,2023-08-20,Meta,"Meta Platforms, Inc.",内容创作者,社交媒体趋势报告,https://www.meta.com,,
车联网通信系统,智能交通,V2X通信,福特汽车,2021-10-16,Ford,Ford Motor Company,汽车用户,汽车科技期刊,https://www.ford.com,,
智能公共安全网络,城市安全,Smart Surveillance,Honeywell,2023-03-05,Honeywell,Honeywell International Inc.,城市管理者,公共安全研究,https://www.honeywell.com,,
高性能数据中心网络,数据中心通信,Data Center Interconnect,思科系统,2022-12-30,Cisco,"Cisco Systems, Inc.",大型企业,IT行业研究,https://www.cisco.com,,
国际数据交换网络,云服务,Data Exchange Protocol,Oracle公司,2023-04-01,Oracle,Oracle Corporation,全球商业机构,技术白皮书,https://www.oracle.com,,
区域性无线宽带网络,无线通信,Fixed Wireless Broadband,Verizon,2023-05-21,Verizon,Verizon Communications Inc.,乡村及偏远地区用户,电信市场分析,https://www.verizon.com,,
智能家居控制系统,物联网通信,Zigbee协议,小米科技,2023-08-12,小米,小米集团,家庭用户,智能家居研究报告,https://www.mi.com,,
城市5G基站部署网,移动通信系统,5G NR,中国联通,2023-02-26,中国联通,中国联通股份有限公司,城市居民,城市规划局,https://www.chinaunicom.com,,
智能农业管理系统,物联网通信,LPWAN,阿里巴巴集团,2023-03-15,阿里云,阿里巴巴网络技术有限公司,农业用户,农业技术期刊,https://www.alibabagroup.com,,
高效能车联网系统,车联网通信,LTE-V,华为公司,2023-10-10,华为,华为技术有限公司,汽车制造商,中国汽车工程研究院,https://www.huawei.com,,
北极卫星通信系统,卫星通信,Low Earth Orbit,星链公司,2022-11-30,SpaceX,SpaceX Technologies,海洋与边远地区用户,国际卫星管理局,https://www.spacex.com,,
智能电网控制系统,能源管理系统,GIS与云计算集成,国网江苏省电力公司,2023-01-12,国网公司,国家电网公司,电力用户,能源政策研究所,https://www.sgcc.com.cn,,
矿区无人机管控系统,无人机通信系统,5G+无人机,华为技术有限公司,2023-04-22,华为,华为技术有限公司,矿业公司,无人机行业协会,https://www.huawei.com,,
智慧医疗系统,医疗通信系统,远程监测与数据分析,腾讯医疗,2023-06-05,腾讯,腾讯科技有限公司,医疗机构,健康科技大会,https://www.tencent.com,,
西非海底光缆系统,长途通信系统,海底光纤,Orange S.A.,2021-10-10,Orange,Orange Group,区域用户,国际电信联盟,https://www.orange.com,,
中东地区超高速宽带,固定宽带系统,光纤接入,Etisalat,2022-08-01,Etisalat Group,Emirates Telecommunication Group,家庭及企业用户,阿联酋通信管理局,https://www.etisalat.com,,
智能物流追踪系统,物联网平台,RFID与GPS集成,顺丰速运,2023-03-22,顺丰,顺丰控股有限公司,物流公司,物流与运输研究,https://www.sf-express.com,,
超宽带无线通信系统,无线通信系统,UWB技术,索尼公司,2023-05-25,索尼,索尼集团,消费电子用户,技术革新大会,https://www.sony.com,,
德国高速列车通信网络,铁路通信系统,LTE-R,德国铁路公司,2022-07-15,德铁,Deutsche Bahn AG,铁路运输用户,德国交通部,https://www.deutschebahn.com,,
智能校园网络系统,教育通信系统,双频无线,天翼云,2023-09-10,中国电信,中国电信股份有限公司,教育机构,教育科技论坛,https://www.chinatelecom.com,,
瑞士量子加密通信系统,量子通信,量子密钥分发,IQM Quantum Computers,2023-09-20,IQM,IQM Quantum Computers Oy,金融服务机构,国际量子通信协会,https://www.iqm.com,,
俄罗斯SIP安全通信系统,安全通信系统,SIP协议,Ростелеком,2023-06-18,Ростелеком,Ростелеком ОАО,政府与企业用户,俄罗斯通信局,https://www.rostelecom.ru,,
智能医疗通信网络,医疗通信系统,IoMT（医疗物联网）,波士顿科学,2023-08-15,波士顿科学公司,Boston Scientific Corporation,医院与医疗机构,医疗技术杂志,https://www.bostonscientific.com,,
高清视频会议系统,实时通信系统,高分辨率流媒体,Zoom Video Communications,2023-10-01,Zoom,"Zoom Video Communications, Inc.",远程办公用户,市场研究报告,https://zoom.us/,,
全球高速互联网接入系统,Internet服务提供,全光纤网络,AT&T,2022-12-20,AT&T Inc.,AT&T Inc.,居民与企业,美国联邦通信委员会,https://www.att.com,,
无人机无线通讯系统,无人机通信,L5频段,DJI,2023-06-20,大疆科技,"DJI Technology Co., Ltd.",无人机操作者,无人机行业协会,https://www.dji.com,,
数字化增强现实平台,增强现实通信,AR互动体验,Niantic,2023-09-05,Niantic Inc.,"Niantic, Inc.",消费者与开发者,产业观察报告,https://nianticlabs.com,,
多模态传感网络,环境监测通信,传感器集成,英特尔,2023-06-25,英特尔公司,Intel Corporation,科研人员与环保机构,环境科学协会,https://www.intel.com,,
智慧农业通信网络,物联网系统,农业数据分析,巴斯夫,2023-03-18,巴斯夫农业解决方案,BASF SE,农民与农业技术公司,农业科技日报,https://www.basf.com,,
智能交通管理平台,交通控制系统,实时数据处理,IBM,2023-08-01,IBM Corporation,International Business Machines Corporation,城市管理机构,职业技术协会,https://www.ibm.com,,
智能电网通信系统,能源管理通信,智能计量,西门子,2023-01-22,Siemens AG,Siemens AG,能源公司,国际能源署,https://www.siemens.com,,
远程教育视频传输系统,教育通信,高清流媒体,Coursera,2023-05-10,Coursera Inc.,"Coursera, Inc.",学生与教师,教育整合平台,https://www.coursera.org,,
虚拟现实社交平台,虚拟现实系统通信,VR社交应用,Meta,2023-09-28,"Meta Platforms, Inc.","Meta Platforms, Inc.",虚拟现实用户,科技新闻,https://www.meta.com,,
智能建筑自动化系统,建筑通信,集中管理,施耐德电气,2023-07-15,Schneider Electric,Schneider Electric SE,建筑设计师与开发商,建筑科技期刊,https://www.se.com,,
5G小基站网络,移动通信系统,小基站,爱立信,2023-04-10,Ericsson,Ericsson AB,电信运营商,通信行业协会,https://www.ericsson.com,,
智能手机5G通信模块,移动通信设备,5G通讯芯片,高通,2023-02-22,Qualcomm,Qualcomm Incorporated,智能手机制造商,国际半导体行业协会,https://www.qualcomm.com,,
智能物流跟踪系统,物流管理通信,实时定位,阿里巴巴,2023-11-12,阿里巴巴集团,Alibaba Group,物流公司与供应链管理,物流与运输杂志,https://www.alibaba.com,,
智能家庭安全网络,家庭自动化系统,智能监控,Nest,2023-03-30,Google Nest,"Nest Labs, Inc.",家庭用户,家庭科技平台,https://nest.com,,
卫星遥感通信系统,空间通信,高分辨率图像,SpaceX,2023-09-10,SpaceX,Space Exploration Technologies Corp.,政府与研究机构,太空研究协会,https://www.spacex.com,,
智能家庭管理系统,家庭自动化系统,IoT家居,小米科技,2023-08-15,小米,小米集团,家庭用户,智能家居展览,https://www.mi.com,,
增强现实通信平台,通信系统,AR/VR集成,Facebook,2023-06-25,"Meta Platforms, Inc.",Meta公司,企业与开发者,行业技术新闻,https://www.meta.com,,
智能交通管理解决方案,智慧城市通信,数据分析平台,IBM,2023-04-10,IBM,国际商用机器公司,城市管理部门,智能交通论坛,https://www.ibm.com,,
低功耗广域网络,物联网通信,LPWAN,Semtech Corporation,2023-03-12,Semtech,Semtech Corporation,开发者与企业,物联网技术大会,https://www.semtech.com,,
移动边缘计算平台,云计算系统,Multi-access Edge Computing,华为技术有限公司,2023-09-10,华为,华为技术有限公司,电信运营商,通信产业论坛,https://www.huawei.com,,
卫星互联网系统,卫星通信,全球覆盖,SpaceX,2023-07-20,Starlink,SpaceX公司,偏远地区用户,太空技术报告,https://www.spacex.com,,
量子互联网架构,量子通信,量子节点网络,美国量子实验室,2023-10-05,美国量子实验室,美国量子实验室股份有限公司,科研机构,量子科技峰会,https://www.quantum.com,,
6G无线通信网络,移动通信系统,第六代移动通信,韩国电信,2023-11-01,KT Corporation,KT Corporation,全球用户,移动通信研发会议,https://www.kt.com,,
机器人通信标准化协议,工业通信,RCS协议,ABB公司,2023-07-30,ABB,ABB有限公司,工业制造,工业自动化博览会,https://global.abb,,
智能电网通信技术,能源通信系统,电力数据交换,Siemens,2023-09-25,西门子,西门子股份公司,能源公司,清洁能源论坛,https://www.siemens.com,,
数字双胞胎通信架构,工业物联网,数字化转型技术,GE Digital,2023-08-05,GE,通用电气公司,制造业,科技创新研讨会,https://www.ge.com,,
智能健康监测网络,医疗通信系统,健康数据分析,Philips,2023-06-12,飞利浦,飞利浦公司,医疗机构,医疗科技展,https://www.philips.com,,
自动驾驶通信系统,智慧交通,V2X通信,特斯拉,2023-09-18,"Tesla, Inc.",特斯拉公司,汽车制造商,汽车技术博览会,https://www.tesla.com,,
全球导览通信系统,移动通信,多语言翻译服务,Google,2023-05-15,Alphabet Inc.,谷歌公司,国际用户,技术新闻网站,https://www.google.com,,
5G网络优化解决方案,无线通信,网络性能提升,诺基亚,2023-08-28,Nokia,诺基亚公司,移动运营商,移动技术会议,https://www.nokia.com,,
分布式账本通信系统,区块链通信,去中心化网络,ConsenSys,2023-03-30,ConsenSys,ConsenSys Inc.,金融科技公司,区块链技术论坛,https://consensys.net,,
国家网络安全防护系统,安全通信系统,综合防护,诺顿,2023-09-30,Symantec,诺顿生命公司,政府机构,网络安全会议,https://www.broadcom.com/company/newsroom/press-releases?filtr=Symantec,,
智能农业监测系统,物联网通信,传感器数据采集,乐农科技,2023-06-15,乐农科技,乐农科技股份有限公司,农业用户,农业科技展览,https://www.agritech.com,,
智能家居控制系统,智能家居,Zigbee协议,小米科技,2023-06-27,小米,小米科技有限公司,家庭用户,智能家居市场报告,https://www.mi.com,,
高频无线电通信系统,无线通信,超高频频率,波音公司,2023-02-10,波音,波音公司,军事与政府,航空航天技术期刊,https://www.boeing.com,,
星际卫星网络,卫星通信,星间链路,SpaceX,2023-08-20,SpaceX,Space Exploration Technologies Corp,全球用户,卫星技术展览,https://www.spacex.com,,
城市公共Wi-Fi系统,无线通信,开放频段,思科系统公司,2023-03-15,思科,思科系统有限公司,市民,城市数字化转型报告,https://www.cisco.com,,
动态运输监控系统,智能交通,实时数据处理,推特科技,2023-07-05,推特,推特科技有限公司,运输公司,交通运输技术期刊,https://www.twitter.com,,
智能医疗数据传输系统,医疗通信,HIPAA合规性,西门子医疗,2023-04-12,西门子,西门子医疗设备有限公司,医疗机构,医疗信息技术大会,https://www.siemens.com,,
西欧5G网络,移动通信系统,5G NR,德国电信,2022-08-30,德意志电信,德意志电信公司,普通用户,欧洲电信网络局,https://www.telekom.com,,
低轨卫星互联网系统,卫星通信,全球覆盖,OneWeb,2023-01-18,OneWeb,OneWeb Limited,偏远地区服务问题,卫星网络论坛,https://www.oneweb.world,,
智慧校园网络系统,校园网,多协议标签交换,华为技术有限公司,2023-05-22,华为,华为技术有限公司,教育机构,教育科技大会,https://www.huawei.com,,
新型超宽带通信系统,无线通信,UWB,英特尔公司,2023-09-01,英特尔,英特尔公司,消费电子,电子技术展览,https://www.intel.com,,
全球AIS追踪系统,海洋通信,自动识别系统,海事交通服务,2022-12-12,海事交通,海事交通股份有限公司,航运业,国际海事组织,https://www.imo.org,,
绿色数据中心网络,数据中心,节能方案,亚马逊网络服务,2023-11-10,AWS,亚马逊数据服务有限公司,企业用户,可持续发展技术博览会,https://aws.amazon.com,,
虚拟现实通信平台,虚拟现实,多用户互动,Oculus VR,2023-09-29,Oculus,Oculus VR公司,娱乐用户,虚拟现实博览会,https://www.oculus.com,,
边缘计算安全解决方案,云计算,数据隐私保护,IBM,2023-10-05,IBM,国际商业机器公司,企业客户,信息技术研究所,https://www.ibm.com,,
华东地区光纤网络,固体通信,光纤传输,中国联通,2023-02-22,中国联通,中国联合网络通信有限公司,普通用户,中国信息通信研究院,https://www.chinaunicom.com,,
智慧电网通信系统,能源通信,智能计量,国家电网公司,2023-04-28,国家电网,国家电网公司,电力用户,电力行业大会,https://www.sgcc.com.cn,,
智能家居系统,物联网通信,智能家居联网,小米科技,2023-08-01,小米,小米科技有限责任公司,家庭用户,行业分析报告,https://www.mi.com,,
智能电网通信系统,能源通信,智能电网架构,国家电网股份有限公司,2023-06-15,国家电网,国家电网公司,企业与政府,电力行业协会,https://www.sgcc.com.cn,,
5G医疗网络,医疗通信,5G NR,华为技术有限公司,2023-08-25,华为,华为技术有限公司,医疗机构,医疗技术期刊,https://www.huawei.com,,
气象数据传输网络,环境监控系统,气象数据传输,IBM中国,2023-09-10,IBM,IBM国际商业机器公司,气象研究机构,科学探索平台,https://www.ibm.com,,
城市公交通信系统,城市交通网络,实时公交信息系统,易点科技,2023-04-20,易点,易点科技有限公司,城市居民,城市交通局, https://www.yidian.com,,
氢燃料电池通讯系统,能源通信,氢能源监控,丰田汽车公司,2023-02-05,丰田,丰田汽车有限公司,汽车制造商,能源与环境期刊,https://www.toyota-global.com,,
卫星互联网接入系统,卫星通信,LEO卫星互联网,Starlink,2023-07-14,SpaceX,Space Exploration Technologies Corp.,偏远地区用户,航天新闻网,https://www.spacex.com,,
农业物联网解决方案,农业通信,精准农业,农业信息技术公司,2023-01-30,农业科技,农业信息技术有限公司,农民与农业企业,农业科学研究所,https://www.agriculture.com,,
无人机通信网络,无人机技术,实时数据传输,DJI大疆,2023-03-15,DJI,大疆创新科技有限公司,无人机操作者,无人机产业协会,https://www.dji.com,,
多媒体网络服务,网络媒体,直播与点播系统,莫比乌斯技术,2023-05-12,莫比乌斯,莫比乌斯技术有限公司,个人及企业内容创作者,媒体技术发展报告,https://www.mobius.com,,
区块链通信平台,信息安全,去中心化网络,Hyperledger,2023-06-18,Linux基金会,Linux Foundation,企业用户,区块链技术杂志,https://www.hyperledger.org,,
AI语音助手网络,智能通信,自然语言处理,亚马逊,2023-08-20,亚马逊网络服务,亚马逊公司,普通消费者,科技发展报告,https://www.amazon.com,,
车联网服务平台,智能车联网络,V2X通信,特斯拉,2023-02-24,特斯拉,特斯拉公司,车主与汽车制造商,汽车技术期刊,https://www.tesla.com,,
虚拟现实通信平台,虚拟现实,高交互性,Meta公司,2023-08-15,Meta,"Meta Platforms, Inc.",游戏及教育用户,虚拟现实技术论坛,https://www.meta.com,,
智能零售系统,商业通信,智能支付与库存管理,阿里巴巴,2023-07-22,阿里巴巴集团,阿里巴巴集团控股有限公司,零售商,商业技术观察,https://www.alibaba.com,,
实时交通分析系统,城市规划,交通流量监测,城市规划研究所,2023-05-05,城市规划,城市研究与开发有限公司,地方政府,城市交通发展报告,https://www.cityplanning.com,,
远程教育通信系统,教育技术,在线学习平台,Coursera,2023-06-30,Coursera Inc.,Coursera公司,学生与教育机构,教育科技期刊,https://www.coursera.org,,
智能医疗监测系统,医疗通信系统,远程健康监控,平安科技,2023-08-15,平安科技,平安保险股份有限公司,医疗机构及患者,医学技术信息网,https://www.pingan.com,,
绿色智能电网,能源通信系统,智能计量,国网电力公司,2023-10-01,国家电网,国家电网公司,城市用户,电力行业协会,https://www.sgcc.com.cn,,
新一代海洋通信系统,水下通信系统,水声信号处理,中海油,2023-09-20,中国海洋石油总公司,中海油能源发展股份有限公司,海洋研究机构,海洋科技发展研究院,https://www.cnooc.com,,
智能车载通信系统,车联网系统,V2X通信,百度智能交通,2023-06-10,百度,百度在线网络技术（北京）有限公司,汽车制造商,智能交通协会,https://www.baidu.com,,
增强现实通信平台,虚拟现实系统,AR/VR交互,索尼科技,2023-11-05,索尼,索尼公司,游戏开发者,技术趋势报告,https://www.sony.com,,
城市大数据集成平台,数据通信系统,数据采集与分析,IBM,2023-02-14,IBM,国际商业机器公司,政府与企业,数据科技中心,https://www.ibm.com,,
5G智能农业系统,农业通信系统,传感器网络,中国农业科技集团,2023-03-22,农业科技集团,中国农业科技集团有限公司,农业从业者,农业技术论坛,https://www.cngroup.com,,
城市智能感知系统,智慧城市通信,环境监测,京东技术,2023-01-11,京东科技,京东集团,政府与企业,城市发展研究院,https://www.jd.com,,
