基础结构（字符型）,上行带宽（字符型）,下行带宽（字符型）,抗氢老化稳定性（字符型）,采集来源,来源链接,采集时间,备注
超宽带接入,300 Mbps,1 Gbps,高,亚洲开发银行,https://www.adb.org,,
双频网关,200 Mbps,1.9 Gbps,中,TP-Link,https://www.tp-link.com,,
新一代光纤通信,2 Gbps,20 Gbps,高,诺基亚,https://www.nokia.com,,
光纤到户（FTTH）,1 Gbps,2 Gbps,高,中国电信,https://www.chinatelecom.com.cn,,
超级光纤,10 Mbps,100 Mbps,中,百度研究院,https://research.baidu.com,,
Wi-Fi 6E,1.2 Gbps,9.6 Gbps,高,小米科技,https://www.mi.com,,
5G固定无线接入,300 Mbps,1 Gbps,中,中国联通,https://www.chinaunicom.com,,
5G NR,200 Mbps,1.5 Gbps,高,中兴通讯,https://www.zte.com.cn,,
光纤微波,50 Mbps,250 Mbps,中,中国广电,https://www.cgtv.cn,,
卫星宽带,25 Mbps,600 Mbps,低,OneWeb,https://www.oneweb.world,,
信号增强技术,100 Mbps,500 Mbps,高,迅雷科技,https://www.xunlei.com,,
LPWAN,1 Mbps,3 Mbps,中,物联网联盟,https://www.iotalliance.org,,
光纤信号处理技术,500 Mbps,2 Gbps,高,清华大学,https://www.tsinghua.edu.cn,,
短距离无线网络,70 Mbps,200 Mbps,中,Wi-Fi Alliance,https://www.wi-fi.org,,
多址接入技术,150 Mbps,600 Mbps,中,中科院,https://www.cas.cn,,
远程连接技术,80 Mbps,400 Mbps,高,保千里,https://www.bql.com,,
边缘计算网络,150 Mbps,750 Mbps,高,阿里云,https://www.aliyun.com,,
低延迟网络,100 Mbps,500 Mbps,中,华为技术,https://www.huawei.com,,
Ultra-Wideband(UWB),1 Mbps,4 Mbps,中,英特尔,https://www.intel.com,,
量子通信,特定,特定,高,中国科学院,https://www.cas.cn,,
光纤到户（FTTH）,1 Gbps,10 Gbps,高,中国电信,https://www.chinatelecom.com.cn,,
窄带物联网（NB-IoT）,250 Kbps,250 Kbps,中,工信部,https://www.miit.gov.cn,,
以太网接入,10 Gbps,10 Gbps,高,佳能,https://www.canon.com,,
FWA (固定无线接入),50 Mbps,200 Mbps,中,爱立信,https://www.ericsson.com,,
超宽带 (UWB),500 Mbps,1 Gbps,高,中兴通讯,https://www.zte.com.cn,,
光纤到达接入 (FTTDP),100 Mbps,500 Mbps,中,剑桥大学,https://www.cam.ac.uk,,
5G NR,200 Mbps,1 Gbps,高,高通公司,https://www.qualcomm.com,,
SD-WAN,30 Mbps,500 Mbps,中,思科系统,https://www.cisco.com,,
PON网络 (无源光网络),1 Gbps,2.5 Gbps,高,联通技术,https://www.chinaunicom.com/,,
室内覆盖网络 (DAS),72 Mbps,300 Mbps,中,三大运营商,https://www.3gd.net,,
光纤复用,400 Mbps,1.5 Gbps,高,日本电信,https://www.ntt.com,,
移动边缘计算 (MEC),300 Mbps,800 Mbps,高,华为技术,https://www.huawei.com,,
VDSL2,50 Mbps,150 Mbps,中,江苏省科技厅,http://www.jst.gov.cn,,
卫星宽带接入,15 Mbps,300 Mbps,中,欧洲航天局,https://www.esa.int,,
直连互联网,100 Mbps,1 Gbps,高,谷歌云,https://cloud.google.com,,
传统电路交换,64 Kbps,64 Kbps,低,IBM,https://www.ibm.com,,
Wi-Fi 7,4.8 Gbps,46 Gbps,高,CNET,https://www.cnet.com,,
高频段研究,2 Gbps,10 Gbps,高,清华大学,https://www.tsinghua.edu.cn/,,
光纤到户（FTTH）,1 Gbps,2 Gbps,高,中国电信,https://www.chinatelecom.com.cn/,,
无线局域网（WLAN）,500 Mbps,2 Gbps,中,Wi-Fi Alliance,https://www.wi-fi.org/,,
光纤到办公室（FTTO）,200 Mbps,800 Mbps,高,普华永道,https://www.pwc.com,,
光纤网络互连（FON）,600 Mbps,2.5 Gbps,高,中兴通信,https://www.zte.com.cn/,,
4G LTE网络,50 Mbps,150 Mbps,中,中国移动,https://www.chinamobileltd.com/,,
固定无线接入（FWA）,30 Mbps,100 Mbps,中,美国科学院,https://www.nas.edu/,,
以太网接入,10 Gbps,10 Gbps,高,IEEE Communications Society,https://www.comsoc.org/,,
动态光纤网络（DFN）,400 Mbps,1.5 Gbps,高,电信技术协会,https://www.etsi.org/,,
微波通信,100 Mbps,300 Mbps,中,国家广播电视总局,http://www.nrta.gov.cn/,,
调制解调器（Modem）,20 Mbps,150 Mbps,中,瑞萨电子,https://www.renesas.com/,,
量子通信网络,特定,特定,高,中国科学院,https://www.cas.cn/,,
蓝牙5.0,2 Mbps,2 Mbps,低,蓝牙特别兴趣小组,https://www.bluetooth.com/,,
DMR无线网络,30 Mbps,120 Mbps,中,中国战略信息与通信研究中心,https://www.citic.org/,,
环境光通信,50 Mbps,200 Mbps,高,广东省通信管理局,http://www.gdca.gov.cn/,,
边缘计算网络,2 Gbps,5 Gbps,中,新加坡科技局,https://www.sstc.gov.sg/,,
私人5G网络,100 Mbps,500 Mbps,高,华为技术,https://www.huawei.com/,,
极微波脉冲通信,5 Mbps,25 Mbps,低,中国信息通信研究院,http://www.caiw.com.cn/,,
载波聚合技术,80 Mbps,400 Mbps,高,AT&T,https://www.att.com/,,
光纤到户（FTTH）,1 Gbps,1 Gbps,高,中国电信,https://www.chinatelecom.com.cn,,
混合光纤同轴（HFC）,60 Mbps,800 Mbps,中,美国有线电视协会,https://www.ncta.com,,
4G LTE网络,50 Mbps,300 Mbps,中,深圳移动,https://www.shenzhenmobile.com,,
毫米波（mmWave）,200 Mbps,1.2 Gbps,高,华为技术,https://www.huawei.com,,
超宽带无线接入,1.5 Gbps,8 Gbps,高,IEEE标准委员会,https://www.ieee.org,,
光纤通道接入,500 Mbps,1 Gbps,高,国际光纤协会,https://www.ofcconference.org,,
Wi-Fi 7,10 Gbps,46 Gbps,中,TP-Link,https://www.tp-link.com,,
卫星光纤连接,25 Mbps,200 Mbps,中,OneWeb,https://www.oneweb.world,,
PON网络,60 Mbps,1 Gbps,高,阿里巴巴集团,https://www.alibaba.com,,
数字用户线（ADSL2+）,1 Mbps,24 Mbps,中,中国联通,https://www.chinaunicom.com,,
长距离无线网络,5 Mbps,50 Mbps,中,高通,https://www.qualcomm.com,,
Zigbee网络,250 Kbps,250 Kbps,高,Zigbee联盟,https://zigbeealliance.org,,
蓝牙5.0,2 Mbps,2 Mbps,高,蓝牙特别利益集团,https://www.bluetooth.com,,
多频段无线电,100 Mbps,600 Mbps,中,国际电信联盟,https://www.itu.int,,
802.11ax（Wi-Fi 6E）,1.5 Gbps,9.6 Gbps,中,高通,https://www.qualcomm.com,,
超声波互联网接入,200 Mbps,1.5 Gbps,高,未来科技公司,https://www.futuristictech.com,,
边缘计算网络,50 Mbps,500 Mbps,高,云计算观察,https://www.cloudcomputingobserver.com,,
车联网 (V2X),10 Mbps,100 Mbps,中,智能交通协会,https://www.smarttransportation.org,,
第三代无线网络（3G）,5 Mbps,21 Mbps,中,国际移动通信联合会,https://www.3gpp.org,,
XDSL,30 Mbps,150 Mbps,中,中国电信,https://www.chinatelecom.com.cn,,
光纤到户（FTTH）,1 Gbps,2 Gbps,高,联通研究院,http://www.chinaunicom.com,,
Cable Modem,70 Mbps,300 Mbps,中,CableLabs,https://www.cablelabs.com,,
5G固定无线接入,100 Mbps,500 Mbps,高,中国燕东科技,https://www.ketangfang.com,,
XG-PON,10 Gbps,10 Gbps,高,ITU,https://www.itu.int,,
Wi-Fi 6E,2 Gbps,10 Gbps,中,Broadband Forum,https://www.broadband-forum.org,,
Passive Optical Network (PON),1 Gbps,4 Gbps,高,IEEE Communications Society,https://www.comsoc.org,,
移动宽带接入,80 Mbps,300 Mbps,中,OpenSignal,https://www.opensignal.com,,
WiGig,1 Gbps,7 Gbps,高,Wireless Gigabit Alliance,https://www.wigig.org,,
固定无线接入,50 Mbps,150 Mbps,中,FTTH Council,https://www.ftthcouncil.eu,,
VDSL2,20 Mbps,150 Mbps,中,ITU-T,https://www.itu.int/en/ITU-T,,
前向纠错（FEC）,300 Mbps,1 Gbps,高,ITU-R,https://www.itu.int/en/ITU-R,,
星际宽带,200 Mbps,1.5 Gbps,中,NASA,https://www.nasa.gov,,
LPWAN,10 Kbps,90 Kbps,高,LoRa Alliance,https://www.lora-alliance.org,,
高频通信调制,150 Mbps,600 Mbps,中,IEEE Spectrum,https://spectrum.ieee.org,,
边缘计算连接,200 Mbps,1 Gbps,高,Gartner,https://www.gartner.com,,
低地球轨道卫星宽带,40 Mbps,500 Mbps,中,Blue Origin,https://www.blueorigin.com,,
光纤到户（FTTH）,300 Mbps,1 Gbps,高,中兴通讯,https://www.zte.com.cn,,
AON光纤接入,150 Mbps,500 Mbps,高,华为技术,https://www.huawei.com,,
毫米波5G,260 Mbps,2 Gbps,中,高通,https://www.qualcomm.com,,
IPTV网络,25 Mbps,150 Mbps,低,中国电信,https://www.chinatelecom.com.cn,,
双通道光纤,500 Mbps,1 Gbps,高,达索系统,https://www.3ds.com,,
Optical LAN,10 Mbps,100 Mbps,中,美国光纤网络,https://www.usa-fiber.com,,
光缆接入网,150 Mbps,600 Mbps,高,阿里云,https://www.aliyun.com,,
宽带无线接入,30 Mbps,150 Mbps,低,中国联通,https://www.chinaunicom.com/,,
家用卫星互联网,25 Mbps,300 Mbps,中,Viasat,https://www.viasat.com,,
下一代数字用户线（G.fast）,500 Mbps,1 Gbps,高,Intel,https://www.intel.com,,
以太网点对点,600 Mbps,1 Gbps,高,星网锐捷,https://www.usr.cn,,
4G LTE,40 Mbps,150 Mbps,中,中国移动,https://www.chinamobileltd.com/,,
光纤入户,200 Mbps,800 Mbps,高,松下电器,https://www.panasonic.com,,
先进的光纤接入,350 Mbps,1.5 Gbps,高,Fujitsu,https://www.fujitsu.com,,
无源光纤网络（PON）,100 Mbps,1 Gbps,高,日本电气公司,https://www.nec.com,,
光纤到楼（FTTB）,75 Mbps,300 Mbps,中,KT Corporation,https://www.kt.com,,
城市数字网络,100 Mbps,500 Mbps,低,Orange SA,https://www.orange.com,,
集成光纤系统,450 Mbps,2 Gbps,高,Broadcom,https://www.broadcom.com,,
光纤接入网络 (FTTH),1 Gbps,1 Gbps,高,中国电信,https://www.chinatelecom.com.cn/,,
宽带无线接入 (WLL),30 Mbps,150 Mbps,中,中兴通讯,https://www.zte.com.cn/,,
光纤到户 (FTTH),500 Mbps,1 Gbps,高,华为技术,https://www.huawei.com,,
光纤出口接入 (FOD),100 Mbps,800 Mbps,高,Netflix技术团队,https://www.netflix.com,,
可移动宽带,10 Mbps,50 Mbps,中,联通移动,https://www.chinamobileltd.com/,,
空间光通信,特定,特定,高,清华大学,https://www.tsinghua.edu.cn/,,
家庭无线网 (Wi-Fi 6),900 Mbps,9.6 Gbps,高,TP-Link,https://www.tp-link.com/,,
相干光通信,2 Gbps,2 Gbps,高,上海交通大学,https://www.sjtu.edu.cn/,,
LoRaWAN,1 Mbps,1 Mbps,低,阿里巴巴,https://www.alibaba.com/,,
全局卫星互联网,50 Mbps,300 Mbps,中,OneWeb,https://www.oneweb.world/,,
多传输技术 (MPT),100 Mbps,700 Mbps,高,中兴通讯,https://www.zte.com.cn/,,
长距离无线电,5 Mbps,20 Mbps,中,数字通信发展协会,https://www.dcia.org/,,
量子通信,特定,特定,高,中国科学院,https://www.cas.cn/,,
NB-IoT,20 Kbps,100 Kbps,低,瑞士电信,https://www.swisscom.ch/,,
光纤到达 (FTTB),200 Mbps,500 Mbps,高,Facebook科技,https://www.facebook.com/,,
局域网 (LAN),10 Gbps,10 Gbps,中,英特尔,https://www.intel.com/,,
超宽带 (UWB),2 Gbps,2 Gbps,中,高通,https://www.qualcomm.com/,,
光纤综合接入,500 Mbps,2 Gbps,高,中国电信,https://www.chinatelecom.com.cn/,,
4G LTE网络,50 Mbps,300 Mbps,中,中国联通,https://www.chinaunicom.com/,,
光纤到户 (FTTH),1 Gbps,1 Gbps,高,华为技术,https://www.huawei.com,,
移动边缘计算 (MEC),150 Mbps,850 Mbps,高,阿里云,https://www.aliyun.com,,
Wi-Fi 6E,1.2 Gbps,9.6 Gbps,中,IT之家,https://www.ithome.com/,,
宽带无线电,15 Mbps,100 Mbps,低,中国广电,https://www.cgtn.com/,,
Li-Fi通信,500 Mbps,1 Gbps,高,清华大学,https://www.tsinghua.edu.cn/,,
毫米波通信,200 Mbps,1.5 Gbps,中,深圳大学,https://www.szu.edu.cn/,,
XGS-PON技术,10 Gbps,10 Gbps,高,Fiber Optic Association,https://www.foa.org,,
光基通信技术,3 Gbps,5 Gbps,中,中科院,https://www.cas.cn/,,
量子网络,特定,特定,高,北京大学,https://www.pku.edu.cn/,,
SD-WAN,100 Mbps,600 Mbps,中,中兴通讯,https://www.zte.com.cn/,,
星际通信,1 Mbps,50 Mbps,低,NASA,https://www.nasa.gov/,,
红外透视通信,25 Mbps,120 Mbps,低,乌鲁木齐大学,https://www.uq.edu.cn/,,
量子点光通信,2 Gbps,2 Gbps,高,复旦大学,https://www.fudan.edu.cn/,,
以太网接入（千兆）,1 Gbps,10 Gbps,高,国际电信联盟,https://www.itu.int/,,
智能家居接入,50 Mbps,300 Mbps,中,小米科技,https://www.mi.com/,,
虚拟现实科技,200 Mbps,1 Gbps,高,网易游戏,https://game.163.com/,,
光纤到户 (FTTH),300 Mbps,1 Gbps,高,中国电信,https://www.chinatelecom.com.cn,,
4G LTE,50 Mbps,200 Mbps,中,中国联通,https://www.chinaunicom.com/,,
毫米波 5G,200 Mbps,2 Gbps,高,美国高通公司,https://www.qualcomm.com,,
光纤分布网络 (DAS),100 Mbps,800 Mbps,中,中兴通讯,https://www.zte.com.cn,,
极化光通信,50 Mbps,100 Mbps,高,清华大学,https://www.tsinghua.edu.cn/,,
DSL技术,25 Mbps,75 Mbps,中,搜狐科技,https://www.sohu.com/,,
光纤通道 (FC),1 Gbps,16 Gbps,高,亚马逊网页服务,https://aws.amazon.com/,,
洪流光网络,10 Gbps,40 Gbps,高,MIT媒体实验室,https://media.mit.edu/,,
城市无线网络,70 Mbps,300 Mbps,中,深圳科技局,http://www.sz.gov.cn/,,
超高频 5G,400 Mbps,2.5 Gbps,高,多米尼克电信,https://www.dominica.gov.dm/,,
次世代宽带网络,300 Mbps,3.5 Gbps,高,国际电信联盟,https://www.itu.int/,,
量子通信,不可测,不可测,高,中国科技大学,https://www.ustc.edu.cn/,,
Wi-Fi 7,2 Gbps,30 Gbps,高,IEEE,https://www.ieee.org/,,
低轨卫星网络,50 Mbps,600 Mbps,中,OneWeb,https://www.oneweb.world/,,
IPv6网络,1 Gbps,10 Gbps,高,Cisco,https://www.cisco.com/,,
边缘计算网络,250 Mbps,1 Gbps,高,华为云,https://www.huaweicloud.com/,,
超宽带网络（UWB）,500 Mbps,5 Gbps,高,三星电子,https://www.samsung.com/,,
智能城市网络,150 Mbps,1.5 Gbps,中,阿里巴巴集团,https://www.alibabagroup.com/,,
光纤到户 (FTTH),500 Mbps,1 Gbps,高,中国电信,https://www.chinatelecom.com.cn/,,
Wi-Fi 6E,1.2 Gbps,9.6 Gbps,中,小米科技,https://www.mi.com/,,
光纤通道网络 (FC),16 Gbps,16 Gbps,高,存储服务协会,https://www.snia.org/,,
移动光网,100 Mbps,800 Mbps,中,中国移动研究院,https://www.chinamobileltd.com/,,
合作光纤网络,300 Mbps,600 Mbps,高,区域通讯赋能中心,https://www.ruralconnect.org/,,
千兆无线路由,800 Mbps,1 Gbps,中,TP-LINK,https://www.tp-link.com/,,
毫米波通信,1.5 Gbps,5 Gbps,高,高通科技,https://www.qualcomm.com/,,
DSL网络,30 Mbps,100 Mbps,中,世纪互联,https://www.centurylink.com/,,
超级光纤网络,1 Gbps,10 Gbps,高,视源股份,https://www.cvte.com/,,
光纤分布式接入,400 Mbps,1.2 Gbps,中,中兴通讯,https://www.zte.com.cn/,,
微波通信,200 Mbps,500 Mbps,低,中山大学,https://www.sysu.edu.cn/,,
双面天线集成,150 Mbps,700 Mbps,中,同方威视,https://www.tongfang.com/,,
4G LTE网络,50 Mbps,300 Mbps,中,电信运营商,https://www.ctt.cn/,,
卫星宽带,30 Mbps,1 Gbps,高,Inmarsat,https://www.inmarsat.com/,,
企业专线,2 Gbps,2 Gbps,高,中国联通市场部,https://www.chinaunicom.com/,,
多接入边缘计算 (MEC),1 Gbps,3 Gbps,高,云计算技术协会,https://www.cloudcomputingassn.org/,,
车联网基础设施,200 Mbps,600 Mbps,中,车联网技术联盟,https://www.vehicle-network.com/,,
全光网,1 Gbps,10 Gbps,高,光电子技术研究院,https://www.optoelectronics.org/,,
量子通信,未定,未定,高,北京量子研究所,https://www.bqi.ac.cn/,,
光纤到户（FTTH）,1 Gbps,10 Gbps,高,中国电信,https://www.chinatelecom.com.cn,,
宽带无线接入（WIMAX）,30 Mbps,100 Mbps,中,中国网通,http://www.chinanet.com.cn,,
5G NR技术,250 Mbps,1.2 Gbps,高,全球移动通信系统协会 (GSMA),https://www.gsma.com,,
