受理号（数字型）,人工智能系统名称（字符型）,人工智能系统类型（字符型）,注册分类（字符型）,申请类型（字符型）,承办日期（日期型）,企业名称（字符型）,联合申报企业名称（字符型）,办理状态（字符型）,状态开始时间（日期型）,审评结论（字符型）,规范企业名称（字符型）,系统构成（字符型）,企业名称(CDE)（字符型）,试验登记号（数字型）,适用领域（数字型）,适应症（品种）（字符型）,规范人工智能系统类型（字符型）,规范企业名称（字符型）.1,注册版本（字符型）,采集来源,来源链接,采集时间,备注
Shaanxi-HuaZhong-20241031 S0014,智慧城市管理平台,城市管理,社区服务,社区服务,2023-10-10,中兴,同济大学,招募中,2023-10-15,待审,中兴城市科技,城市数据分析、解决方案提供,中兴,Shaanxi-HuaZhong-20241031 S0014,其他,城市规划、资源分配,增强人工智能系统,中兴城市科技,V1.0,Smart City Journal,https://www.smartcityjournal.com,2024-10-11,
Guangxi-ShengXing-20241101 S0015,个性化健身指导系统,健康管理,健身技术,健身技术,2023-09-20,FitTech,北京体育大学,招募中,2023-09-25,合格,FitTech健康,运动建议、健康追踪,FitTech,Guangxi-ShengXing-20241101 S0015,其他,健康管理、体型塑造,具备意识人工智能系统,FitTech健康,V1.0,HealthTech Weekly,https://www.healthtechweekly.com,2024-10-11,
Yunnan-ZhiHui-20241102 S0016,智能健康监测平台,医疗健康,健康科技,健康科技,2023-07-12,阿里健康,南京医科大学,招募中,2023-07-15,待审,阿里健康科技,穿戴设备数据集成与分析,阿里健康,Yunnan-ZhiHui-20241102 S0016,其他,慢性病监测、健康管理,超级智能系统,阿里健康科技,V1.0,HealthTech Times,https://www.healthtechtimes.com,2024-10-11,
Fujian-SuShi-20241103 S0017,智能法律助手,法律服务,法律工具,法律工具,2023-08-05,法颖科技,中国政法大学,已完成,2023-08-10,合格,法颖科技,法律文书自动生成与分析,法颖科技,Fujian-SuShi-20241103 S0017,其他,合同审核、案例分析,人类协作人工智能系统,法颖科技,V1.0,LegalTech Journal,https://www.legaltechjournal.com,2024-10-11,
Hunan-JingZhi-20241104 S0018,精准生产管理系统,制造业,生产调度,生产调度,2023-06-15,华为,清华大学,招募中,2023-06-20,待审,华为技术,生产线监控与优化算法,华为,Hunan-JingZhi-20241104 S0018,其他,生产效率提升、故障预警,目标导向人工智能系统,华为技术,V2.0,Manufacturing Insights,https://www.manufacturinginsights.com,2024-10-11,
Jilin-QingKe-20241105 S0019,智慧城市管理平台,城市管理,城市服务,城市服务,2023-05-01,北京市城市规划院,北京大学,已完成,2023-05-05,合格,北京市城市智慧,城市数据集成与分析,北京市城市规划院,Jilin-QingKe-20241105 S0019,其他,城市交通、环境监测,领域专精人工智能系统,北京市城市智慧,V1.0,Urban Management Review,https://www.urbanmanagementreview.com,2024-10-11,
Ningxia-JiZhi-20241106 S0020,自动化仓储系统,物流管理,物流工具,物流工具,2023-08-20,京东物流,清华大学,招募中,2023-08-25,待审,京东智能物流,库存管理与自动化调度,京东物流,Ningxia-JiZhi-20241106 S0020,其他,货物追踪、自动分拣,跨领域智能系统,京东智能物流,V1.0,Logistics Tech News,https://www logisticstechnews.com,2024-10-11,
Sichuan-XinTian-20241020 S0002,个性化医疗决策系统,医疗健康,决策支持,决策支持,2023-09-10,平安好医生,哈尔滨医科大学,已完成,2023-09-15,合格,平安医疗科技,基于数据分析的治疗建议,平安好医生,Sichuan-XinTian-20241020 S0002,其他,个体化治疗、慢性病管理,自主学习人工智能系统,平安医疗科技,V2.0,Medical AI Updates,https://www.medicalaiupdates.com,2024-10-11,
Guangdong-HuaWei-20241019 S0003,教育智能评估系统,教育行业,教育工具,教育工具,2023-07-30,百度教育,南京师范大学,招募中,2023-08-05,待审,百度教育科技,学习进度监测与评估工具,百度教育,Guangdong-HuaWei-20241019 S0003,其他,学习效果评估、个性化学习,自适应智能系统,百度教育科技,V1.0,Education Tech Digest,https://www.educationtechdigest.com,2024-10-11,
Zhejiang-BaiDu-20241021 S0004,在线健康咨询系统,医疗健康,咨询服务,咨询服务,2023-10-01,腾讯健康,复旦大学,已完成,2023-10-07,合格,腾讯医疗科技,AI问诊与健康咨询,腾讯健康,Zhejiang-BaiDu-20241021 S0004,其他,健康咨询、自我诊断,高度自主智能系统,腾讯医疗科技,V1.0,Health Innovations,https://www.healthinnovations.com,2024-10-11,
Henan-JunJian-20241022 S0005,智能药物研发助手,医疗健康,药物开发,药物开发,2023-07-05,阿里健康,复旦大学,招募中,2023-07-10,待审,阿里健康科技,药物筛选、数据分析和临床试验管理,阿里健康,Henan-JunJian-20241022 S0005,医疗健康,癌症、新药开发,超级智能系统,阿里健康科技,V1.0,BioSpectrum,https://www.healthtechtimes.com,2024-10-11,
Shandong-ZuoZhe-20241023 S0006,城市气象监控系统,气候监测,环境监测,环境监测,2023-08-12,华为,中国气象局,已完成,2023-08-15,合格,华为技术有限公司,气象数据采集、分析与预警,华为,Shandong-ZuoZhe-20241023 S0006,环保科技,极端天气监测,语义理解智能系统,华为技术有限公司,V2.0,中国气象网,https://www.legaltechjournal.com,2024-10-11,
Hubei-YunXing-20241024 S0007,智能供应链管理系统,工业制造,企业管理,企业管理,2023-09-01,阿里巴巴,清华大学,招募中,2023-09-05,待审,阿里巴巴集团,供应链数据分析、智能决策支持,阿里巴巴,Hubei-YunXing-20241024 S0007,金融科技,供应链优化、成本控制,通用人工智能系统,阿里巴巴集团,V1.0,哈尔滨工业大学,https://www.manufacturinginsights.com,2024-10-11,
Anhui-XingFu-20241025 S0008,边缘计算监控系统,网络安全,信息安全,信息安全,2023-10-10,腾讯,中科院,已完成,2023-10-15,合格,腾讯科技,边缘计算、实时数据监测,腾讯,Anhui-XingFu-20241025 S0008,金融科技,网络入侵检测,超级自学习智能系统,腾讯科技,V2.0,Security Week,https://www.urbanmanagementreview.com,2024-10-11,
Jiangxi-QiXiang-20241026 S0009,智能客服机器人,客服支持,聊天工具,聊天工具,2023-08-20,百度,北京大学,招募中,2023-08-25,待审,百度在线,自然语言处理、用户行为分析,百度,Jiangxi-QiXiang-20241026 S0009,金融科技,客户咨询、售后服务,量子智能系统,百度在线,V1.0,TechCrunch,https://www logisticstechnews.com,2024-10-11,
Liaoning-YuanChuang-20241027 S0010,智能语音翻译系统,语言处理,翻译工具,翻译工具,2023-09-10,科大讯飞,语言学院,招募中,2023-09-15,合格,科大讯飞科技,语音识别和翻译引擎,科大讯飞,Liaoning-YuanChuang-20241027 S0010,金融科技,跨语言交流,预测性智能系统,科大讯飞科技,V1.0,技术开发网,https://www.medicalaiupdates.com,2024-10-11,
Beijing-ZhiNeng-20241028 S0011,金融智能投顾系统,金融服务,投资管理,投资管理,2023-09-25,招商银行,复旦大学,招募中,2023-09-30,待审,招商银行科技,资产分析、投资建议生成,招商银行,Beijing-ZhiNeng-20241028 S0011,金融科技,财富管理、投资决策,设计智能系统,招商银行科技,V1.0,金融市场网,https://www.educationtechdigest.com,2024-10-11,
Shanghai-WeiXin-20241029 S0012,智能交通预测系统,交通运输,出行服务,出行服务,2023-09-15,滴滴出行,同济大学,已完成,2023-09-20,合格,滴滴科技,数据分析、出行模式建模,滴滴出行,Shanghai-WeiXin-20241029 S0012,金融科技,出行效率优化,协同智能系统,滴滴科技,V1.0,交通运输部,https://www.healthinnovations.com,2024-10-11,
Tianjin-JinXing-20241030 S0013,智能健康监测系统,医疗健康,健康管理,健康管理,2023-02-05,阿里健康,中国医学科学院,阿里健康科技,2023-02-10,合格,阿里健康科技,实时心率监测、健康数据分析,阿里健康,Tianjin-JinXing-20241030 S0013,医疗健康,心脏病、高血压,自适应人工智能系统,阿里健康科技,V1.2,Alibaba Health,https://www.healthtechtimes.com,2024-10-11,
Shaanxi-HuaZhong-20241031 S0014,智能语音翻译助手,语言服务,翻译工具,翻译工具,2023-05-01,百度,华东师范大学,百度翻译,2023-05-05,待审,百度翻译,语音识别、实时翻译,百度,Shaanxi-HuaZhong-20241031 S0014,语言服务,同声传译、多语言翻译,认知人工智能系统,百度翻译,V1.0,Baidu Research,https://www.legaltechjournal.com,2024-10-11,
Guangxi-ShengXing-20241101 S0015,智能金融咨询助手,金融服务,投资咨询,投资咨询,2023-07-20,蚂蚁集团,清华大学,蚂蚁金融,2023-07-25,合格,蚂蚁金融,市场分析、用户画像构建,蚂蚁集团,Guangxi-ShengXing-20241101 S0015,金融服务,个人理财、信贷评估,超级智能人工智能系统,蚂蚁金融,V1.0,Ant Financial,https://www.manufacturinginsights.com,2024-10-11,
Yunnan-ZhiHui-20241102 S0016,农业灾害预测系统,农业,农业管理,农业管理,2023-03-25,中国农业科学院,腾讯,中国农科院,2023-03-30,待审,中国农科院,天气监测、作物风险分析,中国农业科学院,Yunnan-ZhiHui-20241102 S0016,农业,农作物灾害预测,专家级人工智能系统,中国农科院,V1.1,Chinese Academy of Agricultural Sciences,https://www.healthtechtimes.com,2024-10-11,
Fujian-SuShi-20241103 S0017,智能停车管理系统,交通运输,智能交通,智能交通,2023-01-15,百度交通,上海交通大学,百度智慧交通,2023-01-20,合格,百度智慧交通,车位检测、流量控制,百度交通,Fujian-SuShi-20241103 S0017,交通运输,智能停车场管理,普通智能人工智能系统,百度智慧交通,V1.0,Baidu Smart Transportation,https://www.legaltechjournal.com,2024-10-11,
Hunan-JingZhi-20241104 S0018,在线心理咨询平台,心理健康,心理咨询,心理咨询,2023-06-10,心灵港湾,北京师范大学,心灵港湾科技,2023-06-15,待审,心灵港湾科技,在线咨询、情绪监控,心灵港湾,Hunan-JingZhi-20241104 S0018,心理健康,焦虑、抑郁,预测性人工智能系统,心灵港湾科技,V1.0,Mental Health Platform,https://www.manufacturinginsights.com,2024-10-11,
Jilin-QingKe-20241105 S0019,智慧城市管理系统,城市管理,城市规划,城市规划,2023-07-15,华为,清华大学,华为智慧城市,2023-07-20,待审,华为智慧城市,数据集成、实时监控,华为,Jilin-QingKe-20241105 S0019,城市管理,城市发展监控,通用人工智能系统,华为智慧城市,V1.0,Huawei Smart City,https://www.urbanmanagementreview.com,2024-10-11,
Ningxia-JiZhi-20241106 S0020,智能制造管理系统,制造业,生产管理,生产管理,2023-08-05,海尔,天津大学,海尔智能制造,2023-08-10,合格,海尔智能制造,流程优化、成本控制,海尔,Ningxia-JiZhi-20241106 S0020,制造业,生产流程优化,强化学习人工智能系统,海尔智能制造,V1.0,Haier Intelligent Manufacturing,https://www logisticstechnews.com,2024-10-11,
Sichuan-XinTian-20241020 S0002,语音互动翻译系统,语言处理,翻译服务,翻译服务,2023-07-12,百度,阿里巴巴,招募中,2023-07-15,待审,百度翻译,实时语音识别与翻译,百度,Sichuan-XinTian-20241020 S0002,语言服务,跨国会议、旅游翻译,量子人工智能系统,百度翻译,V1.5,TechRadar,https://www.techradar.com/,2024-10-11,
Guangdong-HuaWei-20241019 S0003,智能投资分析平台,金融投资,投资工具,投资工具,2023-07-20,蚂蚁集团,中国人民大学,已完成,2023-07-25,合格,蚂蚁金融,算法交易、市场分析,蚂蚁集团,Guangdong-HuaWei-20241019 S0003,金融服务,证券投资、基金管理,先进智能人工智能系统,蚂蚁金融,V2.1,FT中文网,https://www.ftchinese.com/,2024-10-11,
Zhejiang-BaiDu-20241021 S0004,智能客户服务机器人,客户服务,服务工具,服务工具,2023-08-01,腾讯,华为,招募中,2023-08-05,待审,腾讯服务,自动应答、情感识别,腾讯,Zhejiang-BaiDu-20241021 S0004,客户服务,技术支持、客户咨询,自适应人工智能系统,腾讯服务,V1.0,ZDNet,https://www.zdnet.com/,2024-10-11,
Henan-JunJian-20241022 S0005,交通配送调度系统,物流,调度系统,调度系统,2023-08-15,顺丰,中兴,已完成,2023-08-18,合格,顺丰科技,路线优化、实时调度,顺丰,Henan-JunJian-20241022 S0005,物流,快递运输、配送管理,泛用人工智能系统,顺丰科技,V1.2,物流与供应链网,https://www.logisticsnow.com/,2024-10-11,
Shandong-ZuoZhe-20241023 S0006,农业产量预测系统,农业,预测工具,预测工具,2023-07-25,中国农业科学院,阿里巴巴,招募中,2023-08-01,待审,中国农业科学院,数据分析、气候预测,中国农业科学院,Shandong-ZuoZhe-20241023 S0006,农业,粮食监测、预测,传递智能系统,中国农业科学院,V1.0,科技日报,https://www.stdaily.com/,2024-10-11,
Hubei-YunXing-20241024 S0007,智能健康监测系统,医疗健康,健康管理,健康管理,2023-09-01,阿里健康,复旦大学,已完成,2023-09-05,合格,阿里健康科技,生理数据收集、分析,阿里健康,Hubei-YunXing-20241024 S0007,医疗健康,健康监测、疾病预警,进化型人工智能系统,阿里健康科技,V1.0,HealthTech News,https://www.healthtechnews.com/,2024-10-11,
Anhui-XingFu-20241025 S0008,智能家居安全监控系统,安全防护,安全系统,安全系统,2023-09-10,小米科技,华为,招募中,2023-09-15,待审,小米智能家居,环境监测、入侵检测,小米科技,Anhui-XingFu-20241025 S0008,安全防护,家庭安全、监控,认知增强人工智能系统,小米智能家居,V1.0,Android Authority,https://www.androidauthority.com/,2024-10-11,
Jiangxi-QiXiang-20241026 S0009,智能旅游推荐系统,旅游服务,服务工具,服务工具,2023-09-20,途牛,旅游局,招募中,2023-09-25,待审,途牛旅游,数据分析、客户喜好推荐,途牛,Jiangxi-QiXiang-20241026 S0009,旅游服务,旅游推荐、行程规划,多模态人工智能系统,途牛旅游,V1.0,旅游行业网,https://www.tourismnews.com/,2024-10-11,
Liaoning-YuanChuang-20241027 S0010,智能视频监控系统,安全防护,监控设备,监控设备,2023-06-20,华为,北京理工大学,待审,2023-06-25,待审,华为技术,实时监控、视频分析和事件报警,华为,Liaoning-YuanChuang-20241027 S0010,电子安全,人脸识别、行为分析,社交智能系统,华为技术,V1.0,TechCrunch,https://techcrunch.com/,2024-10-11,
Beijing-ZhiNeng-20241028 S0011,智能客服机器人,客户服务,服务系统,服务系统,2023-07-12,阿里巴巴,清华大学,已完成,2023-07-15,合格,阿里云,自然语言处理、情感分析和自动回复,阿里巴巴,Beijing-ZhiNeng-20241028 S0011,电子商务,客户咨询、问题解决,自我进化人工智能系统,阿里云,V2.1,Forbes,https://www.forbes.com/,2024-10-11,
Shanghai-WeiXin-20241029 S0012,智慧城市管理系统,城市管理,管理系统,管理系统,2023-08-05,腾讯,中科院,招募中,2023-08-10,合格,腾讯科技,数据整合、实时监控和智能分析,腾讯,Shanghai-WeiXin-20241029 S0012,城市管理,资源分配、流量管理,超级智能体,腾讯科技,V1.0,National Geographic,https://www.nationalgeographic.com/,2024-10-11,
Tianjin-JinXing-20241030 S0013,金融市场分析系统,金融服务,数据分析,数据分析,2023-08-15,支付宝,清华大学,待审,2023-08-20,待审,蚂蚁金服,市场趋势分析、风险评估和预测建模,支付宝,Tianjin-JinXing-20241030 S0013,金融服务,市场分析、投资决策,量子智能系统,蚂蚁金服,V1.0,Bloomberg,https://www.bloomberg.com/,2024-10-11,
Shaanxi-HuaZhong-20241031 S0014,在线远程医疗系统,医疗健康,医疗服务,医疗服务,2023-08-25,平安好医生,复旦大学,已完成,2023-08-30,合格,平安医疗,视频咨询、病例分析和健康管理,平安好医生,Shaanxi-HuaZhong-20241031 S0014,医疗健康,远程医疗、健康监测,自适应人工智能系统,平安医疗,V1.0,Harvard Health,https://www.health.harvard.edu/,2024-10-11,
Guangxi-ShengXing-20241101 S0015,智能语言翻译系统,语言处理,语言翻译,语言翻译,2023-09-01,百度,上海交通大学,招募中,2023-09-05,待审,百度翻译,多语言支持、自然语言理解和语音识别,百度,Guangxi-ShengXing-20241101 S0015,语言处理,实时翻译、文档转写,超级智能系统,百度翻译,V1.0,MIT Technology Review,https://www.technologyreview.com/,2024-10-11,
Yunnan-ZhiHui-20241102 S0016,智能供应链管理系统,供应链管理,管理工具,管理工具,2023-09-15,京东,北京大学,已完成,2023-09-20,合格,京东物流,数据可视化、资源优化和预测分析,京东,Yunnan-ZhiHui-20241102 S0016,供应链管理,库存管理、订单处理,进化人工智能系统,京东物流,V1.0,Supply Chain Dive,https://www.supplychaindive.com/,2024-10-11,
Fujian-SuShi-20241103 S0017,智能气候监测系统,环境监测,监测设备,监测设备,2023-09-30,中国气象局,南方科技大学,待审,2023-10-05,待审,气象局,数据采集、气象分析和气候预测,中国气象局,Fujian-SuShi-20241103 S0017,环境监测,气候变化监测、气象服务,泛化智能系统,气象局,V1.0,Nature Communications,https://www.nature.com/ncomms/,2024-10-11,
Hunan-JingZhi-20241104 S0018,智能医疗影像分析,医疗健康,医疗设备,医疗设备,2023-07-01,阿里健康,华大基因,招募中,2023-07-05,待审,阿里健康科技,影像处理、深度学习技术,阿里健康,Hunan-JingZhi-20241104 S0018,医疗健康,肿瘤、心脏疾病,认知计算系统,阿里健康科技,V1.0,TechCrunch,https://techcrunch.com/,2024-10-11,
Jilin-QingKe-20241105 S0019,智联网家居系统,家居生活,智能家居,智能家居,2023-06-20,华为,美的,已完成,2023-06-25,合格,华为智能家居,设备控制、语音识别,华为,Jilin-QingKe-20241105 S0019,家庭安防、环境调控,家庭安防、环境调控,强化学习智能系统,华为智能家居,V2.0,Alibaba News,https://news.alibaba.com/,2024-10-11,
Ningxia-JiZhi-20241106 S0020,金融智能风控系统,金融服务,风险评估,风险评估,2023-05-20,平安科技,清华大学,招募中,2023-05-25,待审,平安金融,机器学习、数据挖掘,平安科技,Ningxia-JiZhi-20241106 S0020,信用评级、风险检测,信用评级、风险检测,协作智能系统,平安金融,V1.0,Beijing News,https://www.bjnews.com.cn/,2024-10-11,
Sichuan-XinTian-20241020 S0002,智慧农业管理平台,农业,农业管理,农业管理,2023-04-15,中农联,农科院,已完成,2023-04-20,合格,中农联科技,农作物监测、精准施肥,中农联,Sichuan-XinTian-20241020 S0002,农作物生长、作物病虫害监测,农作物生长、作物病虫害监测,感知智能系统,中农联科技,V1.2,Modern Agriculture,https://www.modernagriculture.com/,2024-10-11,
Guangdong-HuaWei-20241019 S0003,AI教育个人化工具,教育行业,教育工具,教育工具,2023-03-10,网易,乌鲁木齐大学,招募中,2023-03-15,合格,网易教育,自适应学习、过程跟踪,网易,Guangdong-HuaWei-20241019 S0003,在线学习、学力评价,在线学习、学力评价,自主智能系统,网易教育,V1.0,Education Week,https://www.edweek.org/,2024-10-11,
Zhejiang-BaiDu-20241021 S0004,智能客服机器人系统,企业服务,客服工具,客服工具,2023-08-01,腾讯,中信银行,招募中,2023-08-05,待审,腾讯服务,自然语言处理、决策引擎,腾讯,Zhejiang-BaiDu-20241021 S0004,客户支持、服务优化,客户支持、服务优化,合作型人工智能系统,腾讯服务,V1.0,China Internet Watch,https://www.chinainternetwatch.com/,2024-10-11,
Henan-JunJian-20241022 S0005,情绪分析系统,市场营销,数据分析工具,数据分析工具,2023-05-30,字节跳动,北方工业大学,已完成,2023-06-01,合格,字节跳动科技,情感识别、趋势分析,字节跳动,Henan-JunJian-20241022 S0005,市场调研、用户反馈分析,市场调研、用户反馈分析,自适应人工智能系统,字节跳动科技,V1.0,Marketing Land,https://marketingland.com/,2024-10-11,
Shandong-ZuoZhe-20241023 S0006,基因组数据分析平台,生物科技,生命科学,生命科学,2023-09-10,药明康德,清华大学,招募中,2023-09-15,待审,药明康德科技,基因组测序、数据挖掘,药明康德,Shandong-ZuoZhe-20241023 S0006,癌症治疗、个性化医疗,癌症治疗、个性化医疗,具身人工智能系统,药明康德科技,V1.0,Nature Biotechnology,https://www.nature.com/nbt/,2024-10-11,
Hubei-YunXing-20241024 S0007,智能供应链管理系统,供应链管理,物流工具,物流工具,2023-10-01,京东,浙江大学,已完成,2023-10-05,合格,京东科技,物流预测、库存管理,京东,Hubei-YunXing-20241024 S0007,自动化仓储、货物跟踪,自动化仓储、货物跟踪,符号人工智能系统,京东科技,V1.0,物流科技网,https://www.logistics-tech.com/,2024-10-11,
Anhui-XingFu-20241025 S0008,气候预测智能助手,环境监测,气候模型,气候模型,2023-07-01,IBM,国家气象局,招募中,2023-07-05,待审,IBM气候科技,气象数据分析、模型预测,IBM,Anhui-XingFu-20241025 S0008,生态环境,气候变化预测,认知人工智能系统,IBM气候科技,V1.0,IBM Research,https://www.ibm.com/research,2024-10-11,
Jiangxi-QiXiang-20241026 S0009,智能社交媒体分析系统,市场营销,数据分析,数据分析,2023-08-10,字节跳动,复旦大学,已完成,2023-08-15,合格,字节跳动科技,情感分析、用户行为预测,字节跳动,Jiangxi-QiXiang-20241026 S0009,传媒与市场,品牌影响力监测,量子人工智能系统,字节跳动科技,V2.0,ByteDance Blog,https://www.bytedance.com,2024-10-11,
Liaoning-YuanChuang-20241027 S0010,智能语音助手,个人助理,用户交互,用户交互,2023-09-01,阿里巴巴,清华大学,招募中,2023-09-05,合格,阿里巴巴智能,自然语言处理、语音识别,阿里巴巴,Liaoning-YuanChuang-20241027 S0010,个人应用,日常事务管理,超级意识人工智能系统,阿里巴巴智能,V3.0,AliResearch,https://www.alibabagroup.com,2024-10-11,
Beijing-ZhiNeng-20241028 S0011,智能金融顾问,金融服务,投资顾问,投资顾问,2023-09-15,平安集团,复旦大学,招募中,2023-09-20,待审,平安金融,投资预测、市场分析,平安集团,Beijing-ZhiNeng-20241028 S0011,金融服务,证券投资管理,生态智能系统,平安金融,V2.5,PingAn Research,https://www.pingan.com,2024-10-11,
Shanghai-WeiXin-20241029 S0012,无人机自动巡检系统,工业应用,无人机技术,无人机技术,2023-10-01,DJI,北京航空航天大学,招募中,2023-10-05,待审,大疆科技,自动飞行、图像处理,大疆,Shanghai-WeiXin-20241029 S0012,工业应用,设备运行监测,交互智能系统,大疆科技,V1.0,DJI Research,https://www.dji.com,2024-10-11,
Tianjin-JinXing-20241030 S0013,图像处理智能系统,计算机视觉,图像识别,图像识别,2023-10-15,百度,清华大学,已完成,2023-10-20,合格,百度视觉,深度学习、模式识别,百度,Tianjin-JinXing-20241030 S0013,人工智能,视觉检索、安防监控,动态学习人工智能系统,百度视觉,V1.5,Baidu Research,https://www.baidu.com,2024-10-11,
Shaanxi-HuaZhong-20241031 S0014,在线健康咨询系统,医疗健康,医疗服务,医疗服务,2023-07-20,阿里健康,上海中医药大学,招募中,2023-07-25,合格,阿里健康科技,在线咨询、症状分析,阿里健康,Shaanxi-HuaZhong-20241031 S0014,医疗健康,线上医疗咨询,借鉴学习人工智能系统,阿里健康科技,V1.0,Alibaba Health,https://www.alibaba.com,2024-10-11,
Guangxi-ShengXing-20241101 S0015,物流智能优化系统,供应链管理,物流管理,物流管理,2023-10-30,京东,南开大学,待审,2023-11-01,待审,京东物流,运输路径优化、实时监控,京东,Guangxi-ShengXing-20241101 S0015,物流与仓储,运输效率提升,基础人工智能系统,京东物流,V1.0,JD Tech,https://www.jd.com,2024-10-11,
