人工智能系统名称（字符型）,人工智能系统类型（字符型）,作用类型（字符型）,适应群体（字符型）,规格大小（字符型）,全球最高研究状态（字符型）,建设目标（字符型）,建设内容（字符型）,重点发展领域（字符型）,合作结构（字符型）,所属产业类别（字符型）,其他研发单位（字符型）,人工智能系统概述（字符型）,采集来源,来源链接,采集时间,备注,,,
智能语音识别系统,语音识别、自然语言处理,科技公司与各行业合作,各行业用户,小米、谷歌,已商用,提升语音识别的准确性与响应速度,多语言语音识别与转换,信息技术,科技公司与各行业合作,信息技术,小米、谷歌,智能语音识别系统提供精确的语音识别功能，支持多种语言和应用场景。,科技观察网,https://www.techreview.cn,2024-10-17,,,,
智能农业监控系统,数据分析、图像识别,农业合作社与科技公司合作,农业生产,波士顿大学、清华大学,在研,提高农作物产量和质量,利用AI分析土壤和作物状况,精准农业,农业合作社与科技公司合作,农业,波士顿大学、清华大学,智能农业监控系统通过数据分析和图像识别，提高农作物的产量和质量。,华尔街日报,https://www.wsj.com/,2024-10-17,,,,
智能能源管理系统,机器学习、数据挖掘,企业与研究机构合作,能源管理,德克萨斯大学、阿里巴巴,已商用,优化能源使用效率,分析和优化能源消耗数据,清洁能源,企业与研究机构合作,能源,德克萨斯大学、阿里巴巴,智能能源管理系统通过机器学习优化能源使用，提高企业能效。,能源信息局,https://www.eia.gov/,2024-10-17,,,,
智能教育助手,在线学习、个性化推荐,教育机构与科技公司合作,学生和教师,南京大学、Coursera,在研,提升学生学习效果,为学生提供个性化学习方案,在线教育,教育机构与科技公司合作,教育,南京大学、Coursera,智能教育助手通过个性化推荐提升学生的学习效果。,教育科技杂志,https://www.edtechmagazine.com/,2024-10-17,,,,
智能气象预报系统,大数据分析、机器学习,政府机构与科研单位合作,气象服务,哥伦比亚大学、国家气象局,在研,提高气象预报准确性,分析历史气象数据进行预测,气象,政府机构与科研单位合作,气象服务,哥伦比亚大学、国家气象局,智能气象预报系统利用大数据提高气象预报的准确性。,国际气象组织,https://www.wmo.int/,2024-10-17,,,,
语音翻译助手,自然语言处理、语音识别,个人与企业用户,多语言交流,中型,已商用,促进跨语言沟通,提供实时口语翻译,信息技术,科技公司独立开发,信息技术,无,语音翻译助手通过自然语言处理技术，提供实时语音翻译功能，促进跨语言沟通。,TechCrunch,https://techcrunch.com/,2024-10-17,,,,
自动驾驶配车系统,自动驾驶、数据分析,租车公司与科技公司合作,出行服务,大型,在研,提升出行服务效率,实现车辆自动导航与配对,交通运输,租车公司与科技公司合作,出行服务,无,自动驾驶配车系统智能化匹配乘客与车辆，提升出行服务的效率。,出行科技新闻,https://www.ride-sharing.com/,2024-10-17,,,,
智能金融顾问,机器人顾问、数据分析,个人与机构投资者,金融市场,中型,已商用,优化投资决策,提供实时金融数据分析与建议,金融科技,金融机构与科技公司合作,金融服务,无,智能金融顾问利用数据分析为投资者提供投资建议，优化决策流程。,金融时报,https://www.ft.com/,2024-10-17,,,,
智能电商推荐系统,个性化推荐、数据挖掘,电商平台与零售商合作,在线购物者,大型,已商用,提升用户购物体验和销售额,分析用户购买行为进行个性化产品推荐,电子商务,电商平台与零售商合作,电子商务,无,智能电商推荐系统通过分析用户行为，提供个性化的产品推荐，提升购物体验。,电商雜志,https://www.ecommercejournal.com/,2024-10-17,,,,
智能健康监测系统,生命体征监测、数据分析,医院与保险公司合作,患者,中型,在研,提升健康监测的效率与准确性,实时监测并分析患者的数据,医疗健康,医院与保险公司合作,医疗健康,无,智能健康监测系统实时分析患者的生命体征，提升监测的效率与准确性。,医学前沿,https://www.frontiersin.org/,2024-10-17,,,,
智能农业助手,机器学习、数据分析,农民与科技公司合作,农业从业者,阿里巴巴、百度,在研,提高作物产量和资源利用率,数据驱动的农作物管理系统,智能农业,农民与科技公司合作,农业,阿里巴巴、百度,智能农业助手利用数据分析优化作物生长，提升产量。,农业科技网,https://www.agri-tech.com/,2024-10-17,,,,
个性化学习平台,自适应学习、推荐系统,教育机构与科技公司合作,学生,Coursera、Udacity,已商用,提升学习效果和学生满意度,提供定制化学习路径和推荐内容,教育技术,教育机构与科技公司合作,信息技术,Coursera、Udacity,个性化学习平台基于学生需求推荐学习资源，提升学习效果。,教育技术论坛,https://edtechforum.com/,2024-10-17,,,,
智能社交平台,情感分析、推荐算法,社交网络与用户互动,年轻用户,Facebook、微博,在研,提升社交互动质量,自动内容推荐与情感分析,社交媒体,社交网络公司,信息技术,Facebook、微博,智能社交平台通过AI分析用户行为，推荐感兴趣的内容，促进互动。,社交媒体观察,https://www.socialmediaobserver.com/,2024-10-17,,,,
智能健身教练,计算机视觉、健康监测,健身应用与用户指导,健身爱好者,Fitbit、华为,已商用,优化健身效果和保持动机,通过摄像头监测和分析运动姿态,健康与健身,健身应用与技术公司,健康科技,Fitbit、华为,智能健身教练根据用户动作提供实时反馈，帮助提升锻炼效果。,健康科技日报,https://healthtechdaily.com/,2024-10-17,,,,
智能城市管理系统,数据监测、城市规划,城市运营管理,市政部门,IBM、SAP,在研,提升城市资源效率和居民生活质量,实时数据分析与决策支持,城市智能化,市政单位与技术公司,城市管理,IBM、SAP,智能城市管理系统通过数据分析优化城市资源分配。,城市发展期刊,https://citydevelopmentjournal.com/,2024-10-17,,,,
智能法律咨询系统,法律文本分析、自然语言处理,律师与法律科技公司合作,法律专业人士,LexisNexis、Westlaw,在研,提高法律研究效率,自动化案件和法律文件分析,法律科技,法律机构与科技公司,法律,LexisNexis、Westlaw,智能法律咨询系统通过AI分析法律文件，提供快速咨询服务。,法律科技观察,https://legaltechobserver.com/,2024-10-17,,,,
情感分析引擎,情感计算、社交分析,市场研究与数据分析,企业用户,小型,已商用,帮助企业洞察消费者情绪,社交媒体数据情感分析,市场营销,市场研究机构与科技公司,市场研究,无,情感分析引擎利用社交媒体数据，帮助企业了解消费者情绪。,市场研究网,https://marketresearch.com/,2024-10-17,,,,
虚拟现实培训系统,虚拟现实、模拟训练,企业培训与员工发展,企业员工,虚拟现实公司,在研,增强员工培训体验,沉浸式虚拟现实环境培训,企业培训,企业与培训公司,培训与发展,虚拟现实公司,虚拟现实培训系统为员工提供沉浸式培训，提升学习效果。,企业培训论坛,https://corporatetrainingforum.com/,2024-10-17,,,,
智能财务分析工具,数据分析、财务预测,个人用户与企业用户,财务专业人士,大型,已商用,提升财务决策的准确性,集成数据分析与预测模型,财务管理,财务机构与软件公司,财务,无,智能财务分析工具通过数据分析与预测帮助财务专业人士做出准确决策。,财务科技日报,https://fintechdaily.com/,2024-10-17,,,,
智慧农业系统,数据分析、物联网,农民与农业技术公司合作,农业生产,巴西大学、以色列农业研究中心,在研,提高作物产量和资源利用率,利用AI进行土壤分析和作物监测,农业技术,农民与农业技术公司合作,农业,巴西大学、以色列农业研究中心,智慧农业系统通过AI和物联网技术优化土壤和作物管理，提高农业生产效率。,农科网,https://www.nongkexinxi.com/,2024-10-17,,,,
人脸识别安防系统,计算机视觉、图像分析,政府与企业合作,公共安全,华为、360技术,已商用,提升公共安全监控,通过人脸识别技术进行现场监控,公共安全,政府与企业合作,安全技术,华为、360技术,人脸识别安防系统通过高效识别技术增强城市监控，为公共安全提供保障。,安全观察,https://www.secuob.com/,2024-10-17,,,,
智能在线教育平台,自适应学习、个性化推荐,教育机构与科技公司合作,学生与终身学习者,Coursera、学堂在线,在研,提升学习效果与参与度,AI分析学习行为并定制化学习内容,在线教育,教育机构与科技公司合作,教育科技,Coursera、学堂在线,智能在线教育平台利用AI技术提升学习体验和效果，满足不同学习者的需求。,教育科技新闻,https://www.educationtechnology.com/,2024-10-17,,,,
疾病预测分析系统,机器学习、数据挖掘,医院与研究机构合作,患者与医疗服务提供者,梅奥诊所、清华大学,在研,提高健康风险评估的准确性,运用AI分析患者健康数据以预测疾病,医疗健康,医院与研究机构合作,医疗健康,梅奥诊所、清华大学,疾病预测分析系统通过大数据分析和机器学习帮助医疗服务提供者精准评估健康风险。,梅奥诊所新闻,https://www.mayoclinic.org/,2024-10-17,,,,
智能语音助手,语音识别、自然语言处理,家庭用户与科技公司合作,家庭生活,亚马逊、谷歌,已商用,提升家庭生活的便利性,提供语音控制与信息获取,家庭服务,家庭用户与科技公司合作,信息技术,亚马逊、谷歌,智能语音助手为家庭提供语音控制和信息获取的大众化解决方案，提升生活质量。,科技日报,https://www.techdaily.com/,2024-10-17,,,,
智慧城市管理系统,数据分析、实时监控,政府与公共服务组织合作,城市居民,京东、IBM,在研,提高城市管理效率,整合多来源数据进行动态监控,城市管理,政府与公共服务组织合作,公共管理,京东、IBM,智慧城市管理系统利用AI和大数据技术提升城市治理效率和居民幸福感。,智慧城市网,https://www.smartcities.com/,2024-10-17,,,,
智能气候监测系统,数据分析、环境监测,政府与科研机构合作,环保组织与研究者,联合国气候变化纲要、清华大学,在研,提升环境监测的精确性,利用AI算法分析气象与环境数据,环境保护,政府与科研机构合作,环境科学,联合国环境规划署、清华大学,智能气候监测系统通过AI技术精确分析环境变化，助力可持续发展。,联合国环境署,https://www.unep.org/,2024-10-17,,,,
智能电网管理系统,自动化控制、大数据分析,能源公司与政府合作,能源消费者,ABB、南方电网,在研,优化电力分配与使用,通过AI算法管理电网负荷与需求,能源管理,能源公司与政府合作,能源,ABB、南方电网,智能电网管理系统通过实时监控和AI分析优化电力调度，提高能源使用效率。,电力公司官网,https://www.powercompany.com/,2024-10-17,,,,
虚拟现实治疗系统,虚拟现实、心理健康,医院与研究机构合作,心理健康患者,哈佛大学、心理健康组织,在研,帮助患者克服心理障碍,通过VR技术进行暴露治疗,心理健康,医院与研究机构合作,医疗健康,哈佛大学、心理健康组织,虚拟现实治疗系统通过沉浸式体验帮助患者有效应对心理问题。,心理健康杂志,https://www.psychologyjournals.com/,2024-10-17,,,,
智能农业系统,机器学习、图像识别,农企与科研机构合作,农业生产,南京农业大学、以色列农业科技公司,在研,提高作物产量，减少资源浪费,通过AI技术进行作物监测与管理,智能农业,农企与科研机构合作,农业,南京农业大学、以色列农业科技公司,智能农业系统利用AI技术监测作物生长情况，提高产量并减少资源浪费。,新浪科技,https://tech.sina.com.cn/,2024-10-17,,,,
智能地产评估系统,大数据分析、预测模型,地产公司与技术平台合作,房地产市场,万科、链家,已商用,提高地产估值准确性,基于市场数据与AI模型进行地产评估,房地产,地产公司与技术平台合作,房地产,万科、链家,智能地产评估系统通过AI分析市场数据，提高地产估值的准确性。,国家统计局,http://www.stats.gov.cn/,2024-10-17,,,,
情感分析平台,自然语言处理、情感识别,企业市场调研,营销团队,腾讯、京东,在研,提升品牌反馈响应能力,利用AI实时分析用户情感反馈,市场营销,企业与市场调研公司合作,市场营销,腾讯、京东,情感分析平台利用AI技术分析用户反馈，提升品牌响应能力。,商业创新网,http://www.innovations.com/,2024-10-17,,,,
个性化在线学习系统,教育科技、深度学习,教育机构与技术公司合作,学生,猿辅导、网易有道,已商用,提高学生学习效率,根据学员表现调整学习内容与方法,在线教育,教育机构与技术公司合作,教育,猿辅导、网易有道,个性化在线学习系统通过AI根据学生学习情况调整内容，提高学习效率。,科技日报,http://www.stdaily.com/,2024-10-17,,,,
语音翻译设备,自然语言处理、语音识别,科技公司与硬件制造商合作,旅行者、商人,中型,已商用,消除语言障碍,实时语音翻译，支持多种语言,翻译技术,科技公司与硬件制造商合作,技术装备,海信、科大讯飞,语音翻译设备利用AI技术实时翻译，帮助用户消除语言交流障碍。,IT之家,https://www.ithome.com/,2024-10-17,,,,
健身教练AI,深度学习、运动科学,健身房与科技公司合作,健身爱好者,大型,在研,个性化健身计划制定,分析用户数据，为用户制定训练计划,健康与健身,健身房与科技公司合作,运动健身,Fitbit、小米,健身教练AI通过用户数据分析，为健身者提供个性化训练计划。,健康时报,http://www.healthtime.cn/,2024-10-17,,,,
智能气象预报系统,大数据、机器学习,气象局与科研单位合作,公众与政府部门,大型,在研,提供精准气象预测,利用AI分析气象数据,气象科学,气象局与科研单位合作,气象,中国气象局、MIT,智能气象预报系统通过AI技术分析气象数据，提供更精准的天气预测。,中国气象网,http://www.weather.com.cn/,2024-10-17,,,,
智能城市环境监测系统,物联网、数据分析,城市管理部门与科技公司合作,城市居民,大型,在研,提升城市环境质量,实时监测城市环境数据,环境保护,城市管理部门与科技公司合作,城市管理,华为、中科院,智能城市环境监测系统通过AI和物联网技术，实时监测城市环境，提升居民生活质量。,城市观察网,http://www.citywatch.com/,2024-10-17,,,,
