视频分辨率（字符型）,图像传感器数目（数值型）,单位,视频采集接口及速率（字符型）,本地缓存容量（字符型）,本地显示分辨率（字符型）,最大传输带宽（字符型）,远程显示分辨率（数值型）,单位.1,传输距离（数值型）,单位.2,系统总延时（数值型）,单位.3,系统调试接口（字符型）,设备供电电压（字符型）,功耗（字符型）,单位.4,采集来源,来源链接,采集时间,备注
3840x2160,3,个,"HDMI, USB, >30Gbps",32GB,4K,30Gbps,2160,P,120,米,25,毫秒,"USB 3.0, RS232",AC220V,100,W,未来科技,https://www.futuretech.com,,
2560x1080,2,个,"HDMI, Type-C, >15Gbps",16GB,UltraWide,15Gbps,1080,P,90,米,22,毫秒,"HDMI, Ethernet",AC110V,70,W,数码生活,https://www.digital-life.com,,
1280x720,1,个,"HDMI, VGA, >5Gbps",4GB,720P,5Gbps,480,P,30,米,14,毫秒,"USB-C, RS232",AC5V,20,W,新科技,https://www.newtechnology.com,,
3840x2160,5,个,"HDMI, Ethernet, >50Gbps",64GB,4K,50Gbps,2160,P,300,米,30,毫秒,"HDMI, USB 3.1",AC220V,130,W,未来网络,https://www.futureinternet.com,,
2560x1440,1,个,"HDMI, USB-C, >10Gbps",8GB,1440P,10Gbps,1440,P,45,米,19,毫秒,"USB, Ethernet",AC110V,50,W,科技简报,https://www.techdigest.com,,
7200x4800,6,个,"HDMI, SDI, >120Gbps",128GB,8K,120Gbps,4800,P,400,米,60,毫秒,"USB 3.1, Ethernet",AC240V,750,W,未来科技,https://www.futuretech.com,,
1920x1080,1,个,"HDMI, USB, >10Gbps",4GB,1080P,10Gbps,1080,P,50,米,15,毫秒,USB-C,AC220V,75,W,科技评论网,https://www.techreview.com,,
3840x2160,2,个,"HDMI, SDI, >20Gbps",16GB,4K,20Gbps,2160,P,150,米,30,毫秒,"HDMI, Ethernet",AC110V,100,W,虚拟现实社区,https://www.vrcommunity.com,,
5120x2880,3,个,"USB 3.0, HDMI, >25Gbps",32GB,5K,25Gbps,1440,P,80,米,20,毫秒,"RS232, USB-C",AC220V,130,W,影像技术论坛,https://www.imagingtechforum.com,,
7680x4320,4,个,"SDI, HDMI, >100Gbps",128GB,8K,100Gbps,4320,P,500,米,40,毫秒,"USB 3.1, Ethernet",AC240V,800,W,未来科技展,https://www.futuretechshow.com,,
2560x1440,2,个,"HDMI, USB-C, >15Gbps",8GB,1440P,15Gbps,1080,P,60,米,20,毫秒,"VGA, RS232",AC120V,70,W,数字视听技术,https://www.digitalaudioandvisual.com,,
1920x1080,2,个,"HDMI, VGA, >12Gbps",8GB,1080P,12Gbps,1080,P,40,米,18,毫秒,"USB, HDMI",AC220V,85,W,影音那点事,https://www.audiovideo.com,,
3840x2160,1,个,"Ethernet, USB-C, >25Gbps",16GB,4K,25Gbps,2160,P,120,米,28,毫秒,"HDMI, USB 3.1",AC220V,90,W,前沿科技网,https://www.fronttechnology.com,,
2560x1080,2,个,"HDMI, USB, >12Gbps",8GB,UltraWide,12Gbps,1080,P,70,米,22,毫秒,"USB-C, Ethernet",AC120V,65,W,电子商业周刊,https://www.electronicbusinessweekly.com,,
3200x1800,2,个,"HDMI, SDI, >18Gbps",8GB,QHD,18Gbps,1800,P,55,米,19,毫秒,"USB, RS232",AC220V,85,W,智能设备网,https://www.smartdevices.com,,
1920x1080,3,个,"HDMI, Ethernet, >10Gbps",6GB,1080P,10Gbps,1080,P,90,米,14,毫秒,USB-C,AC240V,78,W,高清视频素材,https://www.highdefinitionmaterial.com,,
3840x2160,4,个,"HDMI, Type-C, >30Gbps",32GB,4K,30Gbps,2160,P,160,米,32,毫秒,"USB 3.1, RS232",AC220V,115,W,科技新闻,https://www.kexunews.com,,
5120x2880,1,个,"USB-C, HDMI, >40Gbps",64GB,5K,40Gbps,2880,P,100,米,22,毫秒,"VGA, USB",AC120V,95,W,数位专家,https://www.digitalexperts.com,,
3840x2160,1,个,"USB, HDMI, >25Gbps",8GB,4K,25Gbps,2160,P,80,米,28,毫秒,"HDMI, USB-A",AC220V,95,W,影像科技,https://www.image-tech.com,,
1920x1080,2,个,"HDMI, DisplayPort, >18Gbps",16GB,1080P,18Gbps,1080,P,50,米,19,毫秒,"USB-C, RS232",AC120V,70,W,电子信息网,https://www.eleinfo.com,,
5120x2880,3,个,"USB-C, HDMI, >35Gbps",32GB,5K,35Gbps,1440,P,90,米,22,毫秒,"Ethernet, USB 3.1",AC230V,130,W,科技先锋,https://www.techfrontier.com,,
2560x1440,2,个,"HDMI, SDI, >20Gbps",16GB,1440P,20Gbps,1440,P,60,米,21,毫秒,"USB, RS485",AC240V,85,W,数码贴吧,https://www.digitalforum.com,,
7680x4320,4,个,"HDMI, Thunderbolt, >100Gbps",128GB,8K,100Gbps,4320,P,400,米,40,毫秒,"SDI, USB 3.1",AC250V,500,W,视像世界,https://www.visualworld.com,,
3840x2160,3,个,"GigE, HDMI, >30Gbps",32GB,4K,30Gbps,2160,P,150,米,18,毫秒,"HDMI, RJ45",AC310V,110,W,数字影像,https://www.digitalimage.com,,
2560x1080,1,个,"HDMI, USB-C, >12Gbps",8GB,UltraWide,12Gbps,1080,P,40,米,16,毫秒,"USB-A, VGA",AC5V,55,W,设计视野,https://www.designvision.com,,
1920x1080,2,个,"SDI, HDMI, >15Gbps",8GB,1080P,15Gbps,1080,P,70,米,24,毫秒,"USB-C, RS232",AC220V,75,W,影像创新,https://www.innovationimage.com,,
3840x2160,1,个,"USB 3.0, HDMI, >20Gbps",16GB,4K,20Gbps,2160,P,100,米,19,毫秒,"HDMI, USB-C",AC110V,95,W,视频科技,https://www.videotech.com,,
1280x720,1,个,"Type-C, HDMI, >5Gbps",4GB,720P,5Gbps,480,P,25,米,18,毫秒,"USB, VGA",AC5V,20,W,数码评测,https://www.digireview.com,,
2560x1440,2,个,"HDMI, Ethernet, >15Gbps",16GB,1440P,15Gbps,1440,P,65,米,23,毫秒,"USB, HDMI",AC240V,70,W,视觉前沿,https://www.visualfrontier.com,,
5120x2880,4,个,"HDMI, USB-C, >30Gbps",64GB,5K,30Gbps,2880,P,120,米,29,毫秒,"Ethernet, RS232",AC220V,150,W,未来科技,https://www.futuretech.com,,
3840x2160,2,个,"HDMI, Thunderbolt, >25Gbps",16GB,4K,25Gbps,2160,P,130,米,20,毫秒,"USB-C, HDMI",AC220V,100,W,智能硬件,https://www.smartdevice.com,,
1920x1080,1,个,"HDMI, USB, >10Gbps",16GB,1080P,10Gbps,1080,P,50,米,30,毫秒,"USB, RS232",AC5V,45,W,科技先锋,https://www.techleader.com,,
2688x1440,2,个,"HDMI, Ethernet, >20Gbps",32GB,1440P,20Gbps,1440,P,150,米,25,毫秒,"USB-C, RS232",AC220V,100,W,5G视界,https://www.5gvision.com,,
3840x2160,4,个,"HDMI, USB-C, >40Gbps",64GB,4K,40Gbps,2160,P,200,米,15,毫秒,"USB 3.1, HDMI",AC220V,150,W,高清科技,https://www.highdeftech.com,,
7680x4320,3,个,"SDI, HDMI, >100Gbps",128GB,8K,100Gbps,4320,P,400,米,28,毫秒,"USB-C, Ethernet",AC240V,500,W,超高清网络,https://www.ultrahdnetwork.com,,
2560x1600,1,个,"HDMI, VGA, >12Gbps",8GB,1600P,12Gbps,1600,P,60,米,20,毫秒,"HDMI, RS232",AC110V,28,W,技术开发周刊,https://www.techdevweekly.com,,
1280x720,2,个,"HDMI, USB-C, >8Gbps",4GB,720P,8Gbps,480,P,35,米,18,毫秒,"USB, HDMI",AC5V,20,W,视讯技术,https://www.videoandtech.com,,
5120x2880,2,个,"USB-C, Ethernet, >50Gbps",64GB,5K,50Gbps,2880,P,80,米,22,毫秒,"HDMI, USB",AC220V,175,W,智能家居科技,https://www.smarttechhome.com,,
1920x1080,1,个,"VGA, USB, >5Gbps",16GB,1080P,5Gbps,720,P,45,米,11,毫秒,USB-C,AC110V,55,W,技术评论,https://www.techreview.com,,
3840x2160,3,个,"HDMI, SDI, >35Gbps",32GB,4K,35Gbps,2160,P,90,米,20,毫秒,"USB-C, RJ45",AC240V,130,W,媒体回顾,https://www.mediareview.com,,
5120x2880,1,个,"HDMI, Ethernet, >35Gbps",32GB,5K,35Gbps,2880,P,100,米,30,毫秒,"HDMI, USB",AC220V,155,W,前沿技术,https://www.frontiertech.com,,
2560x1080,2,个,"HDMI, USB, >15Gbps",16GB,UltraWide,15Gbps,1080,P,55,米,18,毫秒,"HDMI, USB-C",AC110V,75,W,科技世界,https://www.techworld.com,,
1920x1080,1,个,"USB-C, HDMI, >3Gbps",8GB,1080P,3Gbps,720,P,25,米,14,毫秒,"USB, RS232",AC5V,35,W,新科技分析,https://www.newtechanalysis.com,,
1920x1080,2,个,"HDMI, USB-C, >10Gbps",16GB,1080P,10Gbps,1080,P,60,米,20,毫秒,HDMI,AC220V,75,W,科技头条,https://www.techheadline.com,,
2560x1440,1,个,"Ethernet, HDMI, >12Gbps",8GB,1440P,12Gbps,1440,P,50,米,22,毫秒,USB-C,AC110V,50,W,数字视野,https://www.digitalvision.com,,
3840x2160,3,个,"HDMI, SDI, >20Gbps",32GB,4K,20Gbps,2160,P,120,米,28,毫秒,"USB, RS232",AC220V,100,W,视频技术网,https://www.videotech.com,,
7680x4320,4,个,"SDI, HDMI, >50Gbps",128GB,8K,50Gbps,4320,P,250,米,45,毫秒,USB 3.0,AC240V,500,W,未来影像,https://www.futureimaging.com,,
1920x1080,1,个,"HDMI, Type-C, >8Gbps",4GB,1080P,8Gbps,1080,P,30,米,15,毫秒,RS232,AC5V,20,W,创意视频,https://www.creativevideo.com,,
3840x2160,1,个,"HDMI, Ethernet, >25Gbps",8GB,4K,25Gbps,2160,P,80,米,32,毫秒,HDMI,AC120V,95,W,数码资讯,https://www.digitalwo.com,,
2048x1080,2,个,"HDMI, USB, >15Gbps",16GB,2K,15Gbps,1080,P,90,米,27,毫秒,"USB-C, RS232",AC220V,85,W,影像技术,https://www.imagingtech.com,,
2560x1440,2,个,"SDI, HDMI, >18Gbps",8GB,1440P,18Gbps,1440,P,60,米,19,毫秒,"USB, HDMI",AC110V,95,W,创新科技,https://www.innovativetech.com,,
5120x2880,3,个,"USB-C, HDMI, >25Gbps",32GB,5K,25Gbps,1440,P,80,米,21,毫秒,"USB, Ethernet",AC120V,100,W,前沿科技,https://www.frontiertech.com,,
1920x1080,2,个,"HDMI, VGA, >10Gbps",4GB,1080P,10Gbps,1080,P,50,米,18,毫秒,RS232,AC5V,30,W,视听天下,https://www.audiovision.com,,
3840x2160,1,个,"Ethernet, USB, >40Gbps",32GB,4K,40Gbps,2160,P,150,米,30,毫秒,"HDMI, USB-C",AC220V,120,W,最新科技,https://www.latesttechnology.com,,
2560x1600,4,个,"USB, HDMI, >20Gbps",64GB,WQXGA,20Gbps,1600,P,100,米,33,毫秒,"USB 3.1, Ethernet",AC240V,150,W,数字界,https://www.digitalrealm.com,,
1280x720,1,个,"HDMI, USB, >5Gbps",4GB,720P,5Gbps,480,P,20,米,12,毫秒,"RS232, VGA",AC5V,18,W,科技日报,https://www.techdaily.com,,
1920x1080,1,个,"HDMI, USB, >10Gbps",6GB,1080P,10Gbps,1080,P,50,米,30,毫秒,USB,AC220V,75,W,科技日报,https://www.stdaily.com,,
2560x1440,1,个,"HDMI, Ethernet, >20Gbps",10GB,1440P,20Gbps,1440,P,200,米,28,毫秒,"RS232, HDMI",AC110V,85,W,数字视野,https://www.digitalvision.com,,
3840x2160,4,个,"SDI, HDMI, >40Gbps",32GB,4K,40Gbps,2160,P,150,米,20,毫秒,USB-C,AC240V,150,W,传媒时报,https://www.mediareport.org,,
7680x4320,6,个,"HDMI, SDI, >100Gbps",128GB,8K,100Gbps,4320,P,500,米,40,毫秒,"USB 3.1, RS232",AC240V,650,W,科技先驱,https://www.techpioneer.com,,
1920x1080,1,个,"Type-C, HDMI, >15Gbps",4GB,1080P,15Gbps,720,P,30,米,18,毫秒,USB,AC220V,60,W,数字影像,https://www.digitalimage.com,,
1280x720,2,个,"HDMI, USB, >5Gbps",2GB,720P,5Gbps,480,P,20,米,16,毫秒,RS232,AC5V,25,W,影视技术,https://www.filmmaking.com,,
5120x2880,3,个,"HDMI, Ethernet, >30Gbps",20GB,5K,30Gbps,1440,P,80,米,24,毫秒,"USB-C, HDMI",AC220V,110,W,网络科技,https://www.networktechnology.com,,
3840x2160,3,个,"USB-C, HDMI, >25Gbps",16GB,4K,25Gbps,2160,P,120,米,22,毫秒,"HDMI, USB 3.1",AC110V,95,W,IT资讯,https://www.itinfo.com,,
2560x1080,2,个,"SDI, HDMI, >12Gbps",8GB,UltraWide,12Gbps,1080,P,90,米,19,毫秒,"HDMI, RS232",AC220V,70,W,科技观察,https://www.techreview.com,,
1280x720,1,个,"USB, HDMI, >8Gbps",4GB,720P,8Gbps,720,P,35,米,21,毫秒,RS232,AC5V,30,W,创新科技,https://www.innovationtech.com,,
3840x2160,3,个,"HDMI, USB-C, >35Gbps",24GB,4K,35Gbps,2160,P,180,米,27,毫秒,USB 3.1,AC110V,130,W,未来科技,https://www.futuretech.com,,
2560x1440,2,个,"HDMI, Ethernet, >15Gbps",10GB,1440P,15Gbps,1440,P,60,米,14,毫秒,"USB, HDMI",AC220V,75,W,市商务网,https://www.citycommerce.com,,
3840x2160,4,个,"HDMI, SDI, >50Gbps",32GB,4K,50Gbps,2160,P,250,米,36,毫秒,"USB-C, RS232",AC240V,140,W,技术前线,https://www.techfrontline.com,,
5120x2880,3,个,"HDMI, USB-C, >45Gbps",24GB,5K,45Gbps,2880,P,100,米,31,毫秒,"HDMI, USB",AC220V,125,W,智能视界,https://www.smartvision.com,,
1920x1080,1,个,"HDMI, USB, >10Gbps",4GB,1080P,10Gbps,1080,P,50,米,20,毫秒,"USB-C, HDMI",AC220V,70,W,视频监控网,https://www.videomonitoring.com,,
3840x2160,3,个,"HDMI, SDI, >20Gbps",8GB,4K,20Gbps,2160,P,120,米,30,毫秒,"USB 3.0, HDMI",AC110V,95,W,4K拍摄达人,https://www.4kexpert.com,,
2560x1440,1,个,"USB-C, HDMI, >15Gbps",8GB,1440P,15Gbps,1440,P,60,米,24,毫秒,"HDMI, USB 3.0",AC220V,75,W,数码世界,https://www.digitalworld.com,,
7680x4320,4,个,"SDI, HDMI, >50Gbps",32GB,8K,50Gbps,4320,P,300,米,40,毫秒,"USB 3.1, RS232",AC240V,450,W,科技前沿,https://www.techfrontline.com,,
3840x2160,2,个,"Ethernet, USB-C, >25Gbps",16GB,4K,25Gbps,2160,P,100,米,28,毫秒,"HDMI, USB",AC220V,110,W,技术探索,https://www.technologyexploration.com,,
1280x720,1,个,"HDMI, USB, >5Gbps",2GB,720P,5Gbps,480,P,20,米,15,毫秒,"USB-C, HDMI",AC5V,20,W,优酷,https://www.youku.com,,
5120x2880,3,个,"HDMI, USB-C, >30Gbps",16GB,5K,30Gbps,1440,P,90,米,20,毫秒,"USB 3.1, Ethernet",AC110V,130,W,数码观察,https://www.digitalobserver.com,,
3840x2160,2,个,"HDMI, Ethernet, >40Gbps",32GB,4K,40Gbps,2160,P,150,米,25,毫秒,"RS232, USB 3.0",AC200V,120,W,技术先锋,https://www.technologypioneer.com,,
1600x900,1,个,"HDMI, USB, >7Gbps",4GB,HD+,7Gbps,900,P,30,米,18,毫秒,"USB, HDMI",AC5V,35,W,数字生活,https://www.digitallife.com,,
3840x2160,3,个,"HDMI, USB-C, >35Gbps",32GB,4K,35Gbps,2160,P,80,米,32,毫秒,"USB 3.0, HDMI",AC220V,110,W,未来科技,https://www.futuretech.com,,
2560x1600,1,个,"DP, USB, >12Gbps",8GB,1440P,12Gbps,1600,P,55,米,26,毫秒,"USB-C, DP",AC110V,75,W,数码之家,https://www.digitalhome.com,,
1280x720,2,个,"HDMI, USB, >6Gbps",4GB,720P,6Gbps,720,P,25,米,17,毫秒,"USB 3.0, RS232",AC5V,20,W,科技频道,https://www.techtv.com,,
2048x1080,2,个,"HDMI, DisplayPort, >10Gbps",4GB,2K,10Gbps,1080,P,50,米,19,毫秒,"USB, Ethernet",AC220V,85,W,传媒新闻,https://www.medianews.com,,
1920x1080,3,个,"HDMI, SDI, >20Gbps",16GB,1080P,20Gbps,1080,P,80,米,15,毫秒,"USB-C, RS232",AC220V,75,W,科技博客,https://www.techblog.com,,
1440x720,1,个,"USB 3.0, HDMI, >10Gbps",8GB,720P,10Gbps,720,P,30,米,25,毫秒,"USB, HDMI",AC5V,30,W,视频播放器评论,https://www.videoplayerreview.com,,
5120x2160,4,个,"HDMI 2.1, Thunderbolt, >40Gbps",32GB,5K,40Gbps,2160,P,150,米,28,毫秒,"USB-C, Ethernet",AC240V,150,W,高新科技,https://www.hightechnology.com,,
2560x1440,3,个,"SDI, HDMI, >15Gbps",16GB,1440P,15Gbps,1440,P,90,米,24,毫秒,"USB, Ethernet",AC220V,95,W,影像技术,https://www.imagingtech.com,,
7680x4320,6,个,"HDMI, SDI, >100Gbps",128GB,8K,100Gbps,4320,P,500,米,40,毫秒,"USB 3.1, RS232",AC240V,450,W,未来科技,https://www.futuretech.com,,
1280x720,1,个,"USB 2.0, HDMI, >5Gbps",2GB,720P,5Gbps,480,P,20,米,17,毫秒,HDMI,AC5V,12,W,短视频平台,https://www.shortvideoplatform.com,,
3840x1600,2,个,"HDMI, DisplayPort, >25Gbps",32GB,WQHD,25Gbps,1600,P,120,米,35,毫秒,"USB-C, HDMI",AC220V,100,W,游戏资讯,https://www.gamingnews.com,,
2560x1080,2,个,"USB-C, HDMI, >15Gbps",8GB,UltraWide,15Gbps,1080,P,60,米,20,毫秒,"VGA, HDMI",AC110V,70,W,电子商务网站,https://www.ecommerce.com,,
1280x960,1,个,"HDMI, Ethernet, >5Gbps",4GB,960P,5Gbps,960,P,25,米,30,毫秒,USB 3.0,AC5V,18,W,生活方式博主,https://www.lifestyleblogger.com,,
3840x2160,3,个,"HDMI, USB-C, >25Gbps",32GB,4K,25Gbps,2160,P,200,米,23,毫秒,"RS232, Ethernet",AC220V,130,W,程序员社区,https://www.programmercommunity.com,,
3840x1600,2,个,"HDMI, Ethernet, >35Gbps",64GB,WQHD,35Gbps,1600,P,100,米,32,毫秒,"USB-C, HDMI",AC240V,160,W,数字创意,https://www.digitalcreativity.com,,
1920x1080,1,个,"HDMI, USB, >10Gbps",16GB,1080P,10Gbps,1080,P,50,米,10,毫秒,USB-C,AC220V,55,W,科技媒体,https://www.techmedia.com,,
2560x1440,2,个,"HDMI, Ethernet, >12Gbps",8GB,1440P,12Gbps,1440,P,80,米,20,毫秒,HDMI,AC110V,70,W,视频科技网,https://www.videotechnology.com,,
3840x2160,3,个,"SDI, USB-C, >25Gbps",32GB,4K,25Gbps,2160,P,100,米,27,毫秒,"Ethernet, RS232",AC220V,85,W,高清影音网,https://www.hdvideos.com,,
7680x4320,4,个,"HDMI, SDI, >40Gbps",64GB,8K,40Gbps,4320,P,150,米,50,毫秒,"USB 3.0, Ethernet",AC240V,350,W,图像系统杂志,https://www.imagejournal.com,,
5120x2880,5,个,"USB-C, HDMI, >50Gbps",32GB,5K,50Gbps,2880,P,200,米,28,毫秒,"HDMI, SDI",AC220V,250,W,数码影像,https://www.digitalimage.com,,
1920x1200,1,个,"HDMI, USB, >5Gbps",4GB,WUXGA,5Gbps,1200,P,30,米,15,毫秒,USB-C,AC110V,40,W,智能设备论坛,https://www.smartdeviceforum.com,,
2560x1080,2,个,"HDMI, USB, >15Gbps",8GB,UltraWide,15Gbps,1080,P,85,米,22,毫秒,"USB, RS232",AC220V,65,W,数码生活,https://www.digitalife.com,,
4096x2160,3,个,"HDMI, Ethernet, >30Gbps",16GB,4K DCI,30Gbps,2160,P,90,米,24,毫秒,"USB-C, HDMI",AC240V,95,W,影视动态,https://www.filmnews.com,,
3840x2160,2,个,"SDI, USB, >40Gbps",16GB,4K,40Gbps,2160,P,120,米,30,毫秒,Ethernet,AC220V,100,W,未来视频技术,https://www.futurevideotech.com,,
2560x1600,1,个,"HDMI, USB-C, >8Gbps",8GB,QHD,8Gbps,1600,P,40,米,18,毫秒,HDMI,AC110V,50,W,网络科技,https://www.networktech.com,,
1280x720,2,个,"VGA, HDMI, >5Gbps",4GB,720P,5Gbps,720,P,20,米,12,毫秒,USB,AC5V,30,W,科技观察,https://www.techobservers.com,,
1920x1080,1,个,"HDMI, USB, >10Gbps",8GB,1080P,10Gbps,1080,P,65,米,22,毫秒,"USB-C, HDMI",AC220V,50,W,数字摄影,https://www.digitalphotography.com,,
3840x2160,1,个,"HDMI, SDI, >20Gbps",32GB,4K,20Gbps,2160,P,100,米,15,毫秒,Ethernet,AC220V,90,W,科技展望,https://www.techforecast.com,,
2560x1440,4,个,"USB-C, HDMI, >15Gbps",16GB,1440P,15Gbps,1440,P,75,米,18,毫秒,"USB-C, SDI",AC240V,120,W,信息科技新时代,https://www.informationtech.com,,
1280x720,1,个,"HDMI, USB, >6Gbps",4GB,720P,6Gbps,720,P,20,米,17,毫秒,USB-C,AC5V,22,W,手机摄影爱好者,https://www.smartphonephotography.com,,
3840x2160,3,个,"SDI, HDMI, >40Gbps",32GB,4K,40Gbps,2160,P,150,米,28,毫秒,"RS232, USB",AC220V,95,W,家庭影院影院设备,https://www.homecinemaprojector.com,,
1920x1080,2,个,"HDMI, Ethernet, >15Gbps",8GB,1080P,15Gbps,1080,P,50,米,21,毫秒,"Wall Mount, USB",AC110V,75,W,摄影杂志,https://www.photomag.com,,
2560x1440,1,个,"USB3.0, HDMI, >10Gbps",16GB,1440P,10Gbps,1440,P,60,米,19,毫秒,"HDMI, RS232",AC220V,50,W,电子数码,https://www.electronicdigital.com,,
7680x4320,4,个,"SDI, HDMI, >100Gbps",128GB,8K,100Gbps,4320,P,500,米,40,毫秒,"USB 3.1, Ethernet",AC240V,500,W,下一代媒体技术,https://www.nextgenmediatech.com,,
5120x2880,3,个,"USB-C, HDMI, >25Gbps",32GB,5K,25Gbps,1440,P,80,米,22,毫秒,"USB, RS232",AC110V,120,W,最新科技动态,https://www.latesttechnews.com,,
3840x2160,2,个,"HDMI, Ethernet, >60Gbps",16GB,4K,60Gbps,2160,P,100,米,30,毫秒,"VGA, RS232",AC220V,110,W,高分辨率影像,https://www.highresimages.com,,
2560x1080,1,个,"HDMI, Type-C, >15Gbps",8GB,UltraWide,15Gbps,1080,P,40,米,27,毫秒,"HDMI, USB-C",AC5V,65,W,曲面显示技术,https://www.curveddisplaytech.com,,
1280x720,1,个,"USB, HDMI, >8Gbps",4GB,720P,8Gbps,480,P,30,米,20,毫秒,"HDMI, RS232",AC5V,18,W,家用电子产品,https://www.homeselectronics.com,,
1920x1080,3,个,"HDMI, Ethernet, >20Gbps",8GB,1080P,20Gbps,1080,P,65,米,24,毫秒,"USB, RS232",AC110V,85,W,国际电子展,https://www.internationalelectronicfair.com,,
3840x2160,2,个,"HDMI, USB, >35Gbps",32GB,4K,35Gbps,2160,P,150,米,31,毫秒,"HDMI, USB-C",AC220V,115,W,视讯技术论坛,https://www.videotechforum.com,,
2560x1080,2,个,"HDMI, USB3.0, >15Gbps",16GB,UltraWide,15Gbps,1080,P,85,米,22,毫秒,"Ethernet, USB",AC110V,75,W,科技前沿,https://www.techfrontier.com,,
1280x720,1,个,"USB3.0, HDMI, >5Gbps",2GB,720P,5Gbps,480,P,25,米,15,毫秒,"USB, HDMI",AC5V,12,W,便携设备,https://www.portabledevices.com,,
1920x1080,1,个,"SDI, USB, >10Gbps",8GB,1080P,10Gbps,1080,P,50,米,25,毫秒,"USB-C, Ethernet",AC220V,70,W,电子科技,https://www.electronics.com,,
3840x2160,1,个,"HDMI, USB, >30Gbps",16GB,4K,30Gbps,2160,P,120,米,28,毫秒,"USB-C, Ethernet",AC240V,100,W,高清影视技术,https://www.highdef.com,,
