产线名称,所属公司,产线类型,产线地域（国家）,产线地域（省）,产线地域（市）,投资额（数值型）,单位,建设周期,建成年产能（数值型）,单位.1,采集来源,来源链接,采集时间,备注,,,,,,,,,
先进材料氮化镓产线项目,先进材料股份有限公司,化合物产线,中国,湖南省,长沙市,25000,万元,2024,10000,万片,新材料产业发展报告,https://www.advancedmaterials.com,2024-09-12,,,,,,,,,,
Fujitsu氮化镓生产线项目,富士通株式会社,化合物产线,日本,东京,东京市,35000,万元,2023,15000,万片,Fujitsu年报2023,https://www.fujitsu.com/jp,2024-09-12,,,,,,,,,,
新辉半导体氮化镓线项目,新辉半导体技术有限公司,化合物产线,中国,安徽省,合肥市,20000,万元,2024,11000,万片,合肥市半导体协会,https://www.hfsemiconductor.org,2024-09-12,,,,,,,,,,
星辰氮化镓生产线项目,星辰半导体有限公司,化合物产线,中国,湖北省,武汉市,28000,万元,2022,9000,万片,2023年半导体大会,https://www.semiconductorconference.cn,2024-09-12,,,,,,,,,,
格科微氮化镓生产线项目,格科微电子科技有限公司,化合物产线,中国,广东省,珠海市,22000,万元,2023,13000,万片,格科微年报2023,https://www.gokemicro.com,2024-09-12,,,,,,,,,,
台积电氮化镓产线项目,台积电股份有限公司,化合物产线,台湾,新北市,新北市,40000,万元,2024,20000,万片,台积电年报2024,https://www.tsmc.com,2024-09-12,,,,,,,,,,
长江存储氮化镓生产线项目,长江存储科技有限公司,化合物产线,中国,湖北省,武汉市,45000,万元,2021,3500,万片,2023年氮化镓市场分析,https://www.chinamarketreport.com/gan2023,2024-09-12,,,,,,,,,,
日月光半导体氮化镓线项目,日月光半导体制造公司,化合物产线,台湾,台南市,台南市,38000,万元,2022,5000,万片,台灣半導體產業論壇,https://www.taiwansemiconductorforum.com,2024-09-12,,,,,,,,,,
创源半导体氮化镓生产线项目,创源科技有限公司,化合物产线,中国,江苏省,南京市,26000,万元,2022,8000,万片,2022年中国半导体行业概览,https://www.chinasemiconductorreport.com,2024-09-12,,,,,,,,,,
民族光电氮化镓研发产线,民族光电科技有限公司,化合物产线,中国,上海市,上海市,50000,万元,2023,10000,万片,icHub,https://www.ichub.com,2024-09-12,,,,,,,,,,
安费诺氮化镓生产线项目,安费诺电子有限公司,化合物产线,美国,加利福尼亚州,洛杉矶市,42000,万元,2024,7000,万片,美国半导体市场年报,https://www.ussemiconductorreport.com,2024-09-12,,,,,,,,,,
英特尔氮化镓研发线,英特尔公司,化合物产线,爱尔兰,勒里克郡,肖圣特尔,35000,万元,2023,9000,万片,2023年全球半导体技术前景,https://www.internationaltechnologymag.com,2024-09-12,,,,,,,,,,
Rohm半导体氮化镓生产线,Rohm Semiconductor,化合物产线,日本,京都府,京都市,31000,万元,2024,12000,万片,日本半导体产业周报,https://www.japansemiconductorweekly.com,2024-09-12,,,,,,,,,,
Lumens氮化镓产线项目,Lumens Technologies,化合物产线,新加坡,新加坡,新加坡,29000,万元,2023,11000,万片,2023年亚太半导体行业报告,https://www.apacsemiconductorreview.com,2024-09-12,,,,,,,,,,
光频科技氮化镓生产线,光频科技有限公司,化合物产线,中国,浙江省,杭州市,32000,万元,2023,6000,万片,2022年中国半导体技术白皮书,https://www.chinasemiconductorwhitepaper.com,2024-09-12,,,,,,,,,,
中航电子氮化镓集成线项目,中航电子科技有限公司,化合物产线,中国,北京市,北京市,32000,万元,2023,5000,万片,电子技术应用杂志,http://www.elecfans.com/,2024-09-12,,,,,,,,,,
力成半导体氮化镓生产线项目,力成科技股份有限公司,化合物产线,台湾,台中市,台中市,28000,万元,2024,7000,万片,电子时报,http://www.digitimes.com/,2024-09-12,,,,,,,,,,
智芯半导体氮化镓制造项目,智芯科技有限公司,化合物产线,中国,浙江省,杭州市,40000,万元,2022,12000,万片,半导体行业观察,http://www.semi.org.cn/,2024-09-12,,,,,,,,,,
LG能量氮化镓线项目,LG电子,化合物产线,韩国,京畿道,水原市,35000,万元,2023,8000,万片,LG电子官方网站,https://www.lg.com/,2024-09-12,,,,,,,,,,
德州仪器氮化镓生产线项目,德州仪器公司,化合物产线,美国,德克萨斯州,达拉斯市,50000,万元,2024,15000,万片,德州仪器年报,https://www.ti.com/,2024-09-12,,,,,,,,,,
欧洲半导体氮化镓项目,欧洲半导体公司,化合物产线,德国,巴伐利亚州,慕尼黑市,48000,万元,2023,11000,万片,欧洲半导体新闻,http://www.electronicwastemagazine.com/,2024-09-12,,,,,,,,,,
先锋半导体氮化镓线项目,先锋科技有限公司,化合物产线,新加坡,新加坡,新加坡,15000,万元,2024,6000,万片,新加坡科技日报,https://www.straitstimes.com/,2024-09-12,,,,,,,,,,
晶方科技氮化镓生产线项目,晶方科技有限公司,化合物产线,中国,上海市,上海市,27000,万元,2023,9000,万片,现代电子产业,http://www.electronicindustry.com/,2024-09-12,,,,,,,,,,
ASML氮化镓半导体线项目,ASML,化合物产线,荷兰,北荷兰省,飞利浦市,60000,万元,2024,20000,万片,ASML投资报告,https://www.asml.com/,2024-09-12,,,,,,,,,,
创维氮化镓生产线项目,创维智能科技有限公司,化合物产线,中国,广东省,广州市,22000,万元,2023,7000,万片,创维官网,https://www.skyworth.com,2024-09-12,,,,,,,,,,
雷科氮化镓厂房项目,雷科电子科技股份有限公司,化合物产线,中国,江苏省,南京市,30000,万元,2020,9000,万片,雷科半导体年报,https://www.leike.com/report2022,2024-09-12,,,,,,,,,,
亚西科技氮化镓制造线,亚西科技有限公司,化合物产线,美国,加利福尼亚州,圣荷西市,25000,万元,2024,12000,万片,TechCrunch,https://techcrunch.com,2024-09-12,,,,,,,,,,
台湾新能氮化镓生产设施,台湾新能半导体公司,化合物产线,中国台湾,,台北市,28000,万元,2023,8000,万片,电子时报,https://www.eettaiwan.com,2024-09-12,,,,,,,,,,
松下半导体氮化镓厂线项目,松下电器公司,化合物产线,日本,大阪府,大阪市,40000,万元,2022,15000,万片,松下官网,https://www.panasonic.com,2024-09-12,,,,,,,,,,
DFN科技氮化镓生产线项目,DFN科技有限公司,化合物产线,中国,浙江省,杭州市,17000,万元,2023,6000,万片,DFN报告2023,https://www.dfn-tech.com/report,2024-09-12,,,,,,,,,,
瑞士格伦半导体氮化镓产品线,瑞士格伦公司,化合物产线,瑞士,巴塞尔,巴塞尔市,38000,万元,2025,11000,万片,瑞士格伦官网,https://www.swissglen.com,2024-09-12,,,,,,,,,,
显微电子研究所氮化镓产线,显微电子研究院,化合物产线,中国,四川省,成都市,31000,万元,2024,9500,万片,电子科技大学,https://www.ustc.edu,2024-09-12,,,,,,,,,,
Edison半导体氮化镓制造线,Edison半导体有限公司,化合物产线,南非,东开普省,开普敦市,15000,万元,2023,5000,万片,Africa Tech News,https://www.africatechnews.com,2024-09-12,,,,,,,,,,
东南科技氮化镓中试线项目,东南科技有限公司,化合物产线,中国,浙江省,宁波市,22000,万元,2023,12000,万片,2023年中国半导体行业发展报告,https://www.semi.org/zh/China-Semiconductor-Industry-Report,2024-09-12,,,,,,,,,,
德州仪器氮化镓增产线项目,德州仪器公司,化合物产线,美国,德克萨斯州,达拉斯市,50000,万元,2024,25000,万片,IC Insights,https://www.icinsights.com/,2024-09-12,,,,,,,,,,
欧司朗氮化镓新品线项目,欧司朗半导体公司,化合物产线,德国,巴伐利亚州,慕尼黑市,35000,万元,2022,18000,万片,Electronics Weekly,https://www.electronicsweekly.com/,2024-09-12,,,,,,,,,,
瑞萨电子氮化镓先进生产线,瑞萨电子株式会社,化合物产线,日本,东京,东京市,28000,万元,2025,22000,万片,TechWatch,https://www.techwatch.com/,2024-09-12,,,,,,,,,,
普瑞迈氮化镓扩建项目,普瑞迈科技有限公司,化合物产线,中国,江苏省,无锡市,15000,万元,2023,8000,万片,2023年中国半导体市场分析,https://www.snm.org.cn/,2024-09-12,,,,,,,,,,
意法半导体氮化镓研发线,意法半导体公司,化合物产线,法国,巴黎,巴黎市,30000,万元,2024,15000,万片,电子产品世界,https://www.eepw.com.cn/,2024-09-12,,,,,,,,,,
英特尔氮化镓新建项目,英特尔公司,化合物产线,美国,亚利桑那州,图森市,60000,万元,2024,35000,万片,Forbes科技,https://www.forbes.com/technology/,2024-09-12,,,,,,,,,,
华为氮化镓智能线,华为技术有限公司,化合物产线,中国,安徽省,合肥市,40000,万元,2023,30000,万片,华为技术官网,https://www.huawei.com/,2024-09-12,,,,,,,,,,
STMicroelectronics氮化镓升级项目,STMicroelectronics,化合物产线,意大利,伦巴第大区,米兰市,32000,万元,2025,19000,万片,全球半导体协会,https://www.semi.org,2024-09-12,,,,,,,,,,
天合光能氮化镓产线项目,天合光能股份有限公司,化合物产线,中国,江苏省,常州市,22000,万元,2023,12000,万片,半导体行业协会,https://www.semi.org,2024-09-12,,,,,,,,,,
安森美半导体氮化镓生产线项目,安森美半导体有限公司,化合物产线,美国,加利福尼亚州,圣荷西市,15000,万元,2022,9000,万片,市场调研报告,https://www.researchgate.net,2024-09-12,,,,,,,,,,
力合科技氮化镓生产线项目,力合科技集团,化合物产线,中国,浙江省,杭州市,12500,万元,2024,6000,万片,行业投资报告,https://www.icinsights.com,2024-09-12,,,,,,,,,,
Mitsubishi电机氮化镓生产线项目,三菱电机,化合物产线,日本,爱知县,名古屋市,30000,万元,2025,11000,万片,企业年报,https://www.mitsubishi.com,2024-09-12,,,,,,,,,,
Broadcom氮化镓产线扩展项目,Broadcom Inc.,化合物产线,美国,德克萨斯州,奥斯汀市,40000,万元,2023,20000,万片,行业分析报告,https://www.broadcom.com,2024-09-12,,,,,,,,,,
中晶半导体氮化镓生产线项目,中晶半导体有限公司,化合物产线,中国,四川省,成都市,18000,万元,2024,8000,万片,中国半导体报告,https://www.chinasemiconductor.com,2024-09-12,,,,,,,,,,
Infineon氮化镓生产线项目,英飞凌科技股份公司,化合物产线,德国,巴伐利亚州,慕尼黑市,26000,万元,2025,15000,万片,企业战略会议纪要,https://www.infineon.com,2024-09-12,,,,,,,,,,
台积电氮化镓产线项目,台湾积体电路制造股份有限公司,化合物产线,中国台湾,新北市,三峡区,75000,万元,2023,30000,万片,半导体技术论坛,https://www.tsmc.com,2024-09-12,,,,,,,,,,
Goodix氮化镓生产线项目,良信科技有限公司,化合物产线,中国,安徽省,合肥市,10000,万元,2022,5000,万片,科技新闻报道,https://www.goodix.com,2024-09-12,,,,,,,,,,
Microchip氮化镓产线项目,Microchip Technology Inc.,化合物产线,美国,亚利桑那州,图森市,19000,万元,2024,7000,万片,行业展会资讯,https://www.microchip.com,2024-09-12,,,,,,,,,,
华虹半导体氮化镓研发项目,华虹半导体有限公司,化合物产线,中国,北京,北京市,8000,万元,2023,2000,万片,电子产业网,https://www.electronicindustry.com/,2024-09-12,,,,,,,,,,
Skyworks氮化镓技术平台,"Skyworks Solutions, Inc.",化合物产线,美国,加利福尼亚州,尔湾,12000,万元,2024,5000,万片,华尔街日报,https://www.wsj.com/,2024-09-12,,,,,,,,,,
Sony氮化镓生产线扩建项目,索尼科技公司,化合物产线,日本,东京,东京市,6000,万元,2023,7000,万片,日本经济新闻,https://www.nikkei.com/,2024-09-12,,,,,,,,,,
英特尔氮化镓扩展设施,英特尔公司,化合物产线,爱尔兰,利默里克,利默里克市,25000,万元,2025,10000,万片,芯片日报,https://www.chipdaily.com/,2024-09-12,,,,,,,,,,
美满科技氮化镓生产线项目,美满科技有限公司,化合物产线,中国,浙江省,杭州市,15000,万元,2022,9000,万片,汇通网,https://www.huitong.com/,2024-09-12,,,,,,,,,,
特斯拉氮化镓电源模块生产线,特斯拉公司,化合物产线,美国,德克萨斯州,奥斯丁,30000,万元,2024,12000,万片,特斯拉官方公告,https://www.tesla.com/,2024-09-12,,,,,,,,,,
上海兆芯氮化镓生产线项目,上海兆芯集成电路有限公司,化合物产线,中国,上海市,上海市,22000,万元,2023,8000,万片,光电技术网,https://www.optoelectronics.com/,2024-09-12,,,,,,,,,,
瑞萨电子氮化镓晶体管项目,瑞萨电子株式会社,化合物产线,日本,兵库县,神户市,18000,万元,2024,6000,万片,半导体行业协会,https://www.semiconductors.org/,2024-09-12,,,,,,,,,,
意法半导体氮化镓解决方案生产线,意法半导体,化合物产线,法国,巴黎,巴黎市,21000,万元,2023,7500,万片,电子观察,https://www.electronicobservation.com/,2024-09-12,,,,,,,,,,
Aixtron氮化镓沉积技术线,Aixtron SE,化合物产线,德国,北莱茵-威斯特法伦,亚琛,30000,万元,2025,10000,万片,国际半导体技术大会,https://www.semi.org/,2024-09-12,,,,,,,,,,
启迪氮化镓制造项目,启迪科技集团,化合物产线,中国,浙江省,杭州市,22000,万元,2023,12000,万片,启迪科技新闻,https://www.qidi.com/news,2024-09-12,,,,,,,,,,
富士氮化镓发展项目,富士电机株式会社,化合物产线,日本,东京,东京市,30000,万元,2024,20000,万片,富士电机官网,https://www.fujielectric.com,2024-09-12,,,,,,,,,,
微芯半导体氮化镓项目,微芯半导体有限公司,化合物产线,新加坡,新加坡,新加坡市,15000,万元,2022,8000,万片,新加坡经济论坛,https://www.singaporebusiness.com,2024-09-12,,,,,,,,,,
Luminous氮化镓生产线项目,Luminous Technologies,化合物产线,美国,加利福尼亚州,旧金山,28000,万元,2023,18000,万片,Luminous年度报道,https://www.luminous.tech,2024-09-12,,,,,,,,,,
赫兹氮化镓项目,赫兹半导体有限责任公司,化合物产线,中国,山东省,济南市,17000,万元,2021,11000,万片,中国半导体行业协会,https://www.csia.org.cn,2024-09-12,,,,,,,,,,
宏博氮化镓产线项目,宏博半导体有限公司,化合物产线,台湾,新北市,新北市,25000,万元,2024,15000,万片,台湾科技新闻,https://www.taiwantechnews.com,2024-09-12,,,,,,,,,,
海力士氮化镓生产线项目,SK海力士,化合物产线,韩国,京畿道,城南市,35000,万元,2023,20000,万片,SK海力士官网,https://www.skhynix.com,2024-09-12,,,,,,,,,,
纳米集成氮化镓产线项目,纳米集成电路科技公司,化合物产线,中国,江苏省,无锡市,19000,万元,2022,12000,万片,无锡日报,https://www.wuxidaily.com,2024-09-12,,,,,,,,,,
GF氮化镓集成线项目,GlobalFoundries,化合物产线,美国,纽约州,苏珊镇,40000,万元,2024,30000,万片,GlobalFoundries官方公告,https://www.globalfoundries.com,2024-09-12,,,,,,,,,,
华芯氮化镓光电产线项目,华芯半导体股份有限公司,化合物产线,中国,江苏省,南京市,32000,万元,2023,8000,万片,华尔街日报,https://www.wsj.com,2024-09-12,,,,,,,,,,
优胜氮化镓制造项目,优胜科技有限公司,化合物产线,中国,浙江省,杭州市,15000,万元,2024,12000,万片,仲裁创新网,https://www.innovation.com.cn,2024-09-12,,,,,,,,,,
三安新能源氮化镓生产线项目,三安新能源股份有限公司,化合物产线,中国,湖北省,武汉市,27000,万元,2025,20000,万片,2023年氮化镓年度报告,https://www.ganreport.com,2024-09-12,,,,,,,,,,
纳米技术氮化镓研发项目,纳米科技股份有限公司,化合物产线,美国,加州,硅谷,30000,万元,2024,10000,万片,Scientific American,https://www.scientificamerican.com,2024-09-12,,,,,,,,,,
维诺尔氮化镓技术制造线,维诺尔半导体有限公司,化合物产线,中国,山东省,青岛市,22000,万元,2025,9000,万片,半导体观察,https://www.semiconductorwatch.com,2024-09-12,,,,,,,,,,
智汇氮化镓高效线,智汇科技股份公司,化合物产线,中国,河南省,郑州市,18000,万元,2023,14000,万片,2023年度中国半导体报告,https://www.china-semiconductors.com,2024-09-12,,,,,,,,,,
新泽氮化镓产业链项目,新泽技术有限公司,化合物产线,中国,四川省,成都市,25000,万元,2024,16000,万片,中国半导体产业网,https://www.chinaic.org,2024-09-12,,,,,,,,,,
格力氮化镓产业平台,格力电器股份有限公司,化合物产线,中国,广东省,珠海市,35000,万元,2023,5000,万片,中国半导体行业协会,https://www.csia.net,2024-09-12,,,,,,,,,,
未来芯片氮化镓产线项目,未来芯片科技有限公司,化合物产线,中国,北京,北京市,40000,万元,2025,20000,万片,电子工程专辑,https://www.electronicsweekly.com,2024-09-12,,,,,,,,,,
晶安科技氮化镓产线项目,晶安科技有限公司,化合物产线,中国,浙江省,杭州市,22000,万元,2021,12000,万片,半导体行业研究院,https://www.semi.org.cn,2024-09-12,,,,,,,,,,
力合氮化镓生产线项目,力合科技股份有限公司,化合物产线,中国,陕西省,西安市,17000,万元,2022,8000,万片,行业观察,https://www.industryobserver.cn,2024-09-12,,,,,,,,,,
艾克斯光电氮化镓生产线项目,艾克斯光电科技有限公司,化合物产线,日本,东京,东京市,30000,万元,2021,5000,万片,日本电子产业协会,https://www.jeita.or.jp,2024-09-12,,,,,,,,,,
华润微氮化镓生产线项目,华润微电子,化合物产线,中国,江苏省,南京市,25000,万元,2023,11000,万片,搜狐科技,https://www.sohu.com,2024-09-12,,,,,,,,,,
长江存储氮化镓生产线项目,长江存储科技有限公司,化合物产线,中国,湖北省,武汉市,55000,万元,2024,18000,万片,国家半导体产业政策研究中心,https://www.china-semiconductor.org,2024-09-12,,,,,,,,,,
格科微氮化镓产线项目,格科微电子有限公司,化合物产线,中国,四川省,成都市,15000,万元,2022,9000,万片,福布斯中文网,https://www.forbes.com.cn,2024-09-12,,,,,,,,,,
美国半导体氮化镓生产线项目,美国半导体公司,化合物产线,美国,加利福尼亚州,洛杉矶市,40000,万元,2023,20000,万片,美国半导体协会,https://www.semiconductors.org,2024-09-12,,,,,,,,,,
华为氮化镓产线项目,华为技术有限公司,化合物产线,中国,广东省,东莞市,50000,万元,2024,30000,万片,华为财报,https://www.huawei.com,2024-09-12,,,,,,,,,,
安森美氮化镓生产线项目,安森美半导体公司,化合物产线,美国,德克萨斯州,奥斯汀市,22000,万元,2022,16000,万片,安森美官网,https://www.ansys.com,2024-09-12,,,,,,,,,,
經緯氮化镓产线项目,經緯半导体科技有限公司,化合物产线,台湾,台北市,台北市,20000,万元,2023,7500,万片,台湾半导体协会,https://www.tsia.org.tw,2024-09-12,,,,,,,,,,
中晶科技氮化镓智能制造线项目,中晶科技有限公司,化合物产线,中国,浙江省,杭州市,12000,万元,2021,8000,万片,中晶研发报告,https://www.zhongjingtech.com/research,2024-09-12,,,,,,,,,,
灵动半导体氮化镓生产线项目,灵动半导体股份有限公司,化合物产线,中国,上海市,上海市,18000,万元,2023,9500,万片,半导体行业年度回顾,https://www.semiconductorreview.com,2024-09-12,,,,,,,,,,
光电科技氮化镓高效产线项目,光电科技集团,化合物产线,中国,广东省,广州市,22000,万元,2022,12000,万片,光电行业动态,https://www.photoelectricnews.cn,2024-09-12,,,,,,,,,,
英特尔氮化镓生产线扩建项目,英特尔公司,化合物产线,美国,加利福尼亚州,圣克拉拉,50000,万元,2023,20000,万片,英特尔财报,https://www.intel.com,2024-09-12,,,,,,,,,,
NEO半导体氮化镓特色产线项目,NEO半导体有限公司,化合物产线,台湾,台中市,待确认,16000,万元,2022,7000,万片,NEO官网,https://www.neo.com.tw,2024-09-12,,,,,,,,,,
三星氮化镓先进制造线项目,三星电子,化合物产线,韩国,京畿道,水原市,40000,万元,2023,15000,万片,三星科技展览会,https://www.samsung.com,2024-09-12,,,,,,,,,,
台湾积体电路氮化镓项目,台湾积体电路制造公司,化合物产线,台湾,新北市,三峡区,30000,万元,2022,17000,万片,台湾科技新闻,https://www.tsmc.com,2024-09-12,,,,,,,,,,
元禾电子氮化镓高端产线项目,元禾电子有限公司,化合物产线,中国,北京市,北京市,32000,万元,2023,11000,万片,芯片市场分析,https://www.chipmarketresearch.com,2024-09-12,,,,,,,,,,
联发科氮化镓智能产业线项目,联发科技股份有限公司,化合物产线,中国,四川省,成都市,26000,万元,2024,13000,万片,联发科技发布,https://www.mediatek.com,2024-09-12,,,,,,,,,,
信利半导体氮化镓生产线项目,信利半导体科技有限公司,化合物产线,中国,浙江省,宁波市,12000,万元,2023,8000,万片,半导体市场调查,https://www.semiconductor.com/,2024-09-12,,,,,,,,,,
瑞萨氮化镓研发线项目,瑞萨电子股份有限公司,化合物产线,日本,东京,东京市,35000,万元,2024,6000,万片,Nikkei Electronics,https://www.nikkei.com/electronics/,2024-09-12,,,,,,,,,,
英飞凌氮化镓制造线项目,英飞凌科技公司,化合物产线,德国,巴伐利亚,慕尼黑市,45000,万元,2022,12000,万片,英飞凌官网,https://www.infineon.com/,2024-09-12,,,,,,,,,,
思瑞氮化镓生产线项目,思瑞半导体有限公司,化合物产线,中国,陕西省,西安市,15000,万元,2023,9000,万片,China Semiconductor Industry Report,https://www.csia.org.cn/,2024-09-12,,,,,,,,,,
华润微电子氮化镓项目,华润微电子有限公司,化合物产线,中国,江苏省,南京市,22000,万元,2023,11000,万片,半导体行业分析,https://www.semiconductors.org/,2024-09-12,,,,,,,,,,
美商氮化镓生产线项目,美商半导体公司,化合物产线,美国,加利福尼亚州,圣荷西市,27000,万元,2024,14000,万片,Semiconductors News,https://www.semiconductorsnews.com/,2024-09-12,,,,,,,,,,
云海智能氮化镓产线项目,云海技术有限公司,化合物产线,新加坡,中央区,新加坡市,19000,万元,2024,10000,万片,Asian Semiconductor Outlook,https://www.asiansemiconductor.com/,2024-09-12,,,,,,,,,,
宇航电气氮化镓项目,宇航电气股份有限公司,化合物产线,中国,四川省,成都市,30000,万元,2022,15000,万片,China Electronic Technology,https://www.cet.com.cn/,2024-09-12,,,,,,,,,,
泰克半导体氮化镓线项目,泰克半导体有限公司,化合物产线,中国,湖南省,长沙市,16000,万元,2023,12000,万片,Semiconductor International,https://www.semiconductorinternational.com/,2024-09-12,,,,,,,,,,
东芯氮化镓研发线项目,东芯半导体有限公司,化合物产线,中国,浙江省,杭州市,12000,万元,2023,8000,万片,2023年电子行业市场分析,https://www.electronicsource.com/,2024-09-12,,,,,,,,,,
世强氮化镓创新线项目,世强科技有限公司,化合物产线,中国,北京市,北京市,35000,万元,2022,6000,万片,电子元件行业年报,https://www.techsource.com/,2024-09-12,,,,,,,,,,
新光电氮化镓智能制造线项目,新光电科技有限公司,化合物产线,中国,四川省,成都市,22000,万元,2024,15000,万片,2024年氮化镓产业研究报告,https://www.galliumresearch.com/,2024-09-12,,,,,,,,,,
雷科氮化镓扩展线项目,雷科科技股份有限公司,化合物产线,美国,加利福尼亚州,圣荷西市,28000,万元,2023,20000,万片,Silicon Valley Tech Review,https://www.svtechreview.com/,2024-09-12,,,,,,,,,,
英特尔氮化镓技术线项目,英特尔公司,化合物产线,美国,亚利桑那州,凤凰城市,50000,万元,2024,30000,万片,Intel Annual Report 2023,https://www.intel.com/,2024-09-12,,,,,,,,,,
瑞萨氮化镓高效线项目,瑞萨电子,化合物产线,日本,东京,东京市,22000,万元,2023,18000,万片,2023年度半导体行业报告,https://www.renesas.com/,2024-09-12,,,,,,,,,,
意法半导体氮化镓优化线项目,意法半导体,化合物产线,法国,普罗旺斯,艾克斯市,26000,万元,2024,24000,万片,2023年意法半导体科技论坛,https://www.st.com/,2024-09-12,,,,,,,,,,
高通氮化镓创新线项目,高通公司,化合物产线,美国,德克萨斯州,奥斯汀市,40000,万元,2023,12000,万片,Qualcomm Innovation Day 2023,https://www.qualcomm.com/,2024-09-12,,,,,,,,,,
日本氮化镓技术研究线项目,SOITEC,化合物产线,日本,大阪府,大阪市,30000,万元,2024,15000,万片,2023年半导体技术趋势,https://www.soitec.com/,2024-09-12,,,,,,,,,,
诚毅氮化镓集成线项目,诚毅半导体有限公司,化合物产线,中国,浙江省,宁波市,22000,万元,2022,7500,万片,2022年氮化镓市场报告,https://www.china-ga-nitride-report.com,2024-09-12,,,,,,,,,,
津宇半导体氮化镓新线项目,津宇科技有限公司,化合物产线,中国,天津市,天津市,12000,万元,2023,5000,万片,科技发展与投资,https://www.tech-investment.com,2024-09-12,,,,,,,,,,
Ascend氮化镓高效产线项目,Ascend材料科技有限公司,化合物产线,美国,加利福尼亚州,旧金山市,35000,万元,2024,10000,万片,GaN Technology Insights,https://www.gantechinsights.com,2024-09-12,,,,,,,,,,
OptoPower氮化镓新产品线,OptoPower股份有限公司,化合物产线,日本,东京,东京市,29000,万元,2023,8000,万片,日本半导体产业分析,https://www.japan-semiconductor-analysis.com,2024-09-12,,,,,,,,,,
结晶氮化镓创新线,结晶半导体发展有限公司,化合物产线,中国,四川省,成都市,18000,万元,2021,6000,万片,半导体行业新闻,https://www.semi-news.com,2024-09-12,,,,,,,,,,
UltraGaN氮化镓提升线,UltraGaN科技有限公司,化合物产线,中国,新疆,乌鲁木齐市,22000,万元,2025,9500,万片,中国新能源科技发展,https://www.china-new-energy-tech.com,2024-09-12,,,,,,,,,,
SkyHigh半导体氮化镓生产线,SkyHigh科技集团,化合物产线,韩国,京畿道,水原市,15000,万元,2023,7000,万片,半导体行业前沿,https://www.semiindustryfrontier.com,2024-09-12,,,,,,,,,,
能源前沿氮化镓生产线,能源前沿科技有限公司,化合物产线,英国,伦敦,伦敦市,26000,万元,2024,11000,万片,全球能源科技更新,https://www.global-energy-tech-update.com,2024-09-12,,,,,,,,,,
下一代氮化镓研发线项目,下一代半导体有限公司,化合物产线,中国,湖南省,长沙市,30000,万元,2025,12500,万片,未来趋势科技,https://www.futuretrend-tech.com,2024-09-12,,,,,,,,,,
中科院氮化镓项目,中国科学院半导体研究所,化合物产线,中国,北京市,北京市,12000,万元,2023,8000,万片,中科院研究报告,https://www.cas.cn/,2024-09-12,,,,,,,,,,
六氟化镓氮化镓制备线,六氟化镓科技股份有限公司,化合物产线,中国,湖南省,长沙市,5000,万元,2024,3000,万片,科技经济导刊,https://www.tech-econ.com/,2024-09-12,,,,,,,,,,
