标准编号（字符型）,标准名称（字符型）,每秒帧数（数值型）,单位,像素深度（字符型）,视频质量（字符型）,宽长比（字符型）,实施日期（日期型）,实施范围（字符型）,采集来源,来源链接,采集时间,备注【疑问汇总】
ITU-R BT.2100,HDR视频标准,120,fps,10bit,超高清晰度,16:09,2017-08-01,全球,IEEE,https://www.ieee.org,,
AV1,下一代视频编码标准,60,fps,10bit,超高清晰度,16:09,2018-06-01,全球,AOMedia,https://aomediacodec.github.io/av1-specification/,,
H.266/VVC,视频编码标准,120,fps,10bit,超高清晰度,21:09,2020-07-31,全球,ITU,https://www.itu.int/en/ITU-T/Studies/Pages/default.aspx,,
H.264/AVC,高级视频编码标准,30,fps,8bit,高清晰度,16:09,2003-05-01,全球,Wikipedia,https://en.wikipedia.org/wiki/H.264/MPEG-4_AVC,,
JPWL,JPEG 2000视频标准,25,fps,12bit,高清晰度,4:3,2005-11-01,全球,JPEG,https://jpeg.org/,,
HEVC/H.265,高效视频编码标准,120,fps,12bit,超高清晰度,16:09,2013-01-01,全球,Xiph,https://xiph.org/,,
AVS2,中国音视频编码标准,60,fps,10bit,超高清晰度,16:09,2018-05-01,中国,中国广播电视学会,http://www.cab.gov.cn/,,
ITU-T H.650,下一代视讯标准,60,fps,12bit,超高清晰度,16:09,2022-03-15,全球,ITU,https://itu.int/en/ITU-T/Pages/default.aspx,,
ISO/IEC 23090,媒体技术标准,50,fps,10bit,高清晰度,16:09,2021-10-01,全球,ISO,https://www.iso.org/,,
ATSC 3.0,先进电视系统委员会标准,60,fps,10bit,超高清晰度,16:09,2017-11-01,美国,ATSC,https://www.atsc.org/,,
ITU-R BT.2100,高动态范围视频,120,fps,12bit,超高清晰度,16:09,2017-05-15,全球,HDMI Forum,https://www.hdmi.org,,
AVC/H.264,自适应视频编码,60,fps,10bit,高清晰度,16:09,2005-05-23,全球,ITU,https://www.itu.int/en/ITU-T/informals/avc/Pages/default.aspx,,
H.266/VVC,视频压缩标准,120,fps,10bit,超高清晰度,21:09,2020-07-20,全球,Fraunhofer HHI,https://www.hhi.fraunhofer.de/en/press-media/press-releases/press-releases-2022/h-266-vvc.html,,
AVS2,中国音视频编码标准,60,fps,10bit,高清晰度,16:09,2018-06-01,中国,中国国家标准化管理委员会,http://www.sac.gov.cn,,
ISDB-T,日本地面数字电视广播标准,30,fps,8bit,高清晰度,16:09,2003-11-01,日本,NHK,https://www.nhk.or.jp,,
HEVC,高效视频编码,60,fps,10bit,超高清晰度,16:09,2013-10-01,全球,MPEG,http://www.mpeg.org,,
VP9,谷歌视频编解码器,60,fps,10bit,超高清晰度,16:09,2013-06-17,全球,Google Developers,https://developers.google.com/media/vp9,,
AV1,开放视频编码标准,120,fps,12bit,超高清晰度,21:09,2018-03-28,全球,AOMedia,https://aomedia.org,,
NGA,下一代电视标准,60,fps,10bit,超高清晰度,16:09,2021-09-01,欧洲,EBU,https://ebu.ch,,
JPEG XS,低延迟视频编码,60,fps,12bit,超高清晰度,16:09,2020-03-01,全球,JPEG Group,http://jpeg.org,,
ITU-R BT.2100,超高清电视和高动态范围标准,120,fps,12bit,超高清晰度,16:09,2017-08-01,全球,AVS论坛,https://www.avsforum.com,,
VVC,视频编码专家组标准,60,fps,10bit,超高清晰度,16:09,2021-07-01,全球,MPEG官方网站,https://mpeg.chiariglione.org,,
H.266/VVC,下一代视频编码标准,120,fps,10bit,超高清晰度,21:09,2022-01-15,全球,IEEE,https://ieeexplore.ieee.org,,
AV1,开放视频编码标准,60,fps,8bit,高质量,16:09,2018-12-01,全球,Alliance for Open Media,https://aomedia.org,,
HEVC,高效视频编码标准,30,fps,10bit,高质量,16:09,2013-10-01,全球,Netflix,https://www.netflix.com,,
Rec. 2100,高动态范围视频标准,60,fps,12bit,超高清晰度,16:09,2019-05-01,全球,ITU,https://www.itu.int,,
AVS2,中国音视频编码标准,60,fps,10bit,超高清晰度,16:09,2016-10-01,中国,AVS联盟,http://www.itu.int/en/ITU-T/recommendations/Pages/default.aspx,,
H.264/AVC,高级视频编码标准,30,fps,8bit,高清晰度,4:3,2003-05-01,全球,ITU,https://www.itu.int,,
HEVC Main10,10bit Main Profile,60,fps,10bit,超高清晰度,16:09,2015-01-01,北美,BDA,http://www.bda.org,,
SMPTE ST 2084,高动态范围视频显示标准,60,fps,10bit,超高清晰度,16:09,2014-05-01,全球,SMPTE,https://www.smpte.org,,
ITU-R BT.2100,HDR视频标准,120,fps,10bit,超高清晰度,16:09,2017-12-01,全球,IEEE,https://ieeexplore.ieee.org/Xplore/home.jsp,,
AV1,新一代视频编码标准,60,fps,10bit,超高清晰度,16:09,2018-06-01,全球,编码技术网站,https://www.codec.org/,,
H.266/VVC,高效视频编码标准 (VVC),120,fps,10bit,超高清晰度,16:09,2020-07-01,全球,ITU,https://www.itu.int/en/ITU-T/lecturesharing/Pages/default.aspx,,
HEVC Extension,高效率视频编码扩展,30,fps,12bit,超高清晰度,21:09,2021-05-15,全球,科普博客,https://www.techtalks.com,,
SMPTE ST 2110,专业的媒体流标准,60,fps,10bit,高品质,16:09,2017-02-01,全球,SMPTE,https://www.smpte.org,,
DASH,动态自适应流标准,30,fps,8bit,高品质,16:09,2012-11-01,全球,ISO,https://www.iso.org,,
VC-6,高效视频编码标准,120,fps,12bit,超高清晰度,16:09,2021-02-01,全球,视频技术研究,https://www.videotech.com,,
H.264,高级视频编码标准,60,fps,8bit,高清晰度,16:09,2003-05-01,全球,视频编码论坛,https://www.videocodecs.com,,
JPEG XS,高效图像压缩标准,60,fps,10bit,高清晰度,16:09,2018-09-01,全球,JPEG组织,https://jpeg.org,,
AVC,高级视频编码标准,30,fps,10bit,高清晰度,16:09,2009-10-01,全球,视频压缩协会,https://www.videocompression.org,,
ITU-R BT.2100,高动态范围视频标准,120,fps,10bit,超高清晰度,16:09,2017-08-01,全球,IEEE,https://www.ieee.org,,
AV1,下一代视频编码标准,60,fps,10bit,超高清晰度,16:09,2018-03-15,全球,WebM Project,https://www.webmproject.org,,
H.266/VVC,视频编码新标准,60,fps,10bit,超高清晰度,16:09,2020-07-10,全球,Fraunhofer,https://www.fraunhofer.de,,
CAVS H.265,中国视频编码标准,30,fps,8bit,高清晰度,16:09,2016-01-10,中国,CAVS,http://www.cavs.org.cn,,
NAB 2021,广播电视标准,60,fps,12bit,超高清晰度,21:09,2021-04-10,北美,NAB Show,https://www.nabshow.com,,
ISO/IEC 14496-15,MPEG-4分级标准,30,fps,8bit,高清晰度,16:09,2004-10-06,全球,国际标准化组织,https://www.iso.org,,
DVD-Audio,高级数字视频标准,24,fps,24bit,音频标准,16:09,2004-01-01,全球,DVD Forum,http://www.dvdforum.org,,
H.261,视频电话标准,30,fps,8bit,标准清晰度,4:3,1990-06-01,全球,ITU-T,https://www.itu.int,,
AVS2,视频编码标准,60,fps,10bit,超高清晰度,16:09,2016-05-01,中国,智能视频技术,https://www.ivt.org.cn,,
H.265/HEVC,高效视频编码标准,120,fps,10bit,超高清晰度,21:09,2013-02-12,全球,GPAC,https://gpac.wp.mines-paristech.fr,,
ITU-R BT.2100,超高清电视标准,120,fps,10bit,超高清晰度,16:09,2017-06-01,全球,IEEE,https://www.ieee.org,,
H.266/VVC,视频编码效率标准,60,fps,10bit,超高清晰度,16:09,2020-07-15,全球,AVS,https://www.avs.org.cn,,
HEVC-2,高效视频编码2.0,30,fps,12bit,超高清晰度,21:09,2022-03-01,全球,ITU,https://www.itu.int,,
AV1,开放视频编码标准,120,fps,10bit,超高清晰度,16:09,2018-01-31,全球,Alliance for Open Media,https://aomediacodec.github.io/av1-specification/,,
AVS2,视频编码标准 2.0,60,fps,10bit,高清晰度,16:09,2016-12-01,中国,中国音像与数字出版协会,http://www.cadpa.org.cn,,
ISO/IEC 23090,MPEG-I视频,60,fps,8bit,高清晰度,4:3,2020-10-01,全球,ISO,https://www.iso.org,,
RFC 7784,可伸缩视频编码,30,fps,10bit,超高清晰度,16:09,2021-05-01,全球,IETF,https://www.ietf.org,,
IEEE 1857,高效视频编解码,120,fps,12bit,超高清晰度,21:09,2019-09-01,全球,IEEE,https://www.ieee.org,,
SMPTE ST 2110,专业视频传送标准,60,fps,10bit,超高清晰度,16:09,2022-11-01,全球,SMPTE,https://www.smpte.org,,
