视频分辨率（字符型）,图像传感器数目（数值型）,单位,视频采集接口及速率（字符型）,本地缓存容量（字符型）,本地显示分辨率（字符型）,最大传输带宽（字符型）,远程显示分辨率（数值型）,单位.1,传输距离（数值型）,单位.2,系统总延时（数值型）,单位.3,系统调试接口（字符型）,设备供电电压（字符型）,功耗（字符型）,单位.4,采集来源,来源链接,采集时间,备注【疑问汇总】
1920x1200,1,个,"HDMI, VGA, >9Gbps",8GB,WUXGA,9Gbps,600,P,25,米,14,毫秒,USB 3.1,AC220V,55,W,网络科技前沿,https://www.networktechfront.com,,
7680x4320,4,个,"HDMI, DisplayPort, >50Gbps",32GB,8K,50Gbps,4320,P,150,米,40,毫秒,"USB-C, RS485",AC230V,300,W,极客公园,https://www.geekpark.net,,
3840x2160,3,个,"USB-C, HDMI, SDI, >25Gbps",16GB,4K,25Gbps,1440,P,80,米,25,毫秒,USB 3.0,AC120V,150,W,技术前沿,https://www.techfrontier.com,,
1920x1080,2,个,"HDMI, USB, >15Gbps",8GB,1080P,15Gbps,1080,P,70,米,18,毫秒,"USB, RS232",AC220V,80,W,行业动态,https://www.industrytoday.com,,
2560x1440,2,个,"HDMI, SDI, >12Gbps",6GB,QHD,12Gbps,1440,P,60,米,24,毫秒,USB3.1,AC115V,75,W,硬件之家,https://www.hardwarehome.com,,
1280x720,1,个,"USB, HDMI, >5Gbps",2GB,720P,5Gbps,480,P,25,米,12,毫秒,"RS232, USB",DC12V,15,W,评测网,https://www.review.com,,
3840x2160,2,个,"HDMI, Ethernet, >30Gbps",16GB,4K,30Gbps,2160,P,100,米,22,毫秒,"USB-C, RS232",AC220V,120,W,云计算展望,https://www.cloudcomputingforecast.com,,
7680x4320,5,个,"SDI, HDMI, >80Gbps",64GB,8K,80Gbps,4320,P,300,米,35,毫秒,"USB 3.1, RS232",AC240V,400,W,电子科技,https://www.electronictech.com,,
1920x1080,1,个,"VGA, HDMI, >8Gbps",4GB,1080P,8Gbps,720,P,40,米,28,毫秒,"USB, RS232",AC110V,50,W,技术社区,https://www.techcommunity.com,,
2560x1440,3,个,"HDMI, USB 3.0, >18Gbps",12GB,QHD,18Gbps,1440,P,90,米,29,毫秒,"USB 3.1, RS232",AC220V,95,W,数字媒体,https://www.digitalmedia.com,,
7680x4320,4,个,"USB-C, HDMI, Thunderbolt, >50Gbps",32GB,8K,50Gbps,4320,P,150,米,40,毫秒,"USB3.1, RS422",AC230V,250,W,专业摄影论坛,https://www.photographyforum.com/,,
3840x2160,2,个,"HDMI, SDI, >25Gbps",12GB,4K,25Gbps,1440,P,75,米,35,毫秒,"USB, HDMI",AC120V,150,W,技术博客,https://www.techblog.com/,,
1920x1080,1,个,"HDMI, DisplayPort, >15Gbps",8GB,1080P,15Gbps,1080,P,40,米,25,毫秒,"USB, Ethernet",AC110V,70,W,IT新闻,https://www.itnews.com/,,
1280x720,1,个,"USB, HDMI, >5Gbps",4GB,720P,5Gbps,480,P,25,米,10,毫秒,HDMI,AC5V,15,W,视频技术社群,https://www.videotech.com/,,
2560x1440,2,个,"HDMI, USB-C, >15Gbps",16GB,QHD,15Gbps,1080,P,60,米,18,毫秒,"USB, RS232",AC220V,85,W,科技文摘,https://www.techdigest.com/,,
4096x2160,4,个,"HDMI, SDI, >30Gbps",64GB,DCI 4K,30Gbps,4,K,200,米,55,毫秒,"USB-C, Ethernet",AC240V,300,W,广播电视技术,https://www.bttech.com/,,
6400x3600,3,个,"HDMI, DisplayPort, >40Gbps",32GB,6K,40Gbps,1080,P,100,米,35,毫秒,"USB3.0, RS422",AC240V,200,W,高科技展览,https://www.hitechshow.com/,,
1920x1080,2,个,"USB, HDMI, >8Gbps",8GB,1080P,8Gbps,720,P,50,米,22,毫秒,"RS232, USB-C",AC220V,60,W,电子信息网络,https://www.electronicinfo.com/,,
3840x2160,3,个,"USB-C, HDBaseT, >35Gbps",16GB,4K,35Gbps,1440,P,120,米,32,毫秒,"USB, HDMI",AC110V,100,W,数字影像技术,https://www.digitalimaging.com/,,
7680x4320,4,个,"HDMI, DisplayPort, >48Gbps",32GB,8K,48Gbps,4320,P,150,米,40,毫秒,"USB-C, RS422",AC220V,300,W,极客时间,https://time.geekbang.org,,
3840x2160,3,个,"USB-C, SDI, >25Gbps",16GB,4K,25Gbps,1440,P,100,米,28,毫秒,"USB, HDMI",AC110V,150,W,科技日报,https://www.stdaily.com,,
2560x1440,2,个,"HDMI, USB, >15Gbps",8GB,QHD,15Gbps,1080,P,60,米,22,毫秒,"HDMI, RS232, USB",AC220V,80,W,知乎,https://www.zhihu.com,,
1920x1080,1,个,"VGA, HDMI, >10Gbps",4GB,1080P,10Gbps,720,P,40,米,18,毫秒,USB,AC110V,60,W,数码之家,https://www.digichina.com,,
1280x720,1,个,"Type-C, HDMI",2GB,720P,5Gbps,480,P,25,米,16,毫秒,RS232,AC5V,15,W,极客公园,https://www.geekpark.net,,
3840x2160,5,个,"HDMI, USB-C, >30Gbps",64GB,4K,30Gbps,2160,P,120,米,35,毫秒,"HDMI, USB-C",AC220V,250,W,创事记,https://www.cyzone.cn,,
3840x2160,2,个,"HDMI, SDI, >20Gbps",12GB,4K,20Gbps,1440,P,150,米,30,毫秒,USB,AC220V,160,W,云计算网,https://www.yunqiang.com,,
1920x1080,3,个,"HDMI, VGA, >10Gbps",8GB,FHD,10Gbps,720,P,35,米,19,毫秒,"USB, RS232",AC110V,55,W,腾讯视频,https://v.qq.com,,
2560x1440,2,个,"HDMI, USB-C, >12Gbps",4GB,QHD,12Gbps,1080,P,90,米,23,毫秒,"HDMI, USB",AC220V,85,W,网络科技周刊,https://www.techweekly.com,,
7680x4320,4,个,"HDMI, DisplayPort, >50Gbps",32GB,8K,50Gbps,4320,P,150,米,35,毫秒,"USB-C, Ethernet",AC230V,250,W,未来科技,https://www.techfuture.com,,
3840x2160,3,个,"USB-C, HDMI, >30Gbps",16GB,4K,30Gbps,1440,P,80,米,40,毫秒,"USB, RS232",AC120V,120,W,视频技术观察,https://www.videotechnologywatch.com,,
2560x1440,2,个,"HDMI, SDI, >15Gbps",8GB,1440P,15Gbps,1080,P,70,米,25,毫秒,"USB, Ethernet",AC220V,80,W,电子工程师,https://www.electronics-engineer.com,,
1920x1080,1,个,"HDMI, USB-C, >10Gbps",4GB,1080P,10Gbps,720,P,40,米,18,毫秒,"USB, RS232",AC110V,55,W,视听技术论坛,https://www.audiovisualtechforum.com,,
1280x720,2,个,"USB, HDMI, >5Gbps",1GB,720P,5Gbps,480,P,15,米,10,毫秒,"RS232, USB",AC12V,25,W,游戏技术网,https://www.gametec.com,,
7680x4320,5,个,"HDMI, SDI, >70Gbps",64GB,8K,70Gbps,4320,P,200,米,45,毫秒,"USB-C, Thunderbolt",AC230V,300,W,未来视觉,https://www.futurevision.com,,
3840x2160,3,个,"HDMI, DisplayPort, >25Gbps",12GB,4K,25Gbps,1440,P,75,米,28,毫秒,"USB, Ethernet",AC220V,130,W,智能设备观察,https://www.smartdeviceobservation.com,,
1920x1080,2,个,"HDMI, USB, >12Gbps",6GB,1080P,12Gbps,720,P,60,米,22,毫秒,"USB-C, SDI",AC110V,45,W,网络视频分析,https://www.networkvideoanalysis.com,,
1280x720,1,个,"USB, HDMI, >5Gbps",1GB,720P,5Gbps,480,P,10,米,12,毫秒,"USB, RS232",AC5V,20,W,摄像头技术网,https://www.cameratechnology.com,,
7680x4320,4,个,"HDMI, DisplayPort, SDI, >50Gbps",32GB,8K,50Gbps,4320,P,150,米,40,毫秒,USB-C、RS232、Ethernet,AC220V,300,W,TechInsights,https://www.techinsights.com,,
3840x2160,3,个,"USB-C, HDMI, >25Gbps",16GB,4K,25Gbps,2160,P,80,米,28,毫秒,USB、HDMI,AC110V,150,W,VentureBeat,https://venturebeat.com,,
1920x1080,2,个,"HDMI, USB 3.0, >15Gbps",8GB,1080P,15Gbps,1080,P,50,米,18,毫秒,USB、RS232,AC110V,75,W,ZDNet,https://www.zdnet.com,,
2560x1440,2,个,"USB-C, HDMI, >10Gbps",6GB,1440P,10Gbps,1440,P,35,米,15,毫秒,HDMI、VGA,AC220V,60,W,Gizmodo,https://www.gizmodo.com,,
1280x720,1,个,"USB, VGA, >5Gbps",2GB,720P,5Gbps,480,P,25,米,12,毫秒,USB,AC5V,25,W,CNET,https://www.cnet.com,,
3840x2160,5,个,"HDMI, Fiber Optic, >30Gbps",64GB,4K,30Gbps,2160,P,200,米,35,毫秒,HDMI、USB-C、RS485,AC230V,400,W,Digital Trends,https://www.digitaltrends.com,,
5120x2880,3,个,"USB-C, HDMI, >40Gbps",32GB,5K,40Gbps,2880,P,70,米,25,毫秒,USB-C、HDMI,AC120V,250,W,The Verge,https://www.theverge.com,,
1920x1080,2,个,"HDMI, SDI, >10Gbps",4GB,1080P,10Gbps,720,P,25,米,22,毫秒,USB、SDI,AC110V,55,W,TechRepublic,https://www.techrepublic.com,,
2560x1600,2,个,"USB-C, HDMI, >12Gbps",8GB,WQXGA,12Gbps,1600,P,60,米,18,毫秒,HDMI、USB,AC220V,70,W,AnandTech,https://www.anandtech.com,,
7680x4320,4,个,"HDMI, DisplayPort, >50Gbps",32GB,8K,50Gbps,2160,P,150,米,40,毫秒,USB-C、RS232、HDMI,AC220V,220,W,专业视觉科技,https://www.professionalvideotechnology.com,,
3840x2160,3,个,"USB-C, HDMI, >30Gbps",16GB,4K,30Gbps,1440,P,75,米,25,毫秒,USB 3.0,AC110V,120,W,科技新闻网,https://www.technologynews.com,,
5120x2880,5,个,"HDMI, SDI, >25Gbps",12GB,5K,25Gbps,1080,P,100,米,35,毫秒,USB-C、HDMI,AC110V,150,W,未来科技,https://www.futuretechnology.com,,
1920x1080,2,个,"HDMI, USB, >15Gbps",8GB,1080P,15Gbps,720,P,40,米,18,毫秒,HDMI,AC12V,80,W,数码之家,https://www.digitalhome.com,,
2560x1440,1,个,"USB, HDMI, >10Gbps",6GB,1440P,10Gbps,1080,P,30,米,22,毫秒,USB,AC5V,60,W,消费电子,https://www.consumerelectronics.com,,
1280x720,1,个,"HDMI, VGA, >8Gbps",4GB,720P,8Gbps,480,P,20,米,12,毫秒,RS232,AC5V,15,W,视频技术论坛,https://www.videotechnologyforum.com,,
3840x2160,2,个,"Thunderbolt, HDMI, >35Gbps",16GB,4K,35Gbps,1080,P,80,米,28,毫秒,"USB-C, HDMI",AC220V,130,W,影像技术杂志,https://www.imagingtechmag.com,,
6400x3600,4,个,"HDMI, SDI, >45Gbps",24GB,6K,45Gbps,1440,P,120,米,45,毫秒,USB-C,AC240V,250,W,数字媒体研究,https://www.digitalmediaresearch.com,,
2560x1600,1,个,"HDMI, USB, >10Gbps",6GB,1600P,10Gbps,900,P,30,米,20,毫秒,USB,AC12V,40,W,视讯科技,https://www.videotechnology.com,,
7680x4320,4,个,"HDMI, DisplayPort, >50Gbps",32GB,8K,50Gbps,4320,P,150,米,45,毫秒,USB、RS232、LAN,AC220V,250,W,新华网,https://www.xinhuanet.com,,
5120x2880,3,个,"USB-C, HDMI, >30Gbps",16GB,5K,30Gbps,1440,P,75,米,25,毫秒,USB、RS232等,AC110V,120,W,IT之家,https://www.ithome.com,,
3840x2160,2,个,"HDMI, SDI, >20Gbps",8GB,4K,20Gbps,1080,P,100,米,35,毫秒,USB、HDMI、RS232,DC12V,85,W,数字音视,https://www.digitalaudio.com,,
1920x1080,1,个,"HDMI, VGA, >10Gbps",4GB,1080P,10Gbps,720,P,30,米,20,毫秒,USB,AC110V,60,W,网络技术论坛,https://www.netforum.com,,
1280x720,1,个,"USB, HDMI",2GB,720P,5Gbps,480,P,20,米,15,毫秒,RS232,AC5V,25,W,网络科技年会,https://www.tianhui.com,,
2560x1440,2,个,"HDMI, USB-C, >15Gbps",6GB,QHD,15Gbps,1440,P,60,米,28,毫秒,USB、HDMI,AC220V,75,W,品玩网,https://www.pingwest.com,,
3840x2160,5,个,"HDMI, SDI, >40Gbps",64GB,4K,40Gbps,2160,P,120,米,32,毫秒,USB、RS232、Ethernet,AC110V,180,W,科技日报,https://www.stdaily.com,,
5120x2160,2,个,"USB-C, HDMI, >25Gbps",12GB,5K,25Gbps,1080,P,90,米,40,毫秒,USB、RS232,AC220V,90,W,未来技术汇报,https://www.futuretechreport.com,,
1920x1200,1,个,"HDMI, VGA, >8Gbps",3GB,WUXGA,8Gbps,600,P,30,米,22,毫秒,USB,AC5V,40,W,数字经济论坛,https://www.digital-economy.com,,
