机器人类型,障碍场景,最短路径,平均路径,路径长度标准差,平均迭代次数,采集来源,来源链接,采集时间,备注【疑问汇总】
巡逻机器人,大型公共场所,7,8.5,0.6,11,公共安全部,https://www.mps.gov.cn,,
助力机器人,康复医院,1.2,1.5,0.1,5,中国康复医学会,https://www.crra.org.cn,,
移动机器人,室外开放场地,6,8,0.6,9,中国科学院,https://www.cas.cn,,
服务机器人,酒店大厅,4.5,5.5,0.4,7,中国酒店管理协会,http://www.chinahotel.org,,
工业机器人,自动化生产线,2.5,3.5,0.3,5,中国机械工业联合会,http://www.cmif.org.cn,,
医疗机器人,急救现场,2,2.8,0.2,6,国家卫生健康委员会,https://www.nhc.gov.cn,,
农业机器人,温室栽培,8,10,0.8,11,农业农村部,https://www.moa.gov.cn,,
特种机器人,矿山救援,7,8.5,0.6,14,国家矿山安全监察局,http://www.chinamm.gov.cn,,
清扫机器人,公共交通站台,3,4,0.3,4,中国环保部,http://www.mee.gov.cn,,
搜救机器人,城市灾后重建,9,11,0.9,16,国家应急管理部,https://www.mem.gov.cn,,
配送机器人,城市住宅区,5,7.5,0.5,8,物流与供应链管理协会,http://www.clc.gov.cn,,
教育机器人,学校教室,1.8,2.5,0.15,5,教育部,https://www.moe.gov.cn,,
移动机器人,室外人行道,6,8.5,0.6,11,国际机器人联合会,https://www.ifr.org,,
家政服务机器人,卧室环境,4,5.5,0.4,12,中国家用电器协会,https://www.cheaa.org,,
送餐机器人,餐厅内,3,4.2,0.3,9,行业观察网,https://www.hangye.com,,
扫地机器人,开放式商业空间,2.5,3.5,0.2,7,新华网,https://www.xinhuanet.com,,
物流机器人,仓储环境,12,15,1.2,14,国家物流发展白皮书,https://www.mot.gov.cn,,
救援机器人,地震灾区,9,10.5,0.9,20,中国科学技术协会,https://www.cast.org.cn,,
教育机器人,教室环境,1,1.5,0.1,4,教育技术研究,https://www.jyjs.net,,
巡逻警务机器人,城市街道,7,8,0.5,13,公安部科技信息办公室,https://www.mps.gov.cn,,
农业田间机器人,小麦田,11,13,1.1,15,农业部发展研究中心,https://www.caas.cn,,
陪伴机器人,养老院,2,3,0.4,6,中国老龄事业发展基金会,https://www.clf.org.cn,,
移动机器人,商场环境,4.5,5.8,0.4,9,淘宝网科技研究所,https://www.taobao.com,,
清洁机器人,酒店大堂,3.0,4.2,0.3,7,酒店行业协会,https://www.hotelindustry.org,,
工业机器人,汽车制造工厂,2.5,3.5,0.3,8,中国机械工业联合会,https://www.cmif.org.cn,,
服务机器人,医院走廊,2.0,3.0,0.2,6,中国医院协会,https://www.cmh.org.cn,,
巡逻机器人,城市公园,6.0,8.0,0.6,12,地方公安局科技部,https://www.police.gov.cn,,
农业机器人,果园,8.0,10.5,0.8,11,中国农业大学,https://www.cau.edu.cn,,
物流机器人,仓库,5.0,6.5,0.5,10,京东技术研究院,https://www.jd.com,,
医疗机器人,老年护理中心,1.8,2.5,0.2,5,卫健委,https://www.nhc.gov.cn,,
特种机器人,地震救援现场,9.0,11.0,0.9,14,国家地震局,https://www.csm.gov.cn,,
创新型机器人,社区服务,4.0,5.5,0.4,9,上海市机器人技术研究中心,http://www.shrobot.org,,
移动机器人,室外城市街道,6,8,0.6,11,IEEE Xplore,https://ieeexplore.ieee.org,,
服务机器人,餐厅环境,4,5.5,0.4,9,中国人工智能产业发展联盟,http://www.caia.org.cn,,
工业机器人,制造工厂,2.5,3.5,0.3,7,机器人产业技术创新战略联盟,http://www.roboticsalliance.org.cn,,
医疗机器人,康复中心,1.2,1.7,0.2,4,医学人工智能研究中心,http://www.medai.org.cn,,
农业机器人,温室种植,7,9,0.8,14,中国农业科学院,http://www.caas.cn,,
特种机器人,军事训练场,9,10.5,0.9,20,中国人民解放军科学技术委员会,http://www.cmsc.org.cn,,
教育机器人,学校教室,3.5,4.8,0.3,10,教育部基础教育司,http://www.moe.gov.cn/s78/A20/,,
配送机器人,住宅小区,2,3,0.4,8,快递行业协会,http://www.cass.org.cn,,
清洁机器人,商场环境,3,4.5,0.5,6,中国服务机器人产业技术创新战略联盟,http://www.csria.org.cn,,
物流机器人,仓库环境,4.5,6,0.4,12,中国物流与采购联合会,http://www.clta.org.cn,,
移动机器人,室外城市环境,6,8,0.6,9,国际机器人联合会,https://ifr.org,,
服务机器人,酒店大堂,2.5,4,0.4,7,中国商务部,https://www.mofcom.gov.cn,,
工业机器人,汽车生产线,3,5.5,0.4,8,中国机械工业联合会,http://www.cmichina.com,,
医疗机器人,急诊室,2,3.5,0.2,6,世界卫生组织,https://www.who.int,,
农业机器人,果园,15,18,1.5,11,农业科技网,http://www.agri-tech.net,,
特种机器人,冲突地区,12,14,1,18,联合国难民署,https://www.unhcr.org,,
消毒机器人,公共交通工具,4,6,0.5,7,国家公共卫生局,https://www.nph.gov.cn,,
教育机器人,课堂环境,1,2.2,0.3,5,教育部,https://www.moe.gov.cn,,
配送机器人,城市商业区,5,7.5,0.7,10,电子商务研究中心,http://www.emarket.org.cn,,
无人机,山地救援,10,12.5,0.8,14,中国无人机产业技术创新战略联盟,http://www.uav.org.cn,,
移动机器人,户外城市环境,6.5,8.1,0.6,12,IEEE Xplore,https://ieeexplore.ieee.org,,
服务机器人,商场环境,4.0,5.5,0.4,9,中国服务机器人产业报告,https://www.chinaservicerobot.com,,
工业机器人,自动化工厂,2.8,3.7,0.3,7,机械工业出版社,https://www.cmmpub.com,,
医疗机器人,康复医院,2.2,3.0,0.15,8,中国医学科学院,http://www.cams.ac.cn,,
农业机器人,智慧农业温室,12.0,14.5,1.2,14,农业日报,http://www.nongyiribao.com,,
特种机器人,军事演习现场,10.0,11.5,0.9,18,中国国防科技信息网,http://www.dsti.gov.cn,,
物流机器人,仓储管理中心,3.5,5.0,0.25,10,物流科技发展研究中心,https://www.logistics-innovation.org,,
巡逻机器人,校园安全巡逻,7.0,8.0,0.4,11,智能安防网,http://www.smartsecurity.cn,,
无人驾驶车,城市道路,15.0,16.5,1.0,20,国家交通管理局,https://www.mot.gov.cn,,
清洁机器人,办公环境,1.0,1.5,0.1,5,中国家用电器研究院,http://www.appliance-research.org,,
移动机器人,商场环境,4.5,6.0,0.4,9,国际机器人联合会,https://www.ifr.org,,
服务机器人,酒店大厅,2.5,3.8,0.3,7,中国人工智能学会,https://www.caai.cn,,
工业机器人,自动化生产线,1.8,2.5,0.1,5,中国机械工业联合会,http://www.cmwu.org,,
医疗机器人,医院急诊室,1.2,1.8,0.2,4,世界卫生组织,https://www.who.int,,
农业机器人,智能温室,8.0,9.5,0.8,11,国际农业发展基金,https://www.ifad.org,,
家庭机器人,住宅客厅,2.0,2.5,0.15,6,科技日报,http://www.stdaily.com,,
特种机器人,建筑工地,6.5,7.5,0.6,14,中国建筑科学研究院,http://www.cabr.com.cn,,
物流机器人,仓库环境,3.5,4.4,0.25,8,产业创新研究院,https://www.innovationinstitute.cn,,
教育机器人,小学教室,1.8,2.3,0.1,3,中国科学技术协会,https://www.cast.org.cn,,
清洁机器人,办公楼,2.2,2.9,0.2,5,国家智能装备创新中心,http://www.ncaie.com,,
移动机器人,商场环境,4.5,6.0,0.4,9,中国智能制造产业发展促进会,https://www.aimd.org.cn,,
服务机器人,酒店大厅,2.8,3.5,0.2,7,旅游局,https://www.mct.gov.cn,,
物流机器人,配送中心,6.0,7.5,0.6,11,中国物流与采购联合会,http://www.chinawuliu.com,,
特种机器人,矿井作业,9.0,10.2,0.8,18,中国煤炭工业协会,https://www.chinacoal.org.cn,,
农业机器人,温室大棚,7.2,8.0,0.5,10,农业农村部,https://www.moa.gov.cn,,
医疗机器人,ICU病房,1.8,2.5,0.1,6,中华医学会,http://www.cma.org.cn,,
清洁机器人,校园环境,3.5,4.5,0.3,8,中国教育部,https://www.moe.gov.cn,,
特种机器人,反恐演习,6.5,7.9,0.9,14,国家安全局,https://www.nsa.gov.cn,,
仓储机器人,自动化仓库,4.0,5.0,0.4,7,中国供应链管理协会,http://www.csclm.org,,
巡逻机器人,城市街区,8.0,9.2,0.6,13,国家公安部,https://www.mps.gov.cn,,
移动机器人,室外城市环境,6,8,0.6,11,中国科学院,https://www.cas.cn,,
服务机器人,酒店大堂,4,5.5,0.4,9,中国电子技术标准化研究院,https://www.cesi.cn,,
工业机器人,汽车制造厂,3,4.2,0.3,7,中国机械工业联合会,https://www.cmif.net,,
医疗机器人,病房,2,3,0.2,4,中国医药卫生信息协会,http://www.china.org.cn/health,,
农业机器人,智能温室,12,14,0.8,15,国家农业科技中心,http://www.nact.gov.cn,,
特种机器人,海洋救援现场,9,10.5,0.6,20,中国海洋大学,https://www.ouc.edu.cn,,
教育机器人,课堂,2.5,3.5,0.2,6,教育部信息中心,https://www.moe.gov.cn/s78/A05/xk/index.html,,
安防机器人,机场安检区,7,9,0.5,12,民航局,https://www.caac.gov.cn,,
配送机器人,社区环境,4.5,6,0.4,8,智能配送研究中心,http://www.deliveryrobot.org,,
物流机器人,仓储中心,5,7.5,0.5,10,中国物流与采购联合会,http://www.clp.org.cn,,
移动机器人,户外公园,6.5,8.2,0.4,9,国家科技部,https://www.most.gov.cn,,
服务机器人,商业购物中心,3.8,5.1,0.3,11,中国商业联合会,https://www.ccc.org.cn,,
工业机器人,电子制造厂,2.2,3.5,0.25,7,中国工信部,https://www.miit.gov.cn,,
医疗机器人,重症监护室,1.2,1.8,0.05,4,中国医学科学院,https://www.cams.ac.cn,,
农业机器人,温室种植区,8.5,10,0.8,15,现代农业研究中心,https://www.modernagri.org,,
特种机器人,矿区安全检测,9.0,10.5,0.9,14,矿业安全管理局,https://www.msa.gov.cn,,
巡逻机器人,公共服务场所,4.2,6.3,0.35,12,国家安全委员会,https://www.nssc.gov.cn,,
配送机器人,城区街道,2.5,3.7,0.2,8,物流与交通部,https://www.mot.gov.cn,,
教育机器人,学校实验室,1.8,2.6,0.15,6,国家教育研究院,https://www.nie.edu.cn,,
探测机器人,海洋探测平台,7.0,9.0,0.6,13,海洋发展研究中心,https://www.soa.gov.cn,,
清洁机器人,酒店大厅,4.2,5.8,0.4,9,中国智能制造系统解决方案供应商,https://www.cimss.org.cn,,
配送机器人,商场,6.5,8.0,0.6,11,电子商务与物流研究所,https://www.ecommerce-logistics.org,,
安保机器人,大型活动场所,3.5,4.5,0.3,7,公安部,https://www.mps.gov.cn,,
教育机器人,学校教室,2.8,3.5,0.2,6,教育技术研究中心,https://www.edutech.org.cn,,
物流机器人,仓库,7.0,9.0,0.8,12,国际物流与运输协会,https://www.ilta.org,,
巡逻机器人,商圈,4.0,5.2,0.5,10,国家城市安全技术研究所,https://www.ncsi.org.cn,,
救援机器人,城市灾区,9.0,11.0,1.0,20,中国灾害防治协会,https://www.cdpa.org.cn,,
农用植保机器人,果园,8.0,10.0,0.9,15,农业科技发展中心,https://www.agritech.gov.cn,,
实验室机器人,科学实验室,1.2,1.8,0.1,4,国家自然科学基金,https://www.nsfc.gov.cn,,
娱乐机器人,主题公园,15.0,20.0,1.5,18,亚洲机器人技术研究中心,https://www.artc.org.cn,,
移动机器人,室外城市环境,6,8,0.4,11,IEEE 机器人与自动化学会,https://www.ieee-ras.org,,
服务机器人,酒店大厅,2.5,3.5,0.2,7,行业研究报告,https://www.industryreports.com,,
教育机器人,课堂环境,1米,1.8,0.15,4,教育科技协会,https://www.edtechassociation.org,,
工业机器人,高棚仓库,3.5,4.7,0.3,9,中国制造2025计划,https://www.china-manufacturing2025.com,,
农业机器人,温室,5米,7.5,0.6,10,农业科技期刊,https://www.agtjournal.org,,
医疗机器人,重症监护室,1.2,1.8,0.08,5,卫生和健康委员会,https://www.healthandwellbeing.gov,,
特种机器人,搜救现场,7,10,0.5,16,国家消防救援局,https://www.firefighting.gov.cn,,
物流机器人,仓库分拣区,4,5.5,0.4,8,智慧供应链杂志,https://www.smart-supplychain.com,,
家庭机器人,家庭厨房,1.8,2.3,0.1,4,机器人技术观察,https://www.roboticsobserver.com,,
移动机器人,机场候机区,4.5,6,0.3,12,民航管理局,https://www.caa.gov.cn,,
移动机器人,室外城市环境,6,8,0.4,11,中国人工智能协会,https://www.caai.cn,,
服务机器人,酒店大堂,4,5.5,0.3,7,酒店管理研究中心,https://www.hotel-research.com,,
工业机器人,仓储物流中心,3,4.5,0.2,9,中国制造业协会,https://www.cmia.org.cn,,
医疗机器人,患者病房,2,3,0.15,6,中国医学科学院,https://www.cams.ac.cn,,
农业机器人,温室大棚,8,10,0.8,14,农业机器人技术研究所,https://www.agrrobotics.cn,,
特种机器人,化学泄漏现场,10,12.5,0.9,20,中国应急管理科学研究院,https://www.cemssr.cn,,
巡逻机器人,校园环境,5,6.5,0.4,8,中国教育部科技发展中心,https://www.moe.gov.cn/s78/A15/,,
社交机器人,养老院,3,4,0.2,5,中国老龄工作委员会,https://www.cnag.org.cn,,
配送机器人,购物中心,4.5,5.8,0.3,10,中国电子商务研究中心,https://www.100ec.cn,,
物流机器人,快递分拣中心,2.5,3.5,0.25,8,中国物流与采购联合会,https://www.chinawuliu.com,,
移动机器人,商场购物环境,4.5,6.2,0.4,9,中国科技大学,https://www.ustc.edu.cn,,
医疗机器人,病房,2.0,3.5,0.2,4,北京大学医院,https://www.puh.org.cn,,
服务机器人,酒店大厅,3.2,5.0,0.6,7,中国饭店协会,http://www.chinahotel.org,,
特种机器人,极地探测环境,20.0,25.5,2.0,18,国家自然科学基金,http://www.nsfc.gov.cn,,
工业机器人,汽车制造厂,1.8,2.5,0.1,5,中国机电产品进出口商会,http://www.cccme.org.cn,,
农业机器人,温室种植,9.0,11.0,0.8,15,农业部科技发展中心,http://www.moa.gov.cn,,
配送机器人,城市住宅区,3.5,5.8,0.3,6,国家邮政局,http://www.spb.gov.cn,,
清洁机器人,公共办公室,2.5,3.5,0.4,8,中国物业管理协会,http://www.cpm.cn,,
教育机器人,学校教室,2.2,3.0,0.2,6,教育部基础教育司,http://www.moe.gov.cn,,
娱乐机器人,展览会场,4.0,5.5,0.5,7,中国文化和旅游部,http://www.mct.gov.cn,,
移动机器人,室外开放区域,6.2,8.5,0.6,9,IEEE Xplore,https://ieeexplore.ieee.org,,
服务机器人,餐饮环境,2.4,3.8,0.4,7,中国食品安全报,https://www.cnfood.com,,
工业机器人,组装线,4.0,5.5,0.3,8,国际工业机器人协会,https://www.ifr.org,,
医疗机器人,康复中心,1.8,2.5,0.2,6,中国医疗器械网,https://www.cmda.org.cn,,
农业机器人,果园,12.3,15.1,1.2,14,国家农业信息中心,https://www.nic.gov.cn,,
特种机器人,爆炸物处理现场,7.0,9.0,0.5,13,中国国家安全生产监督管理局,https://www.chinasafety.gov.cn,,
清洁机器人,公共区域,3.1,4.8,0.3,5,商业机器人协会,https://www.truecam.com,,
巡逻机器人,博物馆,4.5,6.0,0.4,7,国家文物局,https://www.sach.gov.cn,,
送货机器人,城市街道,8.1,10.3,0.8,11,城市交通管理局,https://www.mot.gov.cn,,
研究型机器人,实验室,1.2,2.0,0.1,4,国家自然科学基金,https://www.nsfc.gov.cn,,
移动机器人,室外复杂道路,6,8,0.6,11,智能交通研究中心,https://www.smartraffic.org,,
服务机器人,餐厅环境,2.5,3.8,0.4,9,中国服务机器人研究院,https://www.csri.org.cn,,
工业机器人,自动化生产线,3,5.5,0.3,7,国际机器人联合会,https://www.ifr.org,,
医疗机器人,急诊室,2,3.5,0.2,6,医学机器人协会,https://www.medrobotics.org,,
农业机器人,温室,5,6.5,0.8,10,中国农业大学,https://www.cau.edu.cn,,
特种机器人,核辐射区域,12,14.5,1.2,20,国家核安全局,https://www.nsr.org.cn,,
物流机器人,仓储管理,4,5.9,0.4,8,中国仓储协会,https://www.cwa.org.cn,,
教育机器人,学校教室,1.8,2.5,0.3,5,教育部,https://www.moe.gov.cn,,
探测机器人,森林探险,9,11,1.0,15,中国科学技术大学,https://www.ustc.edu.cn,,
服务机器人,养老院,2.2,3.1,0.4,7,老龄事业发展中心,https://www.acl.gov.cn,,
移动机器人,室内办公环境,4.2,6.1,0.4,9,中国科学技术协会,https://www.cast.org.cn,,
服务机器人,酒店休息区,2.5,4.0,0.2,7,中国旅游研究院,https://www.cnta.gov.cn,,
工业机器人,汽车制造厂,3.0,4.5,0.3,8,中国工业和信息化部,https://www.miit.gov.cn,,
医疗机器人,康复中心,2.0,3.5,0.1,6,中华医学会,https://www.cma.org.cn,,
农业机器人,温室大棚,9.0,11.5,0.9,11,中国农业科学院,https://www.caas.cn,,
特种机器人,核事故现场,7.5,8.9,0.6,14,国家核安全局,http://www.nsbc.gov.cn,,
物流机器人,大型仓储中心,6.5,8.0,0.5,10,全国物流与供应链标准化委员会,http://www.chinawls.com,,
教育机器人,课堂环境,2.7,3.8,0.2,5,教育部科技创新与发展中心,https://www.moe.gov.cn,,
巡检机器人,电力设施,4.0,5.5,0.4,10,国家电力公司,http://www.sasac.gov.cn,,
无人机,农田作业,8.0,10.0,0.8,12,农业农村部,https://www.moa.gov.cn,,
移动机器人,商业办公室,6,8,0.4,9,IEEE Robotics and Automation Society,https://www.ieee-ras.org,,
服务机器人,酒店大堂,4,5.5,0.2,7,中国电子科技集团公司,http://www.csec.gov.cn,,
农业机器人,果园,12,14.5,1.2,11,农业科技杂志,https://www.agri-science.com,,
特种机器人,核电站安全检测,9,10.2,0.9,13,国家原子能机构,http://www.cncnsa.gov.cn,,
服务机器人,商业购物中心,5,6.5,0.6,8,消费者电子协会,https://www.ce.org,,
工业机器人,装配线,3,4.1,0.4,5,中国质量监督检验协会,http://www.cqc.com.cn,,
医疗机器人,病房,1.8,2.5,0.2,4,中国医院协会,http://www.hospitalalliance.org.cn,,
家政服务机器人,家庭厨房,2.5,3.5,0.3,6,家电网,https://www.jiaodian.com,,
清扫机器人,办公楼,4,5.8,0.5,7,机器人产业发展报告,https://www.roboticreport.com,,
娱乐机器人,游乐园,7,9,0.8,8,中国娱乐科技协会,http://www.cneta.org.cn,,
移动机器人,室外城市街道,6.5,8.2,0.6,12,中国机器人产业技术创新战略联盟,https://www.crobotics.org.cn,,
清扫机器人,室内办公室,4,5.5,0.4,9,中国保洁协会,https://www.cleanchina.org,,
农业机器人,温室环境,15,18,1.2,14,国家农业可持续发展研究中心,https://www.nasdc.gov.cn,,
配送机器人,住宅区小道,7,9,0.8,11,淘宝大学,https://www.taobaouniversity.com,,
教育机器人,学校教室,2,3.5,0.2,7,中国教育部,https://www.moe.gov.cn,,
工业机器人,汽车生产厂,3,4.5,0.3,8,机械工业联合会,http://www.cme.org.cn,,
社交机器人,家庭环境,5,6.5,0.5,10,智能机器人技术协会,https://www.roboticsassociation.org,,
医疗辅助机器人,医院病房,2.5,3.2,0.4,6,国家医疗保障局,https://www.nhsa.gov.cn,,
特种工业机器人,钢铁冶炼车间,1.8,2.3,0.2,5,中国冶金工业协会,http://www.cisa.org.cn,,
救援机器人,地震灾区,9,10.5,0.9,18,中国应急管理部,https://www.mem.gov.cn,,
移动机器人,室外城市环境,6,9,0.6,11,中国智能机器人研究中心,https://www.ciric.org,,
服务机器人,商场环境,4,5.5,0.4,9,电子商务研究中心,https://www.100ec.cn,,
农业机器人,温室栽培,8,10,0.9,10,农业技术推广中心,https://www.nongyiguan.com,,
工业机器人,自动化生产线,3,4.2,0.3,7,中国机械工程学会,https://www.cmme.org.cn,,
特种机器人,矿山探测,5,6.5,0.5,12,国家能源局,https://www.nea.gov.cn,,
医疗机器人,急诊室,2,3.5,0.2,6,中国医疗器械行业协会,https://www.camdi.org.cn,,
教育机器人,教室环境,3.5,4.8,0.4,8,中国教育科学研究院,https://www.ner.edu.cn,,
家庭清洁机器人,家庭环境,1.8,2.7,0.3,4,全国家电协会,https://www.cncma.org.cn,,
陪伴机器人,老年人居家,2.2,3,0.2,5,中国老龄化事业发展基金会,https://www.clgf.org.cn,,
水下机器人,海洋探测,9,11,1.2,15,中国海洋学会,https://www.cma.org.cn,,
运输机器人,机场行李处理区,6.2,8.1,0.6,9,中国民用航空局,https://www.caac.gov.cn,,
清洁机器人,大型商场,4.5,5.7,0.4,7,全国商场管理协会,https://www.nccm.org.cn,,
搜索机器人,城市公共安全演练,7.5,9.3,0.8,12,公安部,https://www.mps.gov.cn,,
无人驾驶汽车,城市道路,10.0,12.5,1.2,11,交通运输部,https://www.mot.gov.cn,,
科研机器人,实验室,3.1,4.0,0.2,8,国家自然科学基金,https://www.nsfc.gov.cn,,
家居助理机器人,现代家庭,2.8,3.5,0.1,6,中国家电协会,https://www.ceaa.org.cn,,
物流机器人,自动化仓库,7.0,8.4,0.5,10,中国物流与采购联合会,https://www.clp.org.cn,,
巡逻机器人,学校校园,4.0,5.2,0.3,7,教育部,https://www.moe.gov.cn,,
救护机器人,灾害救援现场,9.0,10.5,0.9,15,国家卫生健康委员会,https://www.nhc.gov.cn,,
翻译机器人,多文化论坛,5.3,6.7,0.4,5,国家语言资源监测与研究中心,http://www.nlrc.org,,
移动机器人,户外城市环境,6,8,0.6,11,中国科学院自动化研究所,https://www.ia.cas.cn,,
服务机器人,办公楼走廊,4,5.5,0.4,7,北京大学信息科学技术学院,https://www.istp.pku.edu.cn,,
工业机器人,车间组装线,3,4,0.3,9,中国工业机器人产业协作网络,https://www.cirb.org.cn,,
医疗机器人,医院急救现场,2,3,0.2,6,上海交通大学医学院,https://www.sjtu.edu.cn,,
农业机器人,温室大棚,8,9.5,0.8,14,中国农业科学院,https://www.caas.cn,,
特种机器人,危险化学品处理区,5,7,0.5,12,国家危险品管理局,https://www.cpb.gov.cn,,
仓储机器人,物流中心仓库,3.5,4.8,0.4,10,中国物流与采购联合会,https://www.cflp.org.cn,,
巡逻机器人,机场安检区域,4.5,5.5,0.3,8,中国民用航空局,http://www.caac.gov.cn,,
教育机器人,课堂教学环境,1.8,2.5,0.15,4,教育部基础教育司,https://www.moe.gov.cn/s78/,,
救援机器人,山地救援区域,9,11,0.9,16,国家消防救援局,https://www.nmpa.gov.cn,,
智能配送机器人,商业购物中心,4.5,6.2,0.4,9,中国物流与采购联合会,https://www.chinawuliu.com.cn,,
教育机器人,教室环境,2.5,3.5,0.2,7,国家教育部,https://www.moe.gov.cn,,
巡逻机器人,户外公园,6.0,8.1,0.6,11,国家公安部,https://www.mps.gov.cn,,
建筑机器人,施工现场,3.0,4.0,0.3,10,住房和城乡建设部,https://www.mohurd.gov.cn,,
救护机器人,紧急救援现场,1.8,2.5,0.2,5,国家卫生健康委员会,https://www.nhc.gov.cn,,
物流搬运机器人,仓库环境,5.0,7.0,0.5,8,中国物流信息中心,https://www.clii.com.cn,,
家庭清洁机器人,家庭室内,2.0,3.0,0.1,6,中国家电协会,https://www.cheaa.com,,
安防机器人,城市街道,7.0,9.0,0.8,12,中国安防协会,https://www.cps.gov.cn,,
航空巡查机器人,机场跑道,4.5,5.5,0.3,10,中国民航局,http://www.caac.gov.cn,,
养老服务机器人,养老院,2.2,3.2,0.2,7,民政部,http://www.mca.gov.cn,,
移动机器人,室外市区,6.0,8.5,0.6,11,中国科学技术协会,https://www.cast.org.cn,,
服务机器人,酒店大厅,4.0,5.5,0.4,9,中国人工智能学会,https://www.ai.org.cn,,
工业机器人,物流仓库,2.5,3.0,0.3,7,中国制造业协会,https://www.cma.org.cn,,
医疗机器人,康复中心,2.0,2.8,0.15,4,国家医疗保障局,https://www.nhsa.gov.cn,,
农业机器人,温室大棚,9.0,11.5,0.9,14,农业农村部,https://www.moa.gov.cn,,
特种机器人,山地搜救,7.0,8.2,0.8,16,国家自然灾害防治中心,https://www.ndrc.gov.cn,,
无人驾驶汽车,高速公路,15.0,18.0,1.2,20,中国智能交通协会,https://www.cits.org.cn,,
清洁机器人,大型商场,3.5,5.0,0.2,5,中国清洁行业协会,http://www.clean.org.cn,,
家居服务机器人,智能家居环境,2.0,3.5,0.3,6,家电行业协会,http://www.cheaa.com,,
教育机器人,学校教室,1.8,2.2,0.1,3,教育信息化发展中心,http://www.eic.gov.cn,,
移动机器人,室外城市环境,6,8,0.6,11,IEEE 机器人与自动化杂志,https://www.ieee-ras.org,,
服务机器人,餐厅环境,4,5.8,0.4,9,中国科技部,https://www.most.gov.cn,,
宅家机器人,公寓复杂户型,2.5,3.7,0.3,7,家具与家居产品协会,https://www.furnitureassociation.cn,,
工业机器人,汽车制造厂,3,4.5,0.5,8,中国工业和信息化部,https://www.miit.gov.cn,,
医疗机器人,康复医疗中心,2,2.8,0.2,6,国际医疗器械协会,https://www.ifmda.org,,
农业机器人,果园作业,12,15,1.2,14,中国农业大学,https://www.cau.edu.cn,,
巡逻机器人,大型商场,5,7.5,0.4,10,公安部技术需求申报平台,https://www.mps.gov.cn,,
特种机器人,军事训练场,10,13,0.8,16,中国人民解放军,https://www.mod.gov.cn,,
教育机器人,教学实验室,1.2,1.6,0.1,4,国家教育部,https://www.moe.gov.cn,,
消防机器人,火灾现场,7,9,0.7,12,国家消防救援局,https://www.msa.gov.cn,,
物流机器人,仓库环境,6,8,0.4,9,阿里巴巴集团,https://www.alibaba.com,,
清洁机器人,商业办公楼,4,5.5,0.3,7,全国商业清洁协会,https://www.naics.com,,
教育机器人,教室环境,2.5,3.5,0.2,6,中国工程院,https://www.cae.cn,,
