系统名称（字符型）,系统类型（字符型）,系统架构（字符型）,系统性能（字符型）,系统搭建环境（字符型）,系统关键功能（字符型）,采集来源,来源链接,采集时间,备注,,,,,,,,,,
空天资源管理平台,资源管理系统,集成化架构,资源配置智能优化,容器化云环境,资源分配、使用情况分析,科技创新委员会,http://www.most.gov.cn/,2024-10-08,,,,,,,,,,,
高效空天信息融合系统,信息融合系统,数据驱动架构,信息处理实时互动,多云环境,不同来源信息融合、展示,信息技术研究中心,http://www.itr.org.cn/,2024-10-08,,,,,,,,,,,
空天安全监护系统,安全监护系统,综合防护架构,实时安全监控能力,混合云安全环境,安全事件监测、响应机制,国家安全委员会,https://www.nssc.gov.cn/,2024-10-08,,,,,,,,,,,
空天智能侦察平台,侦察系统,多层次架构,高效率侦察能力,基于人工智能的环境,智能目标识别、数据分析,军事科技杂志,http://www.militarytech.cn/,2024-10-08,,,,,,,,,,,
全球空天交通管理系统,综合管理系统,全球互联架构,国际合作与交流能力强,跨国云平台,交通流量管理、国际协调,国际航空运输协会,http://www.iata.org/,2024-10-08,,,,,,,,,,,
空天工程可视化系统,可视化系统,三维建模架构,高精度可视化能力,虚拟现实环境,3D建模、动态显示,虚拟现实研究院,http://www.vrri.org.cn/,2024-10-08,,,,,,,,,,,
空天环境监测系统,监测系统,分层嵌套架构,高灵敏度环境数据收集,混合云环境,实时数据监测、环境分析,中国科学院空天信息研究院,https://www.aircas.ac.cn,2024-10-08,,,,,,,,,,,
气象卫星数据融合平台,数据融合系统,服务导向架构,高效天气预报能力,卫星地面站环境,气象数据采集、模型预测,国家气象局,http://www.cma.gov.cn,2024-10-08,,,,,,,,,,,
空天监视与预警系统,预警系统,全集成架构,快速反应与决策支持,专用防御圈环境,威胁检测、动态追踪,联合国国际空天协议组织,https://www.unoosa.org,2024-10-08,,,,,,,,,,,
空中无人机智能调度系统,调度系统,动态调度架构,自动化无人机调度能力,边缘计算环境,航线优化、任务调配,航天科技集团,http://www.spacechina.com,2024-10-08,,,,,,,,,,,
空间资源监控与管理系统,管理系统,网络互联架构,高效资源监控与调度,跨域平台环境,资源分配、可视化管理,中国资源卫星应用中心,http://www.rsac.gov.cn,2024-10-08,,,,,,,,,,,
星际通信技术研发平台,研发平台,开放式平台架构,长距离高可靠性通信,实验室研究环境,信号调制、接收与分发,中国电信研究院,https://www.ctti.com.cn,2024-10-08,,,,,,,,,,,
地面监控与指挥调度系统,指挥系统,模块化指挥架构,多目标监控与管理能力,统一指挥中心环境,数据统一管理、智能决策,国防科技大学,http://www.nudt.edu.cn,2024-10-08,,,,,,,,,,,
空天微波成像系统,成像系统,高性能并行架构,精细成像与分析能力,实验室和野外结合环境,高分辨率成像、图像分析,中国空间科学技术研究院,http://www.csrc.ac.cn,2024-10-08,,,,,,,,,,,
卫星导弹预警系统,预警系统,全球网络互联架构,快速响应与精确定位,专用控制中心环境,导弹轨迹追踪、系统警报,国家安全委员会,http://www.nsc.gov.cn,2024-10-08,,,,,,,,,,,
北斗卫星增强导航系统,增强导航系统,多源融合架构,高精度、低成本定位服务,卫星与地面协同环境,高精度定位、数据融合,中国卫星导航定位协会,http://www.chinasatnav.com,2024-10-08,,,,,,,,,,,
空天气象监测与预警系统,气象监测系统,多传感器架构,实时气象数据更新,云计算环境,气象数据分析、灾害预警,国家气象局,http://www.cma.gov.cn,2024-10-08,,,,,,,,,,,
空天资源管理平台,管理系统,集成服务架构,高效资源配置与优化,混合云环境,资源监测、动态调度,中国资源开发协会,https://www.crda.org.cn,2024-10-08,,,,,,,,,,,
空天安全防护系统,安全监控系统,分布式架构,综合安全态势感知,边缘计算环境,入侵检测、实时监控,安全防护技术论坛,https://www.securityforum.cn,2024-10-08,,,,,,,,,,,
空天通信信号处理系统,信号处理系统,模块化架构,高性能信号处理能力,专用信号处理服务器,信号解调、数据分析,通信研究院,https://www.communicationchina.com,2024-10-08,,,,,,,,,,,
空天无人机监控与管理系统,无人机管理系统,分布式控制架构,高精度飞行控制,开放平台环境,航线规划、数据采集,无人机技术协会,https://www.uavtech.org.cn,2024-10-08,,,,,,,,,,,
空天大数据分析平台,大数据处理系统,分布式存储架构,高并发数据处理能力,云端大数据环境,数据挖掘、趋势预测,大数据研究中心,https://www.bigdata.cn,2024-10-08,,,,,,,,,,,
空天信息融合与共享系统,信息融合系统,集成化信息架构,多源信息集成,云计算与边缘计算相结合,信息整合、实时共享,信息化建设委员会,https://www.infocomm.gov.cn,2024-10-08,,,,,,,,,,,
空天传感器网络系统,传感器网络系统,多层次网络架构,实时监测与数据传输,物联网环境,数据采集、实时传输,物联网研究所,https://www.iotresearch.cn,2024-10-08,,,,,,,,,,,
空天智能决策支持系统,决策支持系统,智能化决策架构,高效决策分析能力,AI集成环境,数据分析、预测评估,智能决策研究院,https://www.ai-decision.com,2024-10-08,,,,,,,,,,,
空天虚拟现实训练平台,训练模拟系统,虚拟现实架构,高度沉浸式体验,VR技术环境,模拟训练、环境适应,虚拟现实科技协会,https://www.vrtech.cn,2024-10-08,,,,,,,,,,,
空间监测与评估平台,监测系统,云端分散架构,实时环境监测、数据整合能力,云计算环境,数据采集、环境评估,环境科学研究所,https://www.esri.cn,2024-10-08,,,,,,,,,,,
智能气象预报系统,预报系统,分布式气象网络架构,高精度气象数据分析,边缘计算环境,气象数据预测、气候变化监测,国家气象局,http://www.cma.gov.cn,2024-10-08,,,,,,,,,,,
无人机作战指挥系统,指挥系统,多层次集成架构,实时战场数据处理,独立控制环境,任务规划、实时战情反馈,军事科技发展中心,https://www.military.gov.cn,2024-10-08,,,,,,,,,,,
卫星通信与数据交换系统,通信系统,星地一体化架构,全球覆盖、低延迟,卫星链网环境,语音与数据传输、信号加密,卫星通信研究所,http://www.satcom.gov.cn,2024-10-08,,,,,,,,,,,
空间数据共享平台,共享平台,微服务架构,高并发处理能力,公有云环境,数据共享、用户权限管理,开放数据平台,https://www.opendata.cn,2024-10-08,,,,,,,,,,,
下一代导航系统,导航系统,特点集成架构,超高精度、实时响应,多网络接入环境,精准导航、路线优化,导航科技企业,https://www.navtech.com.cn,2024-10-08,,,,,,,,,,,
空天安全防护系统,安全系统,防护网络架构,多层次安全防护能力,虚拟化环境,实时安全监控、漏洞扫描,网络安全研究中心,https://www.secure-net.cn,2024-10-08,,,,,,,,,,,
空天运输调度系统,调度系统,集中式调度架构,多模式运输协调,数据中心环境,运输任务管理、实时调度,运输管理局,http://www.transit.gov.cn,2024-10-08,,,,,,,,,,,
空天数据可视化平台,可视化平台,立体可视化架构,多维数据展示能力,VR/AR环境,数据可视化、虚拟仿真,数据可视化协会,https://www.datavis.org.cn,2024-10-08,,,,,,,,,,,
智能决策支持系统,决策系统,集成化决策架构,增强型决策支持能力,混合云环境,数据分析、决策支持,人工智能研究所,http://www.ai-research.cn,2024-10-08,,,,,,,,,,,
未来城市空天监测系统,监测系统,模块化生态系统,动态环境适应能力,边缘计算环境,城市环境监测、灾害预警,未来科技研究院,https://www.futuretech.org/monitoring,2024-10-08,,,,,,,,,,,
全球空中货物管理系统,物流系统,全球分布式架构,优化运输路径、降低成本,云端集成环境,包裹追踪、货物配送,国际物流协会,https://www.iata.org/en/pressroom/,2024-10-08,,,,,,,,,,,
无人机群协同作战系统,作战系统,协同控制架构,高效协同作战、快速响应,军事专用环境,多无人机指挥、态势感知,国防科技大学,https://www.ndu.edu.cn,2024-10-08,,,,,,,,,,,
空天应急响应系统,响应系统,快速部署架构,高可用性、快速反应,移动响应环境,应急预测、资源协调,国家应急管理办公室,https://www.mem.gov.cn,2024-10-08,,,,,,,,,,,
智能航天资源调度系统,调度系统,智能化调度平台,资源利用效率高,云基础架构,资源调配、动态调度,中国航天科技集团,http://www.casc.com.cn,2024-10-08,,,,,,,,,,,
三维地理信息系统,地理信息系统,三维模型架构,精确地理实景重建,虚拟现实环境,数据可视化、空间分析,地理信息技术协会,https://www.gis.org,2024-10-08,,,,,,,,,,,
智能海洋监测系统,监测系统,集成网络架构,实时海洋数据收集,海洋专用环境,水质监测、潮汐预测,海洋局,http://www.ocean.gov.cn,2024-10-08,,,,,,,,,,,
气候变化监测与分析系统,分析系统,聚合数据平台,高复杂度数据处理能力,大气研究专用环境,气候数据分析、预测建模,气象局,http://www.cma.gov.cn,2024-10-08,,,,,,,,,,,
全球定位网络优化系统,定位系统,网络优化架构,超高精度定位,多卫星环境,定位精度增强、导航支持,航天测控中心,http://www.spacecontrol hub.org,2024-10-08,,,,,,,,,,,
深空探索数据分析系统,分析系统,分布式数据处理架构,大数据处理与分析,高性能计算环境,探测数据分析、深空导航,国家航天局,http://www.cnsa.gov.cn,2024-10-08,,,,,,,,,,,
智能空天监测系统,监测系统,云计算架构,实时监测、预警能力强,区块链安全环境,空域监测、异常预警,空间科技研究院,https://www.spaceinstitute.cn,2024-10-08,,,,,,,,,,,
空天基因数据库,数据库系统,分层存储架构,快速检索与分析能力,混合云环境,样本数据分析、复现能力,中国科学院,https://www.cas.cn,2024-10-08,,,,,,,,,,,
无人机空中测绘系统,测绘系统,模块化无人机架构,高精度测绘能力,移动端数据采集环境,三维地图生成、地形分析,土地资源部,https://www.mlr.gov.cn,2024-10-08,,,,,,,,,,,
空天信息共享平台,共享平台,开放式架构,高并发访问能力,公共云环境,信息共享、数据集成,国家信息中心,https://www.sic.gov.cn,2024-10-08,,,,,,,,,,,
太空数据分析引擎,数据分析系统,计算集群架构,高效能计算和存储能力,高性能计算环境,大数据分析、预测建模,数据科学技术公司,https://www.datatech.cn,2024-10-08,,,,,,,,,,,
空间资源管理系统,资源管理系统,集成管理架构,高效的资源配置能力,私有云环境,资源分配、效率优化,国际空间站管理局,https://www.iss.gov,2024-10-08,,,,,,,,,,,
空天可持续发展研究平台,研究平台,多学科交叉架构,关于可持续技术的分析与应用,跨国研究环境,技术研究、政策支持,联合国空间合作组织,https://www.unoosa.org,2024-10-08,,,,,,,,,,,
空天环境监测网络,监测网络,Distributed Sensor Network,广域环境监测能力,物联网环境,环境数据采集、实时监测,环境保护局,https://www.epa.gov.cn,2024-10-08,,,,,,,,,,,
空天通信安全管理系统,安全管理系统,多层安全架构,高安全性与有效性,企业私有网络,通信安全审计、风险评估,网络安全管理中心,https://www.cyber.gov.cn,2024-10-08,,,,,,,,,,,
空天科技教育平台,教育平台,虚拟化教育架构,课程内容丰富、交互性强,在线学习环境,课程管理、在线测评,教育部科技司,https://www.moe.gov.cn,2024-10-08,,,,,,,,,,,
空天监测与预警系统,预警系统,综合监测架构,高灵敏度信号检测,分布式数据中心环境,突发事件监测、信息预警,国家气象局,http://www.nmc.cn,2024-10-08,,,,,,,,,,,
空天探测与分析系统,数据分析系统,云计算架构,自动化数据挖掘,云平台环境,数据可视化、模式识别,中国信息产业部,http://www.mii.gov.cn,2024-10-08,,,,,,,,,,,
空天应急指挥系统,应急系统,模块化协作架构,多协议实时通信,专用无线网络环境,实时协调、资源管理,国家安全部,http://www.mps.gov.cn,2024-10-08,,,,,,,,,,,
太空态势感知系统,态势感知系统,星地一体架构,快速数据分析反馈,高性能计算环境,态势动态监测、风险评估,中国航天科技集团,http://www.casc.com.cn,2024-10-08,,,,,,,,,,,
空天科技创新平台,研发平台,开放式架构,支持多样化科研协作,虚拟实验室环境,科技成果转化、项目管理,国家科技部,http://www.most.gov.cn,2024-10-08,,,,,,,,,,,
空天数据融合平台,融合系统,协调融合架构,多数据源整合能力,协同云环境,数据汇总、信息共享,大数据应用研究中心,http://www.bigdata.gov.cn,2024-10-08,,,,,,,,,,,
空天物流追踪系统,物流系统,端到端架构,低延迟实时追踪,全球卫星通信环境,货物追踪、调度优化,中国物流与采购联合会,http://www.clp.org.cn,2024-10-08,,,,,,,,,,,
空天资源调度系统,调度系统,集成优化架构,高效资源配置,混合云环境,资源分配、实时监控,国家资源监察局,http://www.nra.gov.cn,2024-10-08,,,,,,,,,,,
空天安全防范系统,安全系统,网格化架构,高安全防护级别,隐私保护云环境,入侵检测、风险监控,网络安全协会,http://www.nsa.gov.cn,2024-10-08,,,,,,,,,,,
空天系统性能评估平台,评估平台,性能分析架构,多维度评估能力,实验室环境,性能测试、数据报告,高等院校研究所,http://www.universityresearch.cn,2024-10-08,,,,,,,,,,,
多模态空天监测系统,监测系统,分层式架构,多源信息融合能力,私有云环境,环境监测、事件响应,生态监测中心,https://www.ecmonitoring.cn,2024-10-08,,,,,,,,,,,
智能空天安防系统,安全系统,网状架构,实时威胁检测能力,安全防护环境,入侵监测、应急响应,国家安全局,http://www.nsagency.gov.cn,2024-10-08,,,,,,,,,,,
空天科技创新云平台,创新平台,开放式架构,创新项目协同能力,云计算环境,项目孵化、技术评估,科技创新委员会,http://www.innovation.gov.cn,2024-10-08,,,,,,,,,,,
先进空天探测系统,探测系统,模块化集成架构,高解析度成像能力,卫星数据接收站环境,地球观测、资源勘探,国家航天局,http://www.cnoc.gov.cn,2024-10-08,,,,,,,,,,,
国产空天通信系统,通信系统,集成式架构,覆盖范围广、抗干扰能力强,通信卫星环境,数据转发、空中信号处理,通信行业协会,http://www.cha.org.cn,2024-10-08,,,,,,,,,,,
紧急空天救援系统,救援系统,实时响应架构,快速部署、精确定位能力,应急指挥中心,应急调度、交通管控,民政部应急管理局,http://www.mca.gov.cn,2024-10-08,,,,,,,,,,,
空天气象监测系统,气象系统,多点协作架构,高效气象预测能力,气象数据云平台,气象数据收集、天气预报,中国气象局,http://www.cma.gov.cn,2024-10-08,,,,,,,,,,,
空天航天器调度系统,调度系统,全局调度架构,高可用性、自动化调度能力,专用调度中心,任务调度、航天器管理,航天科技公司,http://www.space-tech.com.cn,2024-10-08,,,,,,,,,,,
空天科研合作平台,协作平台,网络化架构,科研资源共享能力,科研云环境,人才交流、技术共享,中国科学院,http://www.cas.ac.cn,2024-10-08,,,,,,,,,,,
全球空天分析平台,分析平台,云原生架构,数据分析与可视化能力,公有云环境,数据整合、决策支持,国际航空航天协会,http://www.iaass.org,2024-10-08,,,,,,,,,,,
卫星通信融合平台,通信系统,多层架构,全网覆盖、低功耗,基于光纤网络,数据加密、信号放大,卫星通讯公司,https://www.satcom.com,2024-10-08,,,,,,,,,,,
空天监控与预警系统,监控系统,分布式网络架构,高冗余性、快速响应,云计算与边缘计算结合,实时监测、事件警报,国防科技局,https://www.mod.gov.cn,2024-10-08,,,,,,,,,,,
无线电频谱管理系统,管理系统,集中式管理架构,优化频谱利用率,虚拟化服务器环境,频谱监视、干扰分析,频谱管理局,https://www.spectrum.gov.cn,2024-10-08,,,,,,,,,,,
空天目标识别系统,识别系统,层次化架构,高精度目标标记,高性能计算平台,目标模型匹配、数据分析,人工智能研究所,https://www.ai-research.org,2024-10-08,,,,,,,,,,,
空天气象监测系统,监测系统,模块化架构,实时气象数据采集,气象观测站环境,气象数据存储、分析与报告,中国气象局,http://www.cma.gov.cn,2024-10-08,,,,,,,,,,,
空天环境监测与评估系统,评估系统,云服务架构,环境数据分析能力强,云平台支持,污染源追踪、环境影响评估,环境保护部,http://www.mee.gov.cn,2024-10-08,,,,,,,,,,,
空天战略规划支持系统,支持系统,信息集成架构,决策支持、数据共享,综合信息平台,数据整合、战略分析,国家发展和改革委员会,https://www.ndrc.gov.cn,2024-10-08,,,,,,,,,,,
高空无人机控制系统,控制系统,实时控制架构,具有自主飞行能力,专用控制室,任务派发、飞行监控,无人机研发公司,https://www.drone-tech.com,2024-10-08,,,,,,,,,,,
空间资源管理与调度系统,管理系统,智能调度架构,资源利用效率高,虚拟环境,资源分享、调度优化,资源管理中心,https://www.resource-gov.cn,2024-10-08,,,,,,,,,,,
空天融合作战平台,作战系统,多域融合架构,实时数据交互能力,专用作战指挥中心,作战计划制定、情况通报,军事战略研究院,https://www.military-strategy.cn,2024-10-08,,,,,,,,,,,
空天探测与监测系统,探测系统,分层网络架构,精确探测、实时监控,混合云环境,多源数据融合、异常检测,国家测绘局,https://www.ngcc.gov.cn,2024-10-08,,,,,,,,,,,
空天数据共享平台,共享平台,开放式架构,高效数据共享与交换,基于区块链的云环境,数据访问控制、用户认证,科技部数据中心,http://www.most.gov.cn,2024-10-08,,,,,,,,,,,
空天图像识别系统,人工智能系统,深度学习架构,高达99%的识别准确率,GPU加速环境,图像自动标注、数据分类,人工智能发展协会,https://www.ai.gov.cn,2024-10-08,,,,,,,,,,,
空天气象监测系统,监测系统,栅格网架构,高频次数据采集与更新,边缘计算环境,气象数据预测、灾害预警,中国气象局,http://www.cma.gov.cn,2024-10-08,,,,,,,,,,,
未来太空基地设计系统,设计系统,模块化设计架构,支持多种任务规划,本地和云端协同环境,建筑模拟、资源管理,中国航天科技集团,http://www.casc.com.cn,2024-10-08,,,,,,,,,,,
空间战略资源评估系统,评估系统,决策支持架构,战略性数据分析与报告生成,数据湖环境,资源评估、环境影响分析,国际空间研究中心,https://www.isac.cn,2024-10-08,,,,,,,,,,,
无人机数据集成管理系统,管理系统,集成架构,高度集成的无人机信息管理,数字孪生管理平台,无人机任务调度、数据监控,无人机行业协会,https://www.uav.org.cn,2024-10-08,,,,,,,,,,,
空天安全与防护系统,安全系统,综合防护架构,实时安全监控与预警,安全云环境,安全事件检测、响应管理,国家安全局,http://www.nsa.gov.cn,2024-10-08,,,,,,,,,,,
卫星链路增强系统,增强系统,多点联接架构,可靠的数据传输,下一代网络环境,链路优化、数据流控制,通信网络研究中心,http://www.cnrc.cn,2024-10-08,,,,,,,,,,,
空天监测数据分析平台,数据分析平台,云服务架构,高吞吐量数据处理,国际云服务环境,实时监测、数据可视化,全球环境观察组织,https://www.globalobs.org,2024-10-08,,,,,,,,,,,
智能空天侦察系统,侦察系统,集中处理架构,快速目标识别能力,虚拟专用网络环境,动态侦察、目标追踪,国防科技大学,http://www.ndust.edu.cn,2024-10-08,,,,,,,,,,,
异构空天数据融合系统,数据融合系统,分布式融合架构,多源数据融合效率高,跨平台集成环境,数据关联、信息共享,信息技术交流中心,https://www.itee.org.cn,2024-10-08,,,,,,,,,,,
空天气象观测系统,观测系统,动态监测架构,精确气象数据获取,实时云平台,气象数据采集、预报分析,国家气象局,http://www.cma.gov.cn,2024-10-08,,,,,,,,,,,
空天多传感器网络系统,传感器网络系统,智能感知架构,多种类传感器数据集成,本地与云结合环境,传感器管理、数据分析,物联网发展委员会,https://www.iot-dc.org,2024-10-08,,,,,,,,,,,
空天精确打击系统,作战系统,等级分明的控制架构,高效精确性和适应性强,安全防护环境,目标识别、打击决策,军事科学院,http://www.ams.ac.cn,2024-10-08,,,,,,,,,,,
空天生物监测系统,监测系统,多层架构,生物数据跟踪高效,生态监测专用网络,生态监测、数据分析,生态环境部,http://www.mee.gov.cn,2024-10-08,,,,,,,,,,,
空天资源调度系统,资源管理系统,综合协调架构,资源优化配置能力强,中央管理环境,资源调度、状态监控,国土资源部,http://www.mnr.gov.cn,2024-10-08,,,,,,,,,,,
空天安全防护系统,安全系统,多级防护架构,应对突发事件能力强,分布式安全环境,安全监测、事件响应,网络安全管理局,http://www.cytb.gov.cn,2024-10-08,,,,,,,,,,,
空天人机协作系统,协作系统,人机交互架构,高协同性和安全性,智能平台环境,人机协作、数据交互,人工智能技术研究中心,http://www.aitec.org.cn,2024-10-08,,,,,,,,,,,
太空观察综合平台,数据处理系统,云端融合架构,多源数据整合与分析,高性能计算环境,实时数据可视化、预测模型构建,中国航天科技集团,https://www.spacechina.com,2024-10-08,,,,,,,,,,,
卫星通信智能分配系统,智能通信系统,自适应架构,动态带宽调整,卫星网络环境,连接重配置、故障检测,国家广播电视总局,http://www.nb.gov.cn,2024-10-08,,,,,,,,,,,
空天安全监测平台,监控系统,模块化架构,实时威胁检测与响应,分布式服务器环境,网络监控、风险评估,信息产业部,https://www.miit.gov.cn,2024-10-08,,,,,,,,,,,
空天环境监测系统,监测系统,可扩展架构,高灵敏度数据捕获,集成传感器网络,气象监测、环境评估,中国气象局,http://www.cma.gov.cn,2024-10-08,,,,,,,,,,,
空天无人机智能控制平台,控制系统,分布式智能架构,自主飞行决策能力,先进摄像头与传感器,无人机操控、航迹规划,无人机技术公司,http://www.dji.com,2024-10-08,,,,,,,,,,,
太空资源开采监控系统,管理系统,集中式管理架构,资源利用率监测,地面控制中心,开采过程监督、资源评估,国际太空资源协会,https://www.isra.org,2024-10-08,,,,,,,,,,,
空天地海安全保障系统,综合保障系统,交互式框架,多维数据分析,云数据存储与处理,危机响应协调、信息共享,国家安全管理局,http://www.nsa.gov.cn,2024-10-08,,,,,,,,,,,
太空探测任务规划系统,规划系统,集成仿真架构,高效任务计算能力,虚拟现实环境,任务调度、资源分配,中国科学院空间科学研究所,http://www.space.cas.cn,2024-10-08,,,,,,,,,,,
跨域空天协同作战平台,战斗指挥系统,联合任务架构,快速决策支持,多方数据集成环境,实时战斗信息分析、指挥协调,军队科技创新中心,http://www.mod.gov.cn,2024-10-08,,,,,,,,,,,
空天科学实验数据系统,数据管理系统,全生命周期管理架构,海量数据存储与访问,高性能云计算平台,实验数据记录、分析与共享,中国科学院国家实验室,http://www.iap.cas.cn,2024-10-08,,,,,,,,,,,
空间气象数据监测系统,监测系统,分布式实时架构,高频率数据采集与分析,边缘计算环境,气象预警、情况分析,中国气象局,http://www.cma.gov.cn,2024-10-08,,,,,,,,,,,
空天空间态势感知平台,感知系统,虚拟化服务架构,全面态势评估能力,公共云服务环境,数据融合、态势预测,国防科技大学,http://www.nudt.edu.cn,2024-10-08,,,,,,,,,,,
无人机编队控制系统,控制系统,多层次控制架构,高效编队操作能力,模拟器与真实环境结合,航迹规划、实时监控,无人机技术研究院,http://www.uav-research.com,2024-10-08,,,,,,,,,,,
全球定位基站监控系统,监控系统,多节点布置架构,稳定性高、精度高,分散式监控网络环境,位置数据实时监测、故障报警,国际航天服务中心,http://www.space-geo.com,2024-10-08,,,,,,,,,,,
深空探测任务规划系统,规划系统,组合优化架构,任务协调与资源优化,高性能计算环境,探测轨道设计、任务配置,国家航天局,http://www.cnsa.gov.cn,2024-10-08,,,,,,,,,,,
空天应急响应系统,应急管理系统,集中式管理架构,快速反应与协同能力,一体化应急平台,信息收集、决策支持,应急管理部,http://www.mem.gov.cn,2024-10-08,,,,,,,,,,,
空天通讯卫星网络管理系统,网络管理系统,星地协同架构,高可用性、低延迟,混合云环境,信号路由、故障诊断,中国卫星通讯公司,http://www.cetc.com.cn,2024-10-08,,,,,,,,,,,
任务指挥与控制系统,指挥控制系统,多层次分布式架构,信息汇聚与快速决策,集成现场指挥环境,指挥调度、信息共享,中国人民解放军,http://www.pla.gov.cn,2024-10-08,,,,,,,,,,,
卫星遥感应用平台,应用系统,服务导向架构,数据处理快速高效,企业级云环境,遥感数据可视化、用户分析,遥感科学研究院,http://www.rsi.ca,2024-10-08,,,,,,,,,,,
空天安保监测系统,安全监测系统,网络化防护架构,风险评估与监控,融合网络环境,实时预警、事件追踪,国家安全部,http://www.mps.gov.cn,2024-10-08,,,,,,,,,,,
空天气象监测系统,监测系统,云边协同架构,实时气象数据处理,边缘计算环境,气象数据采集、实时预警,国家气象局,http://www.cma.gov.cn,2024-10-08,,,,,,,,,,,
空天网络安全体系,安全系统,多层次防护架构,高级威胁检测能力,专用安全环境,数据加密、入侵检测,网络安全协会,https://www.infosec.org.cn,2024-10-08,,,,,,,,,,,
空天无人驾驶系统,自动驾驶系统,模块化设计架构,高度自动化、智能决策,虚拟仿真环境,路径跟踪、障碍物识别,自动驾驶技术论坛,https://www.autonomous.com,2024-10-08,,,,,,,,,,,
空天资源管理平台,管理系统,基于区块链的架构,数据透明性高,跨平台系统,资源分配、信息共享,资源管理研究院,https://www.resourceinstitute.cn,2024-10-08,,,,,,,,,,,
空天环境监测平台,监测与分析系统,信息集成架构,多源数据分析,云平台环境,环境数据采集、趋势分析,中国环境保护部,http://www.mee.gov.cn,2024-10-08,,,,,,,,,,,
空天紧急响应系统,应急管理系统,快速响应架构,实时响应能力,多功能应急平台,应急事件监测、响应协调,应急管理部,http://www.mem.gov.cn,2024-10-08,,,,,,,,,,,
空天安全教育培训系统,教育培训系统,多媒体互动架构,教育资源丰富、易于访问,在线学习平台,课程管理、知识测试,全国安全教育协会,http://www.safetyeducation.org.cn,2024-10-08,,,,,,,,,,,
空天空间数据共享系统,数据共享系统,集中式云架构,高效的数据存储与访问,数据中心环境,数据共享、数据查询,中国科技信息网,http://www.csti.gov.cn,2024-10-08,,,,,,,,,,,
空天军民融合信息平台,信息交流平台,开放式架构,跨领域合作能力强,综合信息平台,信息发布、资源对接,军民融合发展促进中心,http://www.mfcd.gov.cn,2024-10-08,,,,,,,,,,,
空天智能决策支持系统,决策支持系统,人工智能辅助架构,大数据分析能力,高性能计算环境,数据分析、决策模型构建,智慧城市技术中心,http://www.smartcitytech.cn,2024-10-08,,,,,,,,,,,
智能化空天监测系统,监测系统,模块化服务架构,实时多维数据监测,物联网环境,环境监测、数据预警,环境保护部,http://www.mee.gov.cn,2024-10-08,,,,,,,,,,,
基于区块链的空天数据共享平台,数据共享系统,区块链架构,数据安全性高,公有云平台,数据共享、访问控制,数字中国建设 summit,https://www.digitalchina.gov.cn,2024-10-08,,,,,,,,,,,
空天系统交互设计平台,设计平台,人机交互架构,用户体验优化,多用户协作环境,原型设计、用户测试,中国设计协会,http://www.chinadesign.org.cn,2024-10-08,,,,,,,,,,,
空天气象预报与分析系统,气象系统,网络分布式架构,高准确度气象预测,分布式计算环境,天气数据分析、气象模型,国家气象局,http://www.cma.gov.cn,2024-10-08,,,,,,,,,,,
空天灾害应急响应系统,应急管理系统,集成化应急架构,应急响应快速,应急指挥中心环境,灾情评估、资源分配,应急管理部,http://www.mem.gov.cn,2024-10-08,,,,,,,,,,,
