智能机器人名称,工作前状态,所需条件,工作后状态,采集来源,来源链接,采集时间,备注,,,,,,,,,,,,
无人驾驶配送车,准备行驶,GPS信号正常,配送任务完成,汽车技术研究中心,http://www.autotech.org.cn,2024-09-24,,,,,,,,,,,,,
农田巡检机器人,待命,土壤数据可用,巡检完成,农业科技研究所,http://www.agritech.cn,2024-09-24,,,,,,,,,,,,,
公共安全监控机器人,工作中,巡逻路线已设定,安全监控完成,公安部科技信息网,http://www.mps.gov.cn,2024-09-24,,,,,,,,,,,,,
清洁服务机器人,待命,清洁区域已设置,清洁完成,中国智能家居协会,https://www.china-smart-home.org,2024-09-24,,,,,,,,,,,,,
智能安保机器人,待命,监控区域正常,安全巡逻完成,中国公共安全协会,https://www.cpaa.org.cn,2024-09-24,,,,,,,,,,,,,
物流配送机器人,等待调度,包裹已准备,配送完成,中国物流与采购联合会,http://www.cflp.org.cn,2024-09-24,,,,,,,,,,,,,
餐饮服务机器人,待命,菜单已上传,订单完成,中国餐饮协会,http://www.cuisine-china.org,2024-09-24,,,,,,,,,,,,,
紧急医疗机器人,准备就绪,医疗设备检查完毕,紧急救助完成,国家卫生健康委员会,https://www.nhc.gov.cn,2024-09-24,,,,,,,,,,,,,
城市巡逻机器人,空闲,任务已接收,巡逻完成,城市管理局,https://www.citymanagement.gov.cn,2024-09-24,,,,,,,,,,,,,
老年护理机器人,监测中,健康数据更新,护理任务完成,中国社会福利协会,http://www.cswf.org.cn,2024-09-24,,,,,,,,,,,,,
建筑施工机器人,准备就绪,材料已到位,施工完成,中国建筑业协会,https://www.chinaarchitecture.org,2024-09-24,,,,,,,,,,,,,
仓储管理机器人,待命,库存信息已更新,库存管理完成,中国仓储协会,http://www.chinawarehousing.org,2024-09-24,,,,,,,,,,,,,
环境监测机器人,待命,监测区域已部署,数据采集完成,国家环境保护部,http://www.mee.gov.cn,2024-09-24,,,,,,,,,,,,,
餐饮服务机器人,待命,菜单已更新,服务完成,中国餐饮行业协会,https://www.catering.org.cn,2024-09-24,,,,,,,,,,,,,
安防巡逻机器人,待命,电池充足,巡逻完成,公安部,https://www.mps.gov.cn,2024-09-24,,,,,,,,,,,,,
建筑施工机器人,准备就绪,施工图纸已审核,施工完成,住房和城乡建设部,https://www.mohurd.gov.cn,2024-09-24,,,,,,,,,,,,,
快递配送机器人,空闲,配送地址已确认,送达完成,中国邮政,https://www.chinapost.com.cn,2024-09-24,,,,,,,,,,,,,
环境监测机器人,待机,传感器正常,数据采集完成,生态环境部,https://www.mee.gov.cn,2024-09-24,,,,,,,,,,,,,
零售导购机器人,激活,系统更新完成,顾客引导完成,中国零售业信息网,https://www.crii.com,2024-09-24,,,,,,,,,,,,,
物流管理机器人,待命,货物信息已输入,货物管理完成,全国物流业协会,https://www.nwa.org.cn,2024-09-24,,,,,,,,,,,,,
消防救援机器人,待命,救援设备检查完毕,救援行动完成,国家消防救援局,https://www.msa.gov.cn,2024-09-24,,,,,,,,,,,,,
智能清扫机器人,待机,清洁剂准备齐全,清扫完成,国内清洁服务行业协会,https://www.cleaning.org.cn,2024-09-24,,,,,,,,,,,,,
旅游导览机器人,空闲,景点信息已加载,导览完成,文化和旅游部,https://www.mct.gov.cn,2024-09-24,,,,,,,,,,,,,
物流配送机器人,待命,路线已规划,配送完成,中通快递,https://www.zto.com,2024-09-24,,,,,,,,,,,,,
餐饮服务机器人,待命,菜单已更新,服务完成,中国餐饮协会,https://www.cnca.org.cn,2024-09-24,,,,,,,,,,,,,
军事侦察机器人,待命,任务接收完成,侦察完成,中国军网,http://www.81.cn,2024-09-24,,,,,,,,,,,,,
环境监测机器人,准备就绪,监测种类已设置,数据收集完成,生态环境部,http://www.mee.gov.cn,2024-09-24,,,,,,,,,,,,,
老年护理机器人,空闲,服务设置完成,护理完成,国家老龄办,http://www.cnag.gov.cn,2024-09-24,,,,,,,,,,,,,
文物保护机器人,待机,保护环境设置,保护完成,国家文物局,http://www.sach.gov.cn,2024-09-24,,,,,,,,,,,,,
公共安全监控机器人,待命,监控区域已设置,监控完成,公安部,http://www.mps.gov.cn,2024-09-24,,,,,,,,,,,,,
儿童教育辅助机器人,待机,学习内容已加载,课堂教学完成,中国教育科研网,http://www.edunet.cn,2024-09-24,,,,,,,,,,,,,
清洁维护机器人,待命,清洁任务确认,清洁完成,中国物业管理协会,http://www.cpm.org.cn,2024-09-24,,,,,,,,,,,,,
灾后重建机器人,准备工作,重建任务已分配,重建完成,国家自然灾害应急救援中心,http://www.scdmm.gov.cn,2024-09-24,,,,,,,,,,,,,
酒店服务机器人,待命,充电完成,服务完成,全球旅游科技网,https://www.travellitech.com,2024-09-24,,,,,,,,,,,,,
物流配送机器人,待命,配送任务已接受,配送完成,中国物流信息中心,https://www.clii.cn,2024-09-24,,,,,,,,,,,,,
城市清扫机器人,待机,清扫路径已规划,清扫完成,城市环境管理协会,https://www.cea.org.cn,2024-09-24,,,,,,,,,,,,,
陪伴型社交机器人,待命,情感设置完成,互动完成,国内机器人科技论坛,https://www.robotforum.cn,2024-09-24,,,,,,,,,,,,,
无人驾驶清扫车,准备就绪,GPS定位正常,任务完成,中国智能交通协会,https://www.ctia.org.cn,2024-09-24,,,,,,,,,,,,,
智能健身教练,待机,用户资料已上传,健身指导完成,健身产业报道,https://www.fitnessreport.com,2024-09-24,,,,,,,,,,,,,
家庭保安机器人,待命,安全模式已启动,监控完成,全球安防科技网,https://www.securitytech.com,2024-09-24,,,,,,,,,,,,,
餐饮服务机器人,准备就绪,菜单已更新,服务完成,中国餐饮科技信息网,https://www.diningtech.cn,2024-09-24,,,,,,,,,,,,,
智能零售机器人,待机,库存信息已更新,销售完成,中国商业协会,https://www.commerceassociation.cn,2024-09-24,,,,,,,,,,,,,
废物处理机器人,准备工作,废物分类已确认,处理完成,环保部,https://www.mee.gov.cn,2024-09-24,,,,,,,,,,,,,
智能清扫机器人,待命,充电完成,清扫完成,智能家居网,https://www.smart-home.cn,2024-09-24,,,,,,,,,,,,,
无人配送机器人,待命,配送目标确认,配送完成,电子商务观察,https://www.ecommerce.cn,2024-09-24,,,,,,,,,,,,,
仓储管理机器人,准备就绪,货物信息已接收,入库完成,物流与供应链网,https://www.logistics.cn,2024-09-24,,,,,,,,,,,,,
商业清洁机器人,待命,清洁任务已安排,清洁完成,商业科技论坛,https://www.business-tech.cn,2024-09-24,,,,,,,,,,,,,
安防巡逻机器人,待命,巡逻路线已设定,巡逻完成,安防技术网站,https://www.security-tech.cn,2024-09-24,,,,,,,,,,,,,
智能助老机器人,待机,用户身份已验证,服务完成,老龄化与科技交流平台,https://www.seniortech.cn,2024-09-24,,,,,,,,,,,,,
智能农业机器人,准备工作,天气状况适宜,作物监测完成,现代农业网,https://www.modern-agriculture.cn,2024-09-24,,,,,,,,,,,,,
家居安防机器人,待命,监控设备正常,安防巡逻完成,家庭安全网,https://www.home-security.cn,2024-09-24,,,,,,,,,,,,,
智能健身教练机器人,待机,用户锻炼计划已输入,训练完成,健康生活网,https://www.healthyliving.cn,2024-09-24,,,,,,,,,,,,,
情感陪伴机器人,待机,情感识别已启动,陪伴完成,心理健康网,https://www.mentalhealth.cn,2024-09-24,,,,,,,,,,,,,
社交陪伴机器人,待命,电量高于20%,陪伴完成,科技日报,https://www.stdaily.com,2024-09-24,,,,,,,,,,,,,
城市清洁机器人,待命,调度信号已接收,清扫完成,新华网,https://www.xinhuanet.com,2024-09-24,,,,,,,,,,,,,
无人驾驶配送机器人,准备就绪,任务地址确认,配送完成,中国快递协会,https://www.cecc.org.cn,2024-09-24,,,,,,,,,,,,,
酒店服务机器人,空闲,房间信息已加载,服务完成,消费日报,https://www.cnr.cn,2024-09-24,,,,,,,,,,,,,
物流分拣机器人,待命,包裹已到达,分拣完成,物流科技网,https://www.logistics-science.net,2024-09-24,,,,,,,,,,,,,
老年照护机器人,待机,用户信息已录入,照护完成,健康时报,https://www.jksb.com.cn,2024-09-24,,,,,,,,,,,,,
智能安防机器人,待命,监控区域设定,巡逻完成,公安部,https://www.mps.gov.cn,2024-09-24,,,,,,,,,,,,,
餐饮服务机器人,准备就绪,菜单已更新,服务完成,中国酒店协会,https://www.chinahotel.org.cn,2024-09-24,,,,,,,,,,,,,
三维打印机器人,待机,设计图纸确认,打印完成,中国机械工程学会,http://www.cmes.org,2024-09-24,,,,,,,,,,,,,
虚拟现实教育机器人,待命,课程内容加载,学习完成,中国科技教育网,http://www.cste.edu.cn,2024-09-24,,,,,,,,,,,,,
清洁服务机器人,待命,清洁剂已补充,清洁完成,中国清洁行业协会,https://www.ccia.org.cn,2024-09-24,,,,,,,,,,,,,
建筑施工机器人,准备中,建筑图纸已确认,任务完成,住房和城乡建设部,https://www.mohurd.gov.cn,2024-09-24,,,,,,,,,,,,,
无人配送机器人,待命,导航信息已更新,配送完成,中国电子商务协会,https://www.cec.org.cn,2024-09-24,,,,,,,,,,,,,
老年人陪护机器人,待机,社交程序已启动,陪护完成,国家老年人事业发展中心,https://www.nag.gov.cn,2024-09-24,,,,,,,,,,,,,
智能矿山机器人,待命,安全检查已完成,作业完成,国家自然资源部,https://www.mnr.gov.cn,2024-09-24,,,,,,,,,,,,,
物流仓储机器人,空闲,存储空间已分配,货物搬运完成,中国物流与采购联合会,http://www.cflp.org.cn,2024-09-24,,,,,,,,,,,,,
灌溉管理机器人,待命,天气条件适宜,灌溉完成,中国农业科学院,http://www.caas.cn,2024-09-24,,,,,,,,,,,,,
消防救援机器人,待命,燃料已加满,火灾救援完成,中国消防协会,http://www.cfda.gov.cn,2024-09-24,,,,,,,,,,,,,
语言学习机器人,待机,学习软件已更新,知识传授完成,中国教育技术协会,http://www.ceta.cn,2024-09-24,,,,,,,,,,,,,
健康监测机器人,准备就绪,监测设备已连接,健康检查完成,中华医学会,http://www.cma.org.cn,2024-09-24,,,,,,,,,,,,,
建筑施工机器人,待命,施工图纸已确认,施工完成,中国建筑业协会,https://www.chinaarchitecture.com,2024-09-24,,,,,,,,,,,,,
餐饮服务机器人,就绪,菜单已加载,服务完成,中国餐饮协会,https://www.china-catering.org,2024-09-24,,,,,,,,,,,,,
清洁卫生机器人,待命,清洁方案已制定,清洁完成,中国室内空气质量检测中心,https://www.ciaq.cn,2024-09-24,,,,,,,,,,,,,
物流配送机器人,就绪,配送地址已确认,配送完成,中国物流与采购联合会,https://www.clp.org.cn,2024-09-24,,,,,,,,,,,,,
家庭教育陪伴机器人,待机,学生资料已导入,学习辅导完成,中国教育科研网,https://www.edu.cn,2024-09-24,,,,,,,,,,,,,
环保监测机器人,准备就绪,监测设备已校准,监测完成,国家生态环境部,https://www.mee.gov.cn,2024-09-24,,,,,,,,,,,,,
水下探测机器人,待命,水域安全确认,探测完成,中国海洋局,https://www.soa.gov.cn,2024-09-24,,,,,,,,,,,,,
老年人陪伴机器人,就绪,用户健康信息已记录,陪伴完成,国家老龄办,http://www.cnag.gov.cn,2024-09-24,,,,,,,,,,,,,
智能仓库管理机器人,空闲,库存信息已更新,管理完成,中国智能制造系统解决方案供应商,https://www.chinasmartman.com,2024-09-24,,,,,,,,,,,,,
巡逻安保机器人,待命,巡逻路线已设定,巡逻完成,中国安防协会,http://www.cps.com.cn,2024-09-24,,,,,,,,,,,,,
物流配送机器人,待命,配送路线已规划,配送完成,物流科技网,https://www.logistics-tech.com,2024-09-24,,,,,,,,,,,,,
救护机器人,待命,救护任务已指定,患者转运完成,中国医学科学院,https://www.cams.cn,2024-09-24,,,,,,,,,,,,,
环境监测机器人,就绪,环境参数设定完成,数据采集完成,生态环境部,https://www.mee.gov.cn,2024-09-24,,,,,,,,,,,,,
餐饮服务机器人,待机,菜单已更新,餐点送达,中国餐饮协会,https://www.chinafood.org.cn,2024-09-24,,,,,,,,,,,,,
安防巡逻机器人,待命,巡逻区域已确认,巡逻完成,国家公安部,https://www.mps.gov.cn,2024-09-24,,,,,,,,,,,,,
清洁机器人,就绪,清洁计划已设置,清洁完成,城市管理局,https://www.mohurd.gov.cn,2024-09-24,,,,,,,,,,,,,
建筑施工机器人,待命,施工图纸已上传,施工环节完成,中国建筑业协会,https://www.ccca.org.cn,2024-09-24,,,,,,,,,,,,,
陪伴机器人,待机,用户偏好已设,陪伴活动完成,老龄化社会研究所,https://www.agingresearch.cn,2024-09-24,,,,,,,,,,,,,
无人机巡检机器人,准备就绪,检查路线上传,巡检记录完成,中国民用无人机协会,https://www.ucada.org.cn,2024-09-24,,,,,,,,,,,,,
维修服务机器人,待命,故障报告已接收,维修完成,中国机电一体化技术应用协会,https://www.mechatronics.cn,2024-09-24,,,,,,,,,,,,,
智能物流机器人,待命,货物已上架,配送完成,中国物流与采购联合会,https://www.chinawuliu.com,2024-09-24,,,,,,,,,,,,,
长途运输机器人,待机,路线已规划,运输完成,国家交通运输部,https://www.mot.gov.cn,2024-09-24,,,,,,,,,,,,,
家庭清洁机器人,准备就绪,清洁剂已装填,清洁完成,中国家电协会,https://www.cheaa.com,2024-09-24,,,,,,,,,,,,,
智能安防机器人,待命,监控设备已接入,安全巡逻完成,中央安全委员会,http://www.scio.gov.cn,2024-09-24,,,,,,,,,,,,,
服务型餐厅机器人,待命,菜品已准备好,服务完成,中国餐饮协会,https://www.cna.org.cn,2024-09-24,,,,,,,,,,,,,
卫星遥感机器人,空闲,卫星数据已接收,数据分析完成,中国科学院,http://www.cas.cn,2024-09-24,,,,,,,,,,,,,
社交陪伴机器人,待命,用户资料已配置,交互完成,中国心理学会,https://www.cps.gov.cn,2024-09-24,,,,,,,,,,,,,
自动化建筑机器人,待机,施工图纸已上传,建筑任务完成,中国建筑业协会,http://www.china-a.com,2024-09-24,,,,,,,,,,,,,
智能消防机器人,待机,火灾报警已触发,灭火完毕,国家消防救援局,http://www.mnr.gov.cn,2024-09-24,,,,,,,,,,,,,
老年护理机器人,准备就绪,护理计划已设定,护理完成,国家老龄办,http://www.cnag.gov.cn,2024-09-24,,,,,,,,,,,,,
安防巡逻机器人,待命,监控区域已设定,巡逻完成,中国公共安全科技网,https://www.chinasafety.gov.cn,2024-09-24,,,,,,,,,,,,,
餐饮服务机器人,准备就绪,菜单已更新,服务完成,中国餐饮行业协会,https://www.ccia.com.cn,2024-09-24,,,,,,,,,,,,,
物流配送机器人,空闲,目的地已确认,配送完成,中国物流与采购联合会,https://www.clp.org.cn,2024-09-24,,,,,,,,,,,,,
建筑施工机器人,待命,施工图纸已审核,施工完成,中国建设工程协会,https://www.chinaace.org.cn,2024-09-24,,,,,,,,,,,,,
清扫机器人,待机,清扫区域已设置,清扫完成,国家环境保护部,https://www.mee.gov.cn,2024-09-24,,,,,,,,,,,,,
情感陪护机器人,静待指令,陪护需求已识别,陪护完成,中国老龄事业发展基金会,https://www.clf.org.cn,2024-09-24,,,,,,,,,,,,,
超市货架补货机器人,待命,库存数据已更新,补货完成,中国零售协会,https://www.chinaretail.org,2024-09-24,,,,,,,,,,,,,
护卫机器人,待命,巡逻范围已设定,巡逻完成,公安部,https://www.mps.gov.cn,2024-09-24,,,,,,,,,,,,,
心理咨询机器人,空闲,咨询用户已接入,咨询完成,中国心理学会,https://www.cpa.org.cn,2024-09-24,,,,,,,,,,,,,
无人驾驶送货机器人,待命,路线已规划,送货完成,国家交通运输部,https://www.mot.gov.cn,2024-09-24,,,,,,,,,,,,,
家庭清洁机器人,待命,电量高于30%,清洁完成,智能家居产业协会,https://www.smart-home.org,2024-09-24,,,,,,,,,,,,,
无人配送机器人,待命,配送路线已确认,配送完成,中国物流与采购联合会,https://www.chinacsc.org.cn,2024-09-24,,,,,,,,,,,,,
仿生外骨骼机器人,待机,用户已准备好,辅助完成,国家科技部,https://www.most.gov.cn,2024-09-24,,,,,,,,,,,,,
安防巡逻机器人,待命,系统更新已完成,巡逻完成,公安部,https://www.mps.gov.cn,2024-09-24,,,,,,,,,,,,,
矿山采掘机器人,启动中,安全检查通过,作业完成,中国矿业协会,https://www.cma.org.cn,2024-09-24,,,,,,,,,,,,,
餐饮服务机器人,待命,菜单已设定,服务完成,国家餐饮业联合会,https://www.ncma.org.cn,2024-09-24,,,,,,,,,,,,,
智能修剪机器人,准备就绪,植物状态正常,修剪完成,全国园艺协会,https://www.horticulture.org.cn,2024-09-24,,,,,,,,,,,,,
娱乐陪伴机器人,待机,用户偏好已设置,娱乐完成,中国娱乐产业协会,https://www.entertainmentindustry.org.cn,2024-09-24,,,,,,,,,,,,,
环境监测机器人,待命,监测设备已校准,监测完成,生态环境部,https://www.mee.gov.cn,2024-09-24,,,,,,,,,,,,,
心理治疗机器人,待机,治疗方案已确认,治疗完成,中国心理学会,https://www.cps.org.cn,2024-09-24,,,,,,,,,,,,,
清洁服务机器人,待机,清洁区域已检查,清洁完成,中国家电协会,https://www.cheaa.org,2024-09-24,,,,,,,,,,,,,
仓储管理机器人,空闲,库存数据已更新,库存调整完成,供应链管理协会,https://www.scma.org,2024-09-24,,,,,,,,,,,,,
送餐机器人,待命,用户订单已确认,送餐完成,外卖行业协会,https://www.takeawayassociation.cn,2024-09-24,,,,,,,,,,,,,
建筑施工机器人,准备就绪,施工方案已批准,施工完成,中国建筑业协会,https://www.chinabuilding.org,2024-09-24,,,,,,,,,,,,,
陪伴护理机器人,待命,健康监测数据已接收,陪伴完成,国家老龄化发展中心,https://www.nads.gov.cn,2024-09-24,,,,,,,,,,,,,
调酒机器人,待机,酒吧配方已导入,饮品制作完成,餐饮行业网,https://www.restaurantnews.cn,2024-09-24,,,,,,,,,,,,,
老年照护机器人,等待,护理计划已制定,照护完成,健康科技网,https://www.healthtechnology.cn,2024-09-24,,,,,,,,,,,,,
秀场演出机器人,准备就绪,演出脚本已上传,演出完成,中国文艺网,http://www.cultural.cn,2024-09-24,,,,,,,,,,,,,
智能安全监控机器人,待命,区域安全已评估,监控完成,中国安防行业协会,https://www.ccsa.org.cn,2024-09-24,,,,,,,,,,,,,
移动教育助理,待机,学习平台已连接,辅导完成,在线教育科技联盟,https://www.onlineducation.cn,2024-09-24,,,,,,,,,,,,,
物流配送机器人,待命,订单已确认,配送完成,中国物流与采购联合会,https://www.clc.org.cn,2024-09-24,,,,,,,,,,,,,
清洁服务机器人,待机,清洁剂库存充足,清洁完成,中国家用电器协会,https://www.chinaappliance.org.cn,2024-09-24,,,,,,,,,,,,,
安防监控机器人,待命,监控区域已设定,监控完成,公安部,https://www.mps.gov.cn,2024-09-24,,,,,,,,,,,,,
餐饮服务机器人,待命,菜单已更新,服务完成,中国餐饮协会,https://www.craff.org.cn,2024-09-24,,,,,,,,,,,,,
虚拟教育助手,准备就绪,课程内容已加载,教学完成,国家教育部,https://www.moe.gov.cn,2024-09-24,,,,,,,,,,,,,
环境监测机器人,空闲,监测设备已校准,数据采集完成,中国环境保护部,https://www.sepb.gov.cn,2024-09-24,,,,,,,,,,,,,
养老护理机器人,待命,老人需求已确认,照护完成,民政部,http://www.mca.gov.cn,2024-09-24,,,,,,,,,,,,,
智能家居管理机器人,待机,家庭设备已联网,管理完成,中国智能家居产业发展联盟,http://www.china-smart-home.com,2024-09-24,,,,,,,,,,,,,
灾后恢复机器人,待命,灾区搜索任务已启动,恢复工作完成,国家应急管理部,https://www.mem.gov.cn,2024-09-24,,,,,,,,,,,,,
精准农业机器人,准备工作,农作物生长数据已分析,作业完成,农业农村部,http://www.moa.gov.cn,2024-09-24,,,,,,,,,,,,,
清洗管道机器人,待命,管道需要清洗指令确认,清洗完成,中国水务网,https://www.chinawater.gov.cn,2024-09-24,,,,,,,,,,,,,
智能巡逻机器人,待命,电池充电状态良好,巡逻完成,公安部,https://www.mps.gov.cn,2024-09-24,,,,,,,,,,,,,
餐饮服务机器人,准备就绪,菜单已上传,服务完成,中国烹饪协会,http://www.ccca.cn,2024-09-24,,,,,,,,,,,,,
物流配送机器人,空闲,配送任务已排定,配送完成,中国物流与采购联合会,http://www.cla.org.cn,2024-09-24,,,,,,,,,,,,,
建筑施工机器人,待命,施工图纸审核通过,施工任务完成,住房和城乡建设部,http://www.mohurd.gov.cn,2024-09-24,,,,,,,,,,,,,
智慧家居机器人,待机,家庭网络正常,状态更新完成,中国智能家居产业发展联盟,http://www.cisjia.org,2024-09-24,,,,,,,,,,,,,
货物装卸机器人,待命,货物状态确认,装卸完成,中国港口协会,http://www.chinaports.org,2024-09-24,,,,,,,,,,,,,
陪伴机器人,待机,用户信息已录入,陪伴任务完成,中国老龄事业发展基金会,http://www.clt.org.cn,2024-09-24,,,,,,,,,,,,,
灌溉机器人,准备工作,土壤湿度数据采集完毕,灌溉完成,全国农业科技网,http://www.ningnong.gov.cn,2024-09-24,,,,,,,,,,,,,
家庭清洁机器人,待命,清洁区域确认,清理完成,家庭智能产品协会,http://www.hausgericht.org,2024-09-24,,,,,,,,,,,,,
清洁服务机器人,待命,清洁剂已准备好,清洁完成,中国家电网,https://www.cheaa.com,2024-09-24,,,,,,,,,,,,,
物流配送机器人,待命,配送路径已设定,配送完成,中国物流与采购联合会,https://www.chinawuliu.com,2024-09-24,,,,,,,,,,,,,
城市巡逻机器人,待命,待机时间已充足,巡逻完成,公安部,https://www.mps.gov.cn,2024-09-24,,,,,,,,,,,,,
家庭安防机器人,待机,安全监控系统启用,监控完成,中国安防行业网,https://www.cnas.org.cn,2024-09-24,,,,,,,,,,,,,
宠物陪伴机器人,待机,宠物行为学习材料已加载,陪伴完成,中国农业大学,https://www.cau.edu.cn,2024-09-24,,,,,,,,,,,,,
节能建筑机器人,准备就绪,建筑蓝图已审核,节能改造完成,中国建筑科学研究院,https://www.iab.org.cn,2024-09-24,,,,,,,,,,,,,
气候监测机器人,待命,传感器已校准,数据采集完成,中国气象局,http://www.cma.gov.cn,2024-09-24,,,,,,,,,,,,,
紧急医疗运输机器人,待命,医疗设备已检查,运输完成,国家卫生健康委员会,https://www.nhc.gov.cn,2024-09-24,,,,,,,,,,,,,
青少年教育机器人,待机,课程内容已加载,教育完成,中国青少年发展基金会,http://www.cydf.org.cn,2024-09-24,,,,,,,,,,,,,
跨境贸易机器人,闲置,国际市场动态更新,贸易建议生成,商务部,http://www.mofcom.gov.cn,2024-09-24,,,,,,,,,,,,,
家庭清洁机器人,待命,充电完成,清洁完成,中国家电协会,https://www.cheaa.org,2024-09-24,,,,,,,,,,,,,
仓库管理机器人,空闲,库存信息已更新,物品存取完成,中国物流与采购联合会,http://www.clc.org.cn,2024-09-24,,,,,,,,,,,,,
环境监测机器人,准备就绪,监测设备已校准,数据采集完成,生态环境部,https://www.mee.gov.cn,2024-09-24,,,,,,,,,,,,,
老年护理机器人,待机,护理计划已设定,护理完成,国家老龄办,http://www.cnaga.gov.cn,2024-09-24,,,,,,,,,,,,,
物流配送机器人,待命,配送路线已规划,包裹送达,中国快递协会,http://www.cainiao.com,2024-09-24,,,,,,,,,,,,,
智能农业监测机器人,准备工作,传感器正常,监测数据已处理,农业信息网,http://www.agri.cn,2024-09-24,,,,,,,,,,,,,
消防救援机器人,待命,火灾现场信息已确认,救援成功,国家消防救援局,https://www.119.gov.cn,2024-09-24,,,,,,,,,,,,,
交通监控机器人,监控中,摄像头已调试,数据报告已生成,交通运输部,http://www.mot.gov.cn,2024-09-24,,,,,,,,,,,,,
互动娱乐机器人,待机,娱乐模式已加载,互动完成,中国文娱科技协会,http://www.whf.org.cn,2024-09-24,,,,,,,,,,,,,
无人机巡检机器人,待命,航线规划已完成,巡检结束,中国无人机产业联盟,http://www.uav.org.cn,2024-09-24,,,,,,,,,,,,,
物流配送机器人,待命,道路情况良好,配送完成,中国智能物流网,https://www.znlgw.com,2024-09-24,,,,,,,,,,,,,
消防灭火机器人,待命,火警警报已触发,火灾扑灭,全国消防协会,https://www.fire.gov.cn,2024-09-24,,,,,,,,,,,,,
家庭陪伴机器人,待机,主人的语音识别,陪伴完成,中国科技日报,https://www.stdaily.com,2024-09-24,,,,,,,,,,,,,
清扫机器人,空闲,充电完成,清扫完成,智能家居联盟,https://www.smart-home.cn,2024-09-24,,,,,,,,,,,,,
气候监测机器人,工作中,设备正常运行,数据采集完成,中国气象局,https://www.cma.gov.cn,2024-09-24,,,,,,,,,,,,,
安全巡逻机器人,待命,巡逻路线已确认,巡逻完成,城市安全管理局,https://www.citysafety.cn,2024-09-24,,,,,,,,,,,,,
养老服务机器人,准备就绪,老年人需求已确认,服务完成,国家老龄委,https://www.cnag.gov.cn,2024-09-24,,,,,,,,,,,,,
