层级（字符型）,关键作用（字符型）,涉及学科（字符型）,涉及工艺（字符型）,应用领域（字符型）,上市许可持有人（字符型）,规范企业名称，用于企业关联（字符型）,面向群体（字符型）,采集来源,来源链接,采集时间,备注【疑问汇总】
数据层,实时数据分析与预测,机器学习、数据挖掘,数据仓库、分析模型,金融预测、市场分析,百度,百度在线网络技术（北京）有限公司,企业决策者,百度研究院,https://research.baidu.com/,,
应用层,用户交互与服务提供,人机交互、用户体验设计,移动应用开发、云应用,智能家居、在线教育,字节跳动,字节跳动有限公司,普通用户、学生,站长之家,https://www.chinaz.com/,,
控制层,设备连接与指令管理,系统控制、网络协议,智能控制器、协议栈,智能工厂管理、机器人控制,美的集团,美的科技控股有限公司,企业用户,产业信息网,http://www.chainnews.com/,,
安全层,数据隐私与安全保障,网络安全、信息保护,身份验证技术、入侵检测,银行、信息服务,360安全科技,北京奇诺科技有限公司,金融机构、普通用户,网络安全杂志,https://www.360.cn/,,
感知层,环境舒适度实时感知,气象学、传感技术,智能气象站、环境监测传感器,智慧园区、公共设施管理,华为,华为技术有限公司,政府及公共事业,IT168,https://www.it168.com/,,
网络层,多模网络构建与连接管理,无线通信、网络工程,5G技术、网络虚拟化,无人驾驶、智能交通,中国联通,中国联合网络通信有限公司,物流企业、交通管理部门,通信世界网,https://www.cww.net.cn/,,
数据层,大数据分析与智能决策支持,统计学、人工智能,云数据服务、数据可视化,市场营销、智能推荐,阿里云,阿里巴巴云计算有限公司,中小企业用户,数据中国,http://www.datayuan.com/,,
应用层,行业解决方案集成,管理学、软件开发,企业应用软件、系统集成,能源管理、制造业,IBM,国际商业机器公司,大型企业,国际数据公司,https://www.idc.com/,,
感知层,数据采集与智能识别,传感器技术、人工智能等,视频监控、环境传感器,智慧城市、环境保护,京东科技有限公司,京东集团股份有限公司,政府部门,科技日报,http://www.stdaily.com/,,
网络层,边缘计算与数据路由,边缘计算、网络构架等,SD-WAN、5G网络,自动驾驶、实时监控,爱立信,爱立信公司,技术公司,数字经济研究院,https://www.dieg.org/,,
数据层,实时数据分析与挖掘,数据科学、机器学习等,大数据平台、数据挖掘工具,金融分析、市场预测,字节跳动,字节跳动有限公司,企业用户,腾讯科技,https://tech.qq.com/,,
应用层,提供智能化服务,应用开发、用户体验设计等,云计算服务、移动APP开发,智慧家居、智能客服,百度,百度在线网络技术（北京）有限公司,普通用户,云计算网,https://www.cloud-computing.org/,,
控制层,设备和网络的智能控制,控制工程、自动化等,智能算法、反馈系统,电力管理、智能制造,西门子,西门子有限公司,企业用户,电力科技,https://www.electricsciencelibrary.com/,,
安全层,网络和数据安全保障,信息安全、网络防护等,防火墙、入侵检测系统,金融服务、医疗保健,汇顶科技,汇顶科技股份有限公司,普通用户,网络世界,http://www.networld.com/,,
感知层,环境数据收集与分析,环境科学、传感器技术等,环境监测传感器,农业监测、自然灾害预警,宁德时代,宁德时代新能源科技股份有限公司,农场主,中国农业信息网,http://www.caas.cn/,,
网络层,高带宽低延迟的信号传输,通信工程、网络协议等,光纤通信、LPWAN,城市基础设施、智慧农田,中信科无线,中信科通信科技股份有限公司,服务提供商,通信行业协会,https://www.cac.gov.cn/,,
数据层,海量数据存储与分析,计算机科学、大数据技术等,SQL数据库、数据仓库,航空航天、气象服务,华为云,华为技术有限公司,政府机关,国家气象局,http://www.cma.gov.cn/,,
应用层,设施的远程监控与管理,软件开发、后台管理,SaaS解决方案,医疗监控、环境监控,小米科技,小米科技有限责任公司,医院与诊所,每日头条,https://www.meiri.cc/,,
感知层,数据采集与环境监测,传感器技术、无线通信,温湿度传感器、IoT设备,智能农业、环境监测,京东方科技集团股份有限公司,京东方科技集团,农业企业,华夏时报,https://www.chinatimes.net.cn/,,
网络层,数据传输与网络优化,网络通信、数据管理,5G技术、边缘计算,智能交通、城市管理,中国联通股份有限公司,中国联通,城市管理者,新华网,http://www.xinhuanet.com/,,
数据层,数据分析与决策支持,数据科学、机器学习,数据湖、预测分析,金融监控、市场分析,腾讯科技(深圳)有限公司,腾讯云,金融机构,金融时报,http://www.ftchinese.com/,,
应用层,用户交互与服务开发,用户体验设计、软件开发,移动端应用、API集成,智能家居、智能客服,阿里云计算有限公司,阿里巴巴集团,普通消费者,应用市场,https://www.appmarket.com/,,
感知层,实时数据反馈与监测,环境科学、装置工程,气体传感器、IoT监测,生态保护、气候监测,深圳市腾讯计算机系统有限公司,腾讯,政府及科研单位,中国环保部,http://www.mee.gov.cn/,,
网络层,数据传输和协议管理,网络工程、安全通信,低功耗广域网（LPWAN）,智能城市、远程医疗,诺基亚公司,诺基亚网络,企业用户,通信产业报,http://www.chinatoday.com.cn/,,
数据层,数据存储与管理,信息技术、云计算,云存储、大数据处理,电子商务、大数据分析,百度在线网络技术（北京）有限公司,百度,大型企业,百度科技,https://tech.baidu.com/,,
应用层,定制化商业解决方案,商业智能、平台开发,平台-as-a-Service (PaaS),智能制造、供应链管理,IBM中国有限公司,IBM,企业用户,IBM官网,https://www.ibm.com/cn/,,
控制层,策略制定与执行,控制系统、自动化,智能算法、机器学习,智能家居、自动驾驶,特斯拉汽车有限公司,特斯拉,普通消费者,特斯拉官网,https://www.tesla.com/,,
安全层,数据保护与合规性,信息安全、法律法规,身份验证、数据加密,数字货币、在线支付,蚂蚁科技集团股份有限公司,支付宝,消费者与商家,反欺诈调查中心,http://www.antgroup.com/,,
感知层,数据监控与异常检测,物联网技术、传感器网络等,环境传感器、智能设备等,智能农场、环境保护等,京东科技控股有限公司,京东物流科技有限公司,农业企业,科技日报,https://www.stdaily.com/,,
网络层,无线数据传输与网络协调,网络工程、通信技术等,5G网络、边缘计算等,智慧城市、实时数据采集等,中国移动通信集团有限公司,中国移动有限公司,企业用户、政府部门,中国信息通信研究院,https://www.caiti.org.cn/,,
数据层,数据分析与决策支持,机器学习、数据科学等,数据挖掘、数据可视化等,金融科技、智能医疗等,百度人工智能科技有限公司,百度北京创新技术有限公司,金融机构、医疗企业,网络安全与信息化委员会,https://www.cyber.gov.cn/,,
应用层,应用程序开发与服务优化,应用开发、用户体验设计等,移动应用、云服务等,智能家居、车联网等,字节跳动科技有限公司,字节跳动有限公司,普通用户、汽车制造商,36氪,https://www.36kr.com/,,
控制层,渠道与资源优化管理,资源管理、系统工程等,动态资源分配技术,数据中心、云计算提供商,阿里巴巴云智能科技有限公司,阿里云网络科技有限公司,企业用户,中国计算机学会,https://www.ccf.org.cn/,,
安全层,数据保护与访问控制,网络安全、信息安全等,生物识别技术、加密协议等,智能金融、电子商务等,宏碁科技股份有限公司,宏碁（中国）有限公司,个人用户、企业用户,信息安全技术协会,https://www.isect.org.cn/,,
感知层,实时数据采集与可视化,传感器技术、数据工程等,实时监测设备、5G通讯设备等,智能建筑、公共设施管理等,先锋科技有限公司,先锋集团有限公司,房地产企业、工业用户,中国建筑科学研究院,http://www.cabr.edu.cn/,,
网络层,高效数据传输与网络安全,网络管理、信息技术等,网络协议、安全防护装置等,智能交通、公共安全监控等,华三通信技术有限公司,华三通信股份有限公司,城市管理部门,中国科学技术协会,https://www.cast.org.cn/,,
数据层,数据存储与项目实施,数据库管理、大数据处理等,数据仓库、数据湖等,物联网平台开发、智能制造等,腾讯云计算（北京）有限责任公司,腾讯云计算有限公司,制造商、服务提供者,数据科学与工程大会,https://www.dsec.org/,,
应用层,智能应用与用户交互,人机交互、用户体验等,智能语音助手、物联网应用开发等,教育科技、健康监测等,小米科技有限责任公司,小米通讯技术有限公司,教育机构、健康管理公司,小米官方网站,https://www.mi.com/,,
感知层,环境数据采集与智能分析,环境科学、无线传感器网络,智能传感器、物联网网关,智能城市、能源管理,京东科技,京东科技有限公司,城市管理者,智联网研究院,https://www.iothinktank.org/,,
网络层,高效数据调度与传输,通信工程、大数据分析,5G通信、边缘计算,智能医疗、远程教育,中国移动,中国移动通信集团有限公司,医疗机构,通信世界网,https://www.cww.net.cn/,,
数据层,数据挖掘与智能决策支持,机器学习、数据科学,数据仓库、人工智能算法,智慧农业、市场分析,百度智能云,百度云计算有限公司,农业企业,农业科技网,http://www.agri-tech.net/,,
应用层,提供行业解决方案与服务,软件开发、系统架构,云应用开发、API集成,智能制造、物流管理,阿里巴巴云,阿里巴巴云计算有限公司,制造业用户,信息化建设网,http://www.informet.cn/,,
控制层,优化管理网络资源与性能,控制系统、运营研究,动态资源配置,能源监控、智能电网,光环新网,光环新网科技股份有限公司,电力公司,网络科技周刊,http://www.techweekly.cn/,,
安全层,实施网络安全防护措施,信息安全、密码学,网络安全产品、安全审计,智能家居、金融服务,腾讯安全,腾讯科技（深圳）有限公司,普通用户,网络安全杂志,http://www.securityjournal.cn/,,
感知层,多维传感数据收集,地理信息系统、传感器网络,遥感技术、传感器校准,精准农业、城市规划,紫光集团,紫光股份有限公司,城市规划者,地理信息科学研究所,http://www.gis-research.org/,,
网络层,构建低延迟通信体系,信息与通信工程,LPWAN、网络切片,智能交通、物流配送,华为云,华为技术有限公司,物流企业,专业技术杂志,http://www.techmagazine.cn/,,
数据层,实时数据处理与可视化,数据可视化、云计算,流数据处理系统,智慧城市、公共安全,ByteDance,字节跳动科技有限公司,政府机构,市政管理研究院,http://www.municipal-research.org/,,
应用层,提供定制化解决方案,IT服务、用户体验设计,定制软件开发,家庭自动化、能源管理,美的集团,美的集团股份有限公司,家庭用户,家庭科技报告,http://www.hometechreport.cn/,,
感知层,空气质量监控与环境数据收集,环境科学、传感器技术,气体传感器、数据采集系统,智慧城市、公共健康,京东方科技集团股份有限公司,京东方科技集团股份有限公司,普通用户,新浪科技,https://tech.sina.com.cn/,,
网络层,边缘计算与数据路由优化,计算机网络、边缘计算,边缘计算节点、负载均衡技术,工业自动化、智能制造,浪潮集团有限公司,浪潮集团有限公司,企业用户,网络世界,http://www.nwsafety.com/,,
数据层,实时数据分析与决策支持,大数据技术、机器学习,数据仓库、实时分析引擎,金融服务、股票交易,腾讯云,腾讯云计算（北京）有限责任公司,企业用户,中国证券报,http://www.cs.com.cn/,,
应用层,智能家居设备管理与操控,用户体验设计、物联网技术,云平台、移动应用开发,智能家居、家庭娱乐,米家科技,小米科技有限责任公司,普通用户,极客公园,https://www.geekpark.net/,,
控制层,设备资源调度与管理,控制理论、信息工程,调度算法、智能控制系统,智能工厂、技术研发,海尔集团公司,海尔智家有限公司,企业用户,海尔官网,https://www.haier.com/,,
安全层,数据隐私保护与网络安全,网络安全、信息加密,认证技术、加密算法,在线交易、电子支付,安恒信息技术有限公司,安恒信息,普通用户,网络安全行业协会,http://www.cinwa.com/,,
感知层,农业产量监控与土壤质量分析,农业科学、智能传感,土壤传感器、数据分析模块,智能农业、精准灌溉,中科院农业科技,中国科学院农业科学研究所,农民用户,农民日报,http://www.nongmin.com/,,
网络层,物联网设备互联与网络架构设计,计算机科学、通信技术,低功耗广域网络（LPWAN）、Mesh网络,社会服务、公共设施监控,华为技术有限公司,华为技术有限公司,企业与政府,华为官网,https://www.huawei.com/,,
数据层,数据存储与智能报告生成,数据科学、云计算,云存储、数据处理服务,医疗健康、市场营销,百度,百度在线网络技术（北京）有限公司,企业用户,百度研究院,https://research.baidu.com/,,
应用层,精准健康监测与个性化服务,健康科技、用户体验,智能可穿戴设备、健康管理系统,医疗健康、智能健身,苹果公司,苹果电脑（中国）有限公司,普通用户,健康时报,http://www.jksb.com.cn/,,
感知层,环境参数监测与数据收集,传感器技术、物联网通信,红外传感器、智能城市感知设备,城市管理、环境保护,百度智能云有限公司,百度,政府机构,中国物联网发展研究院,https://www.iot.edu.cn/,,
网络层,高速数据传输与网络协调,通信技术、网络架构,5G网络、边缘计算,自动驾驶、智慧医疗,联通科技有限公司,中国联合网络通信有限公司,高科技企业,中国通信产业网,https://www.ctinetworks.com/,,
数据层,大数据分析与决策支持,数据挖掘、机器学习,实时数据处理、数据湖,智慧农业、供应链管理,京东科技有限公司,京东,企业用户,京东研究院,https://research.jd.com/,,
应用层,提供行业定制化应用服务,软件开发、用户体验设计,Web应用开发、移动端适配,智慧楼宇、智能园区,阿里云智能有限公司,阿里巴巴集团,企业用户,阿里巴巴云官方网站,https://www.aliyun.com/,,
控制层,智能设备自适应控制,自动控制、系统工程,反馈控制系统、优化算法,智能制造、智能家居,小米科技有限公司,小米集团,普通用户,小米官网,https://www.mi.com/,,
安全层,物联网系统安全防护,网络安全、密钥管理,基于区块链的安全架构,智能城市、金融风险控制,阿里安全科技有限公司,阿里巴巴集团,金融机构,网络安全论坛,https://www.secforum.org/,,
感知层,实时数据采集与监控,环境科学、数据科学,气象传感器、环境监测系统,气象监测、城市垃圾管理,腾讯智慧城市技术有限公司,腾讯控股有限公司,政府与企业,智慧城市研究中心,https://www.smartcity.org.cn/,,
网络层,物联网设备互联互通,数据通信、网络优化,LoRa技术、柔性网络组件,远程监控、工业互联网,华为技术有限公司,华为,制造业,华为官方网站,https://www.huawei.com/,,
数据层,多维度数据整合与分析,运筹学、人工智能,智能数据仓库、预测性分析,交通管理、资源优化,IBM中国有限公司,IBM,企业用户,IBM官方网站,https://www.ibm.com/cn/,,
应用层,智能应用开发与部署,人机交互、应用架构,云应用服务、服务导向架构,智慧医疗、娱乐互联网,字节跳动有限公司,字节跳动,普通用户,字节跳动研究院,https://www.bytedance.com/,,
