网络与通信系统名称（字符型）,网络与通信系统类型（字符型）,规格（字符型）,企业名称（字符型）,批准日期（日期型）,上市许可持有人（字符型）,规范企业名称，用于企业关联（字符型）,面向群体（字符型）,采集来源,来源链接,采集时间,备注【疑问汇总】
Wi-Fi 7无线网络,无线通信系统,IEEE 802.11be,TP-Link,2023-12-01,TP-Link,TP-Link技术有限公司,普通用户,TP-Link官方网站,https://www.tp-link.com,,
5G超宽带网络,移动通信系统,5G NR,京东通信,2020-01-15,京东通信,京东集团,高端用户,中国工业和信息化部,https://www.jingdong.com/,,
NB-IoT网络,物联网通信系统,NB-IoT,中兴通讯,2017-07-30,中兴,中兴通讯股份有限公司,物联网开发者,中国工业和信息化部,https://www.zte.com.cn/,,
6G网络测试系统,移动通信系统,6G,华为技术有限公司,2023-03-21,华为,华为技术有限公司,研究机构,科技日报,https://www.stdaily.com/,,
光纤到户网络,固定通信系统,FTTH,中国电信,2015-05-11,中国电信,中国电信股份有限公司,家庭用户,中国工业和信息化部,https://www.chinatelecom.com.cn/,,
星际通信网络,卫星通信系统,Ka-Band,星链科技,2021-09-30,星链,星链网络有限公司,偏远地区用户,航天科技日报,http://www.spaceflightnews.com/,,
边缘计算解决方案,云计算系统,Multi-Access Edge Computing,阿里云,2022-11-05,阿里巴巴,阿里巴巴集团控股有限公司,企业用户,阿里巴巴官网,https://www.aliyun.com/,,
虚拟专用网络,网络安全系统,VPN,腾讯科技,2020-12-12,腾讯,腾讯控股有限公司,企业和个人用户,腾讯官网,https://www.tencent.com/,,
下一代互联网,互联网技术,IPv6,中国互联网络信息中心,2019-01-08,CNNIC,中国互联网络信息中心,全体互联网用户,中国互联网络信息中心,https://www.cnnic.cn/,,
量子通信网络,量子通信系统,量子关键分配,中科院,2023-05-15,中科院,中国科学院,科研机构,科技日报,https://www.sciencenet.cn/,,
车联网技术,智能交通系统,V2X,百度AI,2021-08-22,百度,百度公司,汽车行业,百度研究院,https://www.baidu.com/,,
无线局域网,局域网技术,Wi-Fi 6,TP-Link,2020-06-11,TP-Link,TP-Link科技有限公司,普通家庭,行业观察网,http://www.industryobserve.com/,,
智能电网通信,基础设施通信系统,IEC 61850,国网公司,2018-03-14,国家电网公司,国家电网公司,电力行业,中国能源网,http://www.chinaenergy.com/,,
蓝牙5.0技术,个人通信技术,Bluetooth 5.0,高通公司,2016-12-20,高通,高通公司,消费电子用户,高通官网,https://www.qualcomm.com/,,
Wi-Fi 7标准,无线网络技术,Wi-Fi 7,英特尔,2023-07-20,英特尔,英特尔公司,普通用户,科技素养网,https://www.intel.com/,,
公有云服务平台,云服务,"IaaS, PaaS, SaaS",腾讯云,2022-04-10,腾讯,腾讯云计算有限公司,企业用户,腾讯官网,https://cloud.tencent.com/,,
信息安全管理系统,安全技术,ISO/IEC 27001,东软集团,2019-10-05,东软,东软集团股份有限公司,企业用户,行业新闻门户,http://www.industrynewsportal.com/,,
多云服务解决方案,云技术,Multi-Cloud,IBM,2023-02-14,IBM,国际商业机器公司,企业用户,IBM官网,https://www.ibm.com/,,
全球卫星互联网,卫星通信系统,Starlink,SpaceX,2020-05-18,SpaceX,Space Exploration Technologies Corp.,家庭用户,国际电信联盟,https://www.itu.int,,
中国宽带网络,固定通信系统,FTTH,中国电信,2015-09-12,中国电信,中国电信股份有限公司,普通用户,中国宽带发展报告,https://www.cnnic.net.cn,,
5G开放网络,移动通信系统,5G NR,中兴通讯,2020-03-15,中兴通讯,中兴通讯股份有限公司,企业用户,中国信通院,https://www.cait.gov.cn,,
Wi-Fi 6网络,无线局域网,IEEE 802.11ax,华为技术有限公司,2019-07-22,华为,华为技术有限公司,普通用户,无线网络协会,https://www.wi-fi.org,,
光纤到户项目,固定通信系统,GPON,中国联通,2016-11-01,中国联通,中国联通股份有限公司,家庭用户,中国国家互联网信息办,https://www.cac.gov.cn,,
智能网关系统,物联网通信系统,MQTT/CoAP,阿里巴巴,2021-02-20,阿里云,阿里巴巴集团,企业用户,阿里云技术门户,https://www.aliyun.com,,
NB-IoT网络,移动物联网通信系统,NB-IoT,中国移动,2017-06-25,中国移动,中国移动通信集团有限公司,物联网设备,中国工业和信息化部,https://www.miit.gov.cn,,
量子通信网络,量子通信系统,量子密钥分发,中国科学院,2022-09-01,中国科学技术部,中国科学院量子通信技术研究所,政府和企业,中国科学技术协会,http://www.cast.org.cn,,
SD-WAN系统,软件定义网络,SD-WAN,思科系统公司,2021-03-10,思科,"Cisco Systems, Inc.",企业用户,国际计算机网络协会,https://www.icann.org,,
社交媒体数据传输,数据通信系统,HTTP/HTTPS,腾讯科技,2020-11-12,腾讯,腾讯控股有限公司,在线用户,腾讯研究院,https://www.tencent.com,,
大规模MIMO系统,无线通信系统,MIMO,爱立信,2021-04-30,爱立信,Ericsson AB,移动运营商,无线通信技术协会,https://www.etsi.org,,
区块链网络通信系统,区块链系统,P2P,阿里巴巴,2021-06-15,阿里云,阿里巴巴集团,企业用户,区块链产业联盟,https://www.bba.org.cn,,
乘车码与支付系统,移动支付系统,NFC,百度科技,2020-10-07,百度,百度股份有限公司,城市用户,中国网络支付协会,https://www.cnpay.org.cn,,
车联网系统,移动通信系统,V2X,特斯拉,2021-08-22,特斯拉,"Tesla, Inc.",车辆用户,国际汽车工程师学会,https://www.sae.org,,
增强现实通信系统,多媒体通信系统,AR/VR,微软公司,2021-03-01,微软,Microsoft Corporation,普通用户,国际虚拟现实协会,https://www.immersivevr.org,,
云游戏流媒体系统,游戏通信系统,云流,索尼互动娱乐,2020-09-15,PlayStation,Sony Interactive Entertainment,游戏玩家,全球游戏行业协会,https://www.igda.org,,
高通量卫星通信系统,卫星通信系统,HTS,高通公司,2021-05-25,高通,Qualcomm Incorporated,企业和军事,国际卫星通信协会,https://www.satellitecommunications.com,,
全球高速光纤网络,固定通信系统,光纤传输,中国电信,2021-03-15,中国电信,中国电信股份有限公司,企业用户,中国工业和信息化部,https://www.chinatelecom.com.cn,,
5G Ultra网络,移动通信系统,5G,中国移动,2020-11-10,中国移动,中国移动通信集团有限公司,普通用户,国际电信联盟,https://www.itu.int/en/ITU-T/focusgroups/5g/Pages/default.aspx,,
智慧城市物联网,物联网系统,LPWAN,海康威视,2022-05-22,海康威视,杭州海康威视数字技术股份有限公司,城市管理部门,中国科技部,http://www.most.gov.cn,,
星链卫星通信,卫星通信系统,Starlink,SpaceX,2021-01-10,SpaceX,Space Exploration Technologies Corp.,偏远地区用户,中央电视台,http://www.cctv.com,,
量子通信网络,前沿通信技术,量子密钥分发,中国科学技术大学,2023-02-15,中国科学技术大学,中国科学技术大学,科研机构,中国科学院,http://www.cas.cn,,
NB-IoT网络,通信物联网,NB-IoT,华为技术有限公司,2017-11-20,华为,华为技术有限公司,智能城市用户,工信部,http://www.miit.gov.cn,,
光纤到户（FTTH）,固定通信系统,光纤接入,中国联通,2019-07-25,中国联通,中国联通股份有限公司,家庭用户,中国网信网,http://www.cac.gov.cn,,
无线网络接入技术,无线通信系统,Wi-Fi 6,TP-Link,2020-01-15,TP-Link,"TP-Link Technologies Co., Ltd.",家庭和办公,网络通信联合会,https://www.tp-link.com,,
全球通信卫星系统,卫星通信,Ku频段,Inmarsat,2021-10-05,Inmarsat,Inmarsat Global Limited,海洋和航空用户,国际无线电通信,https://www.inmarsat.com,,
边缘计算和网络,云计算网络,边缘计算,阿里云,2022-09-18,阿里巴巴,阿里巴巴集团,企业用户,阿里云官方,https://www.aliyun.com,,
社交媒体平台实时通信,互联网应用,WebRTC,字节跳动,2020-06-28,字节跳动,字节跳动有限公司,普通用户,媒体报道,https://www.bytedance.com,,
智能家居互联网络,物联网系统,Zigbee,小米科技,2021-04-12,小米,小米科技有限责任公司,家庭用户,中国家电协会,https://www.mi.com,,
智能抗癌药物研发平台,生物通信系统,云计算分析,百度,2022-11-19,百度,百度公司,医疗行业,百度健康,https://www.baidu.com/health,,
智能视频监控网络,安全通信系统,AI视频分析,大华股份,2023-05-30,大华股份,大华技术股份有限公司,公共安全,安全技术报告,http://www.dahuasecurity.com,,
自动驾驶汽车联网系统,车联网系统,V2X技术,蔚来汽车,2023-03-14,蔚来,蔚来汽车有限公司,汽车用户,汽车技术协会,https://www.nio.com,,
卫星互联网接入系统,卫星通信,大容量卫星链接,中国卫通,2020-09-17,中国卫通,中国卫星通信集团公司,偏远地区用户,中国卫通官网,http://www.chinasatcom.cn,,
全球安全通信网络,安全通讯,加密交换,美国AT&T,2021-02-24,AT&T,AT&T Inc.,政府和企业,国际电信研究所,https://www.att.com,,
5G智联网络,移动通信系统,5G NR,中兴通讯,2021-01-15,中兴通讯,中兴通讯股份有限公司,企业用户,中国工业和信息化部,https://www.zte.com.cn,,
NB-IoT网络,移动通信系统,NB-IoT,中国移动,2019-05-12,中国移动,中国移动通信集团有限公司,物联网应用,国际电信联盟,https://www.itu.int,,
Wi-Fi 6网络,固定通信系统,802.11ax,华为技术有限公司,2020-11-20,华为,华为技术有限公司,普通用户,IEEE,https://www.ieee.org,,
光纤宽带网络,固定通信系统,FTTH,中国电信,2022-03-30,中国电信,中国电信股份有限公司,家庭用户,中国电信,https://www.chinatelecom.com.cn,,
SA 5G网络,移动通信系统,5G SA,中国联通,2021-07-18,中国联通,中国联通股份有限公司,技术开发者,IDC,https://www.idc.com,,
DSL宽带网络,固定通信系统,ADSL2+,电信服务商,2008-06-15,电信公司,电信服务有限公司,普通用户,博卓网络,https://www.bozhudata.com,,
移动边缘计算网络,移动通信系统,MEC,思科系统公司,2023-02-19,思科,思科系统有限公司,企业用户,Gartner,https://www.gartner.com,,
Wi-Fi Mesh网络,固定通信系统,Mesh Wi-Fi,TP-Link,2021-09-10,TP-Link,TP-Link科技有限公司,家庭用户,TP-Link官网,https://www.tp-link.com,,
量子通信网络,研究项目,量子保密通讯,中国科学院,2023-05-05,中国科学院,中国科学院网络信息中心,科研人员,科学杂志,https://www.science.org,,
社交媒体平台网络,应用网络,社交应用,字节跳动,2021-11-30,字节跳动,字节跳动有限公司,普通用户,科技新闻,https://techcrunch.com,,
量子安全网络,研究项目,量子密钥分发,清华大学,2022-08-20,清华大学,清华大学网络中心,科研人员,技术前沿,https://www.techfrontier.com,,
无线充电网络,应用网络,无线能源传输,苹果公司,2020-02-12,苹果,苹果有限公司,普通用户,科技报道,https://www.apple.com,,
卫星通信网络,卫星通信系统,L波段,SpaceX,2021-04-25,SpaceX,SpaceX公司,全球用户,卫星通信协会,https://www.satellitetoday.com,,
混合现实网络,应用网络,虚拟与增强现实,微软公司,2022-12-01,微软,微软技术有限公司,开发者,技术先锋,https://www.microsoft.com,,
边缘计算网络,移动通信系统,边缘计算,阿里巴巴云,2023-03-15,阿里巴巴,阿里巴巴集团,企业用户,云计算论坛,https://www.aliyun.com,,
智能交通网络,移动通信系统,车联网,百度,2023-07-14,百度,百度公司,城市居民,城市交通研究,https://www.baidu.com,,
反向流量网络,移动通信系统,反向流量,京东,2024-01-07,京东,京东科技,电商用户,电商平台资讯,https://www.jd.com,,
超级LTE网络,移动通信系统,LTE Advanced,中兴通讯,2020-01-15,中兴通讯,中兴通讯股份有限公司,普通用户,中国工业和信息化部,https://www.zte.com.cn,,
Wi-Fi 6网,无线通信系统,802.11ax,华为技术有限公司,2019-05-22,华为,华为技术有限公司,家庭用户,市场研究报告,https://www.huawei.com,,
未来网络,下一代网络,6G,中国移动,2025-12-01,中国移动,中国移动通信集团有限公司,企业用户,国家研究院,https://www.chinamobileltd.com,,
NB-IoT网络,物联网通信系统,NB-IoT,中国联通,2018-07-10,中国联通,中国联通股份有限公司,物联网设备制造商,物联网产业联盟,https://www.chinaunicom.com,,
AeroNet,航空通信系统,LTE,中航工业,2021-03-18,中航工业,中国航空工业集团公司,航空公司,航空行业报告,http://www.avic.com,,
5G Edge计算网络,移动计算网络,5G,中国电信,2022-11-20,中国电信,中国电信股份有限公司,企业用户,电信业发展报告,https://www.chinatelecom.com.cn,,
移动卫星通信系统,卫星通信系统,Iridium,临近宇航,2023-02-05,临近宇航,临近宇航科技有限公司,航海用户,航天科技部门,https://www.terrasat.com,,
开放接入网络,固定通信系统,GPON,中国广电,2020-10-30,中国广电,中国广电网络股份有限公司,家庭用户,国家广播网络,http://www.bgtv.com.cn,,
量子通信网络,新型通信系统,量子加密,中国科学院,2022-08-15,中国科学院,中国科学院大学,政府与科研机构,科技前沿研究,http://www.cas.cn,,
低轨卫星通信,卫星通信系统,LEO,星链网络,2023-04-25,星链,SpaceX,偏远地区用户,卫星通信报告,https://www.spacex.com,,
智能城市网络,城市基础设施网络,NB-IoT & 5G,城市数据科技,2021-09-30,城市数据,城市数据科技有限公司,政府和企业,政府规划,http://www.smartcity.com,,
载波聚合网络,移动通信系统,LTE,爱立信,2019-08-08,爱立信,爱立信（中国）有限公司,普通用户,国际电信联盟,http://www.ericsson.com,,
智慧健康网络,医疗通信系统,5G,阿里健康,2022-01-12,阿里健康,阿里巴巴集团,医疗机构,医疗技术论坛,https://www.aliyun.com,,
长途光纤网络,固定通信系统,光纤,建设通信,2021-06-19,建设通信,建设通信有限公司,企业用户,工程技术部,http://www.jsgs.com,,
云基础设施网络,云计算网络,虚拟化,腾讯云,2023-01-30,腾讯云,腾讯科技（深圳）有限公司,企业用户,云计算大会,https://cloud.tencent.com,,
数据中心互联网络,数据中心网络,SD-WAN,阿里巴巴云,2022-03-15,阿里巴巴云,阿里巴巴集团,数据中心运营商,IT行业大会,https://www.aliyun.com,,
Wi-Fi 6E,无线网络,Wi-Fi 6,思科系统公司,2021-01-15,思科,思科系统有限公司,企业用户,中国互联网信息中心,https://www.cnnic.net.cn/,,
5G SA网络,移动通信系统,5G SA,中兴通讯,2021-06-15,中兴,中兴通讯股份有限公司,普通用户,中国工业和信息化部,https://www.miit.gov.cn/,,
光纤宽带,固定通信系统,FTTH,中国电信,2015-03-20,中国电信,中国电信股份有限公司,家庭用户,中国信息通信研究院,https://www.caict.ac.cn/,,
6G原型网络,移动通信系统,6G,华为技术有限公司,2023-08-01,华为,华为技术有限公司,科研机构,中国移动集团,https://www.chinamobileltd.com/,,
NB-IoT网络,物联网通信系统,NB-IoT,AT&T公司,2017-11-20,AT&T,AT&T Inc.,工业用户,国际电信联盟,https://www.itu.int/,,
星际宽带网络,卫星通信系统,星链计划,SpaceX,2022-05-30,SpaceX,Space Exploration Technologies Corp.,偏远地区用户,美国联邦通信委员会,https://www.fcc.gov/,,
虚拟专用网络,安全通信系统,VPN,NordVPN,2018-09-15,NordVPN,Nord Security,网络安全用户,网络安全观察,https://www.cybersecuritywatch.com/,,
下一代互联网,互联网协议系统,IPv6,谷歌公司,2020-12-10,谷歌,Alphabet Inc.,普通用户,国际互联网信息中心,https://www.iana.org/,,
量子通信网络,量子通信系统,量子密钥分发,中国科学院,2024-01-20,中科院,中国科学院,科研机构,科学技术部,http://www.most.gov.cn/,,
智能边缘计算网络,计算网络,边缘计算,阿里巴巴集团,2019-11-05,阿里云,阿里巴巴集团控股有限公司,企业用户,中国科技新闻网,https://www.costnews.com/,,
天翼5G网络,移动通信系统,5G NR,中国电信,2021-05-10,中国电信,中国电信股份有限公司,普通用户,中国工业和信息化部,https://www.chinatelecom.com.cn,,
中国ITMC网络,数据通信系统,IP/MPLS,腾讯科技,2020-03-15,腾讯,腾讯公司,企业用户,中国互联网信息中心,https://www.tencent.com,,
华为核心网络,移动通信系统,5G NR,华为技术有限公司,2021-11-25,华为,华为技术有限公司,普通用户,华为官网,https://www.huawei.com,,
中兴Smart网,固定通信系统,FTTH,中兴通讯,2019-07-01,中兴,中兴通讯股份有限公司,普通用户,移动互联网研究院,https://www.zte.com.cn,,
阿里云通信平台,云通信系统,WebRTC,阿里巴巴,2022-02-12,阿里云,阿里巴巴集团控股有限公司,开发者,中国互联网信息中心,https://www.aliyun.com,,
英特尔边缘计算网,边缘计算系统,Edge Computing,英特尔公司,2023-01-30,英特尔,英特尔公司,企业用户,英特尔官网,https://www.intel.com,,
未来网络技术研究,泛在网络,未来网络,中国科学技术大学,2023-08-15,中科院,中国科学院,研究机构,中国科学技术协会,https://www.cast.org.cn,,
Blockchain网络通讯,区块链系统,Hyperledger,IBM中国,2023-10-01,IBM,国际商业机器公司,企业用户,IBM官网,https://www.ibm.com,,
全球卫星互联通信,卫星通信系统,STARLINK,SpaceX,2023-04-22,SpaceX,SpaceX公司,偏远地区用户,国际卫星通信协会,https://www.spacex.com,,
WiFi6超高速网络,无线通信系统,WiFi 6,NETGEAR,2023-06-18,NETGEAR,网件公司,家庭用户,网络设备及方案研究中心,https://www.netgear.com,,
超宽带通信网络,固定通信系统,10G GPON,中兴通讯,2020-01-15,中兴,中兴通讯股份有限公司,企业用户,中国工业和信息化部,https://www.zte.com.cn/,,
智慧城市无线网络,移动通信系统,5G,中国电信,2021-09-10,中国电信,中国电信股份有限公司,普通用户,中国智能产业发展联盟,https://www.citic.org/,,
宽带互联网络,固定通信系统,VDSL,阿里巴巴,2019-12-05,阿里巴巴,阿里巴巴集团,商务用户,中国互联网信息中心,https://www.aliyun.com/,,
星链卫星通信系统,卫星通信系统,卫星互联网,SpaceX,2022-03-12,SpaceX,Space Exploration Technologies Corp.,农村及偏远区域用户,国际电信联盟,https://www.spacex.com/,,
IPTV融合网络,固定通信系统,MPEG-4,中国联通,2019-05-30,中国联通,中国联通股份有限公司,家庭用户,中国广播电视网络有限公司,https://www.chinaunicom.com/,,
量子通信网络,研究通信系统,量子密钥分发,长江通信,2023-07-15,长江通信,长江通信科技有限公司,金融及安全用户,国家自然科学基金,http://www.cct.com.cn/,,
高频交易网络,金融通信系统,专用低延迟网络,华尔街交易所,2021-01-20,华尔街交易所,纽约证券交易所,金融机构,金融市场监管局,https://www.nyse.com/,,
车联网通信系统,物联网系统,C-V2X,宝马集团,2023-03-18,宝马,宝马汽车股份公司,汽车制造商,德国交通运输部,https://www.bmw.com/,,
边缘计算网络,云计算通信系统,Edge Computing,亚马逊,2022-05-25,亚马逊,亚马逊网络服务,开发者与企业,云计算研究中心,https://aws.amazon.com/,,
量子网络通信,研究通信系统,QKD,IBM,2023-08-15,IBM,国际商业机器公司,高科技企业,高能物理研究所,https://www.ibm.com/,,
6G移动网络,移动通信系统,6G,中国移动,2025-05-20,中国移动,中国移动通信集团有限公司,普通用户,中国工业和信息化部,https://www.miit.gov.cn/,,
NB-IoT,物联网通信系统,NB-IoT,华为技术有限公司,2016-03-01,华为,华为技术有限公司,物联网设备制造商,中国工业和信息化部,https://www.huawei.com/,,
光纤通信网络,固定通信系统,FTTH,中国电信,2010-10-15,中国电信,中国电信股份有限公司,家庭用户,中国广播电视网络公司,https://www.cte.cn/,,
卫星通信系统,卫星通信系统,VSAT,中国卫星通信集团公司,2022-09-10,中国卫星,中国卫星通信集团公司,远程地区用户,中国国家广播电视总局,https://www.csm.com.cn/,,
城市WiFi网络,公共通信系统,WiFi 6,失落的网络科技,2021-01-15,失落的网络,失落的网络科技有限公司,城市居民,地方政府网络和信息化办公室,https://www.network.gov.cn/,,
边缘计算网络,云计算系统,边缘计算,阿里巴巴,2023-03-05,阿里云,阿里巴巴集团,企业用户,信息产业部,https://www.alibaba.com/,,
量子通信网络,量子通信系统,量子密钥分发,中国科学技术大学,2024-07-21,中国科技大学,中国科学技术大学,科研机构,中国国家自然科学基金,https://www.ustc.edu.cn/,,
智能家庭网络,家庭自动化系统,Zigbee,小米科技有限责任公司,2020-11-30,小米,小米科技有限责任公司,家庭用户,中国互联网信息中心,https://www.mi.com/,,
自组网技术,自组织网络,MANET,腾讯科技（深圳）有限公司,2023-01-12,腾讯,腾讯科技（深圳）有限公司,政府和企业,国家信息中心,https://www.tencent.com/,,
公共5G网络,移动通信系统,5G NR,中国联通,2022-11-05,中国联通,中国联通股份有限公司,普通用户,国家广播电视管理局,http://www.cmt.gov.cn/,,
未来通1号,移动通信系统,6G,未来科技公司,2023-09-15,未来科技,未来科技集团有限公司,普通用户,中国工业和信息化部,https://www.cac.gov.cn/,,
量子网通,固定通信系统,量子通信,清华大学量子通信团队,2022-12-07,清华大学,清华大学,研究机构,国家自然科学基金委员会,https://www.nsfc.gov.cn/,,
天网智能线路,智慧城市通信系统,NB-IoT,中兴通讯,2021-03-10,中兴通讯,中兴通讯股份有限公司,企业用户,中国通信企业协会,http://www.china-cpte.com/,,
联动网,移动通信系统,4G LTE,电信集团,2016-05-20,电信集团,中国电信集团公司,大众用户,国家市场监督管理总局,https://www.samr.gov.cn/,,
互动云平台,云通信系统,VoIP,阿里巴巴,2020-11-18,阿里云,阿里巴巴集团控股有限公司,企业用户,中国电子信息产业发展研究院,https://www.ccidgroup.com/,,
全球卫星通信系统,卫星通信系统,GEO,中国卫星通信公司,2015-08-14,中国卫星,中国卫星通信集团公司,国际用户,国防科技工业局,http://www.miit.gov.cn/,,
边缘网络2.0,边缘计算通信系统,Edge Computing,思科系统公司,2022-02-22,思科,思科系统公司,企业用户,工信部网络安全管理局,https://www.miit.gov.cn/,,
光纤网络优化系统,宽带通信系统,FTTH,中国联通,2019-05-30,中国联通,中国联通股份有限公司,普通用户,中国网信网,https://www.cac.gov.cn/,,
智能家居无线网络,家庭通信系统,Zigbee,小米科技,2021-07-04,小米,小米科技有限公司,家庭用户,市场监督管理局,https://www.samr.gov.cn/,,
超高清视频传输网络,广播电视通信系统,8K TV,华数传媒,2022-10-10,华数传媒,华数传媒股份有限公司,大众用户,中国广播电视协会,http://www.cntv.cn/,,
中国电信5G云网,移动通信系统,5G NR,中国电信,2020-09-15,中国电信,中国电信股份有限公司,企业用户,中国工业和信息化部,https://www.chinatelecom.com.cn,,
卫星宽带通信系统,卫星通信系统,Ka频段,中国卫星通信集团公司,2021-03-22,中国卫星,中国卫星通信集团有限公司,平民和边远地区用户,中国航天科技集团,https://www.cast.cn,,
FTTH光纤接入网络,宽带通信系统,光纤到户,中国联通,2022-01-10,中国联通,中国联合网络通信集团有限公司,家庭用户,中国工业和信息化部,https://www.chinaunicom.com,,
NB-IoT物联网通信系统,物联网通信系统,NB-IoT,华为技术有限公司,2021-06-20,华为,华为技术有限公司,智能设备制造商,中国信息通信研究院,https://www.huawei.com,,
低轨道卫星网络,卫星通信系统,LEO,SpaceX,2023-04-12,SpaceX,Space Exploration Technologies Corp.,全球用户,国际电信联盟,https://www.spacex.com,,
6G超高速网络,移动通信系统,6G,三星电子,2025-05-01,三星,三星电子有限公司,高端商业用户,韩国通信委员会,https://www.samsung.com,,
智能城市通信解决方案,综合通信系统,定制化,阿里巴巴集团,2023-01-15,阿里巴巴,阿里巴巴集团控股有限公司,城市管理者,阿里云,https://www.alibaba.com,,
量子通信网络,量子通信系统,量子密钥分发,中科院国家天文台,2022-11-30,国家天文台,中国科学院,科研机构,中国科学院,http://www.casad.cas.cn,,
增强现实通信平台,AR通信系统,AR标准协议,Facebook（Meta）,2023-07-19,Meta,"Meta Platforms, Inc.",开发者,Meta官方网站,https://www.meta.com,,
长距离无线通信系统,无线通信系统,LoRa,Semtech Corporation,2022-12-05,Semtech,Semtech Corporation,物联网解决方案提供商,Semtech官方网站,https://www.semtech.com,,
卫星互联网系统,卫星通信系统,Starlink,SpaceX,2020-10-01,SpaceX,Space Exploration Technologies Corp.,普通用户,中国工业和信息化部,https://www.spacex.com,,
长城光纤通信系统,光纤通信系统,DWDM,中国电信,2022-03-15,中国电信,中国电信股份有限公司,企业用户,工信部,https://www.chinatelecom.com.cn,,
京东智能物联网系统,物联网系统,NB-IoT,京东科技,2021-05-20,京东,北京京东世纪贸易有限公司,企业用户,中国电子商务研究中心,https://jd.com,,
边缘计算系统,云计算系统,Edge Computing,阿里巴巴,2023-07-30,阿里云,阿里巴巴集团,开发者,行业报告,https://cloud Alibaba.com,,
6G移动网络,移动通信系统,6G,华为技术有限公司,2025-01-01,华为,华为技术有限公司,普通用户,全球移动通信系统协会,https://www.gsma.com,,
智能家居网络系统,物联网系统,Zigbee,小米科技,2020-11-25,小米,北京小米科技有限责任公司,家庭用户,小米官网,https://www.mi.com,,
超高速光纤网络,光纤通信系统,10G,中国联通,2022-08-12,中国联通,中国联通股份有限公司,企业用户,光通信行业协会,https://www.chinaunicom.com,,
企业私有云平台,云计算系统,Private Cloud,百度云,2021-09-10,百度,百度在线网络技术（北京）有限公司,企业用户,百度云官方,https://cloud.baidu.com,,
