品牌,面料,科技含量,特点,主要产品,采集来源,来源链接,采集时间,备注
华为,超轻纤维、氨纶,高,抗皱、超轻、透气,智能运动服、科技健身追踪器,公司发布会,https://www.huawei.com/,,
新百伦,Fresh Foam、Hypoknit,高,减震、适应性好、舒适,跑步鞋、休闲鞋,用户反馈调查,https://www.newbalance.com.cn/,,
特步,透气网纱、CoolMax,高,快干、轻便、透气性强,运动外套、短裤,电商平台销售数据,https://www.xtep.com/,,
安德玛,UA Tech、HeatGear,高,速干、舒适、抗菌,运动背心、跑步短裤,行业杂志,https://www.underarmour.cn/,,
H&M,Sustainable Polyester、Lycra,中,环保、弹性、大方修身,瑜伽裤、休闲服,品牌可持续发展报告,https://www.hm.com.cn/,,
李宁,双面绒、透气网布,高,保暖、排汗、柔软,冬季运动服、休闲服,行业展会,https://www.lining.com/,,
GAP,复合涂层、Modal,中,柔滑、透气、适合日常穿着,运动休闲服、基本款,市场调研报告,https://www.gap.cn/,,
阿迪达斯,Primeknit、CLIMACOOL,高,合身、透气、舒适,轻质跑步鞋、运动袜,公司官方发布,https://www.adidas.com.cn/,,
PUMA,NITROGEN、FUTURELAZER,高,灵活、耐磨、舒适贴合,足球鞋、训练装备,用户产品评测,https://www.puma.cn/,,
Lululemon,Ultralight、Luon,高,轻盈、柔韧、透气,运动文胸、慢跑裤,品牌活动,https://www.lululemon.com/,,
北面,GORE-TEX、ThermoBall,高,防水、透气、保暖,户外夹克、羽绒服,国际市场调研,https://www.thenorthface.com/,,
Columbia,OMNI-HEAT、SCUBA,高,保暖、舒适、户外适用,登山服、保暖裤,品牌更新报告,https://www.columbia.com/,,
Oiselle,Cloudlux、Flyte,高,超轻、灵活、抗菌,女子跑步服、运动内衣,专业跑步赛事,https://www.oiselle.com/,,
Mizuno,Mizuno Energy、WAVE,高,反弹性好，稳定性高,专业跑鞋、鞋垫,品牌技术展示,https://www.mizuno.com/,,
New Balance,FormFit、Fresh Foam,高,包裹性好、减震效果佳,健身鞋、慢跑鞋,社交媒体活动,https://www.newbalance.com.cn/,,
Everlane,TENCEL、Fleece,中,环保、舒适、透气,休闲运动衫、外套,可持续时尚论坛,https://www.everlane.com/,,
Patagonia,Recycled Nylon、Capilene,高,环保、耐磨、透气,徒步服、露营装备,品牌会议,https://www.patagonia.com/,,
Lands' End,Squall、WaterRepellent,中,防水、适合各种天气,外套、风衣,季节性销售数据,https://www.landsend.com/,,
Under Armour,UA HOVR、Charged Cotton,高,动态舒适、快干、弹性好,运动外套、跑步鞋,公司官网,https://www.underarmour.cn/,,
Zara,EcoVero、再生聚酯,中,可持续、透气、轻便,休闲服、时尚风衣,公司官网,https://www.zara.com/cn/,,
Lululemon,Nulu、Nykel,高,轻盈、排汗、舒适,瑜伽裤、运动胸罩,行业论坛,https://www.lululemon.com/,,
Columbia,Omni-Tech、OutDry,高,防水透气、保温、耐用,户外夹克、登山鞋,公司官网,https://www.columbia.com.cn/,,
New Balance,Fresh Foam、Hypoknit,高,极致舒适、透气、支撑性好,跑鞋、运动服,官方发布会,https://www.newbalance.com.cn/,,
Champion,Powerblend、Wicking,中,耐磨、舒适、保暖,卫衣、运动裤,公司官网,https://www.champion.com/,,
PUMA,NRGY、SoftFoam+,高,舒适、减震、支撑性,运动鞋、休闲鞋,行业资讯网站,https://www.puma.com.cn/,,
Reebok,Cotton + Recycled Materials,中,环保、耐用、易于打理,健身服、休闲服,健身活动报道,https://www.reebok.cn/,,
ASICS,GEL、FlyteFoam,高,支撑性、轻量、缓震,跑步鞋、运动服,公司官网,https://www.asics.com/,,
Nike,Flyknit、React,高,灵活性、舒适、优异反馈,运动鞋、训练服,用户评论分析,https://www.nike.com.cn/,,
Adidas,AEROREADY、PRIMEBLUE,高,湿气管理、可持续材料、舒适,运动服、鞋类,环保论坛,https://www.adidas.com.cn/,,
Montbell,Drizzo、UL Storm,高,超轻、抗雨、透气,户外装备、防水夹克,公司官网,https://www.montbell.com/,,
Outdoor Research,AscentShell、GORE-TEX,高,防风、防水、透气,户外服、冲锋衣,登山社区,https://www.outdoorresearch.com/,,
Uniqlo,AIRism、HeatTech,中,透气、保暖、舒适,休闲服、内衣,公司官网,https://www.uniqlo.cn/,,
Speedo,Endurance+、Eco Fabric,高,快干、耐chlorine、环保,竞赛泳衣、训练服,官方体育赛事,https://www.speedo.cn/,,
H&M,Lenzing Modal、Bamboo,中,环保、透气、柔软,日常服饰、内衣,时尚展览,https://www.hm.com.cn/,,
Fjällräven,G-1000、EcoShell,高,耐用、多功能、环保,背包、户外服,行业新闻,https://www.fjallraven.com/,,
Lands' End,Canvas、Thermal Knit,中,耐磨、舒适、适合日常穿着,休闲服、外套,购物评论评测,https://www.landsend.com/,,
Arc'teryx,Fortius、GORE-TEX,高,抗风、防水、透气,登山服、滑雪服,专业评测网站,https://www.arcteryx.com/,,
李宁,Coolmax、Hydro-Tech,高,强力排汗、快干、抗UV,运动T恤、羽毛球服,公司官网,https://www.lining.com/,,
新百伦,Fresh Foam、NB Dry,高,舒适缓震、亲肤、透气,跑步鞋、运动外套,公司新闻发布,https://www.newbalance.cn/,,
Under Armour,UA Microthread、Threadborne,高,透气性强、伸展性好、轻便,运动背心、紧身裤,市场调研,https://www.underarmour.cn/,,
H&M,Recycled Polyester、Lycra,中,环保、舒适、弹性,休闲运动服、时尚短裤,公司官网,https://www.hm.com.cn/,,
ASICS,GEL科技、FlyteFoam,高,极佳缓震、轻量级设计,跑步鞋、田径服,运动科技展会,https://www.asics.com.cn/,,
PUMA,RCEV、Nitecat,中,耐磨、夜光效果、舒适,休闲鞋、运动夹克,消费者反馈,https://www.puma.com.cn/,,
北京运动,双重密度网眼、轻量聚酯,中,透气、耐久、实用,户外服、登山装备,户外展览会,https://www.beijingsports.com.cn/,,
GXG,微纤维、抗紫外线,中,舒适透气、抗皱、耐磨,休闲裤、便装,消费者调查,https://www.gxg.com.cn/,,
Columbia,Omni-Wick、Omni-Shade,高,快干、抗UV、透气,户外夹克、登山鞋,公司官网,https://www.columbia.com.cn/,,
北面,GORE-TEX、ThermoBall,高,防水、防风、保暖,户外冲锋衣、羽绒服,户外产品发布会,https://www.thenorthface.com.cn/,,
Reebok,RUBBER WAVE、Flexweave,高,灵活性强、舒适贴合、耐磨,健身鞋、功能性运动服,官方网站,https://www.reebok.cn/,,
阿迪达斯,AEROREADY、STELLASPORT,高,保持干爽、舒适自由,女运动短裤、运动文胸,时尚杂志,https://www.adidas.com.cn/,,
VANS,EcoZen、Classic Canvas,中,环保、复古风、耐用,滑板鞋、休闲鞋,公司官网,https://www.vans.com.cn/,,
FILA,Humidity Control、Dynamic Wave,高,排汗快、舒适合体,网球服、休闲套装,行业展览,https://www.fila.cn/,,
Kappa,AeroDry、High Performance,中,透气、柔软、适合多场合,运动外套、休闲服,公司官网,https://www.kappa.com.cn/,,
国潮,竹纤维、抗菌,高,生态友好、自然透气,休闲服、运动内衣,在线调查,https://www.guochao.com.cn/,,
Sombrio,Durable Water Repellent、Breathable Nylon,高,防水、透气、耐用,山地骑行服、运动裤,专业骑行展会,https://www.sombrio.com/,,
Suunto,ThermoDry、4-Way Stretch,高,抗寒、舒适、适合极限运动,极限运动服、户外装备,公司官网,https://www.suunto.com/,,
新百伦,Fresh Foam、Conceived with Drop,高,缓震、舒适度高、运动适用,跑步鞋、训练鞋,公司官网,https://www.newbalance.cn/,,
ASICS,GEL、FlyteFoam,高,减震性佳、轻量、耐磨,运动跑鞋、马拉松鞋,户外展会,https://www.asics.com.cn/,,
Anta,火箭科技布、气体反馈泡沫,高,优良缓震、透气、弹性强,篮球鞋、运动服,体育用品博览会,https://www.anta.com/,,
Under Armour,UA Tech、ColdGear,高,保暖、湿气管理、防臭,运动T恤、保暖内衣,公司官网,https://www.underarmour.cn/,,
Lululemon,Nulu、Luon,高,超柔软、亲肤、适合瑜伽,瑜伽裤、运动文胸,用户推荐,https://www.lululemon.com/,,
Fila,Coolmax、Breathe Tech,中,透气快干、轻便、舒适,网球服、训练服,市场反馈调查,https://www.fila.com/,,
PUMA,HYBRID Foam、PUMAGRIP,高,极致舒适、灵活性、抓地力好,训练鞋、休闲鞋,公司官网,https://www.puma.com.cn/,,
瑞士户外,GORE-TEX、Pertex,高,防水透气、耐用、舒适,登山服、户外装备,户外运动展,https://www.swissoutdoor.com/,,
Adidas,AEROREADY、WATERREPELLENT,高,防水、透气、快速干燥,冬季运动服、雨衣,时尚博主推荐,https://www.adidas.com.cn/,,
Fabletics,Nuvella、Moisture Wicking,中,柔软、弹性、透气,运动紧身裤、运动文胸,社交媒体营销,https://www.fabletics.com/,,
Nike,Therma-FIT、Nike Shield,高,高性能、抗风、保暖性,冬季运动服、外套,行业新闻,https://www.nike.com/,,
Reebok,Performance Knit、Flexweave,中,灵活、耐用、舒适,健身鞋、训练服,运动社区评论,https://www.reebok.com.cn/,,
Everlast,Moisture-wicking Fabric、Spandex,中,透气、贴身、运动适用,拳击服、综合格斗装备,专业健身展,https://www.everlast.com/,,
Mizuno,Wave Technology、DynamotionFit,高,减震、支撑性好、灵活,田径鞋、运动服,田径赛事,https://www.mizuno.com.cn/,,
Columbia,Omni-Tech、Omni-Shade,高,防水透气、抗紫外线、舒适,户外夹克、野营装备,公司官网,https://www.columbia.com/,,
H&M,Recycled Polyester、Organic Cotton,高,环保、透气、舒适,休闲服、日常服装,可持续性报告,https://www.hm.com/,,
Under Armour,UA Storm、UA Charged Cotton,高,防水、柔软、快速干燥,训练服、户外服,运动展览,https://www.underarmour.cn/,,
Kappa,K-Way Fabric、Light Tech,中,轻便、耐磨、适合春秋穿着,休闲套装、运动鞋,用户反馈,https://www.kappa.com/,,
Under Armour,HeatGear、Threadborne,高,排汗、轻便、灵活,运动背心、短裤,公司官网,https://www.underarmour.cn/,,
李宁,双层科技布、FlexFoam,高,透气性好、弹性持久、舒适,专业运动鞋、运动服,科技新品发布会,https://www.lining.com/,,
新百伦,Fresh Foam、N2,高,轻便、减震、舒适透气,跑鞋、运动服,体育展会,https://www.newbalance.cn/,,
Asics,GEL技术、FlyteFoam,高,减震性能好、耐用性强,跑步鞋、健身服,用户反馈,https://www.asics.com.cn/,,
H&M,结实环保布、再生聚酯,中,舒适、透气、可持续,春夏服饰、休闲鞋,公司官网,https://www.hm.com/,,
FILA,Air Flow、Quick Dry,高,透气、干爽、轻盈,运动鞋、运动服装,公司官网,https://www.fila.com.cn/,,
Sweaty Betty,Bamboo Blend、Luxe,中,柔软、舒适、适合日常穿着,健身服、瑜伽服,市场调研,https://www.sweatybetty.com/,,
Salomon,Advanced Skin Dry、GORE-TEX,高,水下透气、适合极限运动,户外鞋、跑步服,公司官网,https://www.salomon.com/,,
North Face,Futurelight、ThermoBall,高,防水、保暖、耐磨,户外夹克、登山服,公司官网,https://www.thenorthface.com/,,
Calvin Klein,EcoVero、Modal,中,柔软、环保、舒适,休闲服、内衣,公司宣传册,https://www.calvinklein.cn/,,
Reebok,Cotton Blend、Speedwick,高,舒适、速干、适合瑜伽,运动背心、跑步鞋,用户评论,https://www.reebok.cn/,,
Lorna Jane,Luxe Performance、Moisture Wicking,高,防臭、快干、舒适合身,运动裤、运动上衣,公司行业报告,https://www.lornajane.com.au/,,
发现,可再生聚酯、吸湿排汗,高,环保、舒适、快速干燥,运动器材、户外服装,电子商务平台,https://www.dico.cn/,,
Toms,Recycled Canvas、Natural Cotton,中,环保、透气、时尚,休闲鞋、便鞋,公司官网,https://www.toms.com/,,
Zara,再生聚酯、Organic Cotton,中,商业化设计、可持续,时尚服装、配饰,公司官网,https://www.zara.cn/,,
ADIDAS x Parley,海洋塑料、Primeknit,高,可回收、舒适合脚,运动鞋、外套,联合发布会,https://www.adidas.cn/,,
Athleta,CHILL FLEX、No Show,中,降低体温、快速干燥,运动和瑜伽服,消费者调查,https://www.athleta.com/,,
新百伦,NB Dry、吸湿透气网面,高,速干、透气性强、轻盈设计,跑步鞋、训练鞋,公司官网,https://www.newbalance.cn/,,
UA,HeatGear、Threadborne,高,稳定性好、抗菌处理、舒适,运动上衣、短裤,用户评论分析,https://www.underarmour.cn/,,
H&M,Lyocell、再生聚酯,中,环保、柔软、透气,休闲服、运动裤,时尚杂志,https://www.hm.com.cn/,,
Lululemon,Nulu、Silverscent,高,极致舒适、抗菌、弹性强,瑜伽裤、运动背心,业内评测,https://www.lululemon.com/,,
李宁,Coolmax、耐磨聚酯,高,快速排汗、耐磨、轻便,跑步服、户外装备,公司发布会,https://www.lining.com/,,
作为,SuperStretch、QuickDry,中,柔韧舒适、速干、自适应,运动裤、外套,潮流网站,https://www.asos.com/,,
斯凯奇,Air Cooled、Goga Mat,中,透气、舒适、减震,运动鞋、步行鞋,公司官网,https://www.skechers.cn/,,
芬迪,双面羊毛、Clarino,中,奢华、保暖、色彩丰富,时尚外套、高端运动服,品牌活动,https://www.fendi.cn/,,
鬼冢虎,GEL、复合材料,高,优良减震、支持性好、耐磨,跑步鞋、休闲鞋,消费者调研,https://www.onitsukatiger.com/,,
特步,轻量聚酯、抗UV,高,防紫外线、舒适、耐磨,户外鞋、运动服,公司官网,https://www.xtep.com/,,
耐克,Nike Flyknit、Infinity React,高,合身、弹性佳、舒适感,训练鞋、健身鞋,跑步博主评测,https://www.nike.com.cn/,,
PUMA,Nitec、Materiality,中,经典设计、轻便、防水,街头服、运动服,线上社区,https://www.puma.com/,,
VEJA,生态橡胶、再生涤纶,高,环保、风格独特、舒适,运动鞋、休闲鞋,绿色时尚论坛,https://www.veja-store.com/,,
Balenciaga,创新尼龙、网络材料,高,未来感、耐磨、时尚,跑步鞋、休闲潮鞋,时尚发布会,https://www.balenciaga.com/,,
安踏,抗风布、透气网布,中,抗风、透气、舒适,健身服、跑步服,品牌活动,https://www.anti.com.cn/,,
匡威,Converse Canvas、Vulcanized Rubber,中,结实、舒适、耐磨,帆布鞋、运动鞋,品牌调研,https://www.converse.com.cn/,,
麦克斯,AeroFlex、High-Density,高,轻质、强韧、弹性好,专业运动服、紧身裤,运动产品博览会,https://www.adidas.com.cn/,,
特快,ThermoGear、StretchTech,高,保暖、舒适、适合户外,外套、运动服,技术展示会,https://www.fatlantis.com/,,
Under Armour,UA RUSH、HeatGear,高,促进血液循环、轻便、透气,运动T恤、紧身裤、短裤,公司官网,https://www.underarmour.cn/,,
New Balance,NB Dry、Fresh Foam,中,快速干燥、舒适、缓震,跑步鞋、运动背心,用户评价,https://www.newbalance.com.cn/,,
Lululemon,Nulu、Luxtreme,高,极致柔软、透气、适合运动,瑜伽裤、运动内衣,时尚杂志,https://www.lululemon.com/,,
高乐高,环保再生聚酯,高,可持续、舒适、吸湿排汗,运动外套、休闲裤,公司官网,https://www.golego.com.cn/,,
H&M,Conscious Exclusive,中,可再生、时尚、舒适,休闲衫、连衣裙,环境报告,https://www.hm.com.cn/,,
Puma,PUMAGRIP、dryCELL,高,抗滑、快速排汗、轻便,跑步鞋、训练服,运动博览会,https://www.puma.com.cn/,,
Asics,GEL、FlyteFoam,高,减震、舒适、持久耐用,跑步鞋、休闲鞋,专业评测,https://www.asics.com.cn/,,
Gymshark,Flex、Vital Seamless,高,紧身、舒适、适合健身,运动服、紧身裤,社交媒体,https://www.gymshark.com/,,
Lands' End,Smart Dry、Never Wet,中,防水、耐污、适合户外,外套、休闲裤,消费者反馈,https://www.landsend.com/,,
Mountain Hardwear,Q.Shield、Dry.Q Active,高,防风、透气、适合极端天气,冲锋衣、登山裤,专业户外展,https://www.mountainhardwear.com/,,
The North Face,Futurelight、ThermoBall,高,可呼吸、防水、保暖,户外外套、滑雪服,户外活动社区,https://www.thenorthface.com.cn/,,
Columbia,Omni-Tech、Omni-Wick,中,防水、透气、保持干爽,户外夹克、运动上衣,公司宣传,https://www.columbia.com.cn/,,
Mizuno,Mizuno Wave、AeroHug,高,减震、支撑、适合长跑,跑鞋、运动服,体育活动报告,https://www.mizuno.com.cn/,,
Kappa,K-WAY、Microfiber,中,轻便、耐磨、易清洗,运动外套、休闲服,品牌合作伙伴,https://www.kappa.com.cn/,,
Reebok,cotton blended with recycled polyester,中,天然舒适、环保、透气,健身服、运动鞋,时尚与环保报告,https://www.reebok.cn/,,
On Running,CloudTec、Speedboard,高,提高反弹、舒适、适合运动者,跑鞋、训练鞋,专业运动评测,https://www.on-running.com/,,
Arc'teryx,GORE-TEX、Fortius,高,防风、防水、耐磨,登山服、滑雪服,户外活动发布会,https://www.arcteryx.com/,,
Patagonia,H2No、Recycled Down,高,环保、功能性、舒适,冲锋衣、保暖服,环保产品报告,https://www.patagonia.com.cn/,,
Under Armour,HeatGear、ColdGear,高,调节温度、舒适度适配,运动内衣、压缩服,品牌发布会,https://www.underarmour.cn/,,
New Balance,Fresh Foam、Ndurance,高级,轻量、耐磨、缓震,跑鞋、休闲鞋,行业博览会,https://www.newbalance.cn/,,
Lululemon,Nulu、Nicked,高,极致柔软、提升运动表现,瑜伽裤、运动背心,公司官网,https://www.lululemon.com/,,
李宁,CONQUER AIR、DRY-TECH,高,透气、干爽、轻盈,篮球鞋、运动服,社交媒体,https://www.lining.com/,,
Fila,Cool Max、Filaflex,中,散热、舒适、灵活,运动鞋、休闲服,用户反馈,https://www.fila.cn/,,
Reebok,PUMAGRIP、Flexweave,高,抓地力好、耐用、弹性好,健身鞋、训练服,电子商务平台,https://www.reebok.com.cn/,,
Salomon,SENSIFIT、ACS,高,舒适贴合、优秀减震,户外鞋、远足服,户外用品展,https://www.salomon.cn/,,
Asics,GEL、AMU,高,缓震、适合长跑、透气性强,跑步鞋、运动队服,行业分析报告,https://www.asics.com.cn/,,
H&M,Recycled Polyester、Organic Cotton,中,环保、舒适、适合日常穿搭,休闲服、工作服,企业社会责任报告,https://www.hm.com.cn/,,
动然,速干科技面料、Eco-材料,中,环保、轻便、快干,健身服、休闲服,线上消费者调查,https://www.donran.com/,,
Peak,Air Cushion、Mesh,高,舒适、透气、减震,篮球鞋、运动服,国际体育博览会,https://www.peak.com.cn/,,
Puma,RIDER FOAM、ForeverRUN,高,舒适、持久的弹力,跑步鞋、日常鞋,品牌促销活动,https://www.puma.cn/,,
Oiselle,Rockets、Petals,高,透气、柔软、持久耐用,跑步服、运动套装,女性运动品牌展,https://www.oiselle.com/,,
FENDI,Silk Blend、Techno canvas,高,奢华、耐用、独特设计,时尚服饰、高端运动服,时尚周活动,https://www.fendi.com/,,
GAP,Healthy Denim、Soft Wash Cotton,中,舒适、耐磨、透气,休闲裤、衬衫,质量报告,https://www.gap.cn/,,
ZARA,EcoVero、Sustainable Fibers,中,环保、时尚、舒适,日常服、夏季凉衣,企业可持续发展项目,https://www.zara.com/,,
DICK'S Sporting Goods,Dry-Tek、Flex-Web,高,透湿、快干、运动裁剪,运动装备、训练服,市场调研,https://www.dickssportinggoods.com/,,
Mizuno,Aeroflow、Wave Plate,高,超轻、舒适、出色的缓冲性能,跑鞋、训练服,体育品牌博客,https://www.mizuno.com.cn/,,
新百伦,Fresh Foam、Hypoknit,高,轻量、舒适、减震性好,跑鞋、运动服,公司官网,https://www.newbalance.com/,,
Lululemon,Nulu、Luxtreme,高,极柔软、抗汗、贴合,瑜伽裤、运动型文胸,用户评论,https://www.lululemon.com/,,
H&M,Tencel、Recycled Polyester,中,环保、透气、舒适,休闲服、运动服,服装展会,https://www.hm.com/,,
FILA,Memory Foam、Coolmax,高,自动适应脚型、吸湿透气,运动鞋、训练服,社交媒体调查,https://www.fila.com.cn/,,
Under Armour,UA HOVR、HeatGear,高,能量回馈、出色透气性,跑步鞋、运动外套,体育新闻,https://www.underarmour.cn/,,
速比涛,X-Trafit、TecnoMesh,高,轻便、防水、耐磨,户外鞋、登山服,户外装备评测,https://www.speedelec.com.cn/,,
美津浓,AeroHug、Wave Technology,高,贴合舒适、出色支撑,马拉松鞋、运动短裤,运动品牌大会,https://www.mizunousa.com/,,
Riot,Dynamic Flex、SmartMesh,中,弹性好、亲肤、轻量,羽毛球服、健身服,运动论坛,https://www.riot.com/,,
长白山,WarmTouch、EcoFleece,中,温暖舒适、环保,户外外套、运动裤,零售市场分析,https://www.changbaishan.com/,,
PUMA,RS-X跳跃科技,高,回弹性好、色彩丰富,日常运动鞋、跑步鞋,品牌宣传活动,https://www.puma.com/,,
哥伦比亚,Omni-Tech、Omni-Heat,高,防水透气、保温,滑雪服、户外装备,环球户外展,https://www.columbia.com/,,
Timberland,ReBOTL™、EcoSmart,高,可持续材料、耐磨,靴子、皮鞋,环保资源会议,https://www.timberland.com/,,
上田,AirLite、ThermoPro,中,轻便梭织、保温设计,户外裤、运动外套,户外用品评测,https://www.shiroitike.com/,,
