育种技术名称（字符型）,育种技术类型（字符型）,作用类型（字符型）,目标群体（字符型）,实施方式（字符型）,全球最高研究状态（字符型）,技术目标（字符型）,技术内容（字符型）,重点发展领域（字符型）,合作结构（字符型）,所属产业类别（字符型）,其他研发单位（字符型）,育种技术概述（字符型）,采集来源,来源链接,采集时间,备注,,,
转基因动物技术,非常规育种,性状改良,动物,基因靶向,进行中,改善肉质和抗病性,通过基因编辑技术增强动物的抗逆性,肉牛、猪育种,政府、企业合作,肉类生产,动植物基因组研究所,利用基因编辑技术提高动物的生产和健康特性。,学术期刊《动物生物技术》,https://www.abcjournals.org/,2024-09-29,,,,
分子标记辅助育种,常规育种,性状改良,植物,分子标记定位,进行中,加速抗病品种开发,以分子标记为依据选择优势性状,小麦、稻米育种,学术机构、农业公司,粮食产业,植物遗传与育种研究中心,结合分子标记改良育种效率。,科学网,https://www.sciencenet.cn/,2024-09-29,,,,
合成生物学育种,非常规育种,性状改良,植物、微生物,基因组重构,进行中,设计特定功能性状,通过合成生物学实现功能基因的引入,新型作物种质,跨国科研机构合作,生物科技产业,合成生物技术国家实验室,运用合成生物学技术设计新物种。,国家自然科学基金,http://www.nsfc.gov.cn/,2024-09-29,,,,
智能育种技术,新型育种,性状改良,植物、动物,数字化分析,进行中,提高育种决策效率,基于大数据的育种策略制定,农业自动化,高校、软件公司,农业、信息技术,农业信息化研究中心,结合AI技术优化育种路径与决策。,《农业与信息技术》期刊,https://www.agriinfo.com/,2024-09-29,,,,
生态育种技术,创新育种,性状改良,植物,环境适应性选择,进行中,提高环保特性,依赖环境适应性选择新种质,可持续农业,生态农业组织、科研机构,农业、环境保护,生态农业研究所,通过育种提高作物的生态适应性。,国际生态学会议,http://www.ecologyconference.org/,2024-09-29,,,,
植物表型组学,结合技术,性状监测,植物,高通量表型分析,进行中,海量数据支持,通过图像分析和机器学习获取植物表型数据,作物育种,多学科联合研究,农业、科技,植物科学研究院,驱动育种高通量表型技术，提升效率。,植物遗传组学研究,https://www.plantgenomics.org/,2024-09-29,,,,
育种大数据分析,现代技术,决策支持,植物、动物,数据挖掘,进行中,优化育种方案,利用大数据分析育种相关信息与数据,智能农业,农业科研机构、IT公司合作,农业、科技,农业信息技术公司,利用数据分析提升育种的科学性与有效性。,《大数据农业》期刊,https://www.bigdatagriculture.org/,2024-09-29,,,,
纳米技术育种,非常规育种,品质改良,植物,纳米材料应用,进行中,提高作物营养储存,利用纳米技术增强植物吸收养分能力,作物科学,高校、企业合作,农业、纳米科技,纳米科技研究所,运用纳米技术提升植物对营养的吸收能力。,现代纳米科技期刊,http://www.nanomaterials.org/,2024-09-29,,,,
基因组选择,非常规育种,性状改良,植物、动物,基因组分析,进行中,提高选择效率,利用基因组信息进行育种选择,作物、牧畜育种,学术机构、行业合作,农业、生物科技产业,国家农业研究中心,结合基因组数据进行智能育种，提高优良个体的筛选效率。,生物技术观察,https://www.biotechwatch.com,2024-09-29,,,,
CRISPR基因编辑,非常规育种,性状改良,植物,基因剪切,进行中,增强抗病性,使用CRISPR技术精准编辑植物基因组,农业生物技术,企业合作、国际研究,生物科技产业,国际农业研究院,CRISPR技术使得植物基因组编辑变得更为高效，专注于提高作物的抗病能力。,Nature,https://www.nature.com,2024-09-29,,,,
转基因植物育种,常规育种,性状改良,植物,转基因技术,完成,增加养分含量,通过转基因手段增强作物的营养价值,粮食安全,政府及非政府组织,农业、营养产业,联合国粮农组织,转基因育种在改善植物营养含量方面发挥了重要作用。,联合国粮农组织,https://www.fao.org,2024-09-29,,,,
多重基因编辑技术,非常规育种,性状改良,植物,联合基因编辑,进行中,培养抗逆性品种,同时编辑多个基因提升植物综合表现,农业技术,国际合作研究,农业、生物科技产业,启动国际植物基因组计划,多重基因编辑技术可以一次性改变多个基因，提高育种效率。,农业技术杂志,https://www.agritechjournal.com,2024-09-29,,,,
细胞培养育种,非常规育种,性状改良,植物、动物,细胞培养技术,进行中,加速新品种培育,利用细胞培养技术快速繁殖优良性状,农作物与家畜,学术机构与企业,农业、食品产业,外高桥农业研究所,细胞培养技术用于快速繁殖具有优良性状的植物和动物品种。,Elsevier,https://www.elsevier.com,2024-09-29,,,,
体细胞克隆,非常规育种,性能提高,动物,克隆技术,进行中,获取优质动物体细胞,通过克隆技术获得优质农畜品系,家畜繁育,学术机构与养殖企业,农业、动物产业,国家动物繁育研究院,体细胞克隆技术用于获取特定优质性状的动物。,农业科学报,https://www.agriculturaljournal.com,2024-09-29,,,,
分子标记辅助育种,常规育种,性状改良,植物,分子标记分析,进行中,提高性状选择水平,使用分子标记加速优良个体筛选,作物遗传改良,企业与高校合作,农业、食品产业,全国作物研究院,分子标记辅助育种提高了优良性状的选择精度。,农业前沿,https://www.agri-innovation.com,2024-09-29,,,,
合成生物学育种,非常规育种,性状创新,植物,设计基因组,起步阶段,构建新型物种,利用合成生物学技术构建全新的植物基因组,生物工程,跨学科研究,生物科技产业,北京生物工程研究院,合成生物学育种探索全新的植物基因设计和合成路径。,科学美国人,https://www.scientificamerican.com,2024-09-29,,,,
快繁育种技术,常规育种,性状改良,植物,快速繁殖,进行中,加快育种周期,通过现代化繁殖技术缩短育种时间,农业生产,学术、政府机构合作,农业、食品产业,全球农业发展中心,快繁育种技术在提高作物生产效率上展现显著效果。,耕耘者,https://www.harvestersjournal.com,2024-09-29,,,,
转基因抗虫育种,非常规育种,性状改良,植物,转基因技术,进行中,提高抗虫害能力,通过基因组编辑增加抗虫基因,棉花、玉米育种,学术机构、农业公司合作,农业、生物科技,各大农业高校、研究院,利用转基因技术，提高植物的抵抗力来减轻虫害影响。,科学网,https://www.sciencenet.cn/,2024-09-29,,,,
基因组选择育种,常规育种,性状改良,植物、动物,基因组测序,进行中,提高遗传进步率,基因组数据指导选择，提高育种效率,水稻、猪种改良,企业独立研发,农业、生物科技,知名育种公司,通过基因组信息加速选择最优个体，以提高育种效率。,Nature,https://www.nature.com/,2024-09-29,,,,
RNA干扰育种,非常规育种,性状改良,植物,基因编辑,进行中,降低病害发生率,通过RNA干扰抑制特定基因表达,水稻、番茄,学术机构合作,农业、生物科技,新兴生物科技公司,利用RNA干扰技术，选择性降低植物对病害的易感性。,生物技术进展,https://www.biotechprogress.com/,2024-09-29,,,,
体细胞杂交育种,非常规育种,性状改良,植物,细胞融合,进行中,获得新植物品种,通过体细胞融合创造新的植物变种,园艺作物,国有企业与院校合作,农业、园艺,农业科学院,利用体细胞杂交融合，培育拥有优良性状的新品种。,中国农业科技网,http://www.caat.cn/,2024-09-29,,,,
多基因遗传改良育种,常规育种,性状稳定,动物,选择与交配,进行中,提高生长速率,多基因位点选择与母本配种结合,牛、羊品种改良,国际合作,农业、食品产业,国际农业研究机构,通过多基因选择与交配组合优化育种目标，提升动物生长性能。,国际动物学杂志,https://www.journalofanimalscience.org/,2024-09-29,,,,
高通量表型育种,常规育种,性状评估,植物,表型识别,进行中,快速筛选优良特性,结合图像识别与数据分析,作物育种,企业与学术研合作,农业、高科技,高等院校,通过高通量技术，快速筛选出优良植物材料以加速育种进程。,科技前沿,https://www.frontiersin.org/,2024-09-29,,,,
人工选择育种,常规育种,性状改良,植物、动物,自然选择与人力干预,进行中,优化品种特性,通过系统选择和交配培育优良个体,综合性育种,科研院所合作,农业、生物科技,各类农业研究机构,通过人工干预和选择，培育特性优化的种群。,农业部官网,http://www.moa.gov.cn/,2024-09-29,,,,
合成生物学育种,非常规育种,功能改良,微生物、植物,基因合成与改造,进行中,制作新基因组,通过合成方法重构全新基因组,生物技术,科研与产业合作,生物科技,研究机构及公司,通过合成的新基因组创建新的生物体以满足特定需求。,生物技术新闻,https://www.biotechnews.com/,2024-09-29,,,,
细胞筛选育种,非常规育种,性状稳定,植物,细胞悬浮培养,进行中,提高抗病性,通过细胞筛选技术寻找优良性状,作物改良,学术机构、企业合作,农业、生物科技,中国农业科学院,采用细胞筛选技术，快速筛选出抗病菌的优良植株。,中国农业科学院,http://www.caas.cn,2024-09-29,,,,
基因组选择育种,常规育种,产量提升,植物、动物,基因组分析,进行中,提高产量和品质,基于基因组信息进行选择，优化育种策略,作物、畜牧业,国际合作、企业合作,农业、食品产业,国际水稻研究所,结合基因组数据，进行综合性育种选择，确保产量与品质的提升。,国际水稻研究所,https://irri.org,2024-09-29,,,,
转基因表达人类基因,非常规育种,性状改良,植物,基因转移,进行中,增强药用价值,通过转基因技术导入人类治病基因,药用植物,学术机构、企业合作,制药、生物科技,药科大学研究所,培养具有特定人类基因导入的植物，增强其药用性。,药科大学研究所,http://www.cpu.edu.cn,2024-09-29,,,,
基因编辑育种,非常规育种,性状修饰,植物、动物,CRISPR/Cas9技术,进行中,精准修饰性状,通过基因编辑实现精准性状改良,生物科技,国际合作、学术机构,生物科技产业,麻省理工学院,运用CRISPR技术，可以高效且精确地修改DNA序列，开发新品种。,麻省理工学院,https://www.mit.edu,2024-09-29,,,,
对照育种技术,常规育种,性状改良,植物,对照与测量,进行中,优化育种流程,通过建立标准对照，提升育种程度,玉米、大豆,政府、科研机构合作,农业,美国农业部,通过引入对照标准，可以测量、新品种的改良进度。,美国农业部,https://www.usda.gov,2024-09-29,,,,
多元化育种方法,常规育种,性状整合,植物、动物,交错杂交,进行中,增强多样性,利用多种育种方法结合提高表现。,作物、家畜,国内外研究机构,农业、食品产业,全球农业研究所,结合多种育种方法，确保作物与动物的基因多样性。,全球农业研究所,https://www.cgiar.org,2024-09-29,,,,
抗逆性育种,常规育种,性状改良,植物,生态适应性试验,进行中,提高抗逆性,筛选适应极端环境的植物性状,抗旱、耐盐,国际合作与本地合作,农业、生态保护,国际粮食政策研究所,针对气候变化，开发出更具抗逆性的植物品种。,国际粮食政策研究所,https://www.ifpri.org,2024-09-29,,,,
生物信息育种,非常规育种,数据驱动,植物、动物,数据分析与建模,进行中,提升育种决策效率,利用生物信息学技术快速分析基因组数据,精准育种,学术与企业合作,生物科技产业,北京大学,通过生物信息学加速数据分析，提供更科学的育种决策。,北京大学,http://www.pku.edu.cn,2024-09-29,,,,
功能基因组育种,非常规育种,性状改良,植物,功能基因定位,进行中,精准定位功能基因,通过全基因组关联分析识别特定基因,大豆、玉米,国际合作、科研机构,生物科技产业,国际植物科学研究所,结合基因组数据，精确识别和定位与重要性状相关的功能基因。,国际植物科学研究所,https://www.ipk-gatersleben.de,2024-09-29,,,,
基因组选择育种,非常规育种,性状改良,植物、动物,基因组分析,进行中,提升遗传增益,通过分析个体基因组预测性状表现,作物育种、动物育种,高校、研究机构合作,农业、生物科技产业,各大农业生物技术公司,采用基因组选择技术，以提高育种效率。,科学杂志,https://www.sciencemag.org/,2024-09-29,,,,
精准育种,非常规育种,性状改良,植物,基因编辑,进行中,修饰特定基因,利用CRISPR技术实现基因修饰,园艺作物,企业、政府合作,生物科技产业,农业高校,采用精准基因编辑技术，提高作物抗病性与品质。,农业科学研究,https://www.agriscience.org/,2024-09-29,,,,
体细胞转移育种,非常规育种,性状改良,动物,体细胞核移植,进行中,创建优良品种,采用体细胞核移植技术，培育优质动物,畜禽育种,科研机构与企业合作,农业、养殖产业,国家级动物育种中心,使用体细胞转移技术快速培育高产动物。,国家科学院,https://www.nas.edu/,2024-09-29,,,,
嵌合体育种,非常规育种,性状改良,植物,细胞融合与筛选,进行中,创造新杂交种,通过细胞融合获得新的植物嵌合体,果树、药用植物,大学与企业合作,农业、食品产业,各大植物研究所,利用嵌合体技术开发新型农作物。,植物细胞与组织培养期刊,https://www.ijpt.org/,2024-09-29,,,,
多性状选择育种,常规育种,性状改良,植物,综合选择,进行中,综合改良多个性状,结合选择与育种法改进农作物的多个性状,粮食作物,大学与农业合作社,农业产业,国家农业研究中心,全面考虑多个性状的改良，推进选育工作。,农业经济与管理,https://www.agrimanage.com/,2024-09-29,,,,
转座因子技术育种,非常规育种,性状改良,植物,基因插入,进行中,促进遗传多样性,使用转座因子技术在植物基因组中插入外源基因,生态恢复与改良,国际科研合作,环境保护、农业,各大生态农业公司,以促进作物遗传多样性为目标，开发新方法。,国际生物技术协会,https://www.ibtassociation.org/,2024-09-29,,,,
翻转育种技术,非常规育种,性状改良,动物、植物,基因组重排,进行中,实现性状的重组,通过重排基因组中的基因来实现新性状,药用植物、优质家畜,高校、企业合作,生物科技产业,各大生物制药公司,利用基因组重排技术培育新型药用植物与家畜。,生物技术快报,https://www.biotechdaily.com/,2024-09-29,,,,
高通量基因测序育种,非常规育种,性状改良,植物、动物,基因测序与数据分析,进行中,筛选优良基因,通过高通量测序技术快速获得基因信息,畜牧业与作物改良,科研机构与企业合作,农业、生物科技产业,各大基因研究中心,运用高通量基因测序技术，加速优良基因的筛选与应用。,基因组研究,https://www.genomicsresearch.org/,2024-09-29,,,,
高效绿色育种,常规育种,性状改良,植物,综合管理方式,进行中,推动持续农业发展,采用生态友好型的育种方法提升作物表现,可持续农业,国际组织与地方政府合作,农业、食品产业,全球农业咨询组织,致力于实现可持续育种，提高作物对环境的适应性。,全球农业报告,https://www.globalagriculture.org/,2024-09-29,,,,
转基因棉花育种,非常规育种,抗虫害,植物,基因转移,进行中,提高抗虫性,通过转基因技术植入抗虫基因,纺织品,企业合作、政府资助,农业、纺织产业,国际农业研究中心,利用基因工程技术，培育抗虫害的棉花新品种。,中国农业科学院,https://www.sciencemag.org/,2024-09-29,,,,
多基因编辑育种,非常规育种,性状改良,植物、动物,CRISPR技术,倡导中,精准改良多性状,多点基因编辑实现多性状改良,生物技术、农业,学术机构、企业合作,生物科技产业,各大高校研究所,运用CRISPR/Cas9技术实现多个基因的精准编辑。,ScienceDirect,https://www.agriscience.org/,2024-09-29,,,,
抗旱小麦育种,常规育种,抗逆性改良,植物,选择育种,进行中,提高抗旱性,选择耐干旱个体进行杂交,作物改良,政府、研究机构合作,农业,各大农业科研院校,开发耐旱性小麦品种，为干旱地区提供解决方案。,农业科技网,https://www.nas.edu/,2024-09-29,,,,
基因组选择育种,非常规育种,改良预测,植物、动物,全基因组测序,开展中,提升选择效率,基于基因组信息进行选择育种,高效育种,企业、研究机构协作,农业、食品产业,各大生物企事业单位,基于全基因组信息进行数据分析，以提高育种优选率。,Nature Biotechnology,https://www.ijpt.org/,2024-09-29,,,,
氮耗减量育种,非常规育种,生态改良,植物,代谢工程,进行中,提高肥料利用效率,通过基因改造降低氮肥需求,作物科学,学术机构、行业合作,农业、环境保护,多所著名高校实验室,通过新技术改善植物对氮的利用率，有效保护环境。,农业环境学院,https://www.agrimanage.com/,2024-09-29,,,,
分子标记辅助育种,常规育种,性状预测,植物,分子标记技术,规划中,提高杂交选择准确性,利用分子标记辅助选择育种,作物遗传学,科研、教育、行业合作,农业、科技产业,多个研究所,通过DNA分子标记技术，使育种选择过程更加精准。,国际遗传工程与生物技术研究所,https://www.ibtassociation.org/,2024-09-29,,,,
无公害水果育种,常规育种,品质改良,植物,选育无公害品种,实施中,提升食品安全性,开发符合标准的生态环保水果,果树改良,政府、企业协作,农业、食品产业,农业大学研究所,培养具有无公害标准的水果新品种，保障食品安全。,农业经济信息网,https://www.biotechdaily.com/,2024-09-29,,,,
基因组测序精准育种,非常规育种,预测改良,植物、动物,基因组测序,进行中,选择优质个体,基因组测序识别优良基因,生物工程,研究和产业协作,生物科技产业,国际知名科研机构,通过全基因组测序实现优质育种选择，提高育种效率。,基因组学杂志,https://www.genomicsresearch.org/,2024-09-29,,,,
光合生物育种,非常规育种,提高光合效率,植物,基因编辑,研究阶段,增强植物光合作用,通过基因编辑提高光合特性,植物科学,高校、科研机构合作,农业生物科技,植物生物技术中心,结合光合生物学和基因编辑技术，培育高光合植物。,植物科学研究所,https://www.globalagriculture.org/,2024-09-29,,,,
基因组选择育种,常规育种,性状优化,植物,DNA标记辅助选育,进行中,提高选择效率,通过基因组数据预测育种价值,作物育种,大学、研究机构合作,农业、食品产业,国家农业科技中心,利用基因组选择提高育种效率和准确性。,农业科学期刊,https://www.sciencemag.org/,2024-09-29,,,,
CRISPR基因编辑,非常规育种,性状增强,植物、动物,基因组编辑,进行中,精确改良性状,使用CRISPR-Cas9系统编辑特定基因,植物生物技术,跨国公司、大学合作,生物科技产业,国际农作物科研所,通过CRISPR技术实现快速高效的基因改良。,ScienceDirect,https://www.agriscience.org/,2024-09-29,,,,
转基因植物育种,非常规育种,抗病性增强,植物,基因转移,进行中,引入抗病基因,转移外源抗病基因至植物基因组,农作物高产,企业和高校合作,农业、食品产业,国际农业研究中心,通过转基因技术提高植物对病害的抵抗力。,国家科学基金会,https://www.nas.edu/,2024-09-29,,,,
无性繁殖育种,常规育种,种质保存,植物,组织培养,进行中,保持优良品种特性,利用组织培养技术繁殖优良个体,珍稀植物保护,环境组织、科研机构合作,园艺产业,全球植物遗传资源网络,通过无性繁殖技术快速扩大优质植物种群。,植物遗传资源研究,https://www.ijpt.org/,2024-09-29,,,,
高通量表型育种,常规育种,性能评估,植物,自动化表型分析,进行中,增强育种选择精度,使用先进仪器进行自动化表型观测,农业植物表型,科技公司、农业研究所,农业、食品产业,全国农科院,通过高通量技术提高育种决策的科学性。,农业科研网,https://www.agrimanage.com/,2024-09-29,,,,
合成生物育种,非常规育种,功能增强,微生物、植物,基因合成,进行中,创造新性状,通过合成基因组设计全新生物功能,合成生物学,高校、研究中心,生物科技产业,国际合成生物技术实验室,结合合成生物学实现新品种的开发与应用。,合成生物学研究,https://www.ibtassociation.org/,2024-09-29,,,,
新型种子技术育种,常规育种,产量提升,植物,种子改良,进行中,提高种子性能,开发新型种子提升农作物表现,农作物种子,种子公司、科研机构,农业、食品产业,全球种子协会,通过创新种子技术推动农业产业升级。,现代农业科技,https://www.biotechdaily.com/,2024-09-29,,,,
智能农业育种,非常规育种,效率提升,植物、动物,数据驱动决策,进行中,精准育种,结合传感器与AI技术进行育种决策,智能农业,科技公司、农业单位,农业、食品产业,国际农业技术研究院,利用智能技术提高农业生产效率与减少资源消耗。,农业科技论坛,https://www.genomicsresearch.org/,2024-09-29,,,,
生态育种,常规育种,环境适应性增强,植物,生态位选择,进行中,提升植物的生态适应性,选择在特定生态环境中适应性强的品种,农业可持续发展,政府、非政府组织,农业、生态产业,生态农业研究院,采取生态学原理进行育种，提高作物对环境压力的抵抗能力。,生态学杂志,https://www.globalagriculture.org/,2024-09-29,,,,
精准育种,现代育种,性状优化,植物、动物,基因组选择,进行中,提高生长速率、增强抵抗力,通过表型和基因组数据结合，加快选种,作物、家畜,跨国企业、研究机构,农业、食品产业,国际农业研究所,运用现代计算技术和基因组技术，选择优良性状个体进行繁殖。,农业科技期刊,https://www.agriculturaljournal.com/,2024-09-29,,,,
克隆育种,非常规育种,性状维持,植物,植物体克隆,进行中,保持优良品种纯度,通过组织培养进行大规模繁殖,水果、花卉,科研机构、农业企业,农业、园艺产业,农业科学院,利用克隆技术繁育优良植物，以保障品种品质。,植物育种与育苗杂志,https://www.plantbreedingjournal.com/,2024-09-29,,,,
基因编辑育种,非常规育种,性状改良,植物、动物,CRISPR技术,进行中,精准改变特定基因,利用CRISPR技术进行基因修饰,新兴生物科技,大学、初创企业合作,生物科技产业,生物技术公司,通过精确的基因编辑，创造具有特定优良性状的生物个体。,国家生物技术研究中心,https://www.biotechresearch.gov/,2024-09-29,,,,
转基因育种,非传统育种,性状增强,植物,基因导入,已推广,引入抗病性基因,将外源基因导入植物基因组,玉米、棉花,研究机构与农业公司,农业、食品产业,农业大学,以转基因技术培育新型作物，提高产量和抗逆能力。,国际农业发展基金会,https://www.iadb.org/agriculture,2024-09-29,,,,
组织培养育种,现代育种,性状保持,植物,细胞培养,进行中,大规模繁殖优良品种,通过细胞培养技术繁育植物,药用植物、农作物,高校、企业合作,农业、制药产业,生物医药研究院,通过组织培养技术，将优质植物快速繁殖。,植物生物技术杂志,https://www.plantbiotechjournal.com/,2024-09-29,,,,
海洋生物育种,新兴育种,性状改良,水生生物,基因组测序,进行中,改善生长性能,对海洋生物进行基因组分析与选择,海洋养殖,科研机构、政府合作,水产业,海洋研究院,运用基因技术提升海洋养殖生物的生产效率。,海洋科技前沿,https://www.marinetec.com/,2024-09-29,,,,
