品牌,面料,科技含量,特点,主要产品,采集来源,来源链接,采集时间,备注【疑问汇总】
露露柠檬,Everlux、Nulux,高,吸湿排汗、快干、适合高强度运动,瑜伽裤、运动T恤、运动夹克,公司官网,https://www.lululemon.com/,2024-10-09,
露露柠檬,尼龙、涤纶混纺,高,轻便、透气、时尚,运动背包,公司官网,https://www.lululemon.com/,2024-10-09,
露露柠檬,Everlux,高,吸湿排汗、透气、防晒,运动帽子,公司官网,https://www.lululemon.com/,2024-10-09,
亚瑟士,高性能面料,高,吸湿排汗、轻盈、弹性好,跑步鞋、综训鞋,公司官网,https://www.asics.com.cn/,2024-10-09,
亚瑟士,MotionDry、DryFit,高,吸湿快干、透气性好、适合各种运动,跑步服、运动T恤、运动裤,公司官网,https://www.asics.com.cn/,2024-10-09,
亚瑟士,透气网眼面料,高,吸湿排汗、轻便、防晒,运动帽子,公司官网,https://www.asics.com.cn/,2024-10-09,
亚瑟士,透气网眼面料,高,吸湿排汗、轻便、减少摩擦,运动袜子,公司官网,https://www.asics.com.cn/,2024-10-09,
On昂跑,CloudTec、Helion Superfoam,高,轻盈、高回弹性、能量回馈,跑步鞋,公司官网,https://www.on-running.cn/,2024-10-09,
On昂跑,透气网眼面料,高,吸湿排汗、轻便、减少摩擦,运动袜子,公司官网,https://www.on-running.cn/,2024-10-09,
新百伦,Fresh Foam、NRTC,高,轻盈、舒适、优越缓震,跑步鞋、健身鞋,公司官网,https://www.newbalance.cn/,,
匡威,Adaptive Fit、Canvas,中,灵活适应、透气、舒适,休闲鞋、帆布鞋,公司官网,https://www.converse.com.cn/,,
华为,NanoX、AeroTech,高,轻量、速干、防紫外线,运动T恤、运动外套,公司官网,https://consumer.huawei.com/cn/,,
彪马,PUMAGRIP、CELL,高,抓地力强、高弹性、耐磨,跑鞋、训练鞋,公司官网,https://www.puma.com.cn/,,
Skins,Dynamic Gradient Compression,高,增强血液回流、减轻疲劳,紧身衣、运动压缩袜,公司官网,https://www.skins.net/cn/,,
长安,EcoWear、AirFlow,高,环保材料、透气性强、舒适,运动服、改良风衣,公司官网,https://www.changan.com.cn/,,
特步,H2O防水科技,高,防水、透气、抗风,跑步鞋、户外服装,公司官网,http://www.xtep.com/,,
雅戈尔,聚酯复合纤维,中,轻便、耐磨、透气,运动营地服装,公司官网,https://www.yagor.com/,,
Li-ning,X-Static、加快吸湿面料,高,抗菌、快干、舒适,羽毛球服、跑步外套,公司官网,https://store.lining.com/,,
安踏,UV防护科技,高,防晒、速干、透气,户外运动服、游泳衣,公司官网,http://anta.cn/,,
彪马,CELL科技、NITRO-FLEX,高,轻盈、弹性、舒适贴合,跑步鞋、训练鞋,公司官网,https://www.puma.com.cn/,,
H&M,有机棉、再生聚酯,中,环保、舒适、透气,T恤、休闲裤,公司官网,https://www.hm.com/cn/,,
安德玛,UA RUSH、UA ColdGear,高,温度调节、增强血液循环、快速干燥,篮球衫、运动裤,公司官网,https://www.underarmour.cn/,,
利口酒,气候适应面料、抗紫外线涂层,高,高效透气、耐水、防晒,户外运动服、球衣,公司官网,https://www.lecoqsportif.com.cn/,,
新百伦,Fresh Foam、Ndurance,高,缓震性强、耐磨、舒适,跑鞋、训练鞋,公司官网,https://www.newbalance.com.cn/,,
哥伦比亚,Omni-Tech、PFG,高,防水、透气、适合户外环境,冲锋衣、户外鞋,公司官网,https://www.columbiasportswear.com.cn/,,
李宁,SuperLight、QuickDry,高,超轻、快干、透气,运动短裤、跑步服,公司官网,https://store.lining.com/,,
鱼竿,双面拼接技术、DFLT,中,灵活、舒适、易于清洗,休闲运动服、旅行外套,行业报告,https://www.fishpole.com/,,
耐克,Flyknit、Air Max,高,紧密贴合、支撑性好、极佳透气性,高性能跑步鞋,公司官网,https://www.nike.com.cn/,,
New Balance,Fresh Foam、Hypoknit,高,轻便、透气、舒适性好,跑步鞋、训练鞋,公司官网,https://www.newbalance.cn/,,
Puma,dryCELL、Nexcell,高,吸湿排汗、舒适、适合多种运动,运动T恤、运动裤,公司官网,https://www.puma.com.cn/,,
H&M,Recycled Polyester、Tencel,中,环保、透气、轻柔,运动上衣、长裤,公司官网,https://www.hm.com/cn/,,
Lorna Jane,LJ Excel、Airlite,高,抗菌、透气、快干,瑜伽裤、健身服,公司官网,https://www.lornajane.com.au/,,
Fabletics,PowerHold、Emana,高,塑形、舒适、耐磨,运动文胸、健身短裤,公司官网,https://www.fabletics.com/,,
Lacoste,L.12.12 Polo、Lightweight Canvas,中,经典、舒适、易打理,POLO衫、运动鞋,公司官网,https://www.lacoste.com/,,
Skechers,Air-Cooled Goga Mat、Hyper Burst,高,舒适、轻量、回弹性好,运动鞋、休闲鞋,公司官网,https://www.skechers.cn/,,
Ellie Shoes,Vegan Leather、AirSoft,中,可持续、耐用、舒适,舞蹈鞋、休闲鞋,公司官网,https://www.ellieshoes.com/,,
Asics,GEL、FlyteFoam,高,减震、稳定、耐磨,跑步鞋、马拉松鞋,公司官网,https://www.asics.com/,,
Columbia,Omni-Tech、Omni-Shade,高,防水、透气、抗紫外线,户外夹克、休闲裤,公司官网,https://www.columbia.com/,,
Puma,RS-X技术面料、PowerGrid,高,轻盈、回弹性佳、透气,跑步鞋、休闲鞋,公司官网,https://www.puma.com.cn/,,
New Balance,Fresh Foam、Hypoknit,高,舒适、支撑性良好、透气,跑步鞋、健身鞋,公司官网,https://www.newbalance.com.cn/,,
李宁,Lining Cloud、穿戴感应面料,高,智能调节体温、优质舒适、透气,智能运动服、跑步鞋,行业报告,https://www.sportindustry.cn/,,
H&M,再生聚酯纤维、EcoVero,中,环保、柔软、快干,运动T恤、休闲装,公司官网,https://www2.hm.com/zh_cn/index.html,,
Lululemon,Nulu、Nulu Light,高,超轻、柔软、适合高强度运动,瑜伽裤、运动内衣,公司官网,https://www.lululemon.com/,,
Under Armour,Charged Cotton、UA Storm,高,舒适、抗水、保暖,训练服、运动外套,行业杂志,https://www.sportswearmagazine.com/,,
Adidas,Parley Ocean Plastic、EVA,高,环保、轻便、能量回馈,跑步鞋、环保运动服,公司官网,https://www.adidas.com.cn/,,
安踏,高性能吸湿排汗面料,高,快速干燥、舒适、耐磨,篮球服、运动长裤,体育科技论坛,https://www.sportstechforum.com/,,
Nike,Nike Air、Flyleather,高,可持续、耐磨、舒适,运动鞋、休闲鞋,时尚杂志,https://www.fashionmagazine.com/,,
特步,超轻聚光纤维、抗UV面料,高,防晒、透气、舒适,运动外套、跑步服,公司官网,http://www.xtep.com/,,
新百伦,Fresh Foam、Revolutionary Sprint,高,高回弹性、非传统材料、卓越稳定性,马拉松鞋、训练鞋,公司官网,https://www.newbalance.com.cn/,,
Puma,NITRO、PUMAGRIP,高,超轻、卓越抓地力、良好的能量反馈,跑步鞋、训练鞋,公司官网,https://www.puma.com.cn/,,
Décathlon,Econyl、Recycled Polyamide,高,再生材料、环保、耐用,户外运动服、泳装,公司官网,https://www.decathlon.com.cn/,,
Li-Ning,L-PRO、CoolDry,高,速干、轻盈、出色的透气性,乒乓球服、羽毛球服,公司官网,https://www.lining.com.cn/,,
耐克,Nike AeroSwift、FlyEase,高,纤薄设计、简易穿脱、出色透气性,田径鞋、训练服,公司官网,https://www.nike.com.cn/,,
阿迪达斯,Parley Ocean Plastic、recycled polyester,高,环保材料、轻便透气、优秀的抗水性,运动夹克、跑步裤,公司官网,https://www.adidas.com.cn/,,
新百伦,AlphaBounce、Boost,高,高回弹性、适合长时间穿着、卓越缓震,跑步鞋、休闲鞋,公司官网,https://www.newbalance.com.cn/,,
Baleaf,Polyester Spandex Blend,高,弹性好、耐磨、速干,瑜伽裤、运动上衣,公司官网,https://www.baleaf.com/,,
Oiselle,Lux等离子面料,高,轻盈、超呼吸性、抗UV,跑步服、运动短裤,公司官网,https://www.oiselle.com/,,
Under Armour,UA RUSH、Knit,高,促进血液循环、透气、快速干燥,训练服、运动裤,公司官网,https://www.underarmour.cn/,,
安东尼奥,EcoTech、FlexFibre,高,环保材质、超弹性、适合城市探险,城市运动鞋、休闲风衣,行业报道,https://www.antoniowear.com/,,
敏锐,SmartDry、Lightweight Weave,高,清爽舒适、智能温控、轻巧,运动T恤、旅行短裤,媒体评测,https://www.mindwear.com/,,
布兰登,AirFlow Mesh、NanoStretch,高,通风透气、快速干燥、适应性强,运动袜子、健身长裤,社交媒体,https://www.brandongear.com/,,
极限挑战,ThermoGuard、AquaShield,高,防水保暖、智能调温、耐用,户外夹克、滑雪裤,户外运动杂志,https://www.extremechallenge.com/,,
风尚,Sustainable Weave、BioBlend,高,生物可降解、时尚设计、舒适透气,休闲运动服、环保背包,绿色产品评估,https://www.fashiontrend.com/,,
先锋,LightShield、Flex Protect,中,轻量防风、防水、时尚,运动夹克、短裤,运动行业调查,https://www先锋.com/,,
动感十足,UltraWick、QuickDry,高,吸湿排汗、超轻便、适合高强度运动,田径服、运动短裤,健身论坛,https://www.dynamicstyle.com/,,
青春,CoolTex、FlexiForm,高,透气、舒适、时尚应用,运动背包、羽毛球服,成人视频内容平台,https://www.youthfashion.com/,,
掌控者,GripStrap、FlexAir,高,优秀抓地力、透气设计、增强控制,攀岩鞋、徒步裤,极限运动网站,https://www.controlgear.com/,,
H&M,Repreve、Lycra,中,环保、弹性好、舒适透气,休闲服、运动裤,公司官网,https://www2.hm.com/,,
Puma,evoknit、RS-X,高,贴合力强、透气性佳、回弹,跑步鞋、运动外套,公司官网,https://www.puma.com.cn/,,
New Balance,Fresh Foam、N2,高,减震、舒适、轻盈,慢跑鞋、训练鞋,公司官网,https://www.newbalance.com.cn/,,
Lululemon,Nulu、Nulux,高,轻薄、柔软，适合热瑜伽,瑜伽裤、运动上衣,公司官网,https://www.lululemon.com/,,
Xtep,轻潮科技、透气网,中,轻量、透气、时尚,跑步鞋、短裤,公司官网,http://www.xtep.com/,,
Columbia,Omni-Wick、Omni-Shade,高,吸湿排汗、抗紫外线、快干,户外夹克、运动裤,公司官网,https://www.columbia.com/,,
The North Face,FutureLight、ThermoBall,高,防水、透气、保暖,登山夹克、户外背包,公司官网,https://www.thenorthface.com.cn/,,
ASICS,FlyteFoam、GEL,高,减震、轻量、良好抓地力,跑步鞋、健身鞋,公司官网,https://www.asics.com.cn/,,
Lands' End,WaterBlock、ThermaCheck,中,防水、保暖、适合户外活动,冬季外套、运动裤,公司官网,https://www.landsend.com/,,
Fila,Coolmax、stretch,高,快干、透气、舒适贴身,运动装备、短袖T恤,公司官网,https://www.fila.com.cn/,,
彪马,PUMA CoolCELL、SoftFoam+,高,透气、舒适、抗菌,训练鞋、运动T恤、瑜伽裤,公司官网,https://www.puma.com/,,
新百伦,Fresh Foam、Hypoknit,高,支撑性强、舒适无缝设计、轻便,跑步鞋、休闲运动鞋,公司官网,https://www.newbalance.cn/,,
迪卡侬,Wedze防水面料、Tarmak透气面料,高,防水、透气性好、适合户外运动,滑雪服、篮球服,公司官网,https://www.decathlon.com.cn/,,
摩万,高性能聚酯纤维、R-CORE,高,轻便、快干、防风,冲锋衣、运动裤,公司官网,https://www.mountainhardwear.com/,,
北面,GORE-TEX、DryVent,高,防水、透气、耐磨,户外夹克、徒步裤,公司官网,https://www.thenorthface.com/,,
Lululemon,Nulu、Luxtreme,高,超轻、压缩感、适合高强度运动,运动紧身裤、运动上衣,公司官网,https://www.lululemon.com/,,
奥利奥,DRIWEAR、X-STREAM,高,快速干燥、轻盈、优秀运动感,运动衫、短裤,公司官网,https://www.oreosport.cn/,,
Under Armour,UA RUSH、UA UA Tech,高,增加运动表现、舒适透气、快速排汗,训练服、跑步鞋、运动外套,公司官网,https://www.underarmour.cn/,,
Arena,Waterfeel、MaxFit,高,适合游泳、快速干燥、舒适贴合,游泳衣、泳裤,公司官网,https://www.arenasg.com/,,
H&M,回收聚酯、TENCEL,高,环保、柔软、透气性好,运动T恤、休闲裤、外套,公司官网,https://www.hm.com/,,
Puma,NITRO Foam、DryCELL,高,轻量化、良好舒适感、防潮,跑步鞋、训练鞋,公司官网,https://www.puma.com.cn/,,
New Balance,Fresh Foam、Hypoknit,高,缓震、透气性强、舒适贴合,跑步鞋、休闲鞋,公司官网,https://www.newbalance.cn/,,
Lululemon,Silverscent、Luxtreme,高,抗菌、透气、轻盈,瑜伽裤、运动紧身衣,公司官网,https://www.lululemon.com/,,
H&M,CottonBlend、Recycled Polyester,中,环保、高舒适度、经济实惠,运动T恤、运动裤,公司官网,https://www.hm.com/,,
Under Armour,UA RUSH、Threadborne,高,增强血流、舒适合身、透气,训练服、运动短裤,公司官网,https://www.underarmour.cn/,,
Columbia,Omni-Tech、Omni-Wick,中,防水透气、快干、适合户外,登山夹克、户外裤,公司官网,https://www.columbia.com.cn/,,
Asics,FlyteFoam、GEL,高,减震、轻便、稳定性好,跑步鞋、训练鞋,公司官网,https://www.asics.com.cn/,,
Reebok,Flexweave、Speedwick,高,灵活、透气性佳、快干,健身鞋、T恤,公司官网,https://www.reebok.com.cn/,,
Salomon,SensiFit、Wet Traction,高,良好的贴合感、强抓地性、耐磨,越野跑鞋、户外运动鞋,公司官网,https://www.salomon.com.cn/,,
North Face,Futurelight、ThermoBall,高,防水、高透气性、保暖,户外夹克、冲锋衣,公司官网,https://www.thenorthface.com.cn/,,
Fila,Microfiber、AirMesh,高,轻盈透气、快适应温度、抗菌,羽毛球鞋、运动短裤,公司官网,https://www.fila.com.cn/,,
Puma,CoolCELL、DryCELL,高,导湿排汗、舒适贴合、增强灵活性,运动内衣、跑步鞋,行业报道,https://www.puma.com.cn/,,
New Balance,Fresh Foam、Hypoknit,高,优质缓震、全方位适应、超轻,跑步鞋、健身鞋,行业分析,https://www.newbalance.com.cn/,,
Lululemon,Nulu、Silverscent,高,轻薄、抗菌、吸湿排汗,瑜伽裤、运动上衣,市场调研,https://www.lululemon.com.cn/,,
ASICS,GEL、SpEVA,高,极致回弹、缓震增幅、舒适贴合,田径鞋、训练鞋,公司官网,https://www.asics.com.cn/,,
Reebok,Speedwick、Motion Sense,高,排汗迅速、温控技术、增强灵活性,健身服、运动鞋,产品说明书,https://www.reebok.com.cn/,,
Under Armour,UA RUSH、Strategic Ventilation,高,增强循环、透气性、舒适性,运动紧身衣、跑步袜子,市场观察,https://www.underarmour.cn/,,
The North Face,GORE-TEX、ThermoBall,高,防水透气、保暖性佳，轻便,户外夹克、登山鞋,公司官网,https://www.thenorthface.com.cn/,,
Salomon,Contagrip、Quicklace,高,超强抓地力、快绑系统、轻量化,越野跑鞋、登山袜,调查报告,https://www.salomon.com.cn/,,
彪马,CELL科技、IGNITE Foam,高,高回弹性、舒适性、低重,跑步鞋、训练鞋,公司官网,https://www.puma.com.cn/,,
新百伦,Fresh Foam、Revlite,高,轻量化、缓震、透气,跑步鞋、休闲鞋,公司官网,https://www.newbalance.com.cn/,,
Sketchers,GOGA Mat、Hyper Burst,高,超轻、极致舒适、回弹性强,休闲运动鞋、健身鞋,公司官网,https://www.skechers.cn/,,
华为,NanoTech纤维、3D织造技术,高,智能调节、轻盈、耐用,运动服装、智能健身装备,公司官网,https://consumer.huawei.com.cn/,,
代号,Stellar Fabric、Drreh,高,极佳透气性、环保材料、多功能,户外夹克、运动背包,公司官网,https://www.kodex.com.cn/,,
Lululemon,Nulu高弹性面料、Rulu,高,柔软舒适、超透气、极佳活动性,瑜伽裤、训练T恤,公司官网,https://www.lululemon.cn/,,
构造哲学,Dri-Breeze、TechShield,高,快干、防水、极低重量,防水外套、运动短裤,公司官网,https://www.philosophy.com.cn/,,
特步,环保聚酯、PFC-Free,高,环保、吸湿透气、舒适,慢跑服装、运动背包,公司官网,http://www.xtep.com/,,
亚瑟士,Reflective DryLite、Ventilation Mesh,高,反光效果、良好透气、快速干燥,夜跑服、运动外套,公司官网,https://www.asics.com.cn/,,
New Balance,Fresh Foam、Hypoknit,高,轻盈舒适、缓震性好、透气性优良,跑步鞋、训练鞋,公司官网,https://www.newbalance.cn/,,
PUMA,PUMA CELL、Cloud Mesh,高,舒适、快干、减震,运动鞋、健身服,公司官网,https://www.puma.com.cn/,,
ASICS,Seamless、GEL,高,无缝设计、弹性好、缓震效果出色,慢跑鞋、比赛鞋,行业评论网站,https://www.runnersworld.com/,,
FILA,FILA Flex、QuickDry,高,弹性好、快速干燥、舒适透气,运动服、休闲鞋,时尚资讯网,https://www.fila.cn/,,
Lululemon,Nulu、ViLast,高,超轻、舒适、适合高强度运动,运动瑜伽裤、奔跑上衣,行业调查报告,https://www.lululemon.com/,,
Decathlon,Lurance、TechStretch,高,经济实用、防风保暖、轻巧,登山服、徒步鞋,用户评价平台,https://www.decathlon.com.cn/,,
H&M,环保聚酯、棉混纺,中,可持续发展、柔软、时尚,运动休闲服、日常服饰,时尚电商,https://www.hm.com/,,
Reebok,Flexweave、Floatride,高,灵活性强、耐用、透气性好,健身鞋、训练服,健身社区,https://www.reebok.com.cn/,,
Columbia,Omni-Wick、Omni-Shade,高,吸湿排汗、防紫外线、透气,户外服装、袜子,户外运动论坛,https://www.columbia.com.cn/,,
Nike,Space Warp、Dri-FIT,高,节能、舒适性好、应对多变天气,运动夹克、训练短裤,运动科技文章,https://www.nike.com.cn/,,
匡威,Shoebox Mesh、Comfort Foam,高,透气、舒适性佳、轻量设计,休闲鞋、滑板鞋,公司官网,https://www.converse.com.cn/,,
新百伦,Fresh Foam、Hypoknit,高,智能缓震、适合长时间行走、支撑性好,跑步鞋、慢跑鞋,公司官网,https://www.newbalance.com.cn/,,
特步,EVA Foam、Optimized Mesh,高,柔软舒适、高接触性、减震理想,足球鞋、训练鞋,公司官网,http://www.xtep.com/,,
北面,FutureLight、ThermoBall,高,防水透气、保温性能优越、适应极端天气,"户外 Jackets, 登山鞋",公司官网,https://www.thenorthface.com.cn/,,
PUMA,UltraWeave、EVA,高,轻便、透气、灵活性强,运动跑鞋、训练装备,公司官网,https://www.puma.com.cn/,,
阿迪达斯,COLD.RDY、AEROREADY,高,低温环境下的温暖、优良的排汗能力,冬季跑步套装、外套,公司官网,https://www.adidas.com.cn/,,
耐克,Nike Air、ZoomXVapor,高,卓越的能量回馈、轻盈与舒适性兼具,网球鞋、运动鞋,公司官网,https://www.nike.com.cn/,,
李宁,BLESS科技、轻质网眼,高,回弹性强、透气性优秀、快速干燥,羽毛球鞋、运动服,公司官网,https://store.lining.com/,,
Under Armour,UA Storm、Iso-Chill,高,防水耐磨、温度调节、快速干燥,户外装备、运动鞋,公司官网,https://www.underarmour.cn/,,
On昂跑,CloudTec、Helion,高,优秀的缓震能力、回弹快、轻量设计,越野跑鞋、训练鞋,公司官网,https://www.on-running.cn/,,
耐克,UltraLight、React Foam,高,超轻、高回弹、舒适合脚,女性跑步鞋、训练鞋,市场调研报告,https://www.nike.com.cn/,,
阿迪达斯,Parley Ocean Plastic、Boost,高,环保材料、能量回馈、轻盈舒适,跑步鞋、训练鞋,可持续发展新闻,https://www.adidas.com.cn/,,
安踏,高科技能够调节温度的面料,高,适应气候变化、保暖、透气,户外运动衣、滑雪服,科技时尚杂志,http://anta.cn/,,
李宁,Fast Dry、UV Protection,高,迅速干燥、防晒、轻便,户外运动 tee、跑步外套,户外运动评测,https://store.lining.com/,,
Under Armour,UA Tech、Storm,高,快速干燥、防雨、耐磨,运动夹克、跑步裤,消费者评价平台,https://www.underarmour.cn/,,
特步,弹性聚酯混纺,中,适合舞蹈和健身、时尚设计,舞蹈服、健身服装,运动与休闲报告,http://www.xtep.com/,,
361度,Cooling System、Lightweight Nylon,高,散热、轻巧、透气,夏日跑步装备、运动外套,新产品发布会,http://www.361sport.com/index.php,,
露露柠檬,Nulu、Nulux,高,超柔软、高性能透气,瑜伽服、运动短裤,行业分析报告,https://www.lululemon.com/,,
亚瑟士,GEL、FlyteFoam,高,舒适科技、轻量回弹、支撑,跑步鞋、健身鞋,运动技术专访,https://www.asics.com.cn/,,
On昂跑,CloudTec、Helion,高,高回弹、透气、极轻,高山跑步鞋、慢跑鞋,全球时尚动态,https://www.on-running.cn/,,
安踏,Aero-Spacer、CoolMax,高,透气性极佳、轻便、抗紫外线,跑步鞋、户外鞋,公司官网,http://anta.cn/,,
李宁,4D科技、超轻复合材料,高,超轻、强韧、高防水性能,登山鞋、旅行背包,公司官网,https://store.lining.com/,,
特步,Flash Dry、SmartDry,高,智能温控、快速排汗、舒适度高,运动服、健身裤,公司官网,http://www.xtep.com/,,
Under Armour,UA RUSH、NanoWick,高,促进血液循环、迅速排汗、持久耐磨,运动紧身衣、运动外套,公司官网,https://www.underarmour.cn/,,
耐克,Nike Adapt、Flywire,高,自动调整贴合、支撑力强、适应性好,智能鞋、运动鞋,公司官网,https://www.nike.com.cn/,,
阿迪达斯,parley海洋塑料、UltraBoost,高,环保材质、舒适感、更高的能量回馈,运动鞋、环保背包,公司官网,https://www.adidas.com.cn/,,
361度,Smart Temperature、X-Tra Flexible,高,智能温控、极佳灵活性、防水,跑步鞋、户外夹克,公司官网,http://www.361sport.com/,,
露露柠檬,Nulux、Luxtreme,高,极致柔软、快干、优秀的透气性,紧身裤、运动内衣,公司官网,https://www.lululemon.com/,,
亚瑟士,Seamless、GEL技术,高,无缝设计、出色缓震、适合长时间穿着,跑步鞋、运动裤,公司官网,https://www.asics.com.cn/,,
On昂跑,CloudTec、Helion,高,超轻量设计、杰出回弹性、能量回馈,高性能跑鞋、运动外套,公司官网,https://www.on-running.cn/,,
安踏,Zephyr科技、3D透气织物,高,超轻、出色透气性、智能调温,跑步鞋、健身鞋,公司官网,http://anta.cn/,,
李宁,复合防水面料、透气网眼,高,防水、轻便、适合潮湿天气,户外运动服、冲锋衣,中国户外网,https://www.chinaoutdoor.cn/,,
阿迪达斯,未来织物、Parley海洋塑料,高,环保、轻盈、减小塑料污染,运动鞋、运动服,公司官网,https://www.adidas.com.cn/,,
耐克,SpaceMesh,高,极致透气、减少摩擦、适合极限运动,滑板鞋、越野跑鞋,时尚运动周刊,http://www.fashionathlete.com/,,
Under Armour,UA Storm面料,高,防水、透气、快干,冬季运动服、训练服,户外运动杂志,http://www.outdoorsmagazine.com/,,
361度,GelFoam科技、舒适网布,高,减震、支撑性好、透气,跑鞋、田径鞋,公司官网,http://www.361sport.com/,,
特步,抗菌纤维、舒适贴身面料,高,抑菌、亲肤、适合长时间穿着,运动内衣、紧身裤,健康运动论坛,http://www.healthysportsforum.com/,,
露露柠檬,Reflective面料、UV防护材质,高,安全反光、抗UV、透气性强,夜跑服、运动外套,公司官网,https://www.lululemon.com/,,
亚瑟士,LITE-Show技术、高弹性面料,高,高可见性、轻便、舒适,夜跑跑鞋、运动背心,运动科技评论,http://www.sportstechreview.com/,,
新百伦,Fresh Foam、Hypoknit,高,轻便、弹性好、舒适穿着,跑步鞋、休闲鞋,公司官网,https://www.newbalance.cn/,,
Puma,NITRO Foam、LITE NITRO,高,轻盈、优秀缓震、响应灵活,跑步鞋、篮球鞋,公司官网,https://www.puma.com.cn/,,
特步,Coolmax、抗菌科技,高,透气、抑菌、干爽,运动T恤、足球衣,公司官网,http://www.xtep.com/,,
Lululemon,Warp Stream、Silverscent,高,吸湿排汗、抗菌、舒适度高,运动文胸、瑜伽裤,公司官网,https://www.lululemon.com/,,
安踏,G-DRY、4D支撑科技,高,快速干燥、支撑性强、舒适,运动鞋、健身服,公司官网,http://anta.cn/,,
李宁,飞絮科技、三维编织,高,轻盈、透气、设计独特,休闲运动鞋、运动上衣,公司官网,https://store.lining.com/,,
亚瑟士,Gel、FlyteFoam,高,冲击吸收、轻质、持久耐用,跑步鞋、训练鞋,公司官网,https://www.asics.com.cn/,,
