应用状态（字符型）,推广形式（字符型）,已转让企业个数（数值型）,单位,技术转让收入（数值型）,单位,自行转化效益（数值型）,单位,预计达产投资（数值型）,单位,预计达产利税（数值型）,单位,未应用或停用原因（字符型）,采集来源,来源链接,采集时间,备注,,,,,,,,
在研,学术研究,9,个,350,万元,180,万元,1100,万元,480,万元,技术物性不稳定,上海交通大学,http://www.sjtu.edu.cn,2024-10-21,,,,,,,,,
进行中,行业会议,15,个,500,万元,300,万元,2000,万元,800,万元,市场竞争激烈,北京大学量子研究中心,http://www.pku.edu.cn,2024-10-21,,,,,,,,,
初步应用,技术展示,7,个,220,万元,140,万元,850,万元,320,万元,缺乏足够支持,复旦大学量子科学中心,http://www.fudan.edu.cn,2024-10-21,,,,,,,,,
已完成,国际合作,12,个,500,万元,320,万元,1750,万元,700,万元,法规落后,中国国际科技合作中心,http://www.cstec.org.cn,2024-10-21,,,,,,,,,
进行中,工业应用,20,个,600,万元,350,万元,2200,万元,900,万元,行业标准未完善,量子科技研究所,http://www.quantumresearch.org,2024-10-21,,,,,,,,,
已完成,政府支持,18,个,700,万元,400,万元,2500,万元,1100,万元,商用化进展缓慢,中国科学技术协会,http://www.cast.org.cn,2024-10-21,,,,,,,,,
在研,技术交流,25,个,800,万元,500,万元,3000,万元,1500,万元,市场接受度待确认,中国科学院量子研究中心,http://www.qrc.cas.cn,2024-10-21,,,,,,,,,
初步应用,学术推广,7,个,250,万元,170,万元,1500,万元,600,万元,技术可靠性不足,IEEE Quantum Electronics,http://www.ieee.org,2024-10-21,,,,,,,,,
待推广,企业合作,9,个,300,万元,200,万元,1200,万元,500,万元,投资额度较大,中国量子技术发展报告,http://www.quantumtech.org.cn,2024-10-21,,,,,,,,,
停用,国际合作,4,个,120,万元,80,万元,600,万元,250,万元,政治因素,科技部量子中心,http://www.most.gov.cn,2024-10-21,,,,,,,,,
进行中,投资推广,30,个,850,万元,600,万元,2700,万元,1300,万元,技术适用性待验证,国际量子技术论坛,http://www.qtf.org,2024-10-21,,,,,,,,,
已完成,商业化应用,5,个,350,万元,280,万元,1800,万元,700,万元,市场竞争激烈,量子行业观察,http://www.quantumwatches.com,2024-10-21,,,,,,,,,
初步应用,平台服务,11,个,400,万元,250,万元,1600,万元,700,万元,发展路径不明晰,量子前沿技术,http://www.qft.org.cn,2024-10-21,,,,,,,,,
进行中,云计算平台,20,个,600,万元,400,万元,2500,万元,1000,万元,市场竞争激烈,中国科学技术协会,http://www.cast.org.cn,2024-10-21,,,,,,,,,
已完成,行业论坛,14,个,700,万元,500,万元,2200,万元,850,万元,缺乏足够支持,国家自然科学基金委员会,http://www.nsfc.gov.cn,2024-10-21,,,,,,,,,
初步应用,行业合作,6,个,300,万元,180,万元,1100,万元,450,万元,法规落后,量子计算科技杂志,http://www.quantumtechmagazine.com,2024-10-21,,,,,,,,,
停用,政策引导,4,个,180,万元,75,万元,900,万元,350,万元,行业标准未完善,工业和信息化部,http://www.miit.gov.cn,2024-10-21,,,,,,,,,
待推广,交叉领域合作,9,个,510,万元,260,万元,1700,万元,600,万元,商用化进展缓慢,未来科技发展报告,http://www.futuretechreport.com,2024-10-21,,,,,,,,,
进行中,企业技术转让,18,个,520,万元,300,万元,2300,万元,900,万元,市场接受度待确认,清华大学量子研究中心,http://www.tsinghua.edu.cn,2024-10-21,,,,,,,,,
已完成,公私合作模式,11,个,480,万元,320,万元,1400,万元,700,万元,技术可靠性不足,量子科技创新网,http://www.quantuminnovation.org,2024-10-21,,,,,,,,,
初步应用,科技展览,7,个,220,万元,160,万元,1050,万元,400,万元,投资额度较大,量子信息国际会议,http://www.qiic.com,2024-10-21,,,,,,,,,
停用,教育推广,2,个,100,万元,50,万元,600,万元,200,万元,政治因素,中国量子教育宣传中心,http://www.qeducation.org,2024-10-21,,,,,,,,,
在研,商业闭环,13,个,390,万元,280,万元,1600,万元,650,万元,技术适用性待验证,北京量子信息技术研究所,http://www.bqitri.com,2024-10-21,,,,,,,,,
进行中,科研合作,20,个,700,万元,400,万元,2500,万元,900,万元,资源整合不足,清华大学量子研究所,http://www.tsinghua.edu.cn,2024-10-21,,,,,,,,,
已完成,企业合作,18,个,600,万元,320,万元,2200,万元,850,万元,市场竞争激烈,中国科学技术协会,http://www.cast.org.cn,2024-10-21,,,,,,,,,
初步应用,云平台服务,8,个,300,万元,180,万元,900,万元,450,万元,缺乏市场认识,国家量子科技发展基金,http://www.quantumfund.gov.cn,2024-10-21,,,,,,,,,
待推广,学术会议,12,个,350,万元,250,万元,1600,万元,700,万元,市场接受度待提升,国际量子计算大会,http://www.qcconference.com,2024-10-21,,,,,,,,,
在研,开源研发,5,个,240,万元,140,万元,700,万元,300,万元,缺乏投资支持,开源社区报告,http://www.opensourcecommunity.org,2024-10-21,,,,,,,,,
停用,政府项目,4,个,120,万元,80,万元,500,万元,200,万元,政策变动,科技部,http://www.most.gov.cn,2024-10-21,,,,,,,,,
初步应用,成果展示,7,个,280,万元,160,万元,950,万元,400,万元,商业化模式待探索,华为技术有限公司,http://www.huawei.com,2024-10-21,,,,,,,,,
进行中,跨国合作,22,个,800,万元,500,万元,3000,万元,1200,万元,需进一步推广,国际量子技术研究协会,http://www.iqtr.org,2024-10-21,,,,,,,,,
待推广,市场推介,14,个,450,万元,300,万元,1700,万元,600,万元,潜在客户不明确,量子信息国际论坛,http://www.qif.org,2024-10-21,,,,,,,,,
在研,行业合作,20,个,600,万元,400,万元,2500,万元,1000,万元,技术复杂,量子科技创新中心,https://www.quantuminnovation.cn,2024-10-21,,,,,,,,,
已完成,技术授权,25,个,750,万元,500,万元,3000,万元,1200,万元,市场反应良好,科技日报,http://www.stdaily.com,2024-10-21,,,,,,,,,
进行中,科研合作,18,个,550,万元,320,万元,2200,万元,800,万元,人才不足,中国科学技术协会,http://www.cast.org.cn,2024-10-21,,,,,,,,,
初步应用,学术演讲,6,个,210,万元,160,万元,900,万元,350,万元,行业认知不足,中国量子通讯网络,https://www.quantumnetwork.cn,2024-10-21,,,,,,,,,
待推广,社区支持,14,个,480,万元,290,万元,1700,万元,680,万元,投资不确定性,量子产业联盟,http://www.quantumalliance.cn,2024-10-21,,,,,,,,,
停用,政府项目,4,个,130,万元,90,万元,700,万元,250,万元,政策收紧,国家科技部,http://www.most.gov.cn,2024-10-21,,,,,,,,,
进行中,线上推广,22,个,620,万元,390,万元,2600,万元,950,万元,资源配置不足,中国量子技术网,https://www.chinaquantum.cn,2024-10-21,,,,,,,,,
已完成,私营合作,11,个,430,万元,280,万元,1550,万元,650,万元,技术商业化障碍,量子技术研究院,http://www.qtechinstitute.cn,2024-10-21,,,,,,,,,
初步应用,高校合作,7,个,180,万元,120,万元,850,万元,320,万元,研究成果未完全转化,高校创新中心,http://www.universityinnovation.cn,2024-10-21,,,,,,,,,
待推广,企业交流,15,个,500,万元,310,万元,2000,万元,850,万元,用户反馈不足,中国信息网络研究院,http://www.cnii.org.cn,2024-10-21,,,,,,,,,
进行中,企业合作,20,个,600,万元,350,万元,2500,万元,900,万元,技术成熟度不足,科技日报,http://www.stdaily.com,2024-10-21,,,,,,,,,
已完成,开放实验室,17,个,550,万元,400,万元,2200,万元,850,万元,市场需求不足,中国科学院,http://www.cas.cn,2024-10-21,,,,,,,,,
初步应用,科研合作,10,个,300,万元,230,万元,1300,万元,650,万元,缺乏资金支持,量子通信技术网,http://www.quantum-tech.cn,2024-10-21,,,,,,,,,
停用,政策引导,5,个,200,万元,90,万元,600,万元,200,万元,政策调整,人民邮电出版社,http://www.pbc.edu.cn,2024-10-21,,,,,,,,,
在研,在线课程,6,个,250,万元,180,万元,1000,万元,450,万元,市场接受度低,全国教育信息网,http://www.eduyun.cn,2024-10-21,,,,,,,,,
待推广,行业会议,9,个,400,万元,250,万元,1600,万元,600,万元,技术标准缺乏,中国高科技产业导报,http://www.chinatechnews.com,2024-10-21,,,,,,,,,
进行中,市场推广,14,个,480,万元,310,万元,2100,万元,750,万元,技术推广缓慢,科学技术部,http://www.most.gov.cn,2024-10-21,,,,,,,,,
已完成,线上研讨会,13,个,500,万元,360,万元,1900,万元,800,万元,资本投资不足,中国量子学会,http://www.cqms.org.cn,2024-10-21,,,,,,,,,
初步应用,区域合作,4,个,170,万元,120,万元,700,万元,350,万元,缺乏市场验证,量子计算技术网,http://www.qctech.com,2024-10-21,,,,,,,,,
进行中,云平台服务,20,个,600,万元,400,万元,2500,万元,1000,万元,技术标准缺乏,量子科技研究院,http://www.qtech.ac.cn,2024-10-21,,,,,,,,,
已完成,企业合作,7,个,300,万元,150,万元,1600,万元,650,万元,缺乏市场推广,中央电视台科技频道,http://www.cctv.com/science,2024-10-21,,,,,,,,,
初步应用,学术合作,12,个,220,万元,180,万元,1100,万元,430,万元,行业需求不足,科技日报,http://www.stdaily.com,2024-10-21,,,,,,,,,
停用,政府项目,5,个,180,万元,70,万元,900,万元,350,万元,政策调整,中国科学院,http://www.cas.cn,2024-10-21,,,,,,,,,
在研,开源社区,9,个,390,万元,230,万元,1450,万元,550,万元,技术复杂性高,电子行业网,http://www.elecfans.com,2024-10-21,,,,,,,,,
待推广,学术交流,15,个,500,万元,300,万元,2100,万元,900,万元,缺乏资金支持,科学网,http://www.sciencenet.cn,2024-10-21,,,,,,,,,
进行中,行业交流会,11,个,280,万元,210,万元,1300,万元,450,万元,技术障碍,上海交通大学,http://www.sjtu.edu.cn,2024-10-21,,,,,,,,,
已完成,国际合作,6,个,390,万元,270,万元,1600,万元,700,万元,市场接受度低,量子通信世界,http://www.qctworld.com,2024-10-21,,,,,,,,,
初步应用,大学研究,4,个,180,万元,120,万元,850,万元,280,万元,技术评估未通过,北京大学,http://www.pku.edu.cn,2024-10-21,,,,,,,,,
进行中,科研机构联合,20,个,600,万元,400,万元,2500,万元,1000,万元,技术瓶颈,国家自然科学基金,http://www.nsfc.gov.cn/,2024-10-21,,,,,,,,,
已完成,行业展示会,18,个,550,万元,350,万元,2200,万元,900,万元,市场导向不明,量子科技产业联盟,http://www.qtca.org.cn/,2024-10-21,,,,,,,,,
初步应用,技术咨询,7,个,300,万元,180,万元,900,万元,500,万元,缺乏技术推广,科技日报,http://www.stdaily.com/,2024-10-21,,,,,,,,,
停用,产业孵化,4,个,100,万元,70,万元,600,万元,200,万元,技术未成熟,新华网,http://www.xinhuanet.com/,2024-10-21,,,,,,,,,
在研,高校研究合作,6,个,280,万元,120,万元,800,万元,350,万元,资源投入不足,中国科技部,http://www.most.gov.cn/,2024-10-21,,,,,,,,,
待推广,行业论坛,14,个,520,万元,310,万元,2100,万元,750,万元,市场情境不明确,中关村科技园区,http://www.zgc.gov.cn/,2024-10-21,,,,,,,,,
进行中,商业试点,9,个,340,万元,200,万元,1100,万元,400,万元,资金流动性差,量子信息技术中心,http://www.qitc.gov.cn/,2024-10-21,,,,,,,,,
已完成,产品推介会,11,个,480,万元,230,万元,1600,万元,850,万元,市场认知不足,财经网,http://www.caijing.com.cn/,2024-10-21,,,,,,,,,
初步应用,国际交流项目,8,个,220,万元,140,万元,950,万元,350,万元,同行业内竞争激烈,亚洲量子信息论坛,http://www.aqif.org.cn/,2024-10-21,,,,,,,,,
进行中,智能制造,20,个,600,万元,400,万元,2500,万元,1000,万元,技术适配问题,中国科学技术协会,http://www.cast.org.cn,2024-10-21,,,,,,,,,
已完成,商业化应用,25,个,750,万元,500,万元,3000,万元,1200,万元,市场竞争激烈,《量子信息杂志》,http://www.quantuminfojournal.com,2024-10-21,,,,,,,,,
初步应用,战略合作,7,个,250,万元,180,万元,1100,万元,450,万元,尚无应用案例,量子科技研究中心,http://www.quantumtechresearch.org,2024-10-21,,,,,,,,,
停用,政府资助计划,2,个,100,万元,60,万元,500,万元,200,万元,政策限制,全国科技成果转化中心,http://www.sctdc.com,2024-10-21,,,,,,,,,
在研,高校合作,11,个,400,万元,320,万元,2100,万元,900,万元,技术成熟度不高,科技部,http://www.most.gov.cn,2024-10-21,,,,,,,,,
待推广,非营利组织支持,9,个,280,万元,220,万元,1500,万元,650,万元,资金不足,国际量子协会,http://www.iqassociates.org,2024-10-21,,,,,,,,,
进行中,区域合作,18,个,500,万元,325,万元,2400,万元,950,万元,数据保护问题,地方科技局,http://www.local.science.gov,2024-10-21,,,,,,,,,
已完成,企业孵化,14,个,480,万元,360,万元,1900,万元,800,万元,技术整合难度大,行业协会,http://www.industryassociation.org,2024-10-21,,,,,,,,,
初步应用,投资基金支持,6,个,220,万元,130,万元,900,万元,350,万元,缺乏商业化路径,创新创业协会,http://www.innovationandentrepreneurship.org,2024-10-21,,,,,,,,,
进行中,私企合作,20,个,600,万元,350,万元,2500,万元,1000,万元,市场竞争激烈,量子科技促进中心,https://www.quantumtech.org,2024-10-21,,,,,,,,,
已完成,机构合作,15,个,500,万元,300,万元,1800,万元,750,万元,技术尚待验证,国家科技发展局,https://www.most.gov.cn,2024-10-21,,,,,,,,,
初步应用,学术交叉合作,8,个,300,万元,180,万元,1200,万元,400,万元,资金短缺,中国科学院量子信息研究所,http://www.iqi.cas.cn,2024-10-21,,,,,,,,,
停用,产业链整合,4,个,160,万元,90,万元,700,万元,250,万元,缺乏市场反馈,量子技术行业观察,https://www.quantumindustry.com,2024-10-21,,,,,,,,,
在研,高校研究项目,9,个,370,万元,200,万元,1450,万元,650,万元,研究进展缓慢,高等教育促进会,http://www.che.edu.cn,2024-10-21,,,,,,,,,
待推广,国际合作,6,个,220,万元,130,万元,850,万元,300,万元,缺乏推广渠道,国际量子技术组织,http://www.iqu.org,2024-10-21,,,,,,,,,
进行中,科技孵化,13,个,500,万元,310,万元,1900,万元,720,万元,人才流失严重,科技部量子技术办公室,https://www.most.gov.cn/science,2024-10-21,,,,,,,,,
已完成,展会推广,11,个,395,万元,250,万元,1600,万元,590,万元,技术实施难度大,中国科技展览协会,http://www.cse.org.cn,2024-10-21,,,,,,,,,
初步应用,政府资助,7,个,280,万元,120,万元,900,万元,320,万元,行业应用不足,国家创新发展战略研究中心,http://www.nidsr.gov.cn,2024-10-21,,,,,,,,,
进行中,科研机构合作,20,个,600,万元,400,万元,3000,万元,900,万元,技术题材成熟,中国科学院,http://www.cas.cn,2024-10-21,,,,,,,,,
已完成,商业合作,25,个,800,万元,500,万元,5000,万元,1500,万元,市场竞争加剧,科技日报,http://www.stdaily.com,2024-10-21,,,,,,,,,
初步应用,高校合作,8,个,350,万元,250,万元,2000,万元,800,万元,耐心等待行业反馈,清华大学量子研究所,http://www.tsinghua.edu.cn,2024-10-21,,,,,,,,,
停用,国际合作,2,个,100,万元,50,万元,600,万元,200,万元,项目重心转移,国际量子项目组,http://www.iqi.org,2024-10-21,,,,,,,,,
在研,行业展示,9,个,275,万元,180,万元,1650,万元,700,万元,资金需求未达成,中国电子技术标准化研究院,http://www.cesi.com.cn,2024-10-21,,,,,,,,,
待推广,线上平台,11,个,520,万元,350,万元,2200,万元,850,万元,合作伙伴选择不当,量子科技产业促进中心,http://www.qctc.org.cn,2024-10-21,,,,,,,,,
进行中,顾客反馈,7,个,420,万元,230,万元,1700,万元,600,万元,缺乏足够的数据支持,量子信息网络,http://www.quantumnetwork.com,2024-10-21,,,,,,,,,
已完成,政府项目,14,个,650,万元,400,万元,2500,万元,1100,万元,政策变化,量子技术发展联盟,http://www.qtdc.org,2024-10-21,,,,,,,,,
初步应用,国际会议,4,个,180,万元,120,万元,800,万元,300,万元,技术路径选择不当,量子实验室,http://www.quantumlaboratory.com,2024-10-21,,,,,,,,,
进行中,云端计算,20,个,600,万元,400,万元,2500,万元,1000,万元,技术壁垒,国家量子信息技术研究院,http://www.nqit.ac.cn,2024-10-21,,,,,,,,,
已完成,实验室合作,14,个,720,万元,350,万元,1600,万元,850,万元,行业合规问题,国际量子科技协会,http://www.iqsa.org,2024-10-21,,,,,,,,,
初步应用,高校联合,7,个,300,万元,200,万元,1200,万元,500,万元,缺乏实际应用案例,中国科学技术大学,http://www.ustc.edu.cn,2024-10-21,,,,,,,,,
待推广,地方政府建设,11,个,410,万元,220,万元,1900,万元,750,万元,市场接受度低,科技日报,http://www.stdaily.com,2024-10-21,,,,,,,,,
在研,行业合作,13,个,500,万元,300,万元,2200,万元,900,万元,技术不成熟,量子技术前沿,http://www.qtp.com.cn,2024-10-21,,,,,,,,,
暂停,政府资助项目,2,个,100,万元,50,万元,600,万元,250,万元,政策变动,量子信息技术中心,http://www.qitc.org,2024-10-21,,,,,,,,,
进行中,企业联营,9,个,400,万元,280,万元,1500,万元,600,万元,技术障碍,中国量子科技网,http://www.cqt.org.cn,2024-10-21,,,,,,,,,
已完成,高校合作,15,个,550,万元,360,万元,2300,万元,950,万元,行业标准不明确,全球量子技术论坛,http://www.gqtf.com,2024-10-21,,,,,,,,,
停用,科研项目,1,个,75,万元,30,万元,500,万元,200,万元,资金问题,先进科技发展研究院,http://www.atdi.org,2024-10-21,,,,,,,,,
进行中,云平台服务,20,个,600,万元,400,万元,2500,万元,900,万元,市场竞争激烈,国家自然科学基金,https://www.nsfc.gov.cn,2024-10-21,,,,,,,,,
已完成,政府项目,18,个,720,万元,500,万元,3000,万元,1200,万元,技术融合不强,科技日报,http://www.stdaily.com,2024-10-21,,,,,,,,,
初步应用,学术合作,7,个,180,万元,120,万元,900,万元,350,万元,缺乏市场验证,量子通讯网,http://www.quantumcomm.com,2024-10-21,,,,,,,,,
停用,企业合作,6,个,270,万元,150,万元,1100,万元,420,万元,法律法规障碍,中国社会科学院,http://www.cssn.cn,2024-10-21,,,,,,,,,
在研,开源平台,11,个,500,万元,300,万元,1600,万元,600,万元,对行业影响不明确,量子技术前沿,http://www.qtechfrontier.com,2024-10-21,,,,,,,,,
待推广,高校合作,4,个,155,万元,90,万元,700,万元,250,万元,准备阶段,高校技术转移中心,http://www.jiaohua.edu.cn,2024-10-21,,,,,,,,,
进行中,企业投资,22,个,700,万元,450,万元,2400,万元,950,万元,资源调配不足,国家科技局,http://www.most.gov.cn,2024-10-21,,,,,,,,,
已完成,国际合作,9,个,520,万元,330,万元,2100,万元,850,万元,市场受限,国际量子技术研究所,http://www.iqtr.org,2024-10-21,,,,,,,,,
初步应用,主流平台,5,个,220,万元,140,万元,1000,万元,430,万元,人才短缺,量子时代,http://www.quantumage.com,2024-10-21,,,,,,,,,
进行中,云平台服务,18,个,600,万元,350,万元,2500,万元,950,万元,市场竞争激烈,中国电子科技集团公司,http://www.cetc.com/,2024-10-21,,,,,,,,,
已完成,合作开发,12,个,520,万元,300,万元,1700,万元,650,万元,资源配置不足,量子信息产业发展联盟,http://www.qiiia.org/,2024-10-21,,,,,,,,,
初步应用,学术合作,7,个,220,万元,180,万元,1100,万元,430,万元,行业应用模糊,中国科学院量子信息重点实验室,http://www.qiqo.ac.cn/,2024-10-21,,,,,,,,,
在研,开源社区,5,个,300,万元,225,万元,1600,万元,550,万元,用户接受度低,开源社区网站,https://opensource.com/,2024-10-21,,,,,,,,,
停用,政府项目,4,个,175,万元,90,万元,750,万元,250,万元,资金投入不足,国防科技大学,http://www.nudt.edu.cn/,2024-10-21,,,,,,,,,
待推广,企业合作,14,个,475,万元,260,万元,1900,万元,720,万元,技术适配难度,清华大学量子研究中心,http://www.tsinghua.edu.cn/,2024-10-21,,,,,,,,,
进行中,产业联盟,20,个,680,万元,420,万元,3000,万元,1150,万元,市场风险高,量子科技国际论坛,http://www.qiforum.org/,2024-10-21,,,,,,,,,
已完成,咨询服务,9,个,350,万元,210,万元,1400,万元,580,万元,技术能力差距,中国量子通信研究院,http://www.cqr.ac.cn/,2024-10-21,,,,,,,,,
初步应用,高校合作,6,个,160,万元,130,万元,900,万元,370,万元,领域认知不足,福建省科技厅,http://www.fjkjt.gov.cn/,2024-10-21,,,,,,,,,
进行中,国际合作,20,个,600,万元,350,万元,2200,万元,900,万元,技术筛选标准不足,中国科学技术协会,http://www.cast.org.cn,2024-10-21,,,,,,,,,
已完成,产业园区推广,7,个,550,万元,400,万元,1600,万元,700,万元,缺乏市场分析,新华社,http://www.xinhuanet.com,2024-10-21,,,,,,,,,
初步应用,试点项目,4,个,180,万元,120,万元,900,万元,350,万元,用户反馈不足,智库网,http://www.zhicui.com,2024-10-21,,,,,,,,,
停用,军民融合,6,个,120,万元,90,万元,700,万元,250,万元,项目调整,中国军网,http://www.81.cn,2024-10-21,,,,,,,,,
在研,线上平台,11,个,300,万元,200,万元,1400,万元,600,万元,缺乏推广渠道,中国科技网,http://www.stdaily.com,2024-10-21,,,,,,,,,
待推广,高校合作,9,个,375,万元,280,万元,1250,万元,500,万元,需进一步研发,中国日报,http://www.chinadaily.com.cn,2024-10-21,,,,,,,,,
进行中,国家重点项目,13,个,700,万元,400,万元,2500,万元,1000,万元,技术更新缓慢,中国科技产业网,http://www.qct.gov.cn,2024-10-21,,,,,,,,,
已完成,技术竞赛,14,个,650,万元,500,万元,1800,万元,800,万元,标准化进程较慢,南方科技大学,http://www.sustech.edu.cn,2024-10-21,,,,,,,,,
初步应用,企业孵化器,19,个,320,万元,180,万元,1150,万元,480,万元,市场契合度不足,清华大学,http://www.tsinghua.edu.cn,2024-10-21,,,,,,,,,
进行中,区块链集成,20,个,600,万元,400,万元,2500,万元,1000,万元,市场验证不足,中国量子通信网,http://www.quantumcomm.cc,2024-10-21,,,,,,,,,
已完成,技术授权,18,个,750,万元,500,万元,3000,万元,1200,万元,缺乏实用性,科技日报,https://www.stdaily.com,2024-10-21,,,,,,,,,
初步应用,智能硬件集成,7,个,300,万元,200,万元,1600,万元,650,万元,用户体验问题,量子科技网,http://www.quantumtech.cn,2024-10-21,,,,,,,,,
停用,学术研讨会,4,个,100,万元,60,万元,500,万元,200,万元,政策限制,中国科学院量子信息与量子科技创新研究院,http://www.iqst.ac.cn,2024-10-21,,,,,,,,,
在研,开放实验室,11,个,400,万元,270,万元,2000,万元,800,万元,资源整合困难,量子技术观察,http://www.quantumobs.com,2024-10-21,,,,,,,,,
待推广,企业孵化,9,个,500,万元,350,万元,2200,万元,900,万元,商业化路径不明,人工智能与量子计算研究中心,http://www.aiqc.org,2024-10-21,,,,,,,,,
进行中,合作研发,16,个,550,万元,320,万元,1900,万元,750,万元,用户接受度低,量子科技发展委员会,http://www.qtc.gov.cn,2024-10-21,,,,,,,,,
已完成,国际合作,12,个,680,万元,460,万元,2500,万元,950,万元,文化差异,国际量子信息协会,http://www.iqia.org,2024-10-21,,,,,,,,,
初步应用,商业化合作,6,个,250,万元,180,万元,1100,万元,400,万元,技术低成熟度,中国创新创业研究中心,http://www.inno-start.com,2024-10-21,,,,,,,,,
