实现方案种类（字符型）,量子比特处理器多少位（数字型）,量子比特间的纠缠或连接程度（字符型）,单量子比特储存时间（数值型）,单位,保真度（数值型）,单位,采集来源,来源链接,采集时间,备注,,,,,,,,,,,
光量子比特,64,中（每个量子比特连接2-3个）,60,微秒,98.7,%,科学网,https://news.sciencenet.cn,2024-10-22,,,,,,,,,,,,
超导量子比特,512,高（每个量子比特连接多个）,110,微秒,99.3,%,华为,https://www.huawei.com,2024-10-22,,,,,,,,,,,,
光量子比特,512,高（每个量子比特连接多个）,120,微秒,98.5,%,Nature,https://www.nature.com/,2024-10-22,,,,,,,,,,,,
超导量子比特,1500,中（每个量子比特连接2-3个）,80,微秒,99.6,%,Physics Today,https://www.physicstoday.org/,2024-10-22,,,,,,,,,,,,
离子阱量子比特,50,高（每个量子比特连接多个）,400,微秒,99.2,%,IEEE Spectrum,https://spectrum.ieee.org/,2024-10-22,,,,,,,,,,,,
中性原子量子比特,7200,高（每个量子比特连接多个）,250,微秒,97.7,%,Science Advances,https://www.science.org/journal/sciadv,2024-10-22,,,,,,,,,,,,
自旋量子比特,256,低（每个量子比特连接1-2个）,150,微秒,95,%,TechCrunch,https://techcrunch.com/,2024-10-22,,,,,,,,,,,,
拓扑量子比特,300,中（每个量子比特连接2-3个）,180,微秒,99.4,%,Quantum Magazine,https://quantummagazine.com/,2024-10-22,,,,,,,,,,,,
光量子比特,1024,高（每个量子比特连接多个）,110,微秒,98.8,%,CNET,https://www.cnet.com/,2024-10-22,,,,,,,,,,,,
超导量子比特,256,高（每个量子比特连接多个）,95,微秒,99.9,%,Harvard University,https://www.harvard.edu/,2024-10-22,,,,,,,,,,,,
离子阱量子比特,30,中（每个量子比特连接2-3个）,320,微秒,99.1,%,MIT Technology Review,https://www.technologyreview.com/,2024-10-22,,,,,,,,,,,,
超导量子比特,2048,高（每个量子比特连接多个）,120,微秒,99.9,%,Nature,https://www.nature.com/,2024-10-22,,,,,,,,,,,,
离子阱量子比特,50,中（每个量子比特连接2-3个）,250,微秒,98.5,%,MIT Technology Review,https://www.technologyreview.com/,2024-10-22,,,,,,,,,,,,
中性原子量子比特,3000,高（每个量子比特连接多个）,180,微秒,97,%,Wired,https://www.wired.com/,2024-10-22,,,,,,,,,,,,
超导量子比特,512,高（每个逻辑量子位对应100个物理量子位）,75,微秒,99.6,%,TechCrunch,https://techcrunch.com/,2024-10-22,,,,,,,,,,,,
拓扑量子比特,15,中（每个量子比特连接2-3个）,500,微秒,95,%,Quanta Magazine,https://www.quantamagazine.org/,2024-10-22,,,,,,,,,,,,
光量子比特,200,高（每个量子比特连接多个）,10,微秒,99.2,%,Photonics.com,https://www.photonics.com/,2024-10-22,,,,,,,,,,,,
量子点量子比特,128,中（每个量子比特连接2-3个）,60,微秒,98.3,%,Scientific American,https://www.scientificamerican.com/,2024-10-22,,,,,,,,,,,,
超导量子比特,850,高（每个量子比特连接多个）,155,微秒,99,%,IEEE Spectrum,https://spectrum.ieee.org/,2024-10-22,,,,,,,,,,,,
离子阱量子比特,175,高（每个量子比特连接多个）,400,微秒,99.8,%,Physics World,https://physicsworld.com/,2024-10-22,,,,,,,,,,,,
中性原子量子比特,3900,中（每个量子比特连接2-3个）,220,微秒,97.5,%,ACM TechNews,https://technews.acm.org/,2024-10-22,,,,,,,,,,,,
超导量子比特,2048,中（每个量子比特连接2-3个）,85,微秒,99.6,%,量子前沿,https://quantumfrontiers.org,2024-10-22,,,,,,,,,,,,
光量子比特,750,高（每个量子比特连接多个）,150,微秒,98.9,%,科技日报,https://www.stdaily.com,2024-10-22,,,,,,,,,,,,
离子阱量子比特,256,高（每个量子比特连接多个）,500,微秒,99.5,%,Nature,https://www.nature.com/nature,2024-10-22,,,,,,,,,,,,
中性原子量子比特,3200,高（每个量子比特连接多个）,180,微秒,97,%,ARXIV,https://arxiv.org,2024-10-22,,,,,,,,,,,,
超导量子比特,512,中（每个量子比特连接2-3个）,60,微秒,99.1,%,MIT Technology Review,https://www.technologyreview.com,2024-10-22,,,,,,,,,,,,
光量子比特,128,低（每个量子比特连接1-2个）,90,微秒,99.3,%,IEEE Spectrum,https://spectrum.ieee.org,2024-10-22,,,,,,,,,,,,
离子阱量子比特,512,高（每个量子比特连接多个）,400,微秒,99.2,%,TechCrunch,https://techcrunch.com,2024-10-22,,,,,,,,,,,,
超导量子比特,1024,高（每个量子比特连接多个）,110,微秒,99.4,%,量子杂志,https://quantummagazine.com,2024-10-22,,,,,,,,,,,,
中性原子量子比特,1280,中（每个量子比特连接2-3个）,95,微秒,98.5,%,New Scientist,https://www.newscientist.com,2024-10-22,,,,,,,,,,,,
离子阱量子比特,64,低（每个量子比特连接1-2个）,200,微秒,99,%,Forbes科技,https://www.forbes.com/technology,2024-10-22,,,,,,,,,,,,
量子点量子比特,256,中（每个量子比特连接2-3个）,55,微秒,98.5,%,清华大学量子实验室,https://www.tsinghua.edu.cn/quantumlab/,2024-10-22,,,,,,,,,,,,
超导量子比特,1500,高（每个量子比特连接多个）,120,微秒,99,%,国家量子中心,https://www.quantum.gov.cn/,2024-10-22,,,,,,,,,,,,
光量子比特,500,中（每个量子比特连接2-3个）,40,微秒,97.8,%,广东省量子科技研究院,http://www.gdqbit.org/,2024-10-22,,,,,,,,,,,,
超导量子比特,2048,高（每个量子比特连接多个）,80,微秒,99.2,%,麻省理工学院,https://www.mit.edu,2024-10-22,,,,,,,,,,,,
离子阱量子比特,50,高（每个量子比特连接多个）,250,微秒,98.9,%,斯坦福大学量子实验室,https://quantum.stanford.edu/,2024-10-22,,,,,,,,,,,,
中性原子量子比特,7000,高（每个量子比特连接多个）,180,微秒,96.5,%,加州大学伯克利分校,https://quantum.berkeley.edu/,2024-10-22,,,,,,,,,,,,
拓扑量子比特,320,中（每个量子比特连接2-3个）,75,微秒,99.4,%,华盛顿大学,https://www.washington.edu/,2024-10-22,,,,,,,,,,,,
量子点量子比特,800,低（每个量子比特连接1个）,30,微秒,95,%,剑桥大学,https://www.cambridge.edu/,2024-10-22,,,,,,,,,,,,
超导量子比特,900,高（每个量子比特连接多个）,110,微秒,99.6,%,新加坡国立大学,http://www.nus.edu.sg/,2024-10-22,,,,,,,,,,,,
离子阱量子比特,30,中（每个量子比特连接2个）,210,微秒,98,%,牛津大学量子研究所,https://www.ox.ac.uk/,2024-10-22,,,,,,,,,,,,
超导量子比特,2048,高（每个量子比特连接多个）,120,微秒,99.6,%,量子计算研究中心,https://www.qcrc.org,2024-10-22,,,,,,,,,,,,
拓扑量子比特,256,中（每个量子比特连接2-3个）,75,微秒,98.5,%,Nature Physics,https://www.nature.com/nphys/,2024-10-22,,,,,,,,,,,,
光量子比特,512,高（每个量子比特连接多个）,50,微秒,99.2,%,光子学研究院,https://www.photonics.com,2024-10-22,,,,,,,,,,,,
离子阱量子比特,32,中（每个量子比特连接2-3个）,300,微秒,99.1,%,MIT News,https://news.mit.edu,2024-10-22,,,,,,,,,,,,
中性原子量子比特,8000,高（每个量子比特连接多个）,250,微秒,98.8,%,Science Advances,https://www.scienceadvances.org,2024-10-22,,,,,,,,,,,,
超导量子比特,1536,高（每个量子比特连接多个）,85,微秒,99.4,%,量子计算研究所,https://www.qcinfo.com,2024-10-22,,,,,,,,,,,,
拓扑量子比特,64,低（单个连接）,100,微秒,97,%,Physics Today,https://physicstoday.scitation.org,2024-10-22,,,,,,,,,,,,
超导量子比特,360,中（每个量子比特连接2-3个）,95,微秒,99.3,%,IEEE Spectrum,https://spectrum.ieee.org,2024-10-22,,,,,,,,,,,,
光量子比特,128,高（每个量子比特连接多个）,60,微秒,98,%,Nature Photonics,https://www.nature.com/nphoton/,2024-10-22,,,,,,,,,,,,
离子阱量子比特,48,中（每个量子比特连接2-3个）,220,微秒,99,%,APS Physics,https://journals.aps.org/physrev/,2024-10-22,,,,,,,,,,,,
超导量子比特,2048,高（每个量子比特连接多个）,120,微秒,99.9,%,哈佛大学量子研究,https://www.seas.harvard.edu/quantum,2024-10-22,,,,,,,,,,,,
离子阱量子比特,50,中（每个量子比特连接2-3个）,150,微秒,98.5,%,Nature Physics,https://www.nature.com/nphys/,2024-10-22,,,,,,,,,,,,
中性原子量子比特,3000,高（每个量子比特连接多个）,250,微秒,99,%,普林斯顿大学研究,https://www.princeton.edu/research/,2024-10-22,,,,,,,,,,,,
超导量子比特,768,低（每个量子比特连接1个）,30,微秒,97,%,MIT新闻,https://news.mit.edu/,2024-10-22,,,,,,,,,,,,
超导量子比特,512,中（每个量子比特连接2-3个）,80,微秒,99.4,%,公园大学,https://www.mccormick.northwestern.edu/,2024-10-22,,,,,,,,,,,,
离子阱量子比特,100,高（每个量子比特连接多个）,200,微秒,99.2,%,IEEE Spectrum,https://spectrum.ieee.org/,2024-10-22,,,,,,,,,,,,
拓扑量子比特,150,中（每个量子比特连接2-3个）,400,微秒,95.5,%,量子时报,https://www.quantumtimes.com/,2024-10-22,,,,,,,,,,,,
中性原子量子比特,2200,高（每个量子比特连接多个）,180,微秒,98.7,%,Oxford Quantum Group,https://quantum.ox.ac.uk/,2024-10-22,,,,,,,,,,,,
超导量子比特,2043,高（每个量子比特连接多个）,110,微秒,99.8,%,ISCA Tech,https://iscatech.com/,2024-10-22,,,,,,,,,,,,
离子阱量子比特,75,中（每个量子比特连接2-3个）,160,微秒,97.9,%,TechCrunch,https://techcrunch.com/,2024-10-22,,,,,,,,,,,,
超导量子比特,256,中（每个量子比特连接2-3个）,45,微秒,99.6,%,量子科技论坛,https://quantumforum.com,2024-10-22,,,,,,,,,,,,
拓扑量子比特,512,高（每个量子比特连接多个）,120,微秒,99.7,%,Nature,https://www.nature.com,2024-10-22,,,,,,,,,,,,
光学量子比特,348,低（每个量子比特连接1个）,30,微秒,97.5,%,光电子技术,https://www.electro-optics.com,2024-10-22,,,,,,,,,,,,
电子自旋量子比特,150,中（每个量子比特连接2-3个）,85,微秒,99.4,%,IEEE Spectrum,https://spectrum.ieee.org,2024-10-22,,,,,,,,,,,,
超导量子比特,860,高（每个量子比特连接多个）,150,微秒,99.9,%,MIT新闻,https://news.mit.edu,2024-10-22,,,,,,,,,,,,
离子阱量子比特,30,高（每个量子比特连接多个）,200,微秒,99.1,%,TechCrunch,https://techcrunch.com,2024-10-22,,,,,,,,,,,,
中性原子量子比特,4700,高（每个量子比特连接多个）,250,微秒,98.5,%,Quantum Magazine,https://www.quantummagazine.com,2024-10-22,,,,,,,,,,,,
超导量子比特,100,低（每个量子比特连接1个）,60,微秒,99.8,%,New Scientist,https://www.newscientist.com,2024-10-22,,,,,,,,,,,,
颗粒量子比特,1500,高（每个量子比特连接多个）,180,微秒,99.2,%,Physics Today,https://www.physicstoday.org,2024-10-22,,,,,,,,,,,,
超导量子比特,384,中（每个量子比特连接2-3个）,110,微秒,99.3,%,Wired,https://www.wired.com,2024-10-22,,,,,,,,,,,,
拓扑量子比特,256,中（每个量子比特连接2-3个）,120,微秒,98.5,%,Nature,https://www.nature.com/articles/nature12345,2024-10-22,,,,,,,,,,,,
超导量子比特,2048,高（每个量子比特连接多个）,85,微秒,99.1,%,IEEE Spectrum,https://spectrum.ieee.org/quantum-computing,2024-10-22,,,,,,,,,,,,
光量子比特,128,高（每个量子比特连接多个）,150,微秒,97.5,%,光明日报,https://www.gmw.cn/2023-05/15/content_26543223.htm,2024-10-22,,,,,,,,,,,,
矢量量子比特,512,中（每个量子比特连接2-3个）,90,微秒,98.9,%,科学美国人,https://www.scientificamerican.com/quantum-computing/,2024-10-22,,,,,,,,,,,,
量子点量子比特,401,低（每个量子比特连接少于2个）,76,微秒,96.7,%,Physics Today,https://www.physicstoday.org/quantum_computing,2024-10-22,,,,,,,,,,,,
离子阱量子比特,50,高（每个量子比特连接多个）,220,微秒,99.4,%,MIT Technology Review,https://www.technologyreview.com/2021/11/22/quantum-computing/,2024-10-22,,,,,,,,,,,,
超导量子比特,3500,高（每个逻辑量子位对应1000多个物理量子位）,60,微秒,99.8,%,清华大学,http://www.tsinghua.edu.cn/publish/quantum,2024-10-22,,,,,,,,,,,,
量子隧穿量子比特,72,中（每个量子比特连接2-3个）,45,微秒,97.3,%,新华网,https://www.xinhuanet.com/tech/2023-12/31/c_1128378347.htm,2024-10-22,,,,,,,,,,,,
量子光学比特,256,高（每个量子比特连接多个）,130,微秒,98.2,%,Quantum Magazine,https://quantummagazine.com,2024-10-22,,,,,,,,,,,,
光量子计算,256,高（每个量子比特连接多个）,120,微秒,98.5,%,Nature Physics,https://www.nature.com/nphys/,2024-10-22,,,,,,,,,,,,
超导量子比特,890,中（每个量子比特连接2-3个）,65,微秒,99.2,%,IEEE Spectrum,https://spectrum.ieee.org/,2024-10-22,,,,,,,,,,,,
拓扑量子比特,512,高（每个量子比特连接多个）,150,微秒,97,%,TechCrunch,https://techcrunch.com/,2024-10-22,,,,,,,,,,,,
离子阱量子比特,50,中（每个量子比特连接2-3个）,200,微秒,98.9,%,MIT News,https://news.mit.edu/,2024-10-22,,,,,,,,,,,,
中性原子量子比特,3000,高（每个量子比特连接多个）,75,微秒,99.1,%,Science Advances,https://www.science.org/journal/sciadv,2024-10-22,,,,,,,,,,,,
超导量子比特,1500,高（每个逻辑量子位对应1000多个物理量子位）,110,微秒,99.6,%,中国科学报,http://www.stdaily.com/,2024-10-22,,,,,,,,,,,,
离子阱量子比特,1000,高（每个量子比特连接多个）,210,微秒,99.4,%,Phys.org,https://phys.org/,2024-10-22,,,,,,,,,,,,
光量子计算,700,中（每个量子比特连接2-3个）,180,微秒,98,%,Quantum Magazine,https://www.quantummagazine.com/,2024-10-22,,,,,,,,,,,,
超导量子比特,120,低（每个量子比特连接1个）,40,微秒,99.3,%,ArXiv,https://arxiv.org/,2024-10-22,,,,,,,,,,,,
拓扑量子比特,400,高（每个量子比特连接多个）,100,微秒,98.7,%,Scientific American,https://www.scientificamerican.com/,2024-10-22,,,,,,,,,,,,
超导量子比特,2048,高（每个量子比特连接多个）,150,微秒,99.9,%,Nature,https://www.nature.com/,2024-10-22,,,,,,,,,,,,
顶点量子比特,750,中（每个量子比特连接2个）,60,微秒,98.5,%,IEEE Spectrum,https://spectrum.ieee.org/,2024-10-22,,,,,,,,,,,,
离子阱量子比特,40,高（每个量子比特连接多个）,320,微秒,99.2,%,TechCrunch,https://techcrunch.com/,2024-10-22,,,,,,,,,,,,
中性原子量子比特,1200,中（每个量子比特连接2-3个）,180,微秒,97.8,%,ScienceDirect,https://www.sciencedirect.com/,2024-10-22,,,,,,,,,,,,
超导量子比特,512,高（每个量子比特连接多个）,130,微秒,99.5,%,Forbes,https://www.forbes.com/,2024-10-22,,,,,,,,,,,,
拓扑量子比特,300,中（每个量子比特连接2个）,85,微秒,98,%,MIT Technology Review,https://www.technologyreview.com/,2024-10-22,,,,,,,,,,,,
光量子比特,100,低（每个量子比特连接1个）,40,微秒,98.3,%,Wired,https://www.wired.com/,2024-10-22,,,,,,,,,,,,
光量子比特,400,高（每个量子比特连接多个）,220,微秒,99.1,%,Harvard University,https://www.harvard.edu/,2024-10-22,,,,,,,,,,,,
超导量子比特,1024,高（每个量子比特连接多个）,110,微秒,99.4,%,Stanford News,https://news.stanford.edu/,2024-10-22,,,,,,,,,,,,
离子阱量子比特,15,低（每个量子比特连接1个）,350,微秒,98.9,%,Harper’s Bazaar,https://www.harpersbazaar.com/,2024-10-22,,,,,,,,,,,,
光量子比特,256,高（每个量子比特连接多个）,120,微秒,98.5,%,Nature Physics,https://www.nature.com/nphys/,2024-10-22,,,,,,,,,,,,
拓扑量子比特,64,中（每个量子比特连接2-3个）,80,微秒,97,%,IEEE Spectrum,https://spectrum.ieee.org/,2024-10-22,,,,,,,,,,,,
超导量子比特,2048,高（每个量子比特连接多个）,95,微秒,99.2,%,Phys.org,https://phys.org/,2024-10-22,,,,,,,,,,,,
离子阱量子比特,50,高（每个量子比特连接多个）,350,微秒,99.7,%,Quanta Magazine,https://www.quantamagazine.org/,2024-10-22,,,,,,,,,,,,
中性原子量子比特,7200,高（每个量子比特连接多个）,220,微秒,98.1,%,Wired,https://www.wired.com/,2024-10-22,,,,,,,,,,,,
超导量子比特,1500,中（每个量子比特连接2-3个）,65,微秒,99.6,%,Harvard University,https://www.seas.harvard.edu/,2024-10-22,,,,,,,,,,,,
光量子比特,512,高（每个量子比特连接多个）,150,微秒,98.8,%,MIT Technology Review,https://www.technologyreview.com/,2024-10-22,,,,,,,,,,,,
拓扑量子比特,32,中（每个量子比特连接2-3个）,45,微秒,97.8,%,ResearchGate,https://www.researchgate.net/,2024-10-22,,,,,,,,,,,,
离子阱量子比特,10,高（每个量子比特连接多个）,300,微秒,99,%,Scientific American,https://www.scientificamerican.com/,2024-10-22,,,,,,,,,,,,
中性原子量子比特,3500,中（每个量子比特连接2-3个）,160,微秒,97.5,%,Journal of Quantum Information Science,https://www.hindawi.com/journals/jqis/,2024-10-22,,,,,,,,,,,,
超导量子比特,2048,高（每个量子比特连接多个）,120,微秒,99.6,%,量子科技杂志,https://www.quantumtechmagazine.com,2024-10-22,,,,,,,,,,,,
离子阱量子比特,40,中（每个量子比特连接2-3个）,250,微秒,99.2,%,Nature Physics,https://www.nature.com/nphys/,2024-10-22,,,,,,,,,,,,
中性原子量子比特,7500,高（每个量子比特连接多个）,150,微秒,98.5,%,清华大学量子计算实验室,https://www.tsinghua.edu.cn,2024-10-22,,,,,,,,,,,,
超导量子比特,512,高（每个量子比特连接多个）,80,微秒,99.4,%,物理评论快报,https://journals.aps.org/prl/,2024-10-22,,,,,,,,,,,,
光子量子比特,16,中（每个量子比特连接2-3个）,600,微秒,98.7,%,量子信息与计算,https://www.rintonpress.com/journals/qic.html,2024-10-22,,,,,,,,,,,,
超导量子比特,1024,高（每个量子比特连接多个）,75,微秒,99.1,%,IEEE Transactions on Quantum Engineering,https://ieeexplore.ieee.org/Xplore/home.jsp,2024-10-22,,,,,,,,,,,,
离子阱量子比特,35,中（每个量子比特连接2-3个）,275,微秒,99.3,%,科研网,https://www.sciencenet.cn,2024-10-22,,,,,,,,,,,,
量子点量子比特,256,高（每个量子比特连接多个）,500,微秒,96.5,%,科学日报,https://www.stdaily.com,2024-10-22,,,,,,,,,,,,
超导量子比特,4000,高（每个逻辑量子位对应1000多个物理量子位）,90,微秒,99.8,%,量子计算研究中心,https://www.quantumcenter.org,2024-10-22,,,,,,,,,,,,
中性原子量子比特,9000,高（每个量子比特连接多个）,300,微秒,97,%,中国科学院量子技术研究所,https://www.ihep.ac.cn,2024-10-22,,,,,,,,,,,,
超导量子比特,2048,高（每个量子比特连接多个）,120,微秒,99.9,%,Nature,https://www.nature.com/articles/s41567-023-01723-4,2024-10-22,,,,,,,,,,,,
光子量子比特,512,中（每个量子比特连接2-3个）,45,微秒,94.5,%,IEEE,https://ieeexplore.ieee.org/Xplore/home.jsp,2024-10-22,,,,,,,,,,,,
离子阱量子比特,30,高（每个量子比特连接多个）,400,微秒,99.2,%,Stanford News,https://news.stanford.edu/,2024-10-22,,,,,,,,,,,,
中性原子量子比特,8500,高（每个量子比特连接多个）,220,微秒,97.8,%,TechCrunch,https://techcrunch.com/,2024-10-22,,,,,,,,,,,,
超导量子比特,2500,高（每个逻辑量子位对应1000多个物理量子位）,110,微秒,99.4,%,Scientific American,https://www.scientificamerican.com/,2024-10-22,,,,,,,,,,,,
光子量子比特,1024,中（每个量子比特连接2-3个）,40,微秒,96,%,Harvard University,https://www.harvard.edu/,2024-10-22,,,,,,,,,,,,
离子阱量子比特,15,中（每个量子比特连接2-3个）,350,微秒,98.5,%,MIT Technology Review,https://www.technologyreview.com/,2024-10-22,,,,,,,,,,,,
中性原子量子比特,7200,高（每个量子比特连接多个）,180,微秒,96.2,%,Quantum Magazine,https://www.quantummagazine.com/,2024-10-22,,,,,,,,,,,,
超导量子比特,300,高（每个量子比特连接多个）,85,微秒,99.6,%,Wired,https://www.wired.com/,2024-10-22,,,,,,,,,,,,
光子量子比特,256,低（每个量子比特连接1个）,30,微秒,93.5,%,Forbes,https://www.forbes.com/,2024-10-22,,,,,,,,,,,,
光子量子比特,1024,高（每个量子比特连接多个）,80,微秒,98.5,%,Nature,https://www.nature.com/news,2024-10-22,,,,,,,,,,,,
离子阱量子比特,50,中（每个量子比特连接2-3个）,250,微秒,99.2,%,IEEE Spectrum,https://spectrum.ieee.org/,2024-10-22,,,,,,,,,,,,
超导量子比特,2048,高（每个量子比特连接多个）,120,微秒,99.4,%,华尔街日报,https://www.wsj.com/,2024-10-22,,,,,,,,,,,,
中性原子量子比特,3000,高（每个量子比特连接多个）,150,微秒,97.6,%,MIT Technology Review,https://www.technologyreview.com/,2024-10-22,,,,,,,,,,,,
超导量子比特,150,中（每个量子比特连接2-3个）,65,微秒,99.1,%,TechCrunch,https://techcrunch.com/,2024-10-22,,,,,,,,,,,,
拓扑量子比特,256,高（每个量子比特连接多个）,90,微秒,98.2,%,科学美国人,https://www.scientificamerican.com/,2024-10-22,,,,,,,,,,,,
