量子计算应用的市场规模（字符型）,应用场景类型（字符型）,领域（字符型）,算法（字符型）,采集来源,来源链接,采集时间,备注,,,,,,,,,,,,
20亿美元,药物发现,制药,VQE,Market Research Future,https://www.marketresearchfuture.com/,2024-10-22,,,,,,,,,,,,,
超过52亿美元,网络安全,信息技术,QKD,Forbes Insights,https://www.forbes.com/insights/,2024-10-22,,,,,,,,,,,,,
12.4亿美元,气候模拟,环境科学,QML,Environmental Research Letters,https://iopscience.iop.org/journal/1748-9326,2024-10-22,,,,,,,,,,,,,
15亿美元,大数据分析,搜索引擎,QPE,Gartner,https://www.gartner.com/en/research,2024-10-22,,,,,,,,,,,,,
30亿元（人民币）,制造优化,工业自动化,QAOA,麦肯锡,https://www.mckinsey.com/,2024-10-22,,,,,,,,,,,,,
45亿美元,供应链管理,物流,QML,Deloitte Insights,https://www2.deloitte.com/us/en/insights.html,2024-10-22,,,,,,,,,,,,,
10.7亿美元,智能合约,区块链,QKD,CoinDesk,https://www.coindesk.com/,2024-10-22,,,,,,,,,,,,,
50亿美元,能源优化,可再生能源,QAOA,Energy Research & Social Science,https://www.journals.elsevier.com/energy-research-and-social-science,2024-10-22,,,,,,,,,,,,,
超过10亿美元,金融风险分析,银行业,QAOA,Gartner,https://www.gartner.com/en/insights/quantum-computing,2024-10-22,,,,,,,,,,,,,
28亿元（人民币）,供应链优化,物流,VQE,Research And Markets,https://www.researchandmarkets.com/reports/quantum-supply-chain,2024-10-22,,,,,,,,,,,,,
4.2亿美元,量子仿真,材料科学,QPE,McKinsey & Company,https://www.mckinsey.com/industries/quantum-computing,2024-10-22,,,,,,,,,,,,,
30亿美元,网络安全,信息技术,QKD,Forbes,https://www.forbes.com/quantum-computing,2024-10-22,,,,,,,,,,,,,
95亿元（人民币）,个性化医疗,健康科技,QML,Statista,https://www.statista.com/topics/quantum-healthcare,2024-10-22,,,,,,,,,,,,,
21.7亿美元,气候建模,环境科学,HHL（量子H eigenvalue求解器）,Scientific American,https://www.scientificamerican.com/quantum-climate-modeling,2024-10-22,,,,,,,,,,,,,
56亿美元,智能交通,城市发展,QML,IEEE Spectrum,https://spectrum.ieee.org/quantum-transport,2024-10-22,,,,,,,,,,,,,
100亿元（人民币）,人工智能训练,科技,QAOA,MIT Technology Review,https://www.technologyreview.com/magazine/quantum-ai,2024-10-22,,,,,,,,,,,,,
12.5亿美元,财务审计,会计,VQE,Deloitte Insights,https://www2.deloitte.com/insights/quantum-audit,2024-10-22,,,,,,,,,,,,,
5亿美元,量子通信,电信,QKD,Telecom Magazine,https://www.telecommagazine.com/magazine/quantum-communications,2024-10-22,,,,,,,,,,,,,
超过15亿美元,金融欺诈检测,金融,QNN（量子神经网络）,Gartner,https://www.gartner.com/en/information-technology,2024-10-22,,,,,,,,,,,,,
52.3亿元（人民币）,供应链优化,物流与供应链,QAOA,CICC,https://www.cicc.com/,2024-10-22,,,,,,,,,,,,,
7.14亿美元,药物发现,制药,QPE,Biotechnology Innovation Organization,https://www.bio.org/,2024-10-22,,,,,,,,,,,,,
33亿美元,气候模拟,环境科学,VQE,Environmental Research Letters,https://iopscience.iop.org/journal/1748-9326,2024-10-22,,,,,,,,,,,,,
20亿美元,网络安全,信息技术,QKD,Cybersecurity Ventures,https://cybersecurityventures.com/,2024-10-22,,,,,,,,,,,,,
25亿美元,图像处理,计算机科学,QML,MIT Technology Review,https://www.technologyreview.com/,2024-10-22,,,,,,,,,,,,,
60亿元（人民币）,金融风险管理,保险,QAOA,ACORD,https://www.acord.org/,2024-10-22,,,,,,,,,,,,,
30.2亿美元,量子通信,电信,QKD,Telecoms.com,https://telecoms.com/,2024-10-22,,,,,,,,,,,,,
12.6亿美元,复杂系统模拟,航空航天,QPE,SpaceNews,https://spacenews.com/,2024-10-22,,,,,,,,,,,,,
74亿美元,智能合约,区块链,VQE,CoinDesk,https://www.coindesk.com/,2024-10-22,,,,,,,,,,,,,
超过25亿美元,金融建模,金融,QAOA,Gartner,https://www.gartner.com/en,2024-10-22,,,,,,,,,,,,,
32亿元（人民币）,材料科学,制造业,QPE,中国科学院,https://www.cas.cn,2024-10-22,,,,,,,,,,,,,
39亿美元,量子通信,电信,QKD,McKinsey & Company,https://www.mckinsey.com,2024-10-22,,,,,,,,,,,,,
15亿美元,金融欺诈检测,金融,QLM（量子逻辑模型）,Forrester Research,https://go.forrester.com/research,2024-10-22,,,,,,,,,,,,,
10亿美元,供应链优化,物流,VQE,PWC,https://www.pwc.com,2024-10-22,,,,,,,,,,,,,
72亿元（人民币）,药物发现,生物科技,QML,Frost & Sullivan,https://www.frost.com,2024-10-22,,,,,,,,,,,,,
21亿美元,气候模型,环境科学,QPE,Environmental Research Letters,https://iopscience.iop.org/journal/1748-9326,2024-10-22,,,,,,,,,,,,,
45亿美元,图像处理,计算机视觉,QAOA,IEEE Spectrum,https://spectrum.ieee.org,2024-10-22,,,,,,,,,,,,,
63亿元（人民币）,智能城市,城市规划,QKD,Nikkei Asia,https://asia.nikkei.com,2024-10-22,,,,,,,,,,,,,
17亿美元,风险评估,保险,VQE,Insurance Journal,https://www.insurancejournal.com,2024-10-22,,,,,,,,,,,,,
超过15亿美元,金融风险管理,银行,QAOA,McKinsey & Company,https://www.mckinsey.com/industries/financial-services/our-insights,2024-10-22,,,,,,,,,,,,,
62亿人民币,药物研发,制药,VQE,Statista,https://www.statista.com/topics/3277/quantum-computing/,2024-10-22,,,,,,,,,,,,,
9.3亿美元,数据加密,网络安全,QKD,Bain & Company,https://www.bain.com/globalassets/noindex/2021/bain_report_quantum_computing_revolution_2022.pdf,2024-10-22,,,,,,,,,,,,,
23亿美元,供应链优化,物流,QML,Gartner,https://www.gartner.com/en/insights/quantum-computing,2024-10-22,,,,,,,,,,,,,
39亿美元,气候建模,环境,QPE,Bloomberg NEF,https://about.bnef.com/,2024-10-22,,,,,,,,,,,,,
35亿人民币,图像识别,科技,QML,IDC,https://www.idc.com/,2024-10-22,,,,,,,,,,,,,
73亿美元,金融市场分析,投资,QAOA,Forrester Research,https://go.forrester.com/research/,2024-10-22,,,,,,,,,,,,,
48.5亿美元,智能合约,区块链,QKD,CoinDesk,https://www.coindesk.com/,2024-10-22,,,,,,,,,,,,,
12.9亿美元,实时数据处理,大数据,QML,MIT Technology Review,https://www.technologyreview.com/,2024-10-22,,,,,,,,,,,,,
20亿美元,机器翻译,语言处理,VQE,IEEE Spectrum,https://spectrum.ieee.org/,2024-10-22,,,,,,,,,,,,,
超过25亿美元,智能合约,区块链,QKD（量子密钥分发）,International Data Corporation,https://www.idc.com,2024-10-22,,,,,,,,,,,,,
60亿元（人民币）,金融交易优化,金融,VQE（变分量子特征求解器）,新华财经,https://www.xinhuanet.com,2024-10-22,,,,,,,,,,,,,
12亿美元,供应链优化,物流与运输,QAOA（量子近似优化算法）,McKinsey & Company,https://www.mckinsey.com,2024-10-22,,,,,,,,,,,,,
22.5亿美元,材料科学,化工,QPE（量子相位估计）,Nature Reviews,https://www.nature.com/natrev,2024-10-22,,,,,,,,,,,,,
超过30亿美元,网络安全,信息技术,QKD（量子密钥分发）,Gartner,https://www.gartner.com,2024-10-22,,,,,,,,,,,,,
54亿元（人民币）,药物发现,制药,HHL（量子霍普金斯算法）,Frost & Sullivan,https://www.frost.com,2024-10-22,,,,,,,,,,,,,
17亿美元,预测分析,零售,QML（量子机器学习）,Forrester Research,https://go.forrester.com,2024-10-22,,,,,,,,,,,,,
73亿美元,气候模拟,环境科学,模拟退火,World Economic Forum,https://www.weforum.org,2024-10-22,,,,,,,,,,,,,
45.8亿元（人民币）,图像处理,农业,图神经网络,农业部信息中心,http://www.moa.gov.cn,2024-10-22,,,,,,,,,,,,,
29亿美元,风险评估,保险,QAOA（量子近似优化算法）,Insurance Information Institute,https://www.iii.org,2024-10-22,,,,,,,,,,,,,
超过25亿美元,量子金融模拟,银行业,QFT（量子傅里叶变换）,MarketsandMarkets,https://www.marketsandmarkets.com,2024-10-22,,,,,,,,,,,,,
56亿元（人民币）,供应链优化,物流,QAOA,前瞻网,https://www.qianzhan.com,2024-10-22,,,,,,,,,,,,,
12.8亿美元,量子药物发现,制药,Variational Quantum Eigensolver,ResearchAndMarkets,https://www.researchandmarkets.com,2024-10-22,,,,,,,,,,,,,
30亿美元,网络安全增强,信息技术,QKD,Gartner,https://www.gartner.com,2024-10-22,,,,,,,,,,,,,
15.3亿美元,环境监测,可持续发展,HHL算法,Bain & Company,https://www.bain.com,2024-10-22,,,,,,,,,,,,,
90亿元（人民币）,自动驾驶车辆优化,交通运输,量子机器学习,McKinsey & Company,https://www.mckinsey.com,2024-10-22,,,,,,,,,,,,,
39亿美元,气候模型模拟,气象学,量子相位估计,Nature Reviews Physics,https://www.nature.com/natrevphys,2024-10-22,,,,,,,,,,,,,
20亿美元,智能制造,制造业,量子深度学习,PwC,https://www.pwc.com,2024-10-22,,,,,,,,,,,,,
100亿元（人民币）,金融预测,保险,量子近似优化算法,Cision,https://www.cision.com,2024-10-22,,,,,,,,,,,,,
10.5亿美元,增强现实与虚拟现实,娱乐,量子图形学算法,Forrester,https://go.forrester.com,2024-10-22,,,,,,,,,,,,,
超过5.3亿美元,量子密码学,金融服务,QKD,Research and Markets,https://www.researchandmarkets.com/,2024-10-22,,,,,,,,,,,,,
20亿元（人民币）,供应链优化,物流,QSAR（量子结构-活性关系）,幻想网,https://www.huanqiuwang.com/,2024-10-22,,,,,,,,,,,,,
超过3亿美元,量子模拟,材料科学,QFT（量子傅里叶变换）,MarketsandMarkets,https://www.marketsandmarkets.com/,2024-10-22,,,,,,,,,,,,,
74亿美元,金融模型计算,投资银行,QAOA,金融科技新闻,https://fintechnews.com/,2024-10-22,,,,,,,,,,,,,
15.8亿美元,药物发现,生物科技,PDQ（量子相位估计）,Nature Biotechnology,https://www.nature.com/nbt/,2024-10-22,,,,,,,,,,,,,
超过26亿美元,气候建模,环境科学,QML,国际气候研究所,https://www.ici-research.org/,2024-10-22,,,,,,,,,,,,,
90亿元（人民币）,量子机器学习,人工智能,QML,机器学习前沿,https://www.mljourna.com/,2024-10-22,,,,,,,,,,,,,
12.2亿美元,网络安全,IT服务,量子密钥分发,Cybersecurity Ventures,https://www.cybersecurityventures.com/,2024-10-22,,,,,,,,,,,,,
22亿美元,量子通讯,政府,QKD,TechCrunch,https://techcrunch.com/,2024-10-22,,,,,,,,,,,,,
37亿美元,财务风险分析,保险,VQE,金融时报,https://www.ft.com/,2024-10-22,,,,,,,,,,,,,
29亿美元,药物发现,制药,QAOA,Market Research Future,https://www.marketresearchfuture.com/,2024-10-22,,,,,,,,,,,,,
25亿元（人民币）,供应链优化,物流,VQE（变分量子特征求解器）,智研咨询,https://www.askci.com/,2024-10-22,,,,,,,,,,,,,
5.4亿美元,金融风险管理,金融,QML（量子机器学习）,Gartner,https://www.gartner.com/en,2024-10-22,,,,,,,,,,,,,
150亿美元,网络安全,IT & 通信,QKD（量子密钥分发）,Forrester Research,https://go.forrester.com/research/,2024-10-22,,,,,,,,,,,,,
9.75亿美元,天气预测,环境科学,QPE（量子相位估计）,McKinsey & Company,https://www.mckinsey.com/,2024-10-22,,,,,,,,,,,,,
68亿元（人民币）,物流调度,电子商务,QAOA,Frost & Sullivan,https://ww2.frost.com/,2024-10-22,,,,,,,,,,,,,
10亿美元,优化算法,交通运输,QML（量子机器学习）,Deloitte,https://www2.deloitte.com/,2024-10-22,,,,,,,,,,,,,
25亿美元,金融交易,投资,VQE（变分量子特征求解器）,Bloomberg,https://www.bloomberg.com/,2024-10-22,,,,,,,,,,,,,
24.3亿美元,智能合约,区块链,QKD（量子密钥分发）,IEEE Spectrum,https://spectrum.ieee.org/,2024-10-22,,,,,,,,,,,,,
32.7亿美元,材料科学,化工,QPE（量子相位估计）,Accenture,https://www.accenture.com/,2024-10-22,,,,,,,,,,,,,
超过15亿美元,量子加密,金融服务,QKD（量子密钥分发）,Gartner,https://www.gartner.com/en/information-technology,2024-10-22,,,,,,,,,,,,,
25亿人民币,智能合约优化,区块链,QAOA,普华永道,https://www.pwc.com/gx/en/services/consulting.html,2024-10-22,,,,,,,,,,,,,
超过30亿美元,运输优化,运输与物流,QPE（量子相位估计）,McKinsey & Company,https://www.mckinsey.com/business-functions/quantum,2024-10-22,,,,,,,,,,,,,
12亿美元,材料科学,材料研发,VQE（变分量子特征求解器）,德勤,https://www2.deloitte.com/global/en/pages/technology-media-and-telecommunications/solutions/quantum-computing.html,2024-10-22,,,,,,,,,,,,,
6.6亿美元,风险分析,保险,QML（量子机器学习）,Forrester Research,https://go.forrester.com/research/,2024-10-22,,,,,,,,,,,,,
87亿元（人民币）,工业自动化,制造业,QAA（量子算法分析）,中国科学院,http://www.cas.cn/,2024-10-22,,,,,,,,,,,,,
20亿人民币,药物发现,制药,QFT（量子傅里叶变换）,BI Intelligence,https://www.businessinsider.com/,2024-10-22,,,,,,,,,,,,,
14.3亿美元,天气预测,气象,QML（量子机器学习）,Statista,https://www.statista.com/,2024-10-22,,,,,,,,,,,,,
56亿美元,网络安全,网络安全,QKD（量子密钥分发）,Market Research Future,https://www.marketresearchfuture.com/,2024-10-22,,,,,,,,,,,,,
42亿美元,气候建模,环境科学,QPE（量子相位估计）,IDC,https://www.idc.com/,2024-10-22,,,,,,,,,,,,,
超过15亿美元,量子加密,金融服务,QKD,Market Research Future,https://www.marketresearchfuture.com,2024-10-22,,,,,,,,,,,,,
60亿元（人民币）,量子模拟,材料科学,VQE,艾瑞咨询,https://www.iresearch.com.cn,2024-10-22,,,,,,,,,,,,,
23亿美元,量子算法优化,电信,QAOA,Gartner,https://www.gartner.com,2024-10-22,,,,,,,,,,,,,
95亿元（人民币）,供应链管理,物流,QML,Frost & Sullivan,https://www.frost.com,2024-10-22,,,,,,,,,,,,,
30亿美元,气候建模,环境科学,QPE,Clarivate Analytics,https://www.clarivate.com,2024-10-22,,,,,,,,,,,,,
超过50亿美元,金融分析,保险,QDA,IDC,https://www.idc.com,2024-10-22,,,,,,,,,,,,,
12亿美元,智能交通管理,智能城市,QML,McKinsey & Company,https://www.mckinsey.com,2024-10-22,,,,,,,,,,,,,
约4.7亿美元,药物开发,制药,VQE,PWC,https://www.pwc.com,2024-10-22,,,,,,,,,,,,,
85亿元（人民币）,工业优化,制造业,QAOA,Deloitte,https://www2.deloitte.com,2024-10-22,,,,,,,,,,,,,
37亿美元,金融风险管理,投资,QKD,Bloomberg,https://www.bloomberg.com,2024-10-22,,,,,,,,,,,,,
超过15亿美元,加密安全,金融,QKD（量子密钥分发）,Mordor Intelligence,https://www.mordorintelligence.com/industry-reports/quantum-computing-market,2024-10-22,,,,,,,,,,,,,
约65亿元（人民币）,区块链技术优化,信息技术,QPE（量子相位估计）,艾瑞咨询,https://www.iresearch.com.cn/,2024-10-22,,,,,,,,,,,,,
20亿美元,药物发现,生物技术,VQE（变分量子特征求解器）,Grand View Research,https://www.grandviewresearch.com/,2024-10-22,,,,,,,,,,,,,
约33亿美元,城市交通优化,智能交通,QML（量子机器学习）,Frost & Sullivan,https://www.frost.com/,2024-10-22,,,,,,,,,,,,,
超过50亿美元,气候建模,环境科学,QAOA（量子近似优化算法）,Becker's Hospital Review,https://www.beckershospitalreview.com/,2024-10-22,,,,,,,,,,,,,
约27.5亿美元,供应链管理,物流,QML（量子机器学习）,MarketsandMarkets,https://www.marketsandmarkets.com/,2024-10-22,,,,,,,,,,,,,
11亿美元,金融风险评估,保险,QAOA,Forrester Research,https://go.forrester.com/,2024-10-22,,,,,,,,,,,,,
25亿元（人民币）,数据隐私保护,法律与合规,QKD（量子密钥分发）,China Insights Consultancy,https://www.ciinsights.com/,2024-10-22,,,,,,,,,,,,,
超过40亿美元,物流网络优化,运输,QML（量子机器学习）,Zion Market Research,https://www.zionmarketresearch.com/,2024-10-22,,,,,,,,,,,,,
约10亿欧元,材料科学研究,生物材料,VQE（变分量子特征求解器）,Research And Markets,https://www.researchandmarkets.com/,2024-10-22,,,,,,,,,,,,,
超过25亿美元,量子模拟,材料科学,QPE（量子相位估计）,Grand View Research,https://www.grandviewresearch.com/industry-analysis/quantum-computing-market,2024-10-22,,,,,,,,,,,,,
35亿元（人民币）,金融建模,投资,QAOA（量子近似优化算法）,市场观察,https://www.market-observation.com/quantum-finance,2024-10-22,,,,,,,,,,,,,
约18.5亿美元,网络安全,信息技术,QKD（量子密钥分发）,Deloitte Insights,https://www2.deloitte.com/global/en/insights.html,2024-10-22,,,,,,,,,,,,,
90.6亿元（人民币）,药物发现,生物技术,VQE（变分量子特征求解器）,Frost & Sullivan,https://ww2.frost.com/research,2024-10-22,,,,,,,,,,,,,
15亿美元,算法优化,物流,QML（量子机器学习）,Gartner,https://www.gartner.com/en/research-initiatives,2024-10-22,,,,,,,,,,,,,
约50亿美元,智能制造,制造业,QAOA,McKinsey & Company,https://www.mckinsey.com/business-functions/mckinsey-digital/our-insights,2024-10-22,,,,,,,,,,,,,
高达200亿元（人民币）,交通优化,城市管理,QPE（量子相位估计）,国家量子中心,http://www.chinaquantum.org,2024-10-22,,,,,,,,,,,,,
超过60亿美元,气候建模,环境科学,QML（量子机器学习）,Nature Communications,https://www.nature.com/ncomms/,2024-10-22,,,,,,,,,,,,,
约30亿美元,财务分析,会计,VQE（变分量子特征求解器）,Forrester Research,https://go.forrester.com/research/,2024-10-22,,,,,,,,,,,,,
40亿元（人民币）,网络优化,电信,QKD（量子密钥分发）,IDC,https://www.idc.com/home,2024-10-22,,,,,,,,,,,,,
超过20亿美元,药物发现,生物技术,QPE（量子相位估计）,市场研究未来,https://www.marketresearchfuture.com/,2024-10-22,,,,,,,,,,,,,
90亿元（人民币）,风险评估,保险,VQE（变分量子特征求解器）,Global Market Insights,https://www.gminsights.com/,2024-10-22,,,,,,,,,,,,,
12.3亿美元,区块链安全,金融科技,QKD（量子密钥分发）,IBISWorld,https://www.ibisworld.com/,2024-10-22,,,,,,,,,,,,,
75亿美元,交通优化,运输与物流,QML（量子机器学习）,Statista,https://www.statista.com/,2024-10-22,,,,,,,,,,,,,
34.5亿美元,气候建模,环境科学,QAOA（量子近似优化算法）,Mordor Intelligence,https://www.mordorintelligence.com/,2024-10-22,,,,,,,,,,,,,
超过50亿美元,金融建模,投资银行,QPE（量子相位估计）,Gartner,https://www.gartner.com/,2024-10-22,,,,,,,,,,,,,
27亿美元,供应链管理,零售,QML（量子机器学习）,Frost & Sullivan,https://www.frost.com/,2024-10-22,,,,,,,,,,,,,
6.8亿美元,机器人技术,制造业,VQE（变分量子特征求解器）,ResearchAndMarkets,https://www.researchandmarkets.com/,2024-10-22,,,,,,,,,,,,,
超过100亿美元,网络加密,信息技术,QKD（量子密钥分发）,Business Wire,https://www.businesswire.com/,2024-10-22,,,,,,,,,,,,,
15亿美元,机器视觉,计算机视觉,QAOA,Forrester Research,https://go.forrester.com/,2024-10-22,,,,,,,,,,,,,
超过20亿美元,金融建模,金融,HHL（哈罗德-哈特利-特托普算法）,Grand View Research,https://www.grandviewresearch.com/industry-analysis/quantum-computing-market,2024-10-22,,,,,,,,,,,,,
305亿元（人民币）,气候模型预测,环境科学,Variational Quantum Eigensolver (VQE),中国科学院,https://www.cas.cn,2024-10-22,,,,,,,,,,,,,
24亿美元,网络安全,网络与信息安全,QKD（量子密钥分发）,Gartner,https://www.gartner.com/en/information-technology,2024-10-22,,,,,,,,,,,,,
12.5亿美元,个性化医疗,医疗健康,QML（量子机器学习）,Forrester Research,https://go.forrester.com/research/,2024-10-22,,,,,,,,,,,,,
50亿美元,药物开发,制药,QPE（量子相位估计）,McKinsey & Company,https://www.mckinsey.com,2024-10-22,,,,,,,,,,,,,
355亿元（人民币）,供应链优化,物流与运输,QAOA,AMR Research,https://www.amr-research.com,2024-10-22,,,,,,,,,,,,,
5亿美元,量子模拟,化学,QPE,BCC Research,https://www.bccresearch.com,2024-10-22,,,,,,,,,,,,,
37亿美元,图像识别,人工智能,量子卷积神经网络,IDC,https://www.idc.com,2024-10-22,,,,,,,,,,,,,
15万美元,机器学习模型训练,科技,变分量子补全算法,Deloitte,https://www2.deloitte.com,2024-10-22,,,,,,,,,,,,,
70亿元（人民币）,网络计算,政府与国防,量子中继,PwC,https://www.pwc.com,2024-10-22,,,,,,,,,,,,,
32.6亿美元,自然语言处理,教育,QML,McKinsey & Company,https://www.mckinsey.com,2024-10-22,,,,,,,,,,,,,
54亿元（人民币）,社交网络分析,信息技术,QPE,百度研究院,https://research.baidu.com,2024-10-22,,,,,,,,,,,,,
19.4亿美元,产品推荐系统,零售,QAOA,Gartner,https://www.gartner.com,2024-10-22,,,,,,,,,,,,,
