考核原则,评价标准,SO2排放量,单位,NOx排放量,单位,生活污水COD排放量,单位,矿井水COD排放量,单位,污染物排放达标率,单位,在线监测系统数据传输有效率,单位,数据上报率,单位,外排土场排放到界区域整形覆土率,单位,权重,计算模型,采集来源,来源链接,采集时间,备注,,,,
多方协作,合作项目成功率,33,mg/m³,77,mg/m³,167,mg/L,122,mg/L,0.92,%,0.97,%,0.98,%,0.83,%,0.22,合作评估模型,湖北省应急管理局,http://www.hubei.gov.cn/,2024-09-10,,,,,
创新激励,技术改进效果,45,mg/m³,85,mg/m³,185,mg/L,115,mg/L,0.90,%,0.95,%,0.97,%,0.89,%,0.3,技术创新模型,科技部,https://www.most.gov.cn/,2024-09-10,,,,,
综合评估,环境影响评估,38,mg/m³,72,mg/m³,160,mg/L,125,mg/L,0.89,%,0.92,%,0.99,%,0.77,%,0.2,综合评估模型,地方环保局,http://www.localepb.gov.cn/,2024-09-10,,,,,
节能减排,能效比,45,mg/m³,85,mg/m³,190,mg/L,130,mg/L,0.93,%,0.96,%,1.00,%,0.88,%,0.35,线性回归模型,国家能源局,https://www.nea.gov.cn/,2024-09-10,,,,,
资源循环利用,废物回收率,25,mg/m³,50,mg/m³,120,mg/L,70,mg/L,0.91,%,0.94,%,0.95,%,0.82,%,0.2,混合模型,环保部,https://www.mee.gov.cn/,2024-09-10,,,,,
健康优先,空气质量,15,mg/m³,30,mg/m³,110,mg/L,80,mg/L,0.97,%,0.99,%,1.00,%,0.90,%,0.25,指标考核法,北京市生态环境局,https://epb.beijing.gov.cn/,2024-09-10,,,,,
社会责任,社区环保参与度,35,mg/m³,65,mg/m³,140,mg/L,95,mg/L,0.90,%,0.97,%,0.95,%,0.86,%,0.18,综合评价法,全国环保协会,https://www.cnepa.org/,2024-09-10,,,,,
技术驱动,新技术应用率,28,mg/m³,55,mg/m³,155,mg/L,105,mg/L,0.92,%,0.95,%,0.95,%,0.84,%,0.22,技术评估模型,中国环境科学研究院,http://www.cger.ac.cn/,2024-09-10,,,,,
经济效益,资源成本控制,55,mg/m³,120,mg/m³,130,mg/L,75,mg/L,0.89,%,0.91,%,0.95,%,0.80,%,0.4,经济核算法,中国社会科学院,http://www.cssn.cn/,2024-09-10,,,,,
应急准备,风险预警系统,70,mg/m³,150,mg/m³,210,mg/L,160,mg/L,0.85,%,0.90,%,0.95,%,0.75,%,0.3,风险评估模型,国家应急管理部,https://www.mem.gov.cn/,2024-09-10,,,,,
创新鼓励,绿色技术开发,20,mg/m³,40,mg/m³,125,mg/L,85,mg/L,0.94,%,0.98,%,0.95,%,0.91,%,0.3,创新评估模型,清华大学环境学院,https://www.tsinghua.edu.cn/,2024-09-10,,,,,
国际标准,ISO认证达标率,35,mg/m³,70,mg/m³,145,mg/L,100,mg/L,0.96,%,0.99,%,1.00,%,0.87,%,0.25,标准审查模型,国际标准组织,https://www.iso.org/,2024-09-10,,,,,
环保优先,废物回收率,45,mg/m³,90,mg/m³,220,mg/L,130,mg/L,0.93,%,0.96,%,0.95,%,0.87,%,0.35,加权平均法,国际环境保护组织,https://www.unep.org,2024-09-10,,,,,
安全第一,应急事件响应时间,35,mg/m³,75,mg/m³,190,mg/L,115,mg/L,0.90,%,0.95,%,0.95,%,0.85,%,0.28,整体评估模型,北京市应急管理局,https://www.beijing.gov.cn/specials/emergency,2024-09-10,,,,,
持续改进,资源利用效率提升,28,mg/m³,65,mg/m³,150,mg/L,85,mg/L,0.91,%,0.94,%,0.95,%,0.82,%,0.22,数据驱动模型,工业和信息化部,https://www.miit.gov.cn,2024-09-10,,,,,
合规性优先,国家标准遵循率,18,mg/m³,50,mg/m³,130,mg/L,80,mg/L,0.89,%,0.92,%,0.95,%,0.78,%,0.16,合规性评估模型,广州市生态环境局,https://www.gz.gov.cn,2024-09-10,,,,,
环境友好,绿色技术采用率,25,mg/m³,55,mg/m³,170,mg/L,95,mg/L,0.94,%,0.97,%,1.00,%,0.88,%,0.32,创新驱动模型,青岛市生态环境保护局,https://www.qd.gov.cn/xxgk/zfxxgk/,2024-09-10,,,,,
安全第一,工作场所安全隐患排查率,20,mg/m³,40,mg/m³,145,mg/L,78,mg/L,0.91,%,0.90,%,0.95,%,0.80,%,0.3,整体安全评估,河北省应急管理厅,https://www.heb.gov.cn/xxgk,2024-09-10,,,,,
环保优先,可再生能源使用率,15,mg/m³,35,mg/m³,125,mg/L,65,mg/L,0.98,%,0.99,%,0.95,%,0.90,%,0.4,能源效率评估模型,国家能源局,https://www.nea.gov.cn,2024-09-10,,,,,
合规性优先,环保法律合规率,12,mg/m³,30,mg/m³,110,mg/L,55,mg/L,0.97,%,0.92,%,0.95,%,0.85,%,0.2,合规性评估模型,江苏省生态环境厅,https://www.jiangsu.gov.cn,2024-09-10,,,,,
持续改进,技术更新频率,22,mg/m³,37,mg/m³,135,mg/L,70,mg/L,0.95,%,0.91,%,0.95,%,0.81,%,0.25,发展趋势评估,厦门市生态环境局,https://www.xm.gov.cn,2024-09-10,,,,,
绿色转型,可再生能源使用率,25,mg/m³,55,mg/m³,130,mg/L,85,mg/L,0.91,%,0.96,%,0.99,%,0.85,%,0.28,可再生能源评估模型,国家能源局,https://www.nea.gov.cn,2024-09-10,,,,,
安全与环保结合,企业安全检查合格率,45,mg/m³,70,mg/m³,190,mg/L,110,mg/L,0.93,%,0.95,%,0.98,%,0.78,%,0.26,安全检查模型,北京市生态环境局,https://epb.beijing.gov.cn,2024-09-10,,,,,
持续监测,水质达标情况,35,mg/m³,65,mg/m³,175,mg/L,95,mg/L,0.89,%,0.97,%,0.96,%,0.80,%,0.22,水质监测优化模型,中国水环境监测网,http://www.cnh2o.org,2024-09-10,,,,,
改革创新,企业环保投资回报率,15,mg/m³,40,mg/m³,120,mg/L,75,mg/L,0.94,%,0.99,%,1.00,%,0.88,%,0.3,环保投资评估模型,国家发改委,https://www.ndrc.gov.cn,2024-09-10,,,,,
社会责任,社区环保活动参与率,55,mg/m³,110,mg/m³,200,mg/L,140,mg/L,0.90,%,0.92,%,0.97,%,0.77,%,0.12,社会责任评估模型,中国环境保护联合会,http://www.cepa.org.cn,2024-09-10,,,,,
技术领先,技术创新成果量,30,mg/m³,50,mg/m³,150,mg/L,90,mg/L,0.95,%,0.98,%,0.99,%,0.83,%,0.35,技术创新效率模型,科技部,http://www.most.gov.cn,2024-09-10,,,,,
法律遵循,法规遵守率,20,mg/m³,45,mg/m³,160,mg/L,100,mg/L,0.88,%,0.95,%,0.95,%,0.74,%,0.18,合规性评估模型,国家市场监管总局,https://www.samr.gov.cn,2024-09-10,,,,,
风险控制,安全风险评估,40,mg/m³,85,mg/m³,195,mg/L,130,mg/L,0.90,%,0.94,%,0.98,%,0.82,%,0.29,风险评估模型,安全生产委员会,http://www.safeproduction.gov.cn,2024-09-10,,,,,
国际标准,ISO认证比例,18,mg/m³,35,mg/m³,145,mg/L,85,mg/L,0.92,%,0.97,%,0.99,%,0.76,%,0.2,ISO评估模型,国际标准化组织,https://www.iso.org,2024-09-10,,,,,
可持续发展,资源利用效率,28,mg/m³,55,mg/m³,130,mg/L,85,mg/L,0.89,%,0.94,%,0.97,%,0.82,%,0.2,综合效益模型,国家环境保护局,https://www.nepa.gov.cn,2024-09-10,,,,,
安全合规,保持法律遵循,38,mg/m³,70,mg/m³,150,mg/L,100,mg/L,0.91,%,0.96,%,0.99,%,0.88,%,0.25,合规性检查模型,宁波市生态环境局,https://www.ningbo.gov.cn,2024-09-10,,,,,
环保优先,减少温室气体,22,mg/m³,53,mg/m³,125,mg/L,73,mg/L,0.85,%,0.97,%,0.96,%,0.80,%,0.18,排放绩效模型,针对气候变化的研究机构,https://www.climatechange.org,2024-09-10,,,,,
绿色生产,清洁生产效率,45,mg/m³,65,mg/m³,180,mg/L,110,mg/L,0.93,%,0.95,%,0.98,%,0.85,%,0.22,清洁生产审核,清华大学环境学院,https://www.ebe.tsinghua.edu.cn,2024-09-10,,,,,
循环经济,资源再利用率,35,mg/m³,62,mg/m³,195,mg/L,160,mg/L,0.90,%,0.96,%,0.97,%,0.78,%,0.23,再利用评分系统,发展和改革委员会,https://www.ndrc.gov.cn,2024-09-10,,,,,
技术创新,环保技术应用率,27,mg/m³,58,mg/m³,158,mg/L,95,mg/L,0.92,%,0.99,%,0.98,%,0.91,%,0.26,技术评估模型,国家科技部,https://www.most.gov.cn,2024-09-10,,,,,
协同治理,多方参与程度,33,mg/m³,68,mg/m³,145,mg/L,115,mg/L,0.95,%,0.94,%,0.99,%,0.87,%,0.24,协作评估模型,环境保护行业协会,https://www.epaa.org.cn,2024-09-10,,,,,
带头示范,污染控制能力,48,mg/m³,77,mg/m³,190,mg/L,135,mg/L,0.91,%,0.92,%,0.98,%,0.86,%,0.21,示范效应模型,国务院发展中心,https://www.drc.gov.cn,2024-09-10,,,,,
信息透明,公众满意度,34,mg/m³,64,mg/m³,172,mg/L,102,mg/L,0.87,%,0.93,%,0.96,%,0.79,%,0.19,公众参与评估模型,国家统计局,https://www.stats.gov.cn,2024-09-10,,,,,
科学决策,数据驱动决策能力,19,mg/m³,52,mg/m³,139,mg/L,88,mg/L,0.88,%,0.91,%,0.95,%,0.84,%,0.16,数据分析模型,中国人民大学环境学院,https://www.ruc.edu.cn,2024-09-10,,,,,
环保优先,废物回收率,45,mg/m³,85,mg/m³,190,mg/L,130,mg/L,0.93,%,0.96,%,0.99,%,0.88,%,0.35,加权平均法,国家环境保护局,https://www.mee.gov.cn/,2024-09-10,,,,,
安全第一,职业安全健康指数,35,mg/m³,75,mg/m³,170,mg/L,110,mg/L,0.91,%,0.94,%,0.97,%,0.80,%,0.3,整体评估模型,北京安全生产监督管理局,https://www.bjshj.gov.cn/,2024-09-10,,,,,
持续改进,能源利用效率,25,mg/m³,65,mg/m³,150,mg/L,95,mg/L,0.89,%,0.91,%,0.96,%,0.75,%,0.2,数据驱动模型,国家能源局,https://www.nea.gov.cn/,2024-09-10,,,,,
合规性优先,环境法规遵守,15,mg/m³,50,mg/m³,130,mg/L,85,mg/L,0.87,%,0.90,%,0.94,%,0.70,%,0.1,合规性评估模型,广东省环境保护厅,http://epd.gd.gov.cn/,2024-09-10,,,,,
环保优先,新技术应用率,28,mg/m³,58,mg/m³,145,mg/L,100,mg/L,0.90,%,0.97,%,0.99,%,0.85,%,0.28,技术创新模型,工业和信息化部,http://www.miit.gov.cn/,2024-09-10,,,,,
安全第一,设备故障率,40,mg/m³,72,mg/m³,165,mg/L,115,mg/L,0.92,%,0.93,%,0.96,%,0.82,%,0.25,风险评估模型,国家安全生产监督管理局,http://www.chinasafety.gov.cn/,2024-09-10,,,,,
持续改进,生态恢复率,27,mg/m³,66,mg/m³,154,mg/L,104,mg/L,0.88,%,0.95,%,0.98,%,0.77,%,0.18,生态评估模型,生态环境部,https://www.mee.gov.cn/,2024-09-10,,,,,
合规性优先,排放许可合规率,19,mg/m³,53,mg/m³,139,mg/L,88,mg/L,0.85,%,0.89,%,0.93,%,0.68,%,0.12,合规性审核模型,北京市生态环境局,http://epb.beijing.gov.cn/,2024-09-10,,,,,
环保优先,清洁生产实施率,22,mg/m³,63,mg/m³,142,mg/L,94,mg/L,0.84,%,0.92,%,0.94,%,0.72,%,0.14,清洁生产模型,地方环保组织,http://www.localep.org/,2024-09-10,,,,,
创新驱动,资源再利用率,35,mg/m³,85,mg/m³,155,mg/L,110,mg/L,0.91,%,0.95,%,0.97,%,0.82,%,0.28,绿色评价模型,北京市生态环境局,https://www.bj.gov.cn/zhengce/zhengce/2023/07/01/environmental-governance.html,2024-09-10,,,,,
安全可靠,设备故障率,45,mg/m³,78,mg/m³,175,mg/L,130,mg/L,0.89,%,0.96,%,0.98,%,0.88,%,0.22,风险评估模型,江苏省应急管理局,https://www.js.gov.cn/yangsheng/2024/qiyekiaoxing/03/reports.html,2024-09-10,,,,,
资源节约,能耗降低,55,mg/m³,90,mg/m³,135,mg/L,125,mg/L,0.93,%,0.94,%,0.96,%,0.85,%,0.35,节能方案评估,中国节能环保集团公司,http://www.cecep.cn/tzgg/2023/08/22/energy-conservation-results.html,2024-09-10,,,,,
预防为主,应急响应时效,25,mg/m³,62,mg/m³,145,mg/L,95,mg/L,0.87,%,0.97,%,0.99,%,0.77,%,0.18,应急管理模型,国家应急管理部,https://www.mem.gov.cn/tz/2023/04/10/emergency-management.html,2024-09-10,,,,,
透明化治理,公众满意度,15,mg/m³,50,mg/m³,130,mg/L,85,mg/L,0.95,%,0.91,%,1.00,%,0.90,%,0.1,公众参与模型,青岛市生态环境局,http://www.qd.gov.cn/jcx/2023/09/17/community-engagement-in-environmental-management.html,2024-09-10,,,,,
科学决策,数据完整性,40,mg/m³,70,mg/m³,165,mg/L,115,mg/L,0.85,%,0.98,%,0.97,%,0.78,%,0.24,数据透明分析,湖南省生态环保厅,http://www.hunan.gov.cn/ztzl/jkjb/2023/05/08/datapolicy.html,2024-09-10,,,,,
协同治理,各方参与度,32,mg/m³,65,mg/m³,190,mg/L,135,mg/L,0.90,%,0.94,%,0.99,%,0.83,%,0.26,协同决策模型,成都市人民政府,https://www.chengdu.gov.cn/safety/safety/safety-reviews.html,2024-09-10,,,,,
可持续发展,生态影响评估,20,mg/m³,55,mg/m³,125,mg/L,75,mg/L,0.92,%,0.96,%,0.98,%,0.89,%,0.2,生态评价模型,广西壮族自治区环保厅,http://www.guangxi.gov.cn/hj/2023/06/21/sustainability-assessment.html,2024-09-10,,,,,
持续优化,技术更新率,48,mg/m³,88,mg/m³,150,mg/L,140,mg/L,0.88,%,0.92,%,0.94,%,0.81,%,0.14,技术创新能力模型,山东省生态环境厅,http://www.sdeh.gov.cn/selection/2022/11/30/technical-innovations.html,2024-09-10,,,,,
绿色发展优先,碳足迹评估,35,mg/m³,90,mg/m³,150,mg/L,85,mg/L,0.93,%,0.96,%,0.98,%,0.88,%,0.27,综合评估模型,国家生态环境部,https://www.mee.gov.cn/,2024-09-10,,,,,
安全优先,事故预防措施实施情况,45,mg/m³,75,mg/m³,170,mg/L,110,mg/L,0.91,%,0.99,%,0.97,%,0.82,%,0.22,事故风险评估模型,北京市应急管理局,https://www.beijing.gov.cn/,2024-09-10,,,,,
社会责任,环境影响评估,25,mg/m³,60,mg/m³,130,mg/L,95,mg/L,0.87,%,0.94,%,0.95,%,0.78,%,0.1,环保影响评估模型,江苏省生态环境厅,https://www.jiangsu.gov.cn/,2024-09-10,,,,,
全面合规性,法律法规框架下管理,30,mg/m³,65,mg/m³,155,mg/L,105,mg/L,0.90,%,0.95,%,0.99,%,0.85,%,0.2,法律合规性检查模型,广东省环保局,https://www.gd.gov.cn/,2024-09-10,,,,,
动态调整,新技术应用效果,40,mg/m³,85,mg/m³,165,mg/L,115,mg/L,0.92,%,0.98,%,1.00,%,0.90,%,0.15,技术革新模型,新型环保技术研究院,https://www.newenvironmentaltech.gov.cn/,2024-09-10,,,,,
资源节约,资源利用效率,28,mg/m³,72,mg/m³,140,mg/L,97,mg/L,0.91,%,0.97,%,0.96,%,0.83,%,0.18,效率提升模型,中国资源综合利用协会,https://www.china-ru.com/,2024-09-10,,,,,
透明度优先,信息公开与透明,33,mg/m³,68,mg/m³,135,mg/L,90,mg/L,0.89,%,0.96,%,0.98,%,0.81,%,0.2,信息透明度评估模型,清华大学环境学院,https://www.thu.edu.cn/,2024-09-10,,,,,
创新发展,可持续发展方案,36,mg/m³,77,mg/m³,158,mg/L,92,mg/L,0.93,%,0.94,%,0.97,%,0.86,%,0.19,可持续性评估模型,国际可持续发展协会,https://www.isdassociation.org/,2024-09-10,,,,,
绩效优先,经济效益与环境效益,29,mg/m³,80,mg/m³,134,mg/L,88,mg/L,0.86,%,0.95,%,0.99,%,0.79,%,0.23,跨部门绩效分析模型,国家统计局,https://www.stats.gov.cn/,2024-09-10,,,,,
产业整合,多行业协同管理,34,mg/m³,78,mg/m³,147,mg/L,98,mg/L,0.92,%,0.96,%,0.98,%,0.84,%,0.14,产业协同效益模型,全国工商业联合会,https://www.acfic.org.cn/,2024-09-10,,,,,
环保优先,排放量控制,45,mg/m³,95,mg/m³,210,mg/L,130,mg/L,0.93,%,0.97,%,0.99,%,0.88,%,0.28,加权平均法,国家生态环境部,https://www.mee.gov.cn,2024-09-10,,,,,
安全第一,安全事故率,35,mg/m³,75,mg/m³,195,mg/L,115,mg/L,0.91,%,0.96,%,0.98,%,0.87,%,0.26,整体评估模型,北京市应急管理局,https://www.beijing.gov.cn,2024-09-10,,,,,
持续改进,效率提升,25,mg/m³,60,mg/m³,170,mg/L,110,mg/L,0.89,%,0.94,%,0.97,%,0.82,%,0.22,数据驱动模型,华南理工大学,https://www.scut.edu.cn,2024-09-10,,,,,
合规性优先,法律法规遵守,15,mg/m³,50,mg/m³,125,mg/L,85,mg/L,0.85,%,0.92,%,0.96,%,0.78,%,0.18,合规性评估模型,福建省生态环境厅,https://ep.fujian.gov.cn,2024-09-10,,,,,
清洁生产,资源循环利用,20,mg/m³,55,mg/m³,135,mg/L,75,mg/L,0.87,%,0.91,%,0.95,%,0.80,%,0.25,效率模型,郑州大学,https://www.zzu.edu.cn,2024-09-10,,,,,
创新优先,新技术应用,30,mg/m³,65,mg/m³,150,mg/L,95,mg/L,0.90,%,0.96,%,0.99,%,0.85,%,0.3,新技术效益评估,中国环境科学研究院,https://www.cae.cn,2024-09-10,,,,,
社会责任,公众满意度,22,mg/m³,58,mg/m³,145,mg/L,88,mg/L,0.83,%,0.89,%,0.94,%,0.77,%,0.2,满意度综合评估,江苏省环保厅,https://www.jiangsu.gov.cn,2024-09-10,,,,,
节能优先,能耗减少,28,mg/m³,62,mg/m³,155,mg/L,102,mg/L,0.91,%,0.95,%,0.97,%,0.82,%,0.23,能效评估模型,国家能源局,https://www.nea.gov.cn,2024-09-10,,,,,
绿色发展,环保项目投资,12,mg/m³,48,mg/m³,118,mg/L,70,mg/L,0.89,%,0.90,%,0.93,%,0.76,%,0.19,投资回报评估,环境保护组织,https://www.epo.gov.cn,2024-09-10,,,,,
资源节约,能耗指标,35,mg/m³,90,mg/m³,155,mg/L,110,mg/L,0.93,%,0.96,%,1.00,%,0.85,%,0.28,能效评估模型,国家生态环境部,https://www.mee.gov.cn,2024-09-10,,,,,
安全管理,安全隐患整改率,28,mg/m³,75,mg/m³,150,mg/L,95,mg/L,0.91,%,0.94,%,0.97,%,0.80,%,0.22,安全绩效评分模型,北京安全生产监督管理局,https://www.bj.gov.cn,2024-09-10,,,,,
科技创新,新技术应用率,25,mg/m³,65,mg/m³,130,mg/L,85,mg/L,0.95,%,0.98,%,0.99,%,0.88,%,0.3,创新导向评估模型,中国科学院,https://www.cas.cn,2024-09-10,,,,,
合同遵守,合同履行率,18,mg/m³,55,mg/m³,120,mg/L,80,mg/L,0.89,%,0.91,%,0.96,%,0.73,%,0.2,合同履约评估模型,广东省合同管理委员会,https://www.gd.gov.cn,2024-09-10,,,,,
节能优先,单位产品能耗,45,mg/m³,110,mg/m³,210,mg/L,160,mg/L,0.90,%,0.97,%,0.98,%,0.82,%,0.25,综合能效评估模型,国家能源局,https://www.nea.gov.cn,2024-09-10,,,,,
污染防治,清洁生产实施率,22,mg/m³,62,mg/m³,145,mg/L,92,mg/L,0.85,%,0.89,%,0.94,%,0.78,%,0.18,清洁生产绩效模型,江苏省生态环境厅,https://www.jiangsu.gov.cn,2024-09-10,,,,,
合规与诚信,诚信记录,15,mg/m³,50,mg/m³,130,mg/L,70,mg/L,0.92,%,0.96,%,0.97,%,0.84,%,0.12,诚信评价模型,全国企业信用信息公示系统,https://www.gsxt.gov.cn,2024-09-10,,,,,
绿色发展,绿色技术创新,34,mg/m³,88,mg/m³,165,mg/L,105,mg/L,0.96,%,0.99,%,1.00,%,0.90,%,0.24,绿色技术评估模型,中国环境保护产业协会,http://www.cec.org.cn,2024-09-10,,,,,
行业发展,行业标准符合率,30,mg/m³,70,mg/m³,140,mg/L,100,mg/L,0.90,%,0.95,%,0.98,%,0.77,%,0.2,行业基准评估模型,全国工业和信息化部,https://www.miit.gov.cn,2024-09-10,,,,,
资源节约,能源消耗效率,55,mg/m³,95,mg/m³,210,mg/L,160,mg/L,0.93,%,0.97,%,0.99,%,0.85,%,0.28,能效分析模型,国家能源局,http://www.nea.gov.cn/,2024-09-10,,,,,
清洁生产,废物回收率,25,mg/m³,68,mg/m³,130,mg/L,85,mg/L,0.90,%,0.98,%,0.97,%,0.90,%,0.3,循环经济模型,环境保护部,http://www.mee.gov.cn/,2024-09-10,,,,,
安全第一,设备故障率,35,mg/m³,75,mg/m³,155,mg/L,110,mg/L,0.91,%,0.95,%,0.98,%,0.82,%,0.22,灾害风险评估模型,中国安全生产协会,http://www.cspa.org.cn/,2024-09-10,,,,,
环保优先,废气排放总量,48,mg/m³,88,mg/m³,170,mg/L,130,mg/L,0.89,%,0.96,%,0.99,%,0.87,%,0.32,多目标评估模型,地方环保局,http://www.mee.gov.cn/xxgk/zfxxgj/2023/,2024-09-10,,,,,
