试验题目,登记号,生物合成技术名称,适用领域,申办者类型,申办者,合作者类型,合作者,研究类型,试验状态,试验分期,注册地区,试验国家/地区,登记日期,开始日期,完成日期,最新变更日期,系统构成,采集来源,来源链接,采集时间,备注
干细胞与合成生物技术结合的研究,2023-011,干细胞 engineering,再生医学,学术机构,中山大学,企业,广州医疗科技公司,应用研究,正在进行,2,广州市,中国,2023-09-15,2023-10-01,2025-10-01,2024-10-12,干细胞合成技术平台,广东省卫健委,http://www.gd.gov.cn/,2024-09-25,
基因编辑在作物改良中的应用,2023-012,CRISPR/Cas9,农业,企业,北京农业科技公司,学术机构,中国农业科学院,应用研究,正在进行,1,北京市,中国,2023-10-20,2023-11-01,2024-10-20,2024-10-12,作物基因改良系统,北京市农业局,http://www.agri.gov.cn/,2024-09-25,
基因组编辑动物试验,2023-004,基因组编辑技术,畜牧业、医疗,企业,广州生命科技公司,学术机构,华南农业大学,应用研究,正在进行,1,广东省,中国,2023-02-05,2023-03-01,2024-02-28,2024-10-12,基因组编辑系统,广东省科技厅,https://www.gdstc.gov.cn/research/2023/02/05/genome_editing.html,2024-09-25,
合成燃料开发试验,2023-005,合成生物燃料,能源、交通,企业,北京新能源科技有限公司,学术机构,清华大学,应用研究,底本完成,2,北京市,中国,2023-04-15,2023-05-01,2025-04-30,2024-10-12,生物质转化系统,国资委,https://www.sasac.gov.cn/technology/2023/04/15/synthetic_fuel_development.html,2024-09-25,
细菌疫苗研发试验,2023-006,合成疫苗技术,疫苗研发、公共卫生,学术机构,复旦大学,企业,上海生物制药厂,基础研究,正在进行,1,上海市,中国,2023-05-10,2023-06-01,2024-05-31,2024-10-12,细菌疫苗系统,上海市疾病预防控制中心,https://www.scdc.gov.cn/vaccine/2023/05/10/bacterial_vaccine_trial.html,2024-09-25,
抗癌药物合成试验,2023-007,合成生物药物,制药、医疗,企业,南京药业有限公司,学术机构,南京医科大学,应用研究,进行中,2,江苏省,中国,2023-06-20,2023-07-01,2025-06-30,2024-10-12,生物合成药物系统,江苏省卫生健康委员会,https://www.jshwc.gov.cn/pharmaceuticals/2023/06/20/cancer_drug_synthesis.html,2024-09-25,
智能细胞工厂试验,2023-008,智能细胞合成,食品、制药,企业,天津智能生物公司,学术机构,天津大学,合成研究,已经完成,3,天津市,中国,2023-07-15,2023-08-01,2024-07-31,2024-10-12,智能细胞合成系统,中国科学院,https://www.cas.cn/technology/2023/07/15/smart_cell_factory.html,2024-09-25,
基因治疗新方法研究,2023-009,基因疗法,医疗、遗传学,学术机构,厦门大学,企业,厦门基因科技有限公司,基础研究,正在进行,1,福建省,中国,2023-08-10,2023-09-01,2025-08-31,2024-10-12,基因治疗系统,福建省科学技术厅,https://www.fjkst.gov.cn/medicine/2023/08/10/gene_therapy_study.html,2024-09-25,
生物合成绿色化学试验,2023-010,绿色生物合成,环境、化学,企业,重庆绿色科技有限公司,学术机构,重庆大学,应用研究,正在进行,2,重庆市,中国,2023-09-05,2023-10-01,2025-09-30,2024-10-12,绿色合成系统,重庆市环保局,https://www.cqepb.gov.cn/green/2023/09/05/green_chemistry.html,2024-09-25,
植物合成抗性试验,2023-011,合成植物抗性基因,农业、生态,学术机构,四川大学,企业,成都农业科技公司,应用研究,正在进行,1,四川省,中国,2023-10-15,2023-11-01,2025-10-31,2024-10-12,植物抗性合成系统,四川省农委,https://www.scagri.gov.cn/plant_resistance/2023/10/15/synthetic_resistance_trial.html,2024-09-25,
农业合成微生物实验,2023-012,合成土壤微生物,农业、环保,企业,湖北生物农业科技有限公司,学术机构,武汉大学,基础研究,正在进行,1,湖北省,中国,2023-11-01,2023-12-01,2025-11-30,2024-10-12,土壤微生物合成系统,湖北省科技局,https://www.hbsta.gov.cn/agriculture/2023/11/01/synthetic_microbial_experiment.html,2024-09-25,
新型合成生物塑料试验,2023-004,合成生物塑料,环保、材料科学,企业,福建绿能科技有限公司,学术机构,国防科技大学,应用研究,准备中,1,福州市,中国,2023-07-01,2023-08-15,2024-12-31,2024-10-12,生物降解塑料系统,中国科学院生物研究所,https://www.cas.cn,2024-09-25,
微生物合成新药物试验,2023-005,微生物合成技术,制药,学术机构,复旦大学,企业,华东制药集团,基础研究,正在进行,2,上海市,中国,2023-06-10,2023-07-01,2025-06-30,2024-10-10,抗生素合成机制,国家药品监督管理局,https://www.nmpa.gov.cn,2024-09-25,
合成生物燃料项目,2023-006,合成生物燃料,能源,企业,中石化集团,学术机构,清华大学,应用研究,正在进行,1,北京市,中国,2023-08-10,2023-09-01,2024-09-01,2024-10-12,生物合成柴油系统,中国能源研究会,https://www.cneri.org.cn,2024-09-25,
合成生物衰老研究试验,2023-007,合成生物学,医学、老年学,学术机构,南京大学,企业,辉瑞制药公司,基础研究,即将开始,1,南京市,中国,2023-09-05,2023-10-01,2025-04-30,2024-10-12,衰老基因修复系统,中国老年医学学会,http://www.cgam.org.cn,2024-09-25,
合成大规模生产系统研究,2023-008,大规模合成平台,制药、食品,企业,全球食品科技有限公司,学术机构,浙江大学,应用研究,结束,3,杭州市,中国,2022-06-15,2022-07-01,2023-06-30,2023-10-12,合成生产优化系统,中国食品药品检定研究院,https://www.nifdc.org.cn,2024-09-25,
合成生物传感器开发实验,2023-009,生物传感器,医疗、环境监测,企业,阿里健康科技有限公司,学术机构,同济大学,应用研究,准备中,1,上海市,中国,2023-10-15,2023-11-01,2025-10-31,2024-10-12,多功能传感器系统,上海市科技委员会,https://www.stcsm.gov.cn,2024-09-25,
合成生物基因组编辑技术,2023-010,基因组编辑,农业、医学,学术机构,中山大学,企业,农业银行,基础研究,正在进行,2,广州市,中国,2023-08-20,2023-09-15,2025-08-30,2024-10-12,CRISPR改良系统,广东省科技厅,https://www.gdstc.gov.cn,2024-09-25,
改良合成细胞系统的试验,2023-011,高级合成细胞,生物医药,企业,上海新生物科技有限公司,学术机构,厦门大学,应用研究,准备中,1,厦门市,中国,2023-09-12,2023-10-10,2025-07-10,2024-10-12,多用途合成细胞系统,厦门市科技局,http://www.xmstech.gov.cn,2024-09-25,
生物合成食品添加剂试验,2023-012,食品合成技术,食品、饮料,企业,亿滋国际公司,学术机构,华南理工大学,应用研究,结束,2,广州市,中国,2023-07-05,2023-08-01,2024-06-30,2024-10-12,食品安全合成系统,广东省食品安全局,https://www.gdsp.gov.cn,2024-09-25,
合成生物塑料技术试验,2023-004,合成生物塑料,环境保护、材料科学,企业,广州生态科技有限公司,学术机构,华南理工大学,应用研究,正在进行,2,广州市,中国,2023-06-10,2023-07-01,2025-06-30,2024-10-12,生物基塑料合成系统,广州市科技局,https://www.gztech.gov.cn,2024-09-25,
基因合成生物电池试验,2023-005,生物电池,可再生能源,企业,成都新能公司,学术机构,西南财经大学,应用研究,即将开始,1,成都市,中国,2023-06-20,2023-11-01,2024-10-31,2024-10-12,基因电池系统,成都市可再生能源协会,https://www.cdrenewable.org,2024-09-25,
合成生物疫苗开发试验,2023-006,合成疫苗,公共卫生,学术机构,清华大学医学院,企业,万泰生物科技公司,基础研究,正在进行,3,北京市,中国,2023-07-05,2023-08-01,2025-07-31,2024-10-12,合成疫苗系统,国家药品监督管理局,http://www.nmpa.gov.cn,2024-09-25,
合成植物抗病性研究试验,2023-007,基因修饰植物,农业、生物技术,企业,江苏农业科技公司,学术机构,南京农业大学,基础研究,计划中,1,南京市,中国,2023-08-12,2024-01-15,2024-12-31,2024-10-12,转基因植物系统,江苏省农业农村厅,http://www.jiangsu.gov.cn,2024-09-25,
合成生物数据分析平台试验,2023-008,生物数据分析,数据科学、人工智能,学术机构,复旦大学计算机科学学院,企业,光启元科技公司,应用研究,正在进行,2,上海市,中国,2023-09-15,2023-10-01,2025-09-30,2024-10-12,生物数据处理系统,上海市科学技术委员会,https://stcsm.sh.gov.cn,2024-09-25,
合成微生物为何重载试验,2023-009,重载合成微生物,制药、食品,企业,武汉生物科技集团,学术机构,武汉大学,基础研究,即将开始,1,武汉市,中国,2023-09-25,2024-04-01,2025-03-31,2024-10-12,合成微生物重载系统,武汉经济技术开发区,https://www.wuhan.gov.cn,2024-09-25,
合成能量储存系统试验,2023-010,合成能量系统,能源、储能,科研机构,中国科学院深圳先进技术研究院,企业,中科大能源科技有限公司,应用研究,进行中,2,深圳市,中国,2023-10-02,2023-11-01,2025-10-31,2024-10-12,合成能量存储系统,深圳市发展和改革委员会,http://www.sz.gov.cn,2024-09-25,
合成生物基因组编辑应用试验,2023-011,基因组编辑,农业、医药,企业,浙江生物技术公司,学术机构,浙江大学,基础研究,进行中,1,杭州市,中国,2023-10-05,2023-11-01,2025-10-31,2024-10-12,CRISPR/Cas12系统,浙江省科学技术厅,http://www.zhejiang.gov.cn,2024-09-25,
合成微生物食品加工试验,2023-012,合成微生物食品,食品工业,企业,青岛海洋生物科技有限公司,学术机构,中国海洋大学,应用研究,计划中,1,青岛市,中国,2023-10-15,2024-01-01,2025-01-01,2024-10-12,合成微生物食品加工系统,山东省食品药品监督管理局,http://www.shandong.gov.cn,2024-09-25,
合成生物质能技术试验,2023-004,生物质能转化,能源、环境,企业,广州绿色能源科技有限公司,学术机构,中山大学,应用研究,即将开始,1,广州市,中国,2023-07-15,2023-09-01,2024-08-31,2024-10-12,生物质转化系统,广州科技局,https://www.gz.gov.cn/technology/2023/07/15/bioenergy_research.html,2024-09-25,
合成转基因植物试验,2023-005,转基因技术,农业,企业,南京农科院科技有限公司,学术机构,南京农业大学,基础研究,正在进行,1,南京市,中国,2023-08-05,2023-09-01,2025-02-28,2024-10-12,转基因植物系统,江苏省农业厅,https://www.jiangsu.gov.cn/agriculture/2023/08/05/gmo_research.html,2024-09-25,
合成微生物治疗技术试验,2023-006,合成微生物治疗,医疗,企业,成都生物医药公司,学术机构,四川大学,应用研究,即将开始,1,成都市,中国,2023-09-10,2023-11-01,2025-05-01,2024-10-12,合成微生物治疗系统,四川生命科学局,https://www.sc.gov.cn/lifesciences/2023/09/10/synthetic_microbiology.html,2024-09-25,
合成基因组研究技术试验,2023-007,合成基因组技术,学术研究,学术机构,中国科学院合成生物学研究所,企业,阿里巴巴生物科技,基础研究,完成,3,北京市,中国,2023-06-01,2023-07-01,2024-05-31,2024-10-12,合成基因组系统,中国科学院,https://www.cas.cn/research/2023/06/01/synthetic_genomics.html,2024-09-25,
合成药物开发研究试验,2023-008,合成药物开发,制药,企业,深圳药业有限公司,学术机构,北京大学,应用研究,正在进行,2,深圳市,中国,2023-10-01,2023-11-15,2025-05-01,2024-10-12,合成药物系统,国家药品监督管理局,https://www.nmpa.gov.cn/pharmaceuticals/2023/10/01/synthetic_drug_research.html,2024-09-25,
合成生物材料试验,2023-009,生物材料合成,材料科学,学术机构,清华大学材料科学系,企业,华为技术有限公司,基础研究,即将开始,1,北京市,中国,2023-09-25,2023-12-10,2025-03-10,2024-10-12,生物材料合成系统,北京市科学技术委员会,https://www.bj.gov.cn/materials/2023/09/25/synthetic_materials.html,2024-09-25,
合成疫苗研究试验,2023-010,合成疫苗技术,医疗,企业,华东药品科技有限公司,学术机构,复旦大学,应用研究,正在进行,3,上海市,中国,2023-11-01,2023-12-15,2025-06-15,2024-10-12,合成疫苗系统,上海市卫生健康委员会,https://www.shanghai.gov.cn/health/2023/11/01/synthetic_vaccines.html,2024-09-25,
智能合成研究试验,2023-011,人工智能驱动合成,综合应用,学术机构,北京理工大学,企业,腾讯科技有限公司,基础研究,即将开始,1,北京市,中国,2023-12-01,2024-01-15,2025-07-15,2024-10-12,智能合成系统,北京市科技委员会,https://www.bj.gov.cn/ai/2023/12/01/intelligent_synthesis.html,2024-09-25,
合成生物燃料技术开发,2023-004,生物燃料合成,能源、环境,企业,广州绿色能源公司,学术机构,中山大学,应用研究,正在进行,1,广州市,中国,2023-03-15,2023-04-01,2025-04-01,2024-10-12,生物催化反应系统,广东省能源局,http://www.gdenergy.gov.cn,2024-09-25,
基因驱动技术应用研究,2023-005,基因驱动,农业、生态,学术机构,华南农业大学,企业,农田科技公司,基础研究,已完成,3,广州市,中国,2023-02-20,2023-03-01,2024-06-30,2024-09-10,基因驱动元素,国家农业科技中心,http://www.nstc.gov.cn,2024-09-25,
新型抗体合成技术试验,2023-006,抗体合成,医疗、生物技术,企业,杭州生物医药公司,学术机构,浙江大学,应用研究,正在进行,1,杭州市,中国,2023-04-20,2023-05-01,2025-04-30,2024-10-12,重组蛋白系统,国家食品药品监督管理局,http://www.nmpa.gov.cn,2024-09-25,
定向进化技术应用研究,2023-007,定向进化,生物制药,学术机构,上海科技大学,企业,万华化学集团,基础研究,正在进行,2,上海市,中国,2023-03-05,2023-03-15,2025-03-14,2024-10-12,进化众筹平台,上海市科技委员会,http://www.stcsm.gov.cn,2024-09-25,
合成生物警报分子技术,2023-008,生物警报分子,传感器、环境监控,企业,成都环境监测公司,学术机构,四川大学,应用研究,已完成,1,成都市,中国,2023-04-05,2023-04-10,2024-01-10,2024-06-01,生物传感器体系,四川省科技厅,http://www.sc.gov.cn,2024-09-25,
合成植物病毒抵御技术,2023-009,病毒抵御机制,农业,学术机构,南京农业大学,企业,正大集团,基础研究,正在进行,2,南京市,中国,2023-05-10,2023-05-15,2025-05-14,2024-10-12,植物免疫调控系统,江苏省农业部门,http://www.jiangsu.gov.cn,2024-09-25,
生物计算与合成技术整合研究,2023-010,合成生物计算,计算机科学、合成生物学,企业,北京智能科技公司,学术机构,清华大学,应用研究,正在进行,1,北京市,中国,2023-06-01,2023-06-10,2024-12-10,2024-10-12,生物计算模拟平台,北京市科技委员会,http://www.bjst.gov.cn,2024-09-25,
微生物合成新型药物试验,2023-011,微生物合成,医药、生物科技,学术机构,西安交通大学,企业,创新药业公司,应用研究,正在进行,1,西安市,中国,2023-06-15,2023-06-20,2025-06-19,2024-10-12,微生物生产平台,陕西省科技厅,http://www.shaanxi.gov.cn,2024-09-25,
食品合成生物技术开发,2023-012,食品合成,食品、营养,企业,郑州食品科技公司,学术机构,郑州大学,应用研究,已完成,2,郑州市,中国,2023-07-01,2023-07-05,2024-12-01,2024-08-15,食品安全检测系统,河南省市场监督管理局,http://www.henan.gov.cn,2024-09-25,
合成植物抗疫苗研究,2023-004,合成植物基因组,农业、食品安全,企业,北京新农科技有限公司,学术机构,中国农业大学,应用研究,正在进行,1,北京市,中国,2023-02-20,2023-03-01,2024-02-28,2024-10-12,改良植物基因系统,农业部科技发展中心,https://www.moa.gov.cn/ztzl/kjfz/scyb/,2024-09-25,
生物合成塑料技术开发,2023-005,生物基塑料合成,材料科学、环保,企业,江苏现代塑料科技公司,学术机构,南京大学,基础研究,已完成,2,江苏省,中国,2023-01-30,2023-02-15,2023-10-31,2024-10-12,生物基聚合物体系,环境保护部,https://www.mee.gov.cn/gkml/hbb/index.html,2024-09-25,
人工智能助力合成生物技术研究,2023-006,合成生物数据分析,信息技术、生物技术,学术机构,清华大学,企业,阿里巴巴集团,应用研究,正在进行,1,北京市,中国,2023-06-01,2023-06-10,2024-06-09,2024-10-12,AI数据分析系统,高科技产业部,https://www.miit.gov.cn/,2024-09-25,
合成生物燃料开发试验,2023-007,微生物合成燃料,能源、环保,企业,山东新能源股份公司,政府机构,国家能源局,应用研究,正在进行,3,山东省,中国,2023-04-15,2023-05-01,2025-04-30,2024-10-12,微生物发酵系统,能源科学研究中心,https://www.nea.gov.cn/,2024-09-25,
生物合成药物技术研究,2023-008,合成抗生素,制药、医疗,企业,广东制药有限公司,学术机构,中山大学,基础研究,已完成,2,广东省,中国,2023-02-25,2023-03-15,2024-03-14,2024-10-12,抗生素合成系统,国家食品药品监督管理局,https://www.nmpa.gov.cn/,2024-09-25,
新型疫苗的合成技术试验,2023-009,合成疫苗技术,医疗、公共卫生,学术机构,复旦大学,企业,广州生物药业公司,基础研究,正在进行,1,上海市,中国,2023-07-10,2023-07-20,2024-07-19,2024-10-12,合成疫苗平台,公共卫生委员会,https://www.nhc.gov.cn/,2024-09-25,
合成生物技术促进粮食安全研究,2023-010,基因显性技术,农业、食品安全,企业,安徽粮食科技集团,学术机构,河南农业大学,应用研究,正在进行,2,安徽省,中国,2023-08-15,2023-09-01,2025-08-31,2024-10-12,新型基因改造系统,国家粮食局,https://www.gov.cn/zhengce/zhengceku/202009/24/5545020/files/20200924.pdf,2024-09-25,
新型合成生物装置开发,2023-011,微创合成设备,医疗器械、技术创新,企业,浙江生物技术有限公司,学术机构,中国科学院,基础研究,已完成,3,浙江省,中国,2023-03-31,2023-04-20,2025-04-19,2024-10-12,合成生物装置平台,科学技术部,https://www.most.gov.cn/,2024-09-25,
新一代合成生物信息处理技术,2023-012,遗传信息合成,信息技术、生命科学,学术机构,哈尔滨工业大学,企业,华为技术有限公司,应用研究,正在进行,1,黑龙江省,中国,2023-05-10,2023-06-01,2024-05-31,2024-10-12,遗传信息处理系统,电子信息产业部,https://www.miit.gov.cn/,2024-09-25,
合成酵母研究试验,2023-004,合成酵母技术,食品、制药,企业,广州合成生物科技有限公司,学术机构,中山大学,应用研究,正在进行,1,广州市,中国,2023-02-01,2023-03-01,2024-03-31,2024-10-12,合成酵母细胞,广东省科技厅,https://www.gdstc.gov.cn/,2024-09-25,
植物合成生物技术试验,2023-005,植物合成生物技术,农业,学术机构,南京农业大学,企业,江苏农科院,基础研究,已完成,3,南京市,中国,2022-11-10,2022-12-01,2024-10-31,2024-10-12,转基因植物,中国农业科学院,http://www.caas.cn/,2024-09-25,
合成生物燃料试验,2023-006,合成生物燃料,能源,企业,国电投新能源公司,学术机构,清华大学,应用研究,正在进行,2,北京市,中国,2023-04-15,2023-05-01,2025-04-30,2024-10-12,合成代谢路径,中国科学技术协会,http://www.cast.org.cn/,2024-09-25,
细胞工厂与代谢工程试验,2023-007,细胞工厂技术,制药,学术机构,复旦大学,企业,上海医药集团,基础研究,正在进行,1,上海市,中国,2023-05-01,2023-06-01,2025-05-31,2024-10-12,代谢工程细胞,上海市科技委员会,https://www.sstc.sh.gov.cn/,2024-09-25,
基于AI的合成生物实验,2023-008,人工智能合成生物,生物科技,企业,华为技术有限公司,学术机构,北京理工大学,应用研究,正在进行,2,北京市,中国,2023-03-15,2023-04-01,2025-03-31,2024-10-12,AI协同合成路线,人工智能研究院,https://www.airesearch.cn/,2024-09-25,
气候智能合成生物研究试验,2023-009,Climate-Smart Bioengineering,环境经济,国际组织,联合国环境规划署,学术机构,武汉大学,基础研究,计划中,1,武汉市,中国,2023-07-10,2023-08-01,2024-07-31,2024-10-12,气候智能微生物,国家气候信息中心,http://www.ncc.gov.cn/,2024-09-25,
合成生物材料试验,2023-010,合成生物材料,制造业,企业,阿里巴巴集团,学术机构,浙江大学,应用研究,正在进行,3,杭州市,中国,2023-02-20,2023-03-15,2025-03-14,2024-10-12,合成聚合物,宁波市科学技术局,https://www.nbzx.gov.cn/,2024-09-25,
合成生物海洋微生物研究试验,2023-011,合成海洋微生物,海洋科学,企业,深海生物技术研究所,学术机构,厦门大学,基础研究,已完成,1,厦门市,中国,2023-05-30,2023-06-01,2024-05-31,2024-10-12,海洋微生物合成系统,中国海洋研究所,http://www.qdso.org/,2024-09-25,
合成蛋白质生产试验,2023-012,合成蛋白质技术,制药、食品,学术机构,天津大学,企业,天士力集团,应用研究,计划中,1,天津市,中国,2023-06-25,2023-07-01,2024-06-30,2024-10-12,合成蛋白质表达系统,天津市科学技术局,http://www.tj.gov.cn/,2024-09-25,
环境友好型生物降解材料研究,2023-004,生物降解塑料合成,环保、材料科学,企业,广州环保科技有限公司,学术机构,华南理工大学,应用研究,正在进行,1,广州市,中国,2023-02-10,2023-03-01,2024-08-31,2024-10-12,聚乳酸（PLA）合成系统,广东省环境保护局,https://www.gdep.gov.cn,2024-09-25,
合成生物在疫苗开发中的应用,2023-005,合成生物学疫苗,医疗、疫苗研发,学术机构,清华大学生命科学学院,企业,北京生物医药公司,基础研究,正在进行,2,北京市,中国,2023-07-15,2023-08-01,2025-07-31,2024-10-12,重组蛋白疫苗系统,国家疾病预防控制中心,https://www.chinacdc.cn,2024-09-25,
植物合成生物学在粮食安全中的研究,2023-006,合成植物改良,农业、食品安全,企业,成都农业生物技术公司,学术机构,中国科学院植物研究所,应用研究,已完成,3,成都市,中国,2023-04-01,2023-05-01,2025-04-30,2024-10-12,转基因作物系统,四川省农业厅,https://www.scagri.gov.cn,2024-09-25,
新型酶催化反应的研发,2023-007,合成酶工程,制药、化学,学术机构,复旦大学化学系,企业,上海制药有限公司,基础研究,进行中,1,上海市,中国,2023-08-20,2023-09-01,2024-09-01,2024-10-12,重组酶工程系统,上海市科学技术委员会,https://stcsm.sh.gov.cn,2024-09-25,
合成生物学在生物传感器中的应用研究,2023-008,生物传感器合成,医疗、环境监测,企业,杭州智能生物技术公司,学术机构,浙江大学,应用研究,正在进行,2,杭州市,中国,2023-06-12,2023-06-20,2025-06-19,2024-10-12,合成生物传感器系统,浙江省科技厅,https://www.zjst.gov.cn,2024-09-25,
微生物合成燃料的可行性研究,2023-009,微生物燃料合成,能源、环保,企业,西安生物能源公司,学术机构,西安交通大学,应用研究,正在进行,1,西安市,中国,2023-07-05,2023-08-01,2025-07-31,2024-10-12,微生物燃料合成系统,陕西省科学技术厅,https://www.sxst.gov.cn,2024-09-25,
合成生物学在个性化医疗中的应用,2023-010,个性化基因疗法,医疗、基因治疗,企业,深圳个性化医疗公司,学术机构,中山大学,基础研究,正在进行,3,深圳市,中国,2023-09-05,2023-09-15,2026-09-14,2024-10-12,个性化基因编辑系统,广东省卫生健康委员会,https://www.gdhw.gov.cn,2024-09-25,
新一代基因组编辑技术的开发,2023-011,新一代基因组编辑,农业、生物医药,学术机构,北京师范大学,企业,中科院合成生物学中心,应用研究,正在进行,2,北京市,中国,2023-10-01,2023-10-15,2025-10-14,2024-10-12,新型CRISPR系统,北京科技局,https://www.bjkj.gov.cn,2024-09-25,
基于合成生物学的人工智能药物筛选平台,2023-012,AI药物筛选,医疗、制药,企业,上海人工智能药物公司,学术机构,复旦大学,应用研究,即将开始,0,上海市,中国,2023-10-20,2023-11-01,2025-10-31,2024-10-12,AI与合成生物结合系统,上海市卫生健康委员会,https://www.shwst.gov.cn,2024-09-25,
合成疫苗技术试验,2023-004,合成疫苗平台,医疗、公共卫生,企业,广州生物医药公司,学术机构,中山大学,基础研究,正在进行,1,广州市,中国,2023-02-28,2023-03-10,2025-03-10,2024-10-12,mRNA疫苗合成系统,广州医学研究院,https://www.gzmedresearch.com,2024-09-25,
合成生物防治技术试验,2023-005,生态合成生物防治技术,农业、生态保护,学术机构,南京农业大学,企业,南京生物科技有限公司,应用研究,完成,2,南京市,中国,2023-01-12,2023-02-01,2024-12-30,2024-09-15,合成生物防治微生物,农业部生物科技中心,https://www.moa.gov.cn,2024-09-25,
合成植物抗虫基因试验,2023-006,基因编辑抗虫作物,农业、食品安全,企业,河南农业科研公司,学术机构,中国农业大学,基础研究,正在进行,1,郑州市,中国,2023-05-01,2023-06-01,2025-06-01,2024-11-30,抗虫基因合成系统,农业科研网,https://www.agriculturalscience.cn,2024-09-25,
合成生物燃料生产试验,2023-007,微生物合成生物燃料,能源、环保,企业,青岛新能源公司,学术机构,青岛科技大学,应用研究,待开始,1,青岛市,中国,2023-08-15,2023-10-01,2025-10-01,2024-12-12,合成生物燃料生产系统,青岛市科技局,https://www.qd.gov.cn,2024-09-25,
合成生物医药平台试验,2023-008,合成生物医药平台,医药、生物技术,学术机构,复旦大学,企业,复星医药,基础研究,正在进行,3,上海市,中国,2023-04-20,2023-05-01,2025-05-01,2024-05-20,合成生物医药系统,国家药监局,https://www.nmpa.gov.cn,2024-09-25,
合成功能性食品试验,2023-009,功能性食品合成,食品科技、健康产业,企业,杭州健康科技公司,学术机构,浙江大学,应用研究,待开始,2,杭州市,中国,2023-06-10,2023-09-01,2025-09-01,2024-11-01,功能性食品合成系统,浙江省食品科学协会,https://www.zhejiangfoodsci.org,2024-09-25,
合成生物疾病预防技术试验,2023-010,合成抗体技术,医疗、生命科学,学术机构,清华大学,企业,默克生命科学,基础研究,完成,1,北京市,中国,2023-03-30,2023-04-15,2024-04-15,2024-08-20,合成抗体表达系统,国家卫生健康委员会,https://www.nhc.gov.cn,2024-09-25,
合成微藻生物技术试验,2023-011,微藻培养与合成技术,环保、能源,企业,潍坊环保科技公司,学术机构,山东大学,应用研究,正在进行,2,潍坊市,中国,2023-05-15,2023-06-15,2025-06-15,2024-11-12,微藻培养系统,青岛海洋科学与技术试验所,https://www.qdmarinesci.com,2024-09-25,
