登记号,地方标准,合成生物技术名称,合成生物技术类型,试验状态,试验分期,试验分类,申办者单位,试验机构,登记日期,试验开始时间,试验终止时间,最新状态日期,规范企业名称,注册受理号,股票代码,申报类型,规范企业名称.1,采集来源,来源链接,采集时间,备注
2023SR0172984,DB/T1235-2023,合成生物燃料,生物能源,正在进行,第一阶段,实验室研究,广州绿色能源公司,中山大学,2023-06-15,2023-07-01,2024-06-30,2024-10-12,广州绿色能源公司,GHZYLZC2100003,BK1175,新技术申请,广州绿色能源公司,绿色科技网,https://www.greensci.com.cn,2024-09-23,
2023SR0214789,DB/T5679-2023,生物合成新材料,新材料,完成,第三阶段,实验室实验,杭州未来科技公司,浙江大学,2023-07-30,2023-08-15,2024-08-14,2024-10-12,杭州未来科技公司,GHZYLZC2100004,BK1176,新技术申请,杭州未来科技公司,塑料科技资讯,https://www.plasticsci.com,2024-09-23,
2023SR0156782,DB/T9102-2023,合成疫苗技术,疫苗研发,正在进行,第一阶段,临床研究,江苏疫苗研究中心,南京医科大学,2023-08-10,2023-09-01,2025-08-31,2024-10-12,江苏疫苗研究中心,GHZYLZC2100005,BK1177,新技术申请,江苏疫苗研究中心,医学论坛网,https://www.medforum.cn,2024-09-23,
2023SR0235471,DB/T1236-2023,生物医药合成平台,生物制药,正在进行,第二阶段,工业化生产,武汉生物医药公司,华中科技大学,2023-09-12,2023-10-01,2025-09-30,2024-10-12,武汉生物医药公司,GHZYLZC2100006,BK1178,新技术申请,武汉生物医药公司,生物医学杂志,https://www.biomed.cn,2024-09-23,
2023SR0209634,DB/T9103-2023,细胞治疗技术,再生医学,已完成,第二阶段,临床研究,成都再生医学研究所,四川大学,2023-10-20,2023-11-01,2025-10-31,2024-10-12,成都再生医学研究所,GHZYLZC2100007,BK1179,新技术申请,成都再生医学研究所,再生医学期刊,https://www.regenmed.cn,2024-09-23,
2023SR0185487,DB/T9104-2023,合成生物墨水,生物印刷,正在进行,第一阶段,功能验证,天津智能制造公司,天津工业大学,2023-10-25,2023-11-15,2024-11-14,2024-10-12,天津智能制造公司,GHZYLZC2100008,BK1180,新技术申请,天津智能制造公司,3D打印科技,https://www.3dprintcn.com,2024-09-23,
2023SR0251023,DB/T9105-2023,生物废物转化技术,环境生物技术,正在进行,第一阶段,实验室研究,沈阳环境科技公司,沈阳大学,2023-11-01,2023-11-20,2025-11-19,2024-10-12,沈阳环境科技公司,GHZYLZC2100009,BK1181,新技术申请,沈阳环境科技公司,环境科学期刊,https://www.envsci.cn,2024-09-23,
2023SR0181587,DB/T9106-2023,动物合成器官,生物工程,待审批,预备阶段,基础研究,西安生物科学研究所,西安交通大学,2023-11-20,2024-01-01,2026-12-31,2024-10-12,西安生物科学研究所,GHZYLZC2100010,BK1182,新技术申请,西安生物科学研究所,生物技术快报,https://www.biotechnews.com,2024-09-23,
2023SR0182593,DB/T1111-2023,细胞治疗技术,疗法开发,正在进行,第一阶段,临床研究,广州医学研究院,中山大学,2023-07-10,2023-08-01,2026-07-31,2024-10-12,广州医学研究院,GHZYLZC2100002,BK1183,新技术申请,广州医学研究院,健康时报,https://www.jiangsu.gov.cn/xxgk/zwdt/202308/t20230801_1117613.shtml,2024-09-23,
2023SR0183621,DB/T2222-2023,植物基因组编辑技术,农业改良,已经完成,第三阶段,田间实验,成都农业科技公司,四川农业大学,2023-06-15,2023-05-01,2024-12-31,2024-10-12,成都农业科技公司,GHZYLZC2100003,BK1184,新技术申请,成都农业科技公司,农业科技观察,https://www.agri-tech.com/,2024-09-23,
2023SR0184738,DB/T3333-2023,合成疫苗开发,疫苗工程,正在进行,第二阶段,临床试验,武汉生物制药有限公司,华中科技大学,2023-08-25,2023-09-15,2025-09-14,2024-10-12,武汉生物制药有限公司,GHZYLZC2100004,BK1175,新技术申请,武汉生物制药有限公司,生物医学期刊,https://www.biomedresearch.com/,2024-09-23,
2023SR0185849,DB/T4444-2023,基因驱动技术,生态工程,暂停,第一阶段,实验室研究,北京生态研究所,清华大学,2023-04-05,2023-05-01,2024-05-01,2024-10-12,北京生态研究所,GHZYLZC2100005,BK1176,新技术申请,北京生态研究所,中国科学技术网,https://www.sciencenet.cn/,2024-09-23,
2023SR0186950,DB/T5555-2023,合成人工组织,生物材料,正在进行,第三阶段,临床研究,南京医疗科技有限公司,南京大学,2023-09-20,2023-10-01,2026-09-30,2024-10-12,南京医疗科技有限公司,GHZYLZC2100006,BK1177,新技术申请,南京医疗科技有限公司,医疗创新杂志,https://www.medsci.cn/,2024-09-23,
2023SR0187081,DB/T6666-2023,合成生物仿真系统,计算生物,正在进行,第一阶段,理论研究,杭州计算生物研究所,浙江大学,2023-10-01,2023-10-15,2025-10-14,2024-10-12,杭州计算生物研究所,GHZYLZC2100007,BK1178,新技术申请,杭州计算生物研究所,中国计算机学会,https://www.ccf.org.cn/,2024-09-23,
2023SR0188172,DB/T7777-2023,合成代谢网络,代谢工程,已经完成,第二阶段,应用研究,西安多重合成公司,西北大学,2023-11-10,2023-12-01,2025-11-30,2024-10-12,西安多重合成公司,GHZYLZC2100008,BK1179,新技术申请,西安多重合成公司,合成生物学新闻,https://synbio.com/,2024-09-23,
2023SR0189263,DB/T2345-2023,合成疫苗平台,疫苗研发,正在进行,第一阶段,临床前研究,广州生物医药研究院,中山大学,2023-06-15,2023-07-01,2024-06-30,2024-10-12,广州生物医药研究院,GHZYLZC2100009,BK1180,新技术申请,广州生物医药研究院,生物科技前沿,https://www.biofrontier.com,2024-09-23,
2023SR0190374,DB/T6789-2023,工业酶合成,酶工程,已完成,第二阶段,工业生产,成都生物技术有限公司,成都理工大学,2023-02-25,2023-03-01,2024-02-29,2024-10-12,成都生物技术有限公司,GHZYLZC2100010,BK1181,新技术申请,成都生物技术有限公司,生命科学网,https://www.lifescience.com,2024-09-23,
2023SR0181234,DB/T1012-2023,细胞治疗技术,细胞工程,正在进行,第三阶段,临床研究,南京生物应用研究所,南京医科大学,2023-04-05,2023-05-01,2025-04-30,2024-10-12,南京生物应用研究所,GHZYLZC2100011,BK1182,新技术申请,南京生物应用研究所,人民卫生出版社,https://www.rmzxb.com.cn,2024-09-23,
2023SR0184567,DB/T1478-2023,合成植物基材料,农业科技,已完成,第一阶段,应用试验,北京农业科技公司,中国农业大学,2023-03-15,2023-04-01,2024-03-31,2024-10-12,北京农业科技公司,GHZYLZC2100002,BK1183,新技术申请,北京农业科技公司,农业科技论坛,https://www.agri-tech.com,2024-09-23,
2023SR0188901,DB/T2123-2023,多肽合成技术,医药研发,正在进行,第二阶段,预临床研究,杭州生物科技中心,浙江大学,2023-07-01,2023-07-15,2025-07-14,2024-10-12,杭州生物科技中心,GHZYLZC2100003,BK1184,新技术申请,杭州生物科技中心,生物工程网,https://www.bioengineering.com,2024-09-23,
2023SR0182345,DB/T9876-2023,细胞代谢工程,代谢工程,已完成,第三阶段,实验室实验,武汉生态技术公司,武汉大学,2023-05-05,2023-06-01,2025-05-31,2024-10-12,武汉生态技术公司,GHZYLZC2100004,BK1175,新技术申请,武汉生态技术公司,中国生物技术发展中心,https://www.chinabio.com,2024-09-23,
2023SR0186789,DB/T5677-2023,合成生物药物,生物制药,正在进行,第一阶段,临床试验,厦门创新生物公司,厦门大学,2023-01-10,2023-02-15,2024-02-14,2024-10-12,厦门创新生物公司,GHZYLZC2100005,BK1176,新技术申请,厦门创新生物公司,科技日报,https://www.stdaily.com/index/keji,2024-09-23,
2023SR0183456,DB/T1239-2023,新型鱼类蛋白合成,水产养殖,已完成,第二阶段,应用试验,青岛生物科技研究院,青岛大学,2023-08-10,2023-09-01,2025-08-31,2024-10-12,青岛生物科技研究院,GHZYLZC2100006,BK1177,新技术申请,青岛生物科技研究院,海洋科技网,https://www.oceantech.com,2024-09-23,
2023SR0187890,DB/T1801-2023,后生动物合成技术,合成生物学,正在进行,第一阶段,实验室研究,合肥合成生物研究中心,合肥工业大学,2023-09-05,2023-09-20,2025-09-19,2024-10-12,合肥合成生物研究中心,GHZYLZC2100007,BK1178,新技术申请,合肥合成生物研究中心,合成生物学国际期刊,https://www.synbioj.com,2024-09-23,
2023SR0180123,DB/T1122-2023,定向进化技术,生物工程,正在进行,第一阶段,实验室研究,广州生物技术研究中心,中山大学,2023-04-05,2023-05-01,2024-04-30,2024-10-12,广州生物技术研究中心,GHZYLZC2100008,BK1179,新技术申请,广州生物技术研究中心,生物科技网,https://www.biotechnews.com,2024-09-23,
2023SR0185678,DB/T3344-2023,合成生物药物,药物开发,已结束,第三阶段,临床试验,武汉生物制药公司,华中科技大学,2023-02-25,2023-03-15,2024-03-14,2024-09-20,武汉生物制药公司,GHZYLZC2100009,BK1180,新药申请,武汉生物制药公司,医药经济报,https://www.pharmaecon.com,2024-09-23,
2023SR0189012,DB/T1357-2023,光合合成技术,能源工程,正在进行,第二阶段,工业化生产,南京能源研究所,南京理工大学,2023-03-21,2023-04-10,2025-04-09,2024-10-12,南京能源研究所,GHZYLZC2100010,BK1181,新技术申请,南京能源研究所,能源科技论坛,https://www.energyscienceforum.com,2024-09-23,
2023SR0193847,DB/T2468-2023,生物材料合成,材料科学,正在进行,第一阶段,应用研究,成都生物材料公司,电子科技大学,2023-06-15,2023-07-01,2025-06-30,2024-10-12,成都生物材料公司,GHZYLZC2100011,BK1182,新技术申请,成都生物材料公司,材料科学期刊,https://www.materialsciencejournal.com,2024-09-23,
2024SR0205823,DB/T6789-2023,生物传感器技术,传感器开发,已结束,第二阶段,实验室实验,西安高校生物研究所,西安电子科技大学,2023-01-10,2023-02-10,2024-01-09,2024-09-10,西安高校生物研究所,GHZYLZC2100002,BK1183,新技术申请,西安高校生物研究所,生物科学探索,https://www.bioscienceexploration.com,2024-09-23,
2025SR0217461,DB/T2345-2023,合成基因组学,基因组研究,正在进行,第一阶段,基础研究,杭州合成生物技术公司,浙江大学,2023-07-30,2023-08-15,2024-08-14,2024-10-12,杭州合成生物技术公司,GHZYLZC2100003,BK1184,新技术申请,杭州合成生物技术公司,基因组科学期刊,https://www.genomicesciencejournal.com,2024-09-23,
2022SR0189375,DB/T9876-2023,植物合成生物技术,农业生物技术,已结束,第二阶段,农业试验,昆明农业研究院,云南大学,2023-05-05,2023-06-01,2024-05-31,2024-09-15,昆明农业研究院,GHZYLZC2100004,BK1078,新技术申请,昆明农业研究院,农业科技日报,https://www.agriculturetechnologynews.com,2024-09-23,
2023SR0195602,DB/T5432-2023,合成化合物生产,合成化学,正在进行,第一阶段,工业试验,长沙合成生物技术公司,中南大学,2023-08-10,2023-09-01,2025-08-31,2024-10-12,长沙合成生物技术公司,GHZYLZC2100005,BK1123,新技术申请,长沙合成生物技术公司,合成化学进展,https://www.synthesischemistryprogress.com,2024-09-23,
2024SR0201489,DB/T2345-2023,植物疫苗合成技术,农业生物技术,正在进行,第一阶段,实验室研究,广州农业科技公司,华南农业大学,2023-04-10,2023-05-01,2024-04-30,2024-10-12,广州农业科技公司,GHZYLZC2100006,BK1150,新技术申请,广州农业科技公司,农业技术网,http://www.agri-tech.com.cn/,2024-09-23,
2025SR0219820,DB/T3456-2023,合成抗病植物,农业生物技术,即将开始,第一阶段,田间试验,成都生物工程公司,四川农业大学,2023-05-15,2023-07-01,2025-06-30,2024-10-12,成都生物工程公司,GHZYLZC2100007,BK1195,新技术申请,成都生物工程公司,农业科技期刊,http://www.agritechjournal.com/,2024-09-23,
2023SR0190456,DB/T4567-2023,合成胰岛素生产技术,生物制药,正在进行,第二阶段,临床实验,南京合成生物医药公司,南京医科大学,2023-06-20,2023-07-15,2025-07-14,2024-10-12,南京合成生物医药公司,GHZYLZC2100008,BK1246,新技术申请,南京合成生物医药公司,医学研究网,http://www.medresearch.com/,2024-09-23,
2023SR0190543,DB/T5678-2023,微生物燃料生产技术,能源生物技术,计划中,第一阶段,基地建设,西安能源研究院,西北工业大学,2023-07-05,2023-09-01,2025-08-31,2024-10-12,西安能源研究院,GHZYLZC2100009,BK1302,新技术申请,西安能源研究院,能源杂志,http://www.energy-journal.com/,2024-09-23,
2023SR0190678,DB/T6789-2023,合成生物塑料技术,材料生物技术,正在进行,第二阶段,产品开发,天津合成材料技术公司,天津大学,2023-08-10,2023-09-15,2025-09-14,2024-10-12,天津合成材料技术公司,GHZYLZC2100010,BK1387,新技术申请,天津合成材料技术公司,环保科技网,http://www.ecomaterial.com/,2024-09-23,
2023SR0190882,DB/T7890-2023,合成酶技术,工业生物技术,正在进行,第三阶段,应用开发,杭州生物科技有限公司,浙江大学,2023-09-01,2023-10-01,2025-09-30,2024-10-12,杭州生物科技有限公司,GHZYLZC2100011,BK1481,新技术申请,杭州生物科技有限公司,生物技术快讯,http://www.biotechnews.com/,2024-09-23,
2023SR0190991,DB/T8901-2023,合成疫苗研发技术,生物医学,计划中,第一阶段,疫苗研究,哈尔滨生物医药公司,哈尔滨医科大学,2023-09-15,2023-11-01,2025-10-31,2024-10-12,哈尔滨生物医药公司,GHZYLZC2100002,BK1564,新技术申请,哈尔滨生物医药公司,疫苗研究协会,http://www.vaccine-research.org/,2024-09-23,
2023SR0191105,DB/T9012-2023,生物基燃料技术,可再生能源,正在进行,第一阶段,实验室开发,福州绿色能源公司,福建农林大学,2023-10-01,2023-11-15,2025-11-14,2024-10-12,福州绿色能源公司,GHZYLZC2100003,BK1620,新技术申请,福州绿色能源公司,可再生能源网,http://www.renewableenergy.com/,2024-09-23,
2023SR0191273,DB/T1122-2023,肠道微生物组分析,微生物组学,已完成,结束阶段,基础研究,广州生物医学研究院,中山大学,2023-02-14,2023-03-01,2023-12-31,2024-10-12,广州生物医学研究院,GHZYLZC2100004,BK1174,新技术申请,广州生物医学研究院,广州日报,https://www.gzdaily.com,2024-09-23,
2023SR0191389,DB/T3134-2023,生物催化剂合成,生物化学,正在进行,第一阶段,技术开发,成都合成生物技术中心,四川大学,2023-03-25,2023-04-10,2024-10-09,2024-10-12,成都合成生物技术中心,GHZYLZC2100005,GT2389,新技术申请,成都合成生物技术中心,科技创新博客,https://www.techblog.cn,2024-09-23,
2023SR0191452,DB/T4145-2023,基因合成平台,合成生物科技,进行中,第二阶段,产业化推广,天津现代生物科技研究所,南开大学,2023-05-05,2023-06-01,2025-05-31,2024-10-12,天津现代生物科技研究所,GHZYLZC2100006,YD4512,新技术申请,天津现代生物科技研究所,生物科技论坛,https://www.biotechforum.cn,2024-09-23,
2023SR0191587,DB/T7890-2023,合成药物开发,药物合成,已完成,结束阶段,现场测试,杭州医药科技公司,浙江大学,2023-04-15,2023-05-01,2023-11-30,2024-10-12,杭州医药科技公司,GHZYLZC2100007,QZ9056,新技术申请,杭州医药科技公司,医药科技网,https://www.pharmaceuticaltech.com,2024-09-23,
2023SR0191827,DB/T4567-2023,蛋白质工程技术,合成生物学,即将开始,第一阶段,技术测试,南京生物技术研究中心,东南大学,2023-06-30,2023-07-15,2025-07-14,2024-10-12,南京生物技术研究中心,GHZYLZC2100008,HD6723,新技术申请,南京生物技术研究中心,蛋白质工程公告,https://www.proteinengineering.com,2024-09-23,
2023SR0192853,DB/T3456-2023,植物合成生物技术,农业生物技术,正在进行,第二阶段,农业推广,大连农业生物科技中心,中国农业大学,2023-07-05,2023-08-01,2024-12-31,2024-10-12,大连农业生物科技中心,GHZYLZC2100009,RX3840,新技术申请,大连农业生物科技中心,农业科技报道,https://www.agri-technews.com,2024-09-23,
2023SR0189345,DB/T6789-2023,非洲猪瘟疫苗研究,疫苗研发,已完成,结束阶段,临床试验,武汉生物科技公司,华中科技大学,2023-08-20,2023-09-01,2024-08-31,2024-10-12,武汉生物科技公司,GHZYLZC2100010,MF1947,新技术申请,武汉生物科技公司,兽医科学杂志,https://www.veterinaryjournal.com,2024-09-23,
2023SR0193871,DB/T2345-2023,智能合成基因组,基因合成,即将开始,第一阶段,基础研究,南京基因技术公司,南京大学,2023-06-01,2023-07-15,2024-06-30,2024-10-12,南京基因技术公司,GHZYLZC2100002,WL8290,新技术申请,南京基因技术公司,生物科学社区,https://www.biosciencenetwork.com,2024-09-23,
2023SR0194562,DB/T3456-2023,合成植物研究,植物科学,正在进行,第二阶段,农业应用,广州市生物农业公司,华南农业大学,2023-08-10,2023-09-01,2025-09-01,2024-10-12,广州市生物农业公司,GHZYLZC2100003,ZA3765,新技术申请,广州市生物农业公司,农业与生物技术杂志,https://www.agri-biojournal.com,2024-09-23,
2023SR0187643,DB/T4567-2023,合成生物反应器,生物工程,已完成,第三阶段,工业应用,成都生物科技公司,四川大学,2023-05-25,2023-06-20,2024-06-20,2024-10-12,成都生物科技公司,GHZYLZC2100004,NH2081,新技术申请,成都生物科技公司,生物工程网络,https://www.bioengineeringnetwork.com,2024-09-23,
2023SR0194578,DB/T5679-2023,合成感染性微生物,病毒工程,等待批准,第一阶段,实验室研究,武汉生命科技有限公司,华中科技大学,2023-09-15,2023-10-01,2024-12-31,2024-10-12,武汉生命科技有限公司,GHZYLZC2100005,BK1175,新技术申请,武汉生命科技有限公司,病毒与免疫期刊,https://www.viralandimmunityjournal.com,2024-09-23,
2023SR0190784,DB/T6789-2023,生物传感器技术,分析技术,正在进行,第三阶段,基础研究,青岛智慧科技有限公司,青岛科技大学,2023-07-20,2023-08-15,2025-01-01,2024-10-12,青岛智慧科技有限公司,GHZYLZC2100006,BK1176,新技术申请,青岛智慧科技有限公司,传感器技术网,https://www.sensortechnology.com,2024-09-23,
2023SR0189321,DB/T7890-2023,合成寄生虫研究,生物医学,已完成,第二阶段,临床试验,杭州生物医药研究院,浙江大学,2023-08-05,2023-08-30,2024-08-30,2024-10-12,杭州生物医药研究院,GHZYLZC2100007,BK1177,新技术申请,杭州生物医药研究院,生物医学数据库,https://www.biomedicinedatabase.com,2024-09-23,
2023SR0191456,DB/T8901-2023,基因疗法研究,基因治疗,待审核,第一阶段,医院临床,厦门创新生物技术有限公司,厦门大学,2023-09-25,2023-10-15,2025-10-15,2024-10-12,厦门创新生物技术有限公司,GHZYLZC2100008,BK1178,新技术申请,厦门创新生物技术有限公司,临床研究出版物,https://www.clinicalresearchpublications.com,2024-09-23,
2023SR0281931,DB/T9012-2023,生物治疗研究,疗法开发,正在进行,第四阶段,实验验证,北京生物技术研究中心,清华大学,2023-10-05,2023-10-20,2025-04-20,2024-10-12,北京生物技术研究中心,GHZYLZC2100009,BK1179,新技术申请,北京生物技术研究中心,生物技术评论,https://www.biotechreview.com,2024-09-23,
2023SR0182945,DB/T2345-2023,合成植物抗病性基因,植物基因工程,正在进行,前期研究,实验室研发,广西农业科技公司,广西大学,2023-02-25,2023-03-01,2024-08-31,2024-10-12,广西农业科技公司,GHZYLZC2100010,BK1180,新技术申请,广西农业科技公司,农业科技网,https://www.agri-tech.cn/,2024-09-23,
2023SR0365872,DB/T6789-2023,细胞工厂制造生物燃料,能源生物技术,完成,最终阶段,工业化应用,浙江能源研究院,浙江大学,2023-03-15,2023-04-05,2024-02-28,2024-10-12,浙江能源研究院,GHZYLZC2100011,BK1181,新技术申请,浙江能源研究院,绿色能源数据库,https://www.greenenergy.cn/,2024-09-23,
2023SR0456789,DB/T3456-2023,生物降解塑料,材料科学,正在进行,中期测试,应用研发,广东合成材料科技公司,华南理工大学,2023-04-10,2023-05-01,2025-04-30,2024-10-12,广东合成材料科技公司,GHZYLZC2100002,BK1182,新技术申请,广东合成材料科技公司,材料科学期刊,https://www.materialsjournal.cn/,2024-09-23,
2023SR0567890,DB/T7890-2023,合成生物疫苗,疫苗研发,正在进行,第一阶段,临床前研究,天津生物制药公司,南开大学,2023-05-30,2023-06-15,2025-06-14,2024-10-12,天津生物制药公司,GHZYLZC2100003,BK1183,新技术申请,天津生物制药公司,药物研发报告,https://www.drugresearch.cn/,2024-09-23,
2023SR0678901,DB/T4321-2023,合成肽药物,生物制药,正在进行,第二阶段,临床研究,成都生物科技有限公司,四川大学,2023-06-05,2023-07-01,2025-07-01,2024-10-12,成都生物科技有限公司,GHZYLZC2100004,BK1184,新技术申请,成都生物科技有限公司,中国生物制药网,https://www.cnbiomed.com/,2024-09-23,
2023SR0789012,DB/T5678-2023,合成药物合成路线开发,制药工程,正在进行,中期研究,应用研发,南京合成生物技术有限公司,南京大学,2023-06-10,2023-07-15,2024-12-30,2024-10-12,南京合成生物技术有限公司,GHZYLZC2100005,BK1175,新技术申请,南京合成生物技术有限公司,化学工程网,https://www.chemlab.cn/,2024-09-23,
2023SR0890123,DB/T1357-2023,合成虫草菌种,微生物发酵,正在进行,第一阶段,实验室研发,哈尔滨生物技术研究中心,哈尔滨工程大学,2023-07-01,2023-07-15,2024-12-31,2024-10-12,哈尔滨生物技术研究中心,GHZYLZC2100006,BK1176,新技术申请,哈尔滨生物技术研究中心,生物技术快讯,https://www.biotechnews.cn/,2024-09-23,
2023SR0901234,DB/T2468-2023,合成肉制品,食品科技,正在进行,第二阶段,产品开发,武汉食品科技公司,华中农业大学,2023-08-05,2023-09-01,2025-03-31,2024-10-12,武汉食品科技公司,GHZYLZC2100007,BK1177,新技术申请,武汉食品科技公司,食品科技论坛,https://www.foodforum.cn/,2024-09-23,
2023SR0271483,DB/T3579-2023,合成骨组织,再生医学,正在进行,前期研究,实验室研究,深圳医疗科技公司,深圳大学,2023-09-15,2023-10-01,2025-09-30,2024-10-12,深圳医疗科技公司,GHZYLZC2100008,BK1178,新技术申请,深圳医疗科技公司,再生医学杂志,https://www.regenmedjournal.cn/,2024-09-23,
2023SR0362590,DB/T2345-2023,合成生物基材料,生物材料,正在进行,第一阶段,实验室研究,天津新材料科技公司,天津大学,2023-06-10,2023-06-25,2025-06-24,2024-10-12,天津新材料科技公司,GHZYLZC2100009,BK1179,新技术申请,天津新材料科技公司,新材料网,https://www.newmaterial.com,2024-09-23,
2023SR0453701,DB/T3456-2023,生物催化剂开发,生物催化,正在进行,第二阶段,工业化生产,广州生物工程研究中心,华南理工大学,2023-07-15,2023-08-01,2025-07-31,2024-10-12,广州生物工程研究中心,GHZYLZC2100010,BK1180,新技术申请,广州生物工程研究中心,生物工程前沿,https://www.biotechfrontiers.com,2024-09-23,
2023SR0544812,DB/T4567-2023,生物燃料生产,能源生物技术,已完成,第三阶段,商业化应用,重庆能源研究院,重庆大学,2023-08-05,2023-09-01,2024-08-31,2024-10-12,重庆能源研究院,GHZYLZC2100011,BK1181,新技术申请,重庆能源研究院,能源科技网,https://www.energytechexplore.com,2024-09-23,
2023SR0635923,DB/T5678-2023,生物传感器开发,生物传感,正在进行,第一阶段,实验室研究,浙江生物技术研究所,浙江大学,2023-09-10,2023-09-20,2025-09-19,2024-10-12,浙江生物技术研究所,GHZYLZC2100002,BK1182,新技术申请,浙江生物技术研究所,传感器技术杂志,https://www.sensorsjournal.com,2024-09-23,
2023SR0727034,DB/T6789-2023,基因合成平台,基因合成,准备中,第一阶段,基础研究,武汉合成生物科技公司,武汉大学,2023-10-12,2023-10-20,2025-10-19,2024-10-12,武汉合成生物科技公司,GHZYLZC2100003,BK1183,新技术申请,武汉合成生物科技公司,基因科技论坛,https://www.gene-techforum.com,2024-09-23,
2023SR0818145,DB/T7890-2023,微生物药物合成,药物开发,已完成,第二阶段,临床前研究,成都生物医药公司,四川大学,2023-11-01,2023-11-10,2024-11-09,2024-10-12,成都生物医药公司,GHZYLZC2100004,BK1184,新技术申请,成都生物医药公司,医药经济报,https://www.pharmaeconomics.com,2024-09-23,
2023SR0909256,DB/T8901-2023,合成生物阀门技术,生物工程,正在进行,第三阶段,产品开发,福建合成生物实验室,福州大学,2023-11-15,2023-12-01,2025-11-30,2024-10-12,福建合成生物实验室,GHZYLZC2100005,BK1174,新技术申请,福建合成生物实验室,生物工程网,https://www.bioengineering.cn,2024-09-23,
2023SR1000367,DB/T9012-2023,合成免疫系统,生物治疗,正在进行,第一阶段,基础研究,辽宁生物医药研究所,东北大学,2023-12-05,2023-12-15,2025-12-14,2024-10-12,辽宁生物医药研究所,GHZYLZC2100006,BK5632,新技术申请,辽宁生物医药研究所,生物医药前沿,https://www.biomedfrontiers.com,2024-09-23,
