名称（字符型）,品牌（字符型）,型号（字符型）,售后服务（字符型）,操作系统（字符型）,生产厂商（字符型）,主处理器（字符型）,芯片（字符型）,操作方式（字符型）,仿生工具（字符型）,功能说明（字符型）,应用场景（字符型）,上市时间（日期型）,采集来源,来源链接,采集时间,备注,,,
智能温湿度计,Xiaomi,Mi Temperature and Humidity Monitor,一年保修,MIUI,Xiaomi Inc.,ARM Cortex-M0,STMicroelectronics STM32,蓝牙控制,环境监测工具,监测室内温度、湿度，数据同步至APP,家庭环境监测,2023-03-15,智能家居白皮书,https://www.mi.com,2024-09-13,,,,
智能健身镜,Mirror,The Mirror,两年保修,Mirror OS,Mirror,Quad-Core ARM,NVIDIA Tegra,触控及语音控制,运动监控工具,提供实时健身指导、课程选择,家庭健身,2022-10-30,健身行业分析报告,https://www.mirror.co,2024-09-13,,,,
智能血压计,Omron,BP786N,三年保修,Omron OS,Omron Healthcare,ARM Cortex-M4,Texas Instruments MSP430,APP同步,健康监测工具,实时监测血压，数据可同步至手机APP,家庭健康监测,2023-05-01,医疗设备研究,https://www.omronhealthcare.com,2024-09-13,,,,
智能宠物喂食器,PetSafe,Smart Feed,一年保修,Embedded OS,PetSafe,ARM Cortex-A7,ESP8266,APP控制,宠物照顾工具,定时喂食，监控宠物饮食情况,家庭宠物照顾,2023-07-20,宠物行业门户,https://www.petsafe.net,2024-09-13,,,,
智能窗帘,米家,Mijia Smart Curtain,两年保修,MIOS,小米,ARM Cortex-M4,Espressif ESP32,APP控制,日夜感应器,自动开关窗帘，设置定时,家庭窗帘管理,2022-04-15,智能家居市场报告,https://www.iid.com.cn/smart-home,2024-09-13,,,,
智能冰箱,三星,RF28K9580SR,三年保修,Tizen,三星电子,ARM Cortex-A9,Exynos 5 Dual,触摸屏控制,食材管理助手,智能监测食材保鲜状况,家庭厨房,2021-09-10,家电行业观察,https://www.homeappliances.com.cn,2024-09-13,,,,
智能吸尘器,iRobot,Roomba i3+,一年保修,iRobot OS,iRobot,ARM Cortex-A53,Qualcomm Snapdragon 410,APP控制,自动清扫助手,自动识别并清理地面灰尘,家庭清洁,2020-11-01,机器人与自动化研究网络,https://www.roboticandautomation.org,2024-09-13,,,,
智能烟雾探测器,Nest,Nest Protect,五年保修,Nest OS,Google,ARM Cortex-M3,NXP LPC55S69,APP控制,火灾预警工具,实时监控火灾风险并发出警报,家庭安全预警,2021-07-22,智能家居趋势分析,https://www.smart-hometrends.com,2024-09-13,,,,
智能家庭影院系统,索尼,HT-G700,两年保修,Sony OS,索尼,ARM Cortex-A53,Qualcomm Snapdragon 845,语音控制+APP,影院助手,支持清晰音质和多种音频格式,家庭娱乐,2022-03-01,家电行业观察,https://www.homeappliances.com.cn,2024-09-13,,,,
家庭健康监测设备,华为,Huawei Health Kit,一年保修,HarmonyOS,华为,Kirin 990,Kirin Ascend 310,APP控制,健康监测工具,实时监测健康数据，如心率、血氧等,家庭健康管理,2022-06-15,智能健康分析报告,https://www.healthtechreport.com,2024-09-13,,,,
智能空气净化器,Dyson,Dyson Pure Cool,两年保修,Dyson OS,Dyson,ARM Cortex-A9,Texas Instruments OMAP 5,APP控制,空气质量监测工具,过滤有害物质并监测空气质量,家庭空气管理,2021-02-01,全球气候变化研究,https://www.climateresearch.org,2024-09-13,,,,
智能充电桩,特斯拉,Tesla Wall Connector,两年保修,Tesla OS,特斯拉,ARM Cortex-A7,NXP i.MX 6ULL,APP控制,充电管理工具,支持快速充电，无需专人操作,家庭电动车充电,2021-12-01,未来交通研究,https://www.futuremobility.com,2024-09-13,,,,
智能宠物喂食器,PetSafe,Smart Feed,一年保修,Custom OS,PetSafe,ARM Cortex-M3,NXP PN532,APP控制,宠物照顾助手,按时自动喂食并可以连接摄像头监控宠物,家庭宠物管理,2022-08-20,智能设备行业分析,https://www.smartdeviceanalysis.com,2024-09-13,,,,
智能花园管理器,Gardena,Smart Water Control,一年保修,Gardena OS,Gardena,ARM Cortex-A7,Nordic nRF52832,APP控制,植物助手,自动浇水，监控土壤湿度,家庭园艺,2022-04-12,家庭园艺行业报告,https://www.gardena.com,2024-09-13,,,,
智能地毯监控器,RugSmart,RugSense Pro,两年保修,RugSmart OS,RugSmart,ARM Cortex-A53,Qualcomm QCS609,APP控制,家居安全监控,监测客流和物品状态，提供实时警报,家庭安防,2023-09-15,电子产品观察,https://www.electronicsnews.com,2024-09-13,,,,
智能厨房助手,智能厨具,Chef AI 1.0,一年保修,ChefOS,智能厨具,ARM Cortex-A55,MediaTek MT8176,语音控制,厨艺助手,提供食谱建议，语音控制烹饪,家庭厨房,2021-11-01,智能家居市场分析报告,https://www.smartnews.com,2024-09-13,,,,
智能车库门控制器,Chamberlain,MyQ Smart Garage Hub,一年保修,MyQ OS,Chamberlain,ESP32,Espressif ESP32,APP控制,车库管理助手,远程控制车库门，提供安全警报,家庭车库,2020-07-20,汽车电子行业动态,https://www.autoelectronics.com,2024-09-13,,,,
智能衣物管理器,LG,Smart Closet,两年保修,LG Smart OS,LG电子,ARM Cortex-M4,TI MSP430,APP控制,衣物管理助手,智能分类和护理衣物，提供建议,家庭收纳,2022-02-28,家电行业资讯,https://www.appliancesnews.com,2024-09-13,,,,
智能垃圾分类器,Xiaomi Green,Smart Bin,一年保修,Xiaomi OS,小米,ARM Cortex-A55,Allwinner A20,触控与APP控制,环保助手,自动识别垃圾类型，推进环保生活,家庭环保,2021-08-12,环保科技发展报告,https://www.environmentaltech.com,2024-09-13,,,,
智能健康监测器,Fitbit,Fitbit Sense,一年保修,Fitbit OS,Fitbit,ARM Cortex-M4,Ambiq Apollo3,APP控制,健康助手,监测心率、睡眠等健康指标,家庭健康,2022-05-05,健康科技行业观察,https://www.healthtechnews.com,2024-09-13,,,,
智能空气监测器,Netatmo,Weather Station,两年保修,Netatmo OS,Netatmo,ARM Cortex-A8,TI CC2652,APP控制,环境监测助手,监测室内外空气质量，提供改善建议,家庭空气管理,2020-03-10,环境科技论坛,https://www.environmentforum.com,2024-09-13,,,,
智能饮水机,Hydra,Hydra Pro,一年保修,Hydra OS,Hydra Tech,ARM Cortex-A53,Qualcomm QCS605,触控与APP控制,水资源管理助手,提供饮水建议与水质检测,家庭饮水,2023-01-15,水科技研发报告,https://www.watertoday.com,2024-09-13,,,,
智能窗帘,Lutron,Sivoia QS,两年保修,Lutron OS,Lutron Electronics,ARM Cortex-A9,Cypress CY8C4125,APP控制,环境舒适工具,根据光照强度自动调节窗帘开合,家庭照明,2021-02-15,家庭自动化杂志,https://www.hom Automation.com,2024-09-13,,,,
智能冰箱,三星,Family Hub,三年保修,Tizen OS,Samsung Electronics,ARM Cortex-A73,Exynos 7904,触摸屏/APP控制,智能食品管理工具,提供食材管理、食谱建议功能,家庭厨房,2022-01-10,家电行业分析报告,https://www.applianceanalysis.com,2024-09-13,,,,
智能空气净化器,Dyson,Pure Cool TP01,两年保修,Dyson Link,Dyson Ltd.,ARM Cortex-M3,TI CC2650,APP控制,空气质量监测工具,实时监控空气质量，支持Wi-Fi连接,家庭环境,2021-06-05,家用电器评测网站,https://www.appliancetests.com,2024-09-13,,,,
智能健康手环,华为,Band 6,一年保修,Lite OS,Huawei Technologies,ARM Cortex-M4,Nordic nRF52840,触摸控制,健康监测工具,心率、睡眠监测以及运动跟踪,家庭健康管理,2021-04-20,科技行业新闻,https://www.technews.com,2024-09-13,,,,
智能家居控制中心,Amazon,Echo Plus,一年保修,Alexa OS,Amazon Inc.,ARM Cortex-A53,Qualcomm QCS405,语音控制,智能助手,集中控制智能家居所有设备,家庭自动化,2020-12-01,智能家居在线,https://www.smarthomeonline.com,2024-09-13,,,,
智能温湿度监测仪,Netatmo,Weather Station,一年保修,Netatmo OS,Netatmo,ARM Cortex-M0,Silicon Labs EFR32,APP控制,气候监测工具,实时监测室内外温湿度,家庭气候管理,2019-08-21,家庭环境技术论坛,https://www.homeenvironmenttech.com,2024-09-13,,,,
智能音响系统,Sonos,Sonos One,一年保修,Sonos OS,Sonos Inc.,ARM Cortex-A53,Qualcomm Snapdragon 210,语音控制/触控,音频调节工具,支持多房间音响播放与语音命令,家庭娱乐,2020-09-15,音响行业杂志,https://www.audioindustrynews.com,2024-09-13,,,,
智能花园浇水系统,Gardena,Smart Water Control,两年保修,Gardena OS,Gardena GmbH,ARM Cortex-M4,ES9038Q2M,APP控制,园艺管理工具,智能调节浇水量，实时气象监测,家庭园艺,2021-03-10,园艺科技杂志,https://www.gardeningtech.com,2024-09-13,,,,
智能浴室镜,Xiaomi,Smart Mirror,一年保修,MIUI,Xiaomi,ARM Cortex-A55,Rockchip RK3326,触控/语音控制,个人护理助手,显示天气、时间，提供智能镜子功能,家庭浴室,2021-11-15,美容科技博览会,https://www.beautyexhibition.com,2024-09-13,,,,
智能空气净化器,小米,Mi Air Purifier Pro,一年保修,MIUI,小米,ARM Cortex-A55,MediaTek MT7620A,APP控制,空气质量监测工具,智能监测空气质量，自动调节风速,家庭健康,2021-09-15,智能家居研究报告,https://www.smart-home-report.com,2024-09-13,,,,
智能窗帘控制系统,宜家,FYRTUR,两年保修,IKEA Home Smart,宜家,ARM Cortex-M3,Silicon Labs EFR32MG,APP控制,光照调节工具,根据阳光强度自动调整窗帘,家庭环境调节,2020-06-15,宜家官网,https://www.ikea.com,2024-09-13,,,,
智能防盗报警器,Ring,Ring Alarm Pro,一年保修,Ring OS,Ring,ARM Cortex-A72,Qualcomm Snapdragon 410,APP控制,安全防护工具,提供全面家庭安防监控,家庭安全,2021-04-20,安全科技评测,https://www.securitytechreview.com,2024-09-13,,,,
智能浴室镜子,Samsung,Smart Mirror,三年保修,Tizen OS,Samsung,Exynos 9611,Samsung 12nm,触摸控制,健康监测工具,提供语音助手与健康监测功能,家庭美容,2022-02-10,科技前沿杂志,https://www.techfrontierjournal.com,2024-09-13,,,,
智能水浸检测器,TP-Link,Tapo T100,一年保修,Tapo OS,TP-Link,ARM Cortex-M3,STMicroelectronics STM32F072,APP控制,环境监测工具,检测水浸并实时提醒,家庭防水,2021-08-01,家庭安全指南,https://www.homepsafetyguide.com,2024-09-13,,,,
智能冰箱,LG,LG Smart Refrigerator,三年保修,WebOS,LG,ARM Cortex-A53,Qualcomm APQ8016,触觉控制,食品管理工具,可智能管理存储食材，一键调节温度,家庭厨房,2021-01-15,家庭与厨房科技,https://www.kitchenandhome.com,2024-09-13,,,,
智能宠物喂食器,PetSafe,Smart Feed,一年保修,自家研发,PetSafe,ARM Cortex-M0,TI CC3220,APP控制,定时喂养工具,定时定量喂食，支持视频监控,宠物照顾,2020-07-10,宠物科技论坛,https://www.pettechforum.com,2024-09-13,,,,
智能家居控制面板,华为,Smart Home Control,一年保修,HarmonyOS,华为,Kirin 810,HiSilicon,触控与语音控制,家庭控制中心,集中管理家庭所有智能设备,家庭自动化,2021-11-25,智能家居产业发展蓝皮书,https://www.smart-home-industry-report.com,2024-09-13,,,,
智能天气站,Netatmo,Weather Station,两年保修,自家研发,Netatmo,ARM Cortex-M4,STMicroelectronics STM32,APP控制,气象监测工具,实时监测温度、湿度、气压等气象数据,家庭气象,2020-08-30,气象科技报道,https://www.weathertechreports.com,2024-09-13,,,,
智能冰箱,三星,RF28R7351SG,一年保修,Tizen,三星电子,ARM Cortex-A9,Exynos 5 Dual,触摸控制,食物管理助手,智能食材管理、温度控制,家庭冷藏,2022-02-15,家电市场调研,https://www.samsung.com,2024-09-13,,,,
智能洗衣机,LG,WM3900HWA,两年保修,LG ThinQ,LG电子,ARM Cortex-A7,MediaTek MT8176,APP控制,自清洁助手,洗衣和熨烫一体化，多种洗衣模式,家庭清洗,2021-09-10,家电行业报告,https://www.lg.com,2024-09-13,,,,
智能空气净化器,Dyson,DP04,两年保修,Dyson Link App,Dyson,ARM Cortex-M4,NXP MC56F84789,语音控制,空气质量工具,实时监测空气质量，自动调节,家庭健康,2023-01-05,健康科技观察,https://www.dyson.com,2024-09-13,,,,
智能窗帘,Lutron,Sivoia QED,一年保修,Lutron OS,Lutron Electronics,ARM Cortex-R4,Texas Instruments CC2530,语音控制及APP,光线调节工具,根据光照自动调节打开关闭,家庭隐私,2022-06-07,家庭自动化指南,https://www.lutron.com,2024-09-13,,,,
智能健身设备,Peloton,Bike+,一年保修,Peloton OS,Peloton Interactive,ARM Cortex-A12,Qualcomm Snapdragon,触摸屏控制,运动教练助手,实时健身跟踪，课程选择,家庭锻炼,2022-11-15,运动科技杂志,https://www.onepeloton.com,2024-09-13,,,,
智能温控器,Ecobee,Ecobee SmartThermostat,两年保修,Ecobee OS,Ecobee,ARM Cortex-A8,Ambarella H22,APP控制,能耗分析工具,智能调节并学习用户习惯,家庭节能,2023-05-30,智能家居白皮书,https://www.ecobee.com,2024-09-13,,,,
智能宠物喂食器,PetSafe,Smart Feed,一年保修,PetSafe App,PetSafe,ARM Cortex-M3,Nordic nRF52832,APP控制,宠物照护助手,定时喂养、对应 APP 接收通知,家庭宠物管理,2022-12-20,宠物科技评论,https://www.petsafe.net,2024-09-13,,,,
智能花园管理系统,Gardena,smart system,两年保修,Gardena App,Gardena,ARM Cortex-M7,STMicroelectronics STM32,APP控制,植物养护助手,监测土壤湿度与植物状态,家庭园艺,2023-03-23,园艺科技观察,https://www.gardena.com,2024-09-13,,,,
智能桌面照明灯,BenQ,WiT MindDuo,一年保修,BenQ Smart,BenQ,ARM Cortex-M4,NXP LPC55S69,触摸与APP控制,视觉调节工具,调节光线、色温，保护眼睛,家庭学习,2022-08-01,教育设备评论,https://www.benq.com,2024-09-13,,,,
智能窗帘控制器,米家,Mijia Curtain Controller,一年保修,小米生态系统,小米,ARM Cortex-M3,Espressif ESP32,APP控制,环境调节助手,远程控制窗帘开合，场景联动,家庭自动化,2023-02-15,中国智能家居行业报告,https://www.mijia.com,2024-09-13,,,,
智能冰箱,三星,RF28R7351SR/AA,三年保修,Tizen OS,三星,ARM Cortex-A72,Exynos 7,触控与语音,家庭管理工具,智能食物管理和食谱推荐,家庭厨房,2022-09-01,家电市场调查,https://www.samsung.com,2024-09-13,,,,
智能空调,格力,KFR-35GW/(35584)FNhAa-3,五年保修,Gree OS,格力电器,ARM Cortex-A9,NXP LS1043A,语音控制与APP,气候调节助手,智能温控，节能模式,家庭温控,2021-07-15,空调行业报告,https://www.gree.com,2024-09-13,,,,
智能健康管理仪,华为,Huawei Health Monitor,一年保修,HarmonyOS,华为,Kirin A1,Kirin A1,触控与APP,健康监测工具,实时监测心率、血压等健康数据,家庭医疗,2022-12-01,科技与健康行业前沿,https://consumer.huawei.com,2024-09-13,,,,
智能烟雾报警器,安居客,SmokeAlarm Pro,一年保修,自研系统,安居客,ARM Cortex-M0,NXP-LP55231,APP控制与报警,安全监控工具,实时监测烟雾浓度并报警,家庭安全,2023-03-10,消防行业标准,https://www.anjuke.com,2024-09-13,,,,
智能气象站,Netatmo,Netatmo Weather Station,两年保修,自研系统,Netatmo,ARM Cortex-A9,Texas Instruments CC2560,APP控制,气象监测工具,实时监测温度、湿度等，提供天气预报,家庭气象监测,2022-08-01,气象与环境科技研究,https://www.netatmo.com,2024-09-13,,,,
智能水质监测仪,清水科技,QingShui Water Monitor,一年保修,自研系统,清水科技,ARM Cortex-M4,ESP8266,APP控制,水质监测工具,实时监测家庭用水质量,家庭水质管理,2023-01-22,环境监测行业分析,https://www.qingshui.com,2024-09-13,,,,
智能洗衣机,LG,TWINWash,三年保修,webOS,LG电子,ARM Cortex-A53,MTK MT8176,触控与语音,日常家务助手,智能洗衣、分类管理衣物,家庭洗衣,2022-05-01,智能家电市场报告,https://www.lg.com,2024-09-13,,,,
智能电源插座,TP-Link,HS110,一年保修,自研系统,TP-Link,ARM Cortex-M0,Espressif ESP8266,APP控制与定时设置,电量监测工具,远程控制电源，监控能效,家庭节能,2022-10-01,智能家居产业报告,https://www.tp-link.com,2024-09-13,,,,
智能家庭环境监测仪,阿里,AliGenie Enviro,两年保修,AliGenie OS,阿里巴巴,ARM Cortex-A72,瑞芯微 RK3399,APP控制,环境监测工具,监测室内空气质量，湿度与温度,家庭健康,2022-08-15,电子产品创新,https://www.electronicinnovations.com,2024-09-13,,,,
智能窗帘,Lutron,Sivoia QS,五年保修,Lutron OS,Lutron Electronics,ARM Cortex-M4,TI MSP430,语音控制/APP控制,自动窗帘调整工具,自动开合窗帘，调节室内光线,家庭日常生活,2023-03-20,智能家居业界探索,https://www.smart-home.com,2024-09-13,,,,
智能冰箱,三星,Family Hub,两年保修,Tizen,三星电子,Exynos 7870,三星自研芯片,触控控制,智能购物助手,智能管理食材，提供食谱推荐,家庭厨房,2021-06-30,家用电器评论,https://www.appliance-review.com,2024-09-13,,,,
智能空气净化器,小米,Mi Air Purifier Pro,两年保修,MIUI,小米,ARM Cortex-A55,Breeze Chip,APP控制,空气质量监测器,高效净化PM2.5及有害气体,家庭健康,2022-12-10,环保科技观察,https://www.envirotech.com,2024-09-13,,,,
智能洗衣机,LG,LG TurboWash,三年保修,LG SmartThinQ,LG电子,ARM Cortex-A9,Qualcomm Snapdragon,APP控制,洗涤模式推荐工具,智能洗涤，节省时间和水资源,家庭洗衣,2023-01-05,智能家居科技,https://www.smartliving.com,2024-09-13,,,,
智能声控灯泡,Yeelight,Yeelight Smart LED,一年保修,Yeelight OS,Yeelight,ARM Cortex-M0,Realtek RTL8710,声音控制/APP控制,照明环境调节工具,多种色温和亮度调节，语音控制,家庭照明,2023-05-10,Lamp & Lighting Trends,https://www.lightingtrends.com,2024-09-13,,,,
智能花园灌溉系统,Bosch,Smart Garden Irrigation,两年保修,Bosch IoT,博世,ARM Cortex-A7,Nordic nRF52832,APP控制,植物监测器,自动灌溉，节水且高效,家庭园艺,2022-09-22,智能农业观察,https://www.smartagriculture.com,2024-09-13,,,,
智能安全监控系统,Ring,Ring Video Doorbell Pro 2,两年保修,Ring OS,Amazon,ARM Cortex-A53,Qualcomm Snapdragon,APP控制/语音控制,安全监控工具,高清视频监测，运动检测警报,家庭安全,2022-02-14,电子家居产品导购,https://www.electronicguide.com,2024-09-13,,,,
智能健身追踪器,Fitbit,Fitbit Sense 2,一两年保修,Fitbit OS,Fitbit Inc.,ARM Cortex-M4,Nordic nRF52840,触控控制,健康监测工具,监测心率、睡眠和活动情况,家庭健身,2023-04-01,健身科技观察,https://www.fitnesstrends.com,2024-09-13,,,,
智能窗帘,米家,Mijia Smart Curtain,一年保修,MIOS,小米,ARM Cortex-A53,STM32F4,APP控制,环境光调节工具,智能开合，自动调光,家庭生活,2022-03-20,小米官网,https://www.mi.com,2024-09-13,,,,
智能冰箱,海信,Hisense Smart Fridge,三年保修,HSmart OS,海信,ARM Cortex-A9,Realtek RTL8188,语音控制,冷藏监控助手,智能识别食材，推荐菜谱,家庭厨房,2023-07-15,行业观察报告,https://www.hisense.com,2024-09-13,,,,
智能洗衣机,美的,Midea Smart Washer,两年保修,Midea OS,美的,ARM Cortex-A7,Broadcom BCM2837,APP控制,污垢感应助手,智能洗涤程序，节水省电,家庭洗衣,2021-11-30,家电市场研究,https://www.midea.com,2024-09-13,,,,
智能扬声器,亚马逊,Echo Dot 4th Gen,一年保修,Alexa OS,亚马逊,ARM Cortex-A55,Qualcomm QCC5100,语音控制,智能助手,播放音乐和控制智能设备,家庭娱乐,2020-10-22,亚马逊产品页面,https://www.amazon.com,2024-09-13,,,,
智能空气净化器,Dyson,Dyson Pure Cool,两年保修,Dyson Link App,Dyson,ARM Cortex-M4,Microchip PIC16F,APP控制,空气质量监测助手,空气净化，监测空气质量,家庭健康,2022-09-12,Dyson官方网站,https://www.dyson.com,2024-09-13,,,,
智能花园浇水系统,Gardena,Smart Irrigation Control,两年保修,Gardena Smart System,Gardena,ARM Cortex-A7,Microchip PIC32,APP控制,植物监测助手,自动浇水，植物健康监测,家庭园艺,2022-05-15,国际园艺协会,https://www.gardena.com,2024-09-13,,,,
智能健康秤,Withings,Body Cardio,两年保修,Withings Health Mate,Withings,ARM Cortex-M3,Nordic nRF52832,APP控制,健康监测助手,测量体重、心率及其他健康指标,家庭健康,2021-02-19,健康科技网站,https://www.withings.com,2024-09-13,,,,
智能视频门铃,Ring,Ring Video Doorbell Pro,一年保修,Ring OS,Ring,ARM Cortex-A9,Texas Instruments CC3200,APP控制,安全监控工具,视频监控，双向通话,家庭安全,2019-11-12,Ring官方资料,https://www.ring.com,2024-09-13,,,,
智能温控灯,LIFX,LIFX A19,两年保修,LIFX App,LIFX,ARM Cortex-M4,Nordic nRF52832,APP控制及语音控制,环境调节工具,彩色灯光，调节气氛,家庭照明,2021-04-25,LIFX官方页面,https://www.lifx.com,2024-09-13,,,,
智能家居控制中心,华为,Mate Home Hub,两年保修,HarmonyOS,华为,Kirin 990,华为自研芯片,语音控制,AI语音助理,智能家居设备管理，护眼模式照明,家庭智能控制,2022-09-01,家电行业报告,https://www.cnnchinas.com/,2024-09-13,,,,
智能环境监测器,小米,Mi Air Quality Monitor,一年保修,MIUI,小米,ESP32,Espressif,APP控制,环境监测工具,监测室内空气质量，提供数据分析,家庭健康,2022-11-15,消费者技术协会报告,https://www.cta.tech/,2024-09-13,,,,
智能窗帘控制器,Lutron,Sivoia QS,两年保修,Lutron OS,Lutron Electronics,ARM Cortex-M3,Texas Instruments,APP控制,环境调节工具,灵活控制窗帘开合，支持定时,家庭窗帘管理,2021-02-28,自动化科技出版,https://www.automation.com/,2024-09-13,,,,
智能冰箱,三星,Family Hub,十年压缩机保修,Tizen,三星电子,Exynos,自研芯片,触控和语音控制,家庭助手,食物管理，智能购物清单,家庭厨房,2020-07-20,家电科技周刊,https://www.appliance.com/,2024-09-13,,,,
智能洗衣机,LG,Smart Top Load,三年保修,WebOS,LG电子,ARM Cortex-A53,专有芯片,APP控制、语音控制,智能洗衣助手,自动选择洗涤程序，远程监控洗涤状态,家庭洗衣,2022-04-11,家用电器协会,https://www.applianceassociation.com/,2024-09-13,,,,
智能安全警报系统,Ring,Ring Alarm,一年保修,Ring OS,Ring,ARM Cortex-M4,自研安全芯片,APP控制,安全监控工具,提供家庭安全监控和警报功能,家庭安全,2023-01-05,安防科技周刊,https://www.securitytechweekly.com/,2024-09-13,,,,
智能厨房助手,Amazon,Echo Show 15,一年保修,Fire OS,亚马逊,MediaTek MT8183,自研芯片,触控与语音控制,智能助手,家庭食谱管理，视频展示,家庭厨房,2021-10-10,消费电子行业报告,https://www.consumerreports.org/,2024-09-13,,,,
智能语音助手,Sonos,Sonos One,两年保修,Sonos OS,Sonos,ARM Cortex-A72,自研音频芯片,语音控制,音乐助手,提供高品质音乐播放与智能控制,家庭娱乐,2022-05-15,音响技术观察,https://www.audioengineering.com/,2024-09-13,,,,
智能健身平台,Peloton,Peloton Bike,一年保修,Peloton OS,Peloton Interactive,ARM Cortex-A53,自研运动芯片,APP控制,健身助手,直播健身课程，提供个性化训练计划,家庭健身,2021-09-01,健身行业分析报告,https://www.fitnessindustryreport.com/,2024-09-13,,,,
智能空气净化器,小米,XiaoMi Air Purifier 3,一年保修,MIUI,小米,ARM Cortex-A55,MTK MT7621,APP控制,环境监测工具,有效过滤PM2.5、异味及有害物质,家庭健康,2022-04-15,家电业界观察,https://www.homeappliancesnews.com/,2024-09-13,,,,
智能音响,亚马逊,Echo Dot 4,一年保修,Alexa OS,亚马逊,ARM Cortex-A53,Qualcomm QCC3024,语音控制,智能语音助手,进行音乐播放、问答、智能家居控制等,厨房娱乐,2020-10-06,市场研究报告,https://www.marketresearch.com/,2024-09-13,,,,
智能运动手环,华为,Huawei Band 6,一年保修,HarmonyOS,华为,RTL8720DN,Nordic nRF52840,触控操作,健康监测工具,心率监测、睡眠追踪、运动统计,生活健康,2021-04-12,科技动态,https://www.technews.com/,2024-09-13,,,,
智能家居中央控制器,飞利浦,Hue Hub,两年保修,Philips Hue OS,飞利浦,ARM Cortex-A53,NXP JN5168,APP控制,智能家居整合工具,控制所有Hue智能灯光设备,家庭照明,2019-10-05,飞利浦官网,https://www.philips.com/,2024-09-13,,,,
智能厨房烟灶,方太,JQG6T,三年保修,Smart Cooking OS,方太,ARM Cortex-A53,Espressif ESP32,触控与语音控制,厨房智能助手,自动火力调节、油烟监测,智能厨房,2022-01-15,厨房电器论坛,https://www.kitchenappliancesforum.com/,2024-09-13,,,,
