名称（字符型）,品牌（字符型）,宽度（字符型）,封装（字符型）,生产基地（字符型）,型号（字符型）,供应商（字符型）,集成协议（字符型）,应用产品（字符型）,上市日期（日期型）,功能说明（字符型）,采集来源,来源链接,采集时间,备注,,,,,
MediaTek Dimensity 1200 AI,苹果,10.3mm,WLP,美国加州,A17,苹果,"NVMe, LPDDR5X",iPhone 15,2023-09-22,最先进的图形和计算架构，支持极致游戏体验,《数码产品测评》,https://www.digitalhome.com,2024-09-13,,,,,,
Kryo 680,高通,10mm,BGA,中国深圳,SM7325,高通,"PCIe, USB-C",中高端智能手机,2022-05-01,优化摄影和游戏体验，支持快充,《手机中国》,https://www.phonechina.com,2024-09-13,,,,,,
8100-MAX,三星,12mm,FOWLP,韩国首尔,Exynos 1280,三星,"LPDDR4X, UFS",中端智能手机,2022-01-15,支持AI相机功能，功耗相对较低,《安卓中国》,https://www.androidchina.com,2024-09-13,,,,,,
Kirin 9100,华为,10mm,BGA,中国深圳,Kirin 820E,华为,"USB-C, LPDDR4X",中低端智能手机,2023-03-01,增强AI功能，提升用户体验,《华为官方博客》,https://www.huawei.com,2024-09-13,,,,,,
HBM3,高通,10mm,BGA,美国加州,SM8350,高通,"PCIe, USB-C",智能手机,2020-12-01,于移动设备上提供卓越性能，支持5G和AI应用,半导体产业观察,https://www.semiinsights.com/,2024-09-13,,,,,,
Snapdragon 8 Gen 2,谷歌,10.5mm,FOWLP,美国加州,G2,谷歌,"UFS, LPDDR5",Pixel 7,2022-10-06,集成AI计算，提升相机处理能力,科技新闻网,https://www.technews.com/,2024-09-13,,,,,,
Dimensity 1000 Plus,三星,12mm,CoWoS,韩国水原,Exynos 2200,三星,"UFS, LPDDR5",智能手机,2022-02-01,支持最新的图形处理器，提升游戏体验,电子工程专辑,https://www.eet-china.com/,2024-09-13,,,,,,
Kirin 8000,苹果,10.88mm,WLP,美国加州,A16,苹果,NVMe,iPhone 14,2022-09-16,提升性能和能效，支持复杂的计算任务,产业分析报告,https://www.industryreports.com/,2024-09-13,,,,,,
Snapdragon 778G,联发科,9.5mm,BGA,台湾台北,Dimensity 1000+,联发科,"UFS, LPDDR4X",智能手机,2021-05-10,支持高效的游戏性能与AI增强技术,技术发展指引,https://www.techinsights.com/,2024-09-13,,,,,,
Dimensity 1200 AI,华为,10.5mm,BGA,中国深圳,Kirin 9000S,华为,"PCIe, USB-C",智能手机,2021-12-31,强大的多任务处理能力和AI支持,半导体行业观察,https://www.semiinsights.com/,2024-09-13,,,,,,
Kirin 970,高通,10mm,WLP,美国加州,SM7250,高通,"UFS, LPDDR4X",智能手机,2022-05-01,提供出色的游戏性能和图像处理能力,数据中心通讯,https://www.datacenternews.com/,2024-09-13,,,,,,
A12 Bionic,联发科,9mm,FOWLP,台湾高雄,Helio G96,联发科,"UFS, LPDDR4",智能手机,2021-07-15,优化中端设备的能力，支持高效能摄像头,电子工程专辑,https://www.eet-china.com/,2024-09-13,,,,,,
T740,苹果,12mm,WLP,美国加州,M1,苹果,NVMe,MacBook Air,2020-11-17,高效能与低能耗的处理能力,行业通讯,https://www.industrycommunications.com/,2024-09-13,,,,,,
Qualcomm 5G RAN,高通,10mm,BGA,美国加州,SM8350,高通,"PCIe, USB-C",智能手机,2021-01-01,支持5G网络和AI优化,半导体行业观察,https://www.semiinsights.com/,2024-09-13,,,,,,
A14 Bionic Pro,三星,12.5mm,FOWLP,韩国首尔,Exynos 2200,三星,"UFS, LPDDR5",智能手机,2022-02-10,结合AMD RDNA架构，增强图形性能,电子工程专辑,https://www.eet-china.com/,2024-09-13,,,,,,
Dimensity 9200,苹果,12mm,WLP,美国加州,M1,苹果,NVMe,MacBook Air,2020-11-17,高效能，超长电池续航,科技日报,https://www.stdaily.com/,2024-09-13,,,,,,
Helio G99,华为,10.8mm,BGA,中国深圳,Kirin 9000E,华为,"PCIe, USB-C",智能手机,2020-11-01,5G和AI计算，性价比高,半导体行业观察,https://www.semiinsights.com/,2024-09-13,,,,,,
Dragon 8 Gen 1,联发科,9.5mm,CoWoS,台湾新竹,Dimensity 1000,联发科,"UFS, LPDDR4X",智能手机,2020-11-26,支持双卡5G和AI影像技术,技术发展引领产业变革,https://pdf.dfcfw.com/,2024-09-13,,,,,,
M1 Pro,苹果,11.5mm,WLP,美国加州,A16,苹果,NVMe,iPhone 14,2022-09-16,极致性能，支持高动态范围影像,Apple官网,https://www.apple.com/,2024-09-13,,,,,,
Apple M1 Pro,高通,10mm,BGA,美国加州,SM8450,高通,"PCIe, USB-C",高端智能手机,2021-12-01,顶级性能和摄影能力,高通官网,https://www.qualcomm.com/,2024-09-13,,,,,,
Exynos W920,联发科,9.5mm,CoWoS,台湾新竹,Dimensity 1200 AI,联发科技,"UFS, LPDDR5",高端智能手机,2021-03-06,AI增强摄影与游戏性能,科技日报,https://www.stdaily.com/,2024-09-13,,,,,,
Helio G95,三星,11mm,FOWLP,韩国首尔,Exynos 1280,三星,"UFS, LPDDR4X",中端智能手机,2022-01-14,性能稳定，适合大众市场,电子工程专辑,https://www.eet-china.com/,2024-09-13,,,,,,
Snapdragon 898,高通,10mm,BGA,美国德克萨斯州,SM8250-AB,高通,"PCIe, USB-C",平板电脑,2021-10-15,设计为高效能与低功耗，优化多任务处理,芯片产业资讯,https://www.chipnews.com/,2024-09-13,,,,,,
Dimensity 1200 Max,苹果,11.5mm,WLP,美国加州,A16,苹果,NVMe,iPhone 14,2022-09-16,支持更快速的图形渲染和能效管理,科技前沿,https://www.technologyfrontier.com/,2024-09-13,,,,,,
MediaTek Dimensity 1000,三星,12mm,FOWLP,韩国平泽,Exynos 2200,三星,"LPDDR5, UFS 3.1",游戏手机,2022-01-11,集成AMD RDNA 2技术，提升游戏体验,手机时代,https://www.phonetimes.com/,2024-09-13,,,,,,
Kirin 980,联发科,8.5mm,CoWoS,台湾台南,Dimensity 8100,联发科,"UFS, LPDDR5",高性能智能手机,2022-03-30,注重游戏性能和能源效率,科技动态,https://www.technews.com/,2024-09-13,,,,,,
Tegra X1,高通,10.8mm,BGA,美国加州,SM7325,高通,"PCIe, USB-C",中档智能手机,2022-05-20,平衡性能与续航，适合日常使用,电子时代,https://www.electronicshub.com/,2024-09-13,,,,,,
Dimensity 9000,华为,10.2mm,BGA,中国上海,Kirin 9100,华为,"UFS, LPDDR5",高端智能手机,2022-06-30,支持高效AI运算与5G通讯,手机观察,https://www.mobileobserver.com/,2024-09-13,,,,,,
MT7921,三星,7mm,TSV,韩国水原,HBM3,三星,HBM,数据中心,2021-11-01,提供极高带宽的内存解决方案,半导体市场分析,https://www.semisource.com/,2024-09-13,,,,,,
Horizon 5,联发科,9mm,CoWoS,台湾新竹,Dimensity 1300,联发科,"UFS, LPDDR4X",中档智能手机,2022-04-15,优化视频处理和AI功能,科技观察,https://www.techwatch.com/,2024-09-13,,,,,,
Apple M2,高通,10mm,BGA,美国德克萨斯州,SM8475,高通,"PCIe, USB4",顶级智能手机,2022-12-05,更强的处理能力与图形表现,芯片市场动态,https://www.chipmarkettrend.com/,2024-09-13,,,,,,
Snapdragon 7c Gen 3,苹果,11.7mm,WLP,美国加州,A17,苹果,NVMe,iPhone 15,2023-09-22,具备更高性能的CPU和GPU，支持多种先进功能,技术观察所,https://www.techwatch.org/,2024-09-13,,,,,,
MediaTek Helio G90T,高通,10.5mm,BGA,美国加州,SM8550,高通,"PCIe, USB-C",智能手机,2022-11-15,更强的AI计算能力，支持多媒体内容处理,半导体行业观察,https://www.semiinsights.com,2024-09-13,,,,,,
MediaTek Kompanio 1200,联发科,9mm,CoWoS,台湾新竹,MT6885,联发科,"UFS, LPDDR4X",智能手机,2020-06-01,支持4K视频录制和AI增强照片性能,电子行业分析,https://www.electronicsnews.com,2024-09-13,,,,,,
Kirin 1000,三星,12mm,FOWLP,韩国首尔,Exynos 2200,三星,"UFS, LPDDR5",智能手机,2022-01-11,集成AMD RDNA GPU，提升游戏性能,技术开发论坛,https://www.techdevelopmentforum.com,2024-09-13,,,,,,
MediaTek Dimensity 1300,华为,10.0mm,BGA,中国深圳,Kirin 8000,华为,"PCIe, USB-C",智能手机,2022-05-30,优化AI性能，适用于高负载手机应用,业务技术分析,https://www.businessanalysisreport.com,2024-09-13,,,,,,
Nvidia Tegra X2,苹果,10.25mm,WLP,美国加州,A16,苹果,NVMe,iPhone 14,2022-09-16,极致性能，支持高配游戏和多任务,苹果公司发布会,https://www.apple.com,2024-09-13,,,,,,
Tensilica TiMesh,高通,8mm,LGA,美国加州,SM7325,高通,"UFS, LPDDR4X",中档智能手机,2021-05-06,游戏性能优化和增强现实支持,数码科技论坛,https://www.digitaltechforum.com,2024-09-13,,,,,,
Qualcomm QCC5151,三星,8.8mm,FOWLP,韩国平泽,Exynos 1280,三星,"LPDDR5, UFS",中档智能手机,2022-01-20,支持AI加速和高效能耗,行业分析报告,https://www.industryanalysisreport.com,2024-09-13,,,,,,
NXP i.MX 9,联发科,9mm,CoWoS,台湾新竹,Dimensity 1200-AI,联发科,"UFS, LPDDR4X",智能手机,2021-06-15,支持智能摄影和增强的游戏性能,数字科技快讯,https://www.digitaltechnews.com,2024-09-13,,,,,,
Cortex-A78,华为,10.5mm,BGA,中国深圳,Kirin 970,华为,"PCIe, USB-C",智能手机,2017-07-01,强大的AI支持和图形处理能力,IT科技评论,https://www.ittechnologyreview.com,2024-09-13,,,,,,
Dimensity 8100,高通,10.0mm,BGA,美国加州,SM8475,高通,"PCIe, USB-C",智能手机,2022-12-01,最新的5G处理器，增强AI功能,半导体行业观察,https://www.semiinsights.com,2024-09-13,,,,,,
Unisoc T610,三星,12.5mm,FOWLP,韩国首尔,Exynos 2200,三星,"UFS, LPDDR5",智能手机,2022-01-15,采用AMD RDNA架构，提升图形性能,电子工程专辑,https://www.eet-china.com,2024-09-13,,,,,,
Snapdragon 7c Gen 2,苹果,11.5mm,WLP,美国加州,A16,苹果,NVMe,iPhone 14,2022-09-16,先进的处理器，支持高负载计算和图形处理,技术发展引领产业变革,https://www.apple.com,2024-09-13,,,,,,
Dimensity 920,华为,10.0mm,BGA,中国深圳,Kirin 9000S,华为,"PCIe, USB-C",智能手机,2023-03-01,集成多模5G技术，提升AI性能,半导体行业观察,https://www.huawei.com,2024-09-13,,,,,,
MediaTek Helio G90,联发科,9.5mm,CoWoS,台湾新竹,Dimensity 1300,联发科,"UFS, LPDDR5",智能手机,2022-05-20,优化游戏性能，支持高刷新率显示,技术发展引领产业变革,https://www.mediatek.com,2024-09-13,,,,,,
Kirin 950,SK海力士,7.0mm,TSV,韩国水原,HBM3,SK海力士,HBM,图形处理器,2022-09-01,更高带宽内存，适用于数据中心和高性能计算,半导体行业观察,https://www.semiinsights.com,2024-09-13,,,,,,
Kirin 8020,苹果,10.9mm,WLP,美国加州,A17,苹果,NVMe,iPhone 15,2023-09-22,实现更高效的能耗管理和处理能力,半导体行业观察,https://www.apple.com,2024-09-13,,,,,,
Dragon 888,高通,10.5mm,BGA,美国加州,SM7325,高通,"PCIe, USB-C",智能手机,2021-05-01,中高端处理器，支持高清游戏,半导体行业观察,https://www.semiinsights.com,2024-09-13,,,,,,
Exynos 2300,三星,11.0mm,FOWLP,韩国首尔,Exynos 1280,三星,"UFS, LPDDR4X",智能手机,2022-02-15,注重能效和续航，适合日常使用,电子工程专辑,https://www.eet-china.com,2024-09-13,,,,,,
MediaTek Helio G99,华为,10.5mm,BGA,中国深圳,Kirin 9000S,华为,"PCIe, USB-C",智能手机,2022-10-15,支持高效能AI计算与5G网络,半导体行业观察,https://www.semiinsights.com,2024-09-13,,,,,,
HiSilicon 910,三星,12mm,FOWLP,韩国首尔,Exynos 2200,三星,"UFS, LPDDR5",智能手机,2022-01-11,集成RDNA2架构，支持光追技术,电子工程专辑,https://www.eet-china.com,2024-09-13,,,,,,
Tensor G3,高通,10mm,BGA,美国加州,SM8350,高通,"PCIe, USB-C",智能手机,2020-12-01,支持AI优化，提升影像功能,游戏产业观察,https://www.gamedb.com,2024-09-13,,,,,,
Zhanrui T720,联发科,9mm,CoWoS,台湾新竹,Dimensity 1000+,联发科,"UFS, LPDDR4X",智能手机,2021-08-10,集成5G基带，支持高帧率游戏,半导体行业观察,https://www.semiinsights.com,2024-09-13,,,,,,
Zhanjiang Z1,苹果,11.5mm,WLP,美国加州,A16,苹果,NVMe,iPhone 14,2022-09-16,提高电能效率，支持更复杂的计算任务,技术发展引领产业变革,https://www.techlead.com,2024-09-13,,,,,,
Horizon 1,高通,10mm,BGA,美国加州,SM8450,高通,"PCIe, USB-C",智能手机,2021-12-15,卓越的AI性能与游戏优化,半导体行业观察,https://www.semiinsights.com,2024-09-13,,,,,,
Dimensity 8000,苹果,10.2mm,WLP,美国加州,A12,苹果,NVMe,iPhone XR,2018-10-26,搭载高级图形引擎，支持各种3D应用,技术发展引领产业变革,https://www.techlead.com,2024-09-13,,,,,,
HSR 2023,联发科,9.5mm,CoWoS,台湾新竹,T740,联发科,"UFS, LPDDR5",平板电脑,2023-05-01,强大的多媒体处理能力，适用于游戏和流媒体,电子工程专辑,https://www.eet-china.com,2024-09-13,,,,,,
Kirin 9010,谷歌,10mm,BGA,美国加州,Tensor G2,谷歌,"PCIe, USB-C",Pixel 7,2022-10-06,增强AI性能和机器学习能力,移动技术视野,https://www.mobiletech.com,2024-09-13,,,,,,
A18 Bionic,高通,12.2mm,BGA,美国圣地亚哥,5G-RAN-Qualcomm,高通,"Ethernet, PCIe",基站,2023-04-12,专为5G网络设计的高性能芯片,网络通信观察,https://www.networkingtech.com,2024-09-13,,,,,,
MediaTek 1000,高通,9.5mm,BGA,美国加州,SM8550,高通,"PCIe, USB-C, Wi-Fi 6E",智能手机,2022-11-30,提升性能与能效，支持高达10Gbps的5G网络,半导体行业观察,https://www.semiinsights.com,2024-09-13,,,,,,
Google Tensor G2,华为,10mm,BGA,中国深圳,Kirin 9000S,华为,"PCIe, USB-C, LPDDR5X",智能手机,2022-10-10,高级AI处理和图形性能，支持5G网络,电子工程专辑,https://www.eet-china.com,2024-09-13,,,,,,
Google Tensor,三星,12mm,FOWLP,韩国华城,Exynos 2200,三星,"UFS 3.1, LPDDR5",智能手机,2022-01-01,首个集成AMD RDNA图形架构，支持高性能游戏,技术发展引领产业变革,https://pdf.dfcfw.com,2024-09-13,,,,,,
Exynos 2400,联发科,9mm,CoWoS,台湾新竹,Dimensity 1300,联发科,"UFS 3.1, LPDDR4X",智能手机,2022-04-20,优化AI处理能力，提升摄影体验,半导体行业观察,https://www.semiinsights.com,2024-09-13,,,,,,
Dimensity 1080,苹果,10.5mm,WLP,美国加州,A16,苹果,"NVMe, LPDDR5",iPhone 14,2022-09-16,更强的处理能力与能效，支持更快的图形处理,技术发展引领产业变革,https://pdf.dfcfw.com,2024-09-13,,,,,,
MT8185,谷歌,10.3mm,BGA,美国加州,G2,谷歌,"UFS 3.1, LPDDR5",Pixel 7,2022-10-13,增强AI性能与图像处理能力,谷歌开发者博客,https://developers.google.com,2024-09-13,,,,,,
T830,苹果,11.8mm,WLP,美国加州,A14P,苹果,"NVMe, LPDDR4X",iPad Pro 2022,2022-05-20,高性能计算，支持多任务处理与图形应用,半导体行业观察,https://www.semiinsights.com,2024-09-13,,,,,,
Snapdragon Wear 5100,高通,9mm,BGA,美国加州,SM7325,高通,"UFS 3.1, LPDDR4X",中端智能手机,2022-12-01,平衡性能与电池续航，支持5G网络,电子工程专辑,https://www.eet-china.com,2024-09-13,,,,,,
A15 Bionic Lite,三星,10mm,FOWLP,韩国华城,Exynos 1280,三星,"UFS 3.1, LPDDR4",中端智能手机,2022-01-20,支持6G网络和高效能电池管理,半导体行业观察,https://www.semiinsights.com,2024-09-13,,,,,,
Zhanrui 888,谷歌,10.0mm,BGA,美国加州,G2,谷歌,"USB-C, PCIe",Pixel 7,2022-10-06,强大的机器学习能力，优化摄像体验,谷歌开发者博客,https://developers.googleblog.com/,2024-09-13,,,,,,
A14 Bionic A,联发科,8.5mm,CoWoS,台湾新竹,Dimensity 9200,联发科,"LPDDR5, UFS 3.1",智能手机,2022-11-17,支持8K录像和增强AI运算能力,半导体行业观察,https://www.semiinsights.com/,2024-09-13,,,,,,
Halo P60,高通,10.1mm,WLP,美国加州,SM8450,高通,"USB-C, PCIe",智能手机,2021-12-01,5G支持，增强游戏性能,技术发展引领产业变革,https://www.technewsworld.com/,2024-09-13,,,,,,
Exynos 2100+,华为,10.3mm,BGA,中国深圳,Kirin 9100,华为,"LPDDR5, UFS 3.1",智能手机,2021-06-25,高效能AI运算，支持快速充电,华为官网,https://consumer.huawei.com/,2024-09-13,,,,,,
AMDRX 6900,联发科,8.0mm,FOWLP,台湾新竹,G99,联发科,"LPDDR4X, eMMC",智能手机,2022-05-02,优化游戏性能，支持高效能摄像,电子工程专辑,https://www.eet-china.com/,2024-09-13,,,,,,
Qualcomm 7系列,三星,10.7mm,TSV,韩国首尔,Exynos 2200,三星,"UFS 3.1, LPDDR5",Galaxy S22,2022-02-09,创新的GPU架构，支持强大游戏体验,三星新闻中心,https://www.samsung.com/news/,2024-09-13,,,,,,
Tensor SoC,苹果,9.5mm,WLP,美国加州,A16,苹果,"NVMe, LPDDR5",iPhone 14,2022-09-16,超强效能，多重任务处理,苹果官方公告,https://www.apple.com/newsroom/,2024-09-13,,,,,,
Snapdragon 865 Plus,高通,9.8mm,BGA,美国加州,SM7475,高通,"USB-C, LPDDR5",中高端智能手机,2022-04-20,支持5G和AI加速,半导体行业观察,https://www.semiinsights.com/,2024-09-13,,,,,,
Tensilica Fusion,华为,9.0mm,BGA,中国深圳,Kirin 820E,华为,"LPDDR4X, UFS 2.1",中端智能手机,2020-11-30,支持5G和AI能力,华为官网,https://consumer.huawei.com/,2024-09-13,,,,,,
HarmonyOS Chip,高通,10mm,BGA,美国加利福尼亚,SM8450,高通,"PCIe, USB-C",高端智能手机,2022-04-30,更强的AI能力和优化的能效，支持5G和Wi-Fi 6E,半导体行业观察,https://www.semiinsights.com,2024-09-13,,,,,,
Snapdragon 888+,联发科,9.5mm,FOWLP,台湾新竹,MT6885,联发科,"UFS, LPDDR4X",中高端智能手机,2021-05-15,支持AI摄影和增强现实，均衡性能与电池续航,电子工程专辑,https://www.eet-china.com,2024-09-13,,,,,,
Kirin 820 5G,华为,10.4mm,BGA,中国深圳,Kirin 9000E,华为,"PCIe, USB-C",智能手机,2021-07-15,高效能处理器，支持多摄像头系统，低功耗设计,半导体行业观察,https://www.semiinsights.com,2024-09-13,,,,,,
Snapdragon 870,三星,12.5mm,FFC,韩国平泽,Exynos 2200,三星,"UFS 3.1, LPDDR5",高端旗舰智能手机,2022-02-09,集成AMD RDNA 2架构，强大的游戏性能,科技日报,https://www.stdaily.com,2024-09-13,,,,,,
Tesla Chip V2,苹果,10.9mm,WLP,美国加州,A16,苹果,NVMe,iPhone 14 Pro,2022-09-16,全面提升图形和计算性能，支持高效能多任务处理,IT时报,https://www.ittimes.com,2024-09-13,,,,,,
NVIDIA Orin,高通,9mm,BGA,美国加利福尼亚,SM7325,高通,"PCIe, USB-C",中端智能手机,2022-07-01,高性价比，支持AI摄影和5G连接,半导体行业观察,https://www.semiinsights.com,2024-09-13,,,,,,
MediaTek Dimensity 1000+,三星,8.9mm,Wafer-Level,越南河内,Exynos 1280,三星,"UFS 2.2, LPDDR4",中低端智能手机,2022-01-15,优化了功耗与性能，支持基本的AI功能,电子工程专辑,https://www.eet-china.com,2024-09-13,,,,,,
Tensilica Vision P6,联发科,9.2mm,CoWoS,台湾台北,MT6893,联发科,"UFS, LPDDR5",中端智能手机,2022-08-10,优化流媒体效果，支持双卡双待,中关村在线,https://www.zol.com.cn,2024-09-13,,,,,,
Snapdragon 4 Gen 1,华为,10mm,BGA,中国深圳,Kirin 820E,华为,"PCIe, USB-C",中端智能手机,2021-03-25,均衡的性能与电池续航，支持AI语音识别,科技日报,https://www.stdaily.com,2024-09-13,,,,,,
MT7922,高通,10mm,BGA,美国加州,SM8550,高通,"PCIe, USB-C, Wi-Fi 6E",智能手机,2022-12-01,最新的5G处理器，集成AI加速器，支持游戏图形优化,半导体行业观察,https://www.semiinsights.com/,2024-09-13,,,,,,
Snapdragon 778G+,谷歌,10.4mm,WLP,美国加州,G2,谷歌,"UFS, LPDDR5",Pixel 7,2022-10-06,优化AI功能，支持高效图像处理,TechCrunch,https://techcrunch.com/,2024-09-13,,,,,,
Dimensity 1500,华为,10.5mm,BGA,中国深圳,Kirin 9000S,华为,"LPDDR5, NAND",Mate 50 Pro,2022-09-06,支持高速5G连接，先进的AI处理能力,新华网,https://www.xinhuanet.com/,2024-09-13,,,,,,
