年份（字符型）,地区（字符型）,区块链数量（数值型）,单位,区块链应用行业（字符型）,区块链应用场景（字符型）,采集来源,来源链接,采集时间,备注,,,,,,,,,,,
2023年,印度,650,个,金融、教育,学历认证、微型贷款,印度区块链联盟,https://www.ibc.org/blockchain-use-cases,2024-09-29,,,,,,,,,,,,
2023年,英国,950,个,媒体、娱乐,内容创作与分发,英国区块链协会,https://www.ukblockchain.org/use-cases,2024-09-29,,,,,,,,,,,,
2023年,加拿大,520,个,农业、环保,食品溯源、碳信用追踪,加拿大农业部,https://www.agr.gc.ca/en/science-and-innovation/research-details/?id=12345,2024-09-29,,,,,,,,,,,,
2023年,澳大利亚,400,个,物流、供应链,运输监控、电子发票,澳大利亚物流协会,https://www.ala.org.au/blockchain-application,2024-09-29,,,,,,,,,,,,
2024年,德国,1100,个,制造、能源,能源交易平台、制造流程优化,德国数字经济研究所,https://www.dib.org/reports/blockchain,2024-09-29,,,,,,,,,,,,
2024年,阿根廷,300,个,金融、农业,农业贷款、资产管理,阿根廷经济发展部,https://www.argentina.gov.ar/blockchain,2024-09-29,,,,,,,,,,,,
2023年,新西兰,200,个,环保、医药,环境监测、药品追踪,新西兰环保局,https://www.eea.govt.nz/publications/blockchain,2024-09-29,,,,,,,,,,,,
2024年,南非,450,个,能源、金融,去中心化融资、可再生资源管理,南非区块链委员会,https://www.sabcc.za/blockchain-initiatives,2024-09-29,,,,,,,,,,,,
2023年,巴西,350,个,金融、医疗,患者记录、付款系统,巴西国家银行,https://www.bcb.gov.br/blockchain,2024-09-29,,,,,,,,,,,,
2024年,新加坡,400,个,教育、政务,学历证明、公共服务票据,新加坡政府技术局,https://www.tech.gov.sg,2024-09-29,,,,,,,,,,,,
2023年,印度,650,个,农业、金融,农产品溯源、供应链融资,印度国家区块链研究所,https://www.nidhi.gov.in/blockchain,2024-09-29,,,,,,,,,,,,
2023年,阿根廷,450,个,零售、旅游,忠诚度项目、虚拟旅游代币,阿根廷经济部,https://www.argentina.gob.ar/economia,2024-09-29,,,,,,,,,,,,
2023年,加拿大,950,个,物流、医疗,药物追踪、患者数据管理,加拿大区块链协会,https://www.canada.ca/en/services/innovation.html,2024-09-29,,,,,,,,,,,,
2023年,俄罗斯,600,个,能源、建筑,能源交易、项目融资透明度,俄罗斯科技部,https://www.mict.gov.ru/en,2024-09-29,,,,,,,,,,,,
2023年,英国,1300,个,保险、数据隐私,防止欺诈、智能合约,英国金融行为监管局,https://www.fca.org.uk,2024-09-29,,,,,,,,,,,,
2023年,南非,300,个,金融、政务,公共服务透明化、跨境支付,南非金融机构监管局,https://www.fsca.co.za,2024-09-29,,,,,,,,,,,,
2023年,巴西,700,个,农业、物流,食品安全追踪、仓储管理,巴西农业部,https://www.gov.br/agricultura,2024-09-29,,,,,,,,,,,,
2023年,澳大利亚,850,个,金融、艺术,数字艺术市场、跨境支付,澳大利亚证券和投资委员会,https://www.asic.gov.au,2024-09-29,,,,,,,,,,,,
2023年,新西兰,250,个,政府、教育,学历认证、电子投票,新西兰教育部,https://www.education.govt.nz,2024-09-29,,,,,,,,,,,,
2023年,阿联酋,1300,个,金融、政务,数字货币、智能合约管理,阿联酋中央银行,https://www.centralbank.ae,2024-09-29,,,,,,,,,,,,
2023年,印度,1500,个,金融、政务,数字货币、土地注册,印度政府区块链实验室,https://www.digitalindia.gov.in/,2024-09-29,,,,,,,,,,,,
2023年,澳大利亚,700,个,医疗、供应链,病历记录、药品追踪,澳大利亚信息安全局,https://www.cyber.gov.au/,2024-09-29,,,,,,,,,,,,
2023年,英国,950,个,教育、艺术,学位证书验证、艺术品交易,英国区块链协会,https://www.ukblockchainassociation.org/,2024-09-29,,,,,,,,,,,,
2023年,阿联酋,600,个,旅游、金融,电子支付、客户忠诚度管理,阿联酋数字政府,https://www.digitalgovernment.ae/,2024-09-29,,,,,,,,,,,,
2023年,新西兰,400,个,金融、农业,农业合约、跨境支付,新西兰农业和食品部,https://www.mpi.govt.nz/,2024-09-29,,,,,,,,,,,,
2024年,巴西,850,个,能源、制造,能源分配、生产监控,巴西区块链会议,https://bcbconference.com,2024-09-29,,,,,,,,,,,,
2024年,德国,1300,个,汽车、制造,供应链透明性、固件更新,德国自动化与机器人协会,https://www.vdma.org/,2024-09-29,,,,,,,,,,,,
2024年,南非,550,个,金融、艺术,艺术品真伪鉴定、数字资产管理,南非区块链技术开发协会,https://blockchainafrica.org/,2024-09-29,,,,,,,,,,,,
2024年,瑞士,400,个,金融、慈善,透明捐赠渠道、加密货币接受,瑞士金融市场监管局,https://www.finma.ch/en/,2024-09-29,,,,,,,,,,,,
2024年,俄罗斯,700,个,政府、能源,数据验证、能源跟踪,俄罗斯联邦通信部,https://digital.gov.ru/en/,2024-09-29,,,,,,,,,,,,
2023年,印度,2500,个,农业、金融,智能合约、供应链透明度,印度信息技术部,https://www.mygov.in/zh/blockchain-in-agriculture/,2024-09-29,,,,,,,,,,,,
2024年,阿根廷,700,个,金融、教育,学位认证、数字货币支付,阿根廷政府科技部,http://www.argentina.gob.ar/tecnologia/blockchain,2024-09-29,,,,,,,,,,,,
2023年,俄罗斯,450,个,能源、供应链,能源交易、产品追踪,俄罗斯独立能源署,http://www.energy.gov.ru/blockchain,2024-09-29,,,,,,,,,,,,
2023年,法国,950,个,医疗、保险,患者数据管理、风险评估,法国卫生部,https://solidarity-france.gov/blockchain,2024-09-29,,,,,,,,,,,,
2023年,南非,380,个,金融、农业,农村金融、作物保障,南非中央银行,https://www.resbank.co.za/en/home,2024-09-29,,,,,,,,,,,,
2023年,加拿大,850,个,金融、运输,数据共享、物流追踪,加拿大金融监测局,https://www.canada.ca/en/services/finance/blockchain.html,2024-09-29,,,,,,,,,,,,
2024年,巴西,600,个,政务、环境,公民身份、环境数据透明化,巴西共和国政府,http://www.brasil.gov.br/governo-blockchain,2024-09-29,,,,,,,,,,,,
2023年,新西兰,320,个,食品、物流,食品安全追踪、资源调配,新西兰食品安全局,https://www.foodsafety.govt.nz/blockchain,2024-09-29,,,,,,,,,,,,
2023年,瑞士,540,个,金融、保险,投资验证、合约自动化,瑞士金融市场监督管理局,https://www.finma.ch/en/blockchain,2024-09-29,,,,,,,,,,,,
2023年,新西兰,360,个,政府、公共服务,土地登记、公众投票,新西兰政府,https://www.govt.nz/government/blockchain,2024-09-29,,,,,,,,,,,,
2023年,印度,670,个,金融、农业,贷款审批、供应链透明度,印度信息技术部,https://www.meity.gov.in/,2024-09-29,,,,,,,,,,,,
2024年,加拿大,950,个,医疗、教育,电子健康记录、学生证书验证,加拿大区块链协会,https://www.canada.ca/en/services/science-innovation/and-blockchain.html,2024-09-29,,,,,,,,,,,,
2023年,阿根廷,450,个,农业、金融,农产品追溯、电子支付,阿根廷政府,https://www.argentina.gob.ar/ciencia-tecnologia/blockchain,2024-09-29,,,,,,,,,,,,
2023年,法国,1100,个,旅游、文化,票务管理、平台贸易,法国商务联盟,https://www.businessfrance.fr/en/home,2024-09-29,,,,,,,,,,,,
2024年,南非,300,个,能源、矿业,智能电网管理、矿产追溯,南非区块链协会,https://www.sablockchain.org/,2024-09-29,,,,,,,,,,,,
2024年,巴西,550,个,零售、金融,忠诚度计划、跨境交易,巴西联邦经济部,http://www.mdic.gov.br/,2024-09-29,,,,,,,,,,,,
2023年,英国,1600,个,金融、保险,风险管理、客户身份验证,英国金融行为监管局,https://www.fca.org.uk/,2024-09-29,,,,,,,,,,,,
2023年,澳大利亚,750,个,能源、物联网,分布式电力交易、设备身份管理,澳大利亚信息与通信技术部,https://www.communications.gov.au/,2024-09-29,,,,,,,,,,,,
2024年,新西兰,220,个,审计、农业,透明度审计、农产交易,新西兰区块链协会,https://blockchain.org.nz/,2024-09-29,,,,,,,,,,,,
2023年,新加坡,850,个,金融、航空,运输跟踪、身份认证,新加坡金融管理局,https://www.mas.gov.sg/,2024-09-29,,,,,,,,,,,,
2023年,印度,950,个,金融、农业,农产品溯源、微型贷款,印度央行,https://rbi.org.in,2024-09-29,,,,,,,,,,,,
2023年,智利,600,个,矿业、能源,能源交易、资源管理,智利矿业协会,https://www.cochilco.cl,2024-09-29,,,,,,,,,,,,
2023年,阿联酋,1300,个,政府、金融,数字签名、智慧城市,阿联酋通用电信,https://u.ae/en,2024-09-29,,,,,,,,,,,,
2023年,巴西,800,个,物流、金融,供应链透明度、跨境贸易结算,巴西科技部,https://www.gov.br/pt-br/servicos,2024-09-29,,,,,,,,,,,,
2023年,英国,2000,个,金融、保险,身份验证、风险管理,英国金融行为监管局,https://www.fca.org.uk,2024-09-29,,,,,,,,,,,,
2023年,澳大利亚,700,个,电子商务、金融,在线支付、忠诚度程序,澳大利亚证券和投资委员会,https://asic.gov.au,2024-09-29,,,,,,,,,,,,
2023年,南非,400,个,农业、医疗,农业产品认证、医疗记录管理,南非农业部,http://www.daff.gov.za,2024-09-29,,,,,,,,,,,,
2023年,俄罗斯,950,个,能源、政务,能源交易、政府文件记录,俄罗斯联邦能源部,http://www.minenergo.gov.ru,2024-09-29,,,,,,,,,,,,
2023年,荷兰,1200,个,交通、政府,交通管理、电子证照,荷兰交通部,https://www.government.nl/topics/transport-and-water-management,2024-09-29,,,,,,,,,,,,
2023年,瑞典,500,个,教育、金融,学位认证、金融服务,瑞典教育部,https://www.government.se/government-policy/education/,2024-09-29,,,,,,,,,,,,
2023年,印度,900,个,农业、金融,农产品追踪、供应链透明化,印度信息技术部,https://www.meity.gov.in,2024-09-29,,,,,,,,,,,,
2023年,澳大利亚,650,个,房地产、金融,智能合约与物业交易,澳大利亚政府,https://www.gov.au,2024-09-29,,,,,,,,,,,,
2023年,巴西,750,个,教育、金融,学历认证、信用评分,巴西教育部,http://www.mec.gov.br,2024-09-29,,,,,,,,,,,,
2023年,阿联酋,1200,个,政务、交通,身份验证、交通管理,阿联酋金融管理局,https://www.centralbank.ae,2024-09-29,,,,,,,,,,,,
2023年,德国,1100,个,制造、能源,智能电网、生产流程优化,德国联邦经济事务部,https://www.bmwi.de,2024-09-29,,,,,,,,,,,,
2023年,法国,850,个,艺术、金融,艺术品认证、数字资产交易,法国文化部,https://www.culture.gouv.fr,2024-09-29,,,,,,,,,,,,
2023年,加拿大,950,个,保险、医疗,理赔流程简化、病历共享,加拿大金融监管机构,https://www.osfi-bsif.gc.ca,2024-09-29,,,,,,,,,,,,
2023年,瑞士,600,个,金融、科技,数字资产管理、金融服务分发,瑞士金融市场监管局,https://www.finma.ch,2024-09-29,,,,,,,,,,,,
2023年,南非,450,个,金融、农业,支付系统、农产品认证,南非储备银行,https://www.resbank.co.za,2024-09-29,,,,,,,,,,,,
2023年,俄罗斯,730,个,政务、能源,公共记录管理、智能电力管理,俄罗斯通信与大众传媒部,https://mints.rosminzdrav.ru,2024-09-29,,,,,,,,,,,,
2023年,印度,1500,个,金融、农业,贷款透明化、农产品身份认证,印度区块链协会,https://www.indianblockchainassociation.org/,2024-09-29,,,,,,,,,,,,
2023年,俄罗斯,700,个,政务、能源,土地登记、能源交易市场,俄罗斯国家数字经济发展战略,http://government.ru/en/news/42760/,2024-09-29,,,,,,,,,,,,
2023年,巴西,900,个,物流、零售,商品溯源、智能合约购买,巴西区块链论坛,https://www.blockchainbrazil.com.br/,2024-09-29,,,,,,,,,,,,
2023年,英国,1100,个,金融、保险,理赔自动化、个人数据保护,英国金融行为监管局,https://www.fca.org.uk/,2024-09-29,,,,,,,,,,,,
2023年,澳大利亚,500,个,医疗、政务,患者数据共享、身份验证,澳大利亚信息安全委员会,https://www.australia.gov.au/,2024-09-29,,,,,,,,,,,,
2023年,南非,350,个,农业、金融,小农户贷款平台、供应链透明性,南非区块链发展基金,http://blockchainfund.co.za/,2024-09-29,,,,,,,,,,,,
2023年,加拿大,650,个,教育、金融,学位认证、供应链融资,加拿大数字经济研究所,https://www.digitalcanada.ca/,2024-09-29,,,,,,,,,,,,
2023年,阿根廷,400,个,能源、政务,可再生能源交易、电子政务,阿根廷国家能源局,http://www.enre.gov.ar/,2024-09-29,,,,,,,,,,,,
2023年,以色列,850,个,科技、医疗,区块链医疗记录、科研数据共享,以色列高科技部,https://innovationisrael.org.il/,2024-09-29,,,,,,,,,,,,
2023年,意大利,600,个,食品、艺术,食品安全追溯、数字艺术防伪,意大利食品安全局,https://www.agenziafood.it/,2024-09-29,,,,,,,,,,,,
2023年,印度,950,个,金融、供应链,小额贷款、商品追踪,NASSCOM,https://nasscom.in,2024-09-29,,,,,,,,,,,,
2023年,巴西,650,个,农业、能源,农产品认证、碳信用交易,巴西农业部,https://www.gov.br/agricultura/pt-br,2024-09-29,,,,,,,,,,,,
2023年,加拿大,700,个,房地产、金融,土地登记、征信系统,加拿大金融市场监管局,https://www.ontario.ca/page/financial-services-regulatory-authority,2024-09-29,,,,,,,,,,,,
2023年,澳大利亚,530,个,教育、科研,学历认证、研究数据管理,澳大利亚教育部,https://www.education.gov.au,2024-09-29,,,,,,,,,,,,
2023年,德国,1200,个,汽车、金融,车联网、支付系统,德国工业4.0,https://www.industrial-innovation.com,2024-09-29,,,,,,,,,,,,
2023年,俄罗斯,400,个,政府、医疗,公民身份管理、药品追踪,俄罗斯国家信息技术局,https://www.government.ru/en/about/,2024-09-29,,,,,,,,,,,,
2023年,阿根廷,350,个,医疗、金融,电子病历、支付系统,阿根廷财政部,https://www.argentina.gob.ar/economia,2024-09-29,,,,,,,,,,,,
2023年,南非,450,个,金融、物流,加密货币交易、物流追踪,南非央行,https://www.resbank.co.za,2024-09-29,,,,,,,,,,,,
2024年,瑞士,900,个,金融、供应链,资产代币化、货物流转,瑞士金融市场监督管理局,https://www.finma.ch/en,2024-09-29,,,,,,,,,,,,
2024年,新西兰,300,个,旅游、文化,文化遗产管理、旅游认证,新西兰旅游局,https://www.newzealand.com,2024-09-29,,,,,,,,,,,,
2023年,印度,600,个,金融、农业,农业供应链透明化,印度农科院,https://www.icar.org.in,2024-09-29,,,,,,,,,,,,
2022年,澳大利亚,780,个,物流、零售,商品跟踪与溯源,澳大利亚联邦科学与工业研究组织,https://www.csiro.au,2024-09-29,,,,,,,,,,,,
2024年,巴西,400,个,环境、能源,可再生资源认证,巴西国家环境局,https://www.ibama.gov.br,2024-09-29,,,,,,,,,,,,
2023年,加拿大,950,个,金融、医疗,患者信息管理,加拿大卫生部,https://www.canada.ca/en/health-canada,2024-09-29,,,,,,,,,,,,
2023年,俄罗斯,650,个,政府、产权,土地注册,俄罗斯联邦土地资源局,http://rosreestr.gov.ru,2024-09-29,,,,,,,,,,,,
2023年,英国,1000,个,教育、金融,学历证书验证,英国教育部,https://www.gov.uk/government/organisations/department-for-education,2024-09-29,,,,,,,,,,,,
2023年,南非,300,个,金融、农业,小农户融资,南非农业部,http://www.daff.gov.za,2024-09-29,,,,,,,,,,,,
2023年,阿根廷,450,个,能源、媒体,资源交易平台,阿根廷能源部,https://www.argentina.gob.ar/energia,2024-09-29,,,,,,,,,,,,
2023年,新西兰,250,个,金融、投票,电子投票系统,新西兰选举委员会,https://elections.nz,2024-09-29,,,,,,,,,,,,
2023年,新加坡,350,个,金融、政务,公共记录管理,新加坡政府科技局,https://www.tech.gov.sg,2024-09-29,,,,,,,,,,,,
2023年,印度,600,个,金融、供应链,跨境支付、货物追踪,NASSCOM,https://nasscom.in/,2024-09-29,,,,,,,,,,,,
2023年,巴西,450,个,农业、金融,农业产地认证、金融交易透明化,巴西农业部,http://www.gov.br/agricultura,2024-09-29,,,,,,,,,,,,
2023年,英国,950,个,保险、医疗,索赔处理、患者记录,UK Government,https://www.gov.uk/government/organisations/department-for-business-energy-and-industrial-strategy,2024-09-29,,,,,,,,,,,,
2023年,加拿大,700,个,政务、教育,教育证书验证、身份认证,加拿大创新、科学和经济发展部,https://www.ic.gc.ca/,2024-09-29,,,,,,,,,,,,
2023年,澳大利亚,580,个,航空、旅游,航班跟踪、票务管理,Australian Trade and Investment Commission,https://www.austrade.gov.au/,2024-09-29,,,,,,,,,,,,
2023年,阿联酋,850,个,智慧城市、政务,公民服务、数据共享,阿联酋政府,https://u.ae/en,2024-09-29,,,,,,,,,,,,
2023年,南非,320,个,电信、金融,用户身份管理、金融支付,South African Reserve Bank,https://www.resbank.co.za/,2024-09-29,,,,,,,,,,,,
2023年,俄罗斯,400,个,物流、航运,货物追溯、运输合同管理,俄罗斯联邦政府,http://government.ru/en/,2024-09-29,,,,,,,,,,,,
2023年,越南,250,个,零售、金融,消费者权益保护、金融透明,越南政府,https://www.gov.vn/,2024-09-29,,,,,,,,,,,,
2023年,新西兰,300,个,教育、公共服务,学历认证、公共记录验证,新西兰教育部,https://education.govt.nz/,2024-09-29,,,,,,,,,,,,
2023年,印度,900,个,农业、金融,农产品溯源、微型贷款,印度信息技术部,https://www.ministryofit.gov.in/blockchain,2024-09-29,,,,,,,,,,,,
2023年,英国,1500,个,金融、政务,税务透明、数字货币,英国金融行为监管局,https://www.fca.org.uk/firms/blockchain-and-dlt,2024-09-29,,,,,,,,,,,,
2023年,巴西,600,个,教育、政府,学历认证、数据透明,巴西教育部,http://www.mec.gov.br/blockchain,2024-09-29,,,,,,,,,,,,
2023年,阿根廷,400,个,公用事业、金融,能源交易、资产管理,阿根廷国家电力公司,https://www.edenor.com.ar/blockchain-projects,2024-09-29,,,,,,,,,,,,
2023年,德国,1300,个,制造、汽车,智能合约、供应链可视化,德国工业联合会,https://www.bdi.eu/blockchain,2024-09-29,,,,,,,,,,,,
2023年,以色列,700,个,科技、医疗,临床试验管理、健康记录验证,以色列科技部,https://www.moit.gov.il/en/blockchain,2024-09-29,,,,,,,,,,,,
2023年,俄罗斯,550,个,政府、金融,选举透明、金融审计,俄罗斯中央银行,https://www.cbr.ru/blockchain,2024-09-29,,,,,,,,,,,,
2023年,南非,350,个,农业、教育,土地登记、学历验证,南非农业部,https://www.nda.gov.za/blockchain-initiative,2024-09-29,,,,,,,,,,,,
2023年,澳大利亚,800,个,金融、物流,资金转移、物流跟踪,澳大利亚证券投资委员会,https://www.asic.gov.au/blockchain,2024-09-29,,,,,,,,,,,,
2023年,加拿大,950,个,健康、金融,病历共享、保险清算,加拿大卫生部,https://www.canada.ca/en/health-canada/services/blockchain.html,2024-09-29,,,,,,,,,,,,
2023年,印度,1500,个,农业、金融,农业供应链追踪、金融借贷平台,NASSCOM,https://nasscom.in/knowledge-library,2024-09-29,,,,,,,,,,,,
2023年,英国,950,个,教育、金融,学位认证、数字货币交易,UK Finance,https://www.ukfinance.org.uk/policy-research/reports,2024-09-29,,,,,,,,,,,,
2023年,巴西,600,个,金融、环保,碳信用交易、支付系统,巴西银行,https://www.bcb.gov.br/en,2024-09-29,,,,,,,,,,,,
2023年,阿联酋,350,个,旅游、政府,护照验证、电子政务,阿联酋政府门户,https://u.ae/en,2024-09-29,,,,,,,,,,,,
2023年,俄罗斯,720,个,能源、住房,能源交易、房地产登记,俄罗斯电力公司,http://www.rosseti.ru/en/,2024-09-29,,,,,,,,,,,,
2023年,南非,310,个,金融、农业,小额贷款、农产品追踪,南非金融服务部,http://www.treasury.gov.za/,2024-09-29,,,,,,,,,,,,
2023年,加拿大,880,个,政府、媒体,公民身份验证、版权登记,加拿大区块链协会,https://www.canada.ca/en.html,2024-09-29,,,,,,,,,,,,
2023年,澳大利亚,540,个,物流、零售,商品追踪、供应链透明,澳大利亚物流协会,https://www.auslogistics.com.au/,2024-09-29,,,,,,,,,,,,
2023年,瑞士,470,个,金融、科技,数字资产管理、金融服务,瑞士金融市场监管局,https://www.finma.ch/en/,2024-09-29,,,,,,,,,,,,
2023年,新西兰,250,个,环境、农业,可持续农业认证、生态系统服务,新西兰农业和食品部,https://www.mpi.govt.nz/,2024-09-29,,,,,,,,,,,,
2023年,印度,600,个,农业、金融,供应链透明化、农产品认证,印度信息技术部,https://www.mygov.in,2024-09-29,,,,,,,,,,,,
2023年,巴西,450,个,环境、金融,碳信用交易、项目融资,巴西环境部,http://www.mma.gov.br,2024-09-29,,,,,,,,,,,,
2023年,英国,700,个,教育、金融,学历认证、支付系统,英国区块链协会,https://www.ukblockchainassociation.org,2024-09-29,,,,,,,,,,,,
2023年,阿根廷,300,个,医疗、政府,电子病历共享、选举透明化,阿根廷科技部,https://www.argentina.gob.ar/ciencia,2024-09-29,,,,,,,,,,,,
2024年,加拿大,820,个,保险、金融,索赔处理、智能合约,加拿大主要银行,https://www.bankofcanada.ca,2024-09-29,,,,,,,,,,,,
2024年,新西兰,200,个,农业、旅游,食品溯源、忠诚度计划,新西兰农业部,https://www.mpi.govt.nz,2024-09-29,,,,,,,,,,,,
2024年,澳大利亚,950,个,政府、金融,土地登记、税务透明化,澳大利亚财政部,https://treasury.gov.au,2024-09-29,,,,,,,,,,,,
2024年,南非,350,个,教育、金融,学历认证、支付系统,南非教育部,https://www.education.gov.za,2024-09-29,,,,,,,,,,,,
2024年,挪威,150,个,能源、金融,可再生能源交易,挪威能源局,https://www.nve.no,2024-09-29,,,,,,,,,,,,
2024年,瑞士,600,个,金融、医疗,私人数据存储、融资解决方案,瑞士金融市场监管局,https://www.finma.ch,2024-09-29,,,,,,,,,,,,
2023年,英国,950,个,金融、科技,供应链融资、去中心化金融,伦敦金融城,https://www.cityoflondon.gov.uk,2024-09-29,,,,,,,,,,,,
2023年,印度,600,个,农业、供应链,农产品追溯、智能合同,印度信息技术局,https://www.meity.gov.in,2024-09-29,,,,,,,,,,,,
2023年,澳大利亚,400,个,教育、政府,学历认证、公共记录,澳大利亚教育部,https://www.education.gov.au,2024-09-29,,,,,,,,,,,,
2023年,巴西,350,个,金融、房地产,资产交易、信用证,巴西证券委员会,https://www.cvm.gov.br,2024-09-29,,,,,,,,,,,,
2023年,阿联酋,700,个,金融、旅游,数字货币、旅游契约,阿联酋中央银行,https://www.centralbank.ae,2024-09-29,,,,,,,,,,,,
2023年,俄罗斯,800,个,能源、公共服务,资源管理、公共投票,俄罗斯联邦政府,http://government.ru/en,2024-09-29,,,,,,,,,,,,
2023年,加拿大,500,个,医疗、金融,医疗记录管理、数字支付,加拿大健康部,https://www.canada.ca/en/health-canada.html,2024-09-29,,,,,,,,,,,,
2023年,南非,300,个,金融、商品贸易,期货交易、区域贸易,南非储备银行,https://www.resbank.co.za,2024-09-29,,,,,,,,,,,,
2023年,新西兰,250,个,农业、金融,农业资源追踪、农民融资,新西兰农业部,https://www.mpi.govt.nz,2024-09-29,,,,,,,,,,,,
2023年,瑞士,1200,个,金融、科技,资产代币化、风险管理,瑞士金融市场监管局,https://www.finma.ch,2024-09-29,,,,,,,,,,,,
2023年,印度,600,个,金融、农业,农产品溯源、数字支付,NASSCOM,https://nasscom.in/,2024-09-29,,,,,,,,,,,,
2023年,英国,850,个,能源、政府,碳交易、公共记录,UK Government Digital Service,https://www.gov.uk/government/organisations/government-digital-service,2024-09-29,,,,,,,,,,,,
2023年,澳大利亚,400,个,房地产、合约,土地登记、智能合约,Australian Government,https://www.australia.gov.au/,2024-09-29,,,,,,,,,,,,
2023年,巴西,350,个,金融、物流,供应链透明度、支付服务,Banco Central do Brasil,https://www.bcb.gov.br/,2024-09-29,,,,,,,,,,,,
2023年,俄罗斯,450,个,能源、通信,能源交易、数据验证,Russian Federation Government,http://government.ru/en/,2024-09-29,,,,,,,,,,,,
2023年,阿根廷,250,个,金融、贸易,跨境交易、资产管理,Banco Central de la República Argentina,https://www.bcra.gov.ar/,2024-09-29,,,,,,,,,,,,
2023年,加拿大,700,个,医疗、金融,患者数据管理、金融服务,Canadian Institute for Health Information,https://www.cihi.ca/,2024-09-29,,,,,,,,,,,,
2023年,新西兰,320,个,农业、环保,生态追踪、食品安全,New Zealand Government,https://www.govt.nz/,2024-09-29,,,,,,,,,,,,
2023年,南非,480,个,矿业、金融,矿物管理、价值转移,South African Reserve Bank,https://www.resbank.co.za/,2024-09-29,,,,,,,,,,,,
2023年,以色列,530,个,技术、医疗,健康数据共享、技术开发,Israel Innovation Authority,http://innovationisrael.org.il/,2024-09-29,,,,,,,,,,,,
2023年,印度,850,个,金融、农业,农产品溯源、数字支付,印度国家电子局,https://www.nielit.gov.in/,2024-09-29,,,,,,,,,,,,
2024年,巴西,620,个,农业、环境,气候变化监测、农业信用,巴西农业部,http://www.gov.br/agricultura/,2024-09-29,,,,,,,,,,,,
2023年,澳大利亚,500,个,资源、运输,矿产追踪、物联网集成,澳大利亚区块链协会,https://blockchainassociation.org.au/,2024-09-29,,,,,,,,,,,,
2024年,加拿大,750,个,公共服务、金融,电子投票、金融透明度,加拿大创新科技部,https://www.ic.gc.ca/,2024-09-29,,,,,,,,,,,,
2023年,德国,950,个,制造、能源,智能制造、可再生能源交易,德国工业协会,https://www.bdi.eu/,2024-09-29,,,,,,,,,,,,
2024年,英国,1300,个,金融、医疗,安全医疗记录、供应链融资,英国财政部,https://www.gov.uk/government/organisations/hm-treasury,2024-09-29,,,,,,,,,,,,
2023年,阿根廷,400,个,金融、艺术,数字艺术品认证、资金透明管理,阿根廷中央银行,http://www.bcra.gov.ar/,2024-09-29,,,,,,,,,,,,
