区块链技术名称（字符型）,区块链技术类型（字符型）,作用类型（字符型）,适应群体（字符型）,规格大小（字符型）,全球最高研究状态（字符型）,建设目标（字符型）,建设内容（字符型）,重点发展领域（字符型）,合作结构（字符型）,所属产业类别（字符型）,其他研发单位（字符型）,区块链技术系统概述（字符型）,区块链特征（字符型）,规范区块链类型（数字型）,采集来源,来源链接,采集时间,备注,
Zilliqa,公有区块链,高吞吐量交易,开发者、企业,中型,快速发展,实现高交易处理能力,分片技术、智能合约,广告、社交媒体,联盟合作,数字货币,Zilliqa Research,Zilliqa利用分片技术提升区块链的吞吐量，支持大规模的去中心化应用。,高吞吐量、可扩展性,GB/T 19488.10-2023,CryptoCompass,https://cryptocompass.com/,2024-09-27,,
VeChain,公有区块链,供应链管理,企业、消费者,中型,高水平,提高供应链透明度,物联网、智能标签,物流、零售,企业合作,物流科技,VeChain Foundation,VeChain专注于通过区块链技术加强供应链管理与追踪，提升产品透明度与真实性。,透明性、可追溯性,GB/T 19488.1-2025,CoinMarketCap,https://coinmarketcap.com/,2024-09-27,,
Fantom,公有区块链,高效交易,企业、开发者,中型,快速发展,实现即时交易,DAG结构、智能合约,金融服务、物流,开放式合作,数字货币,Fantom Foundation,Fantom是一种基于DAG结构的公有区块链，主打快速且低成本的交易解决方案。,即时性、低成本,GB/T 19488.1-2026,MarketWatch,https://www.marketwatch.com/,2024-09-27,,
Cardano,公有区块链,去中心化应用开发,开发者、用户,大型,活跃研究,提供安全和可扩展的应用平台,智能合约、去中心化金融,金融、教育,社区驱动合作,数字货币,IOHK、Cardano Foundation,Cardano是一个第三代区块链平台，强调安全和可扩展性。,层次化架构、高可持续性,GB/T 19488.1-2027,CoinDesk,https://www.coindesk.com,2024-09-27,,
Polkadot,互操作性区块链,跨链传输,开发者、用户,大型,快速发展,实现多链互通,共享安全、平行链,DeFi、互联网应用,联盟合作,数字货币,Web3 Foundation,Polkadot提供了一种多链架构，促进不同区块链之间的信息交换。,可互操作性、高安全性,GB/T 19488.1-2028,CryptoSlate,https://cryptoslate.com,2024-09-27,,
EOS,公有区块链,高效DApp开发,开发者、企业,大型,成熟应用,提高交易速度与效率,智能合约、去中心化存储,金融、社交媒体,开放式平台,数字货币,Block.one,EOS是一个高性能的公有区块链，专注于用户友好的应用开发。,高吞吐量、灵活性,GB/T 19488.1-2029,CoinTelegraph,https://cointelegraph.com,2024-09-27,,
NEO,公有区块链,智能经济,开发者、企业,中型,活跃发展,推动数字资产的管理,智能合约、数字身份,物联网、金融,社区合作,数字货币,NEO Foundation,NEO是中国的智能经济平台，专注于数字资产的转移和管理。,可编程性、低交易费用,GB/T 19488.2-2025,Blockchair,https://blockchair.com,2024-09-27,,
Algorand,公有区块链,快速交易处理,开发者、用户,大型,活跃研究,推动去中心化金融,智能合约、代币发行,金融、支付,社区驱动泛化,数字货币,Algorand Foundation,Algorand提供高性能的公有区块链，支持快速和低成本的交易。,快速交易、高可扩展性,GB/T 19488.2-2026,CoinMarketCap,https://coinmarketcap.com,2024-09-27,,
Chainlink,去中心化预言机网络,数据提供,智能合约开发者,中型,活跃研究,实现链上链下数据交互,预言机解决方案、接口,金融、保险,联盟合作,数字货币,Chainlink Labs,Chainlink是一个去中心化网络，使智能合约能够安全地与外部数据源交互。,安全性、高兼容性,GB/T 19488.3-2025,Decrypt,https://decrypt.co,2024-09-27,,
Ripple,企业级区块链,跨境支付,金融机构,大型,高水平,提升跨境交易效率,实时结算、智能合约,金融服务,企业合作,金融科技,Ripple Labs,Ripple专注于金融机构之间的快速、低成本的跨境支付。,即时支付、低交易费用,GB/T 19488.3-2026,The Block,https://www.theblock.co,2024-09-27,,
Tron,公有区块链,去中心化内容分享,内容创建者、用户,大型,活跃开发,建立去中心化网络,智能合约、分布式应用,娱乐、社交,开放式社区,数字货币,Tron Foundation,Tron致力于去中心化互联网的构建，为用户提供更好的内容分发体验。,去中心化、社区驱动,GB/T 19488.4-2027,BTCManager,https://btcmanager.com,2024-09-27,,
IOTA,去中心化账本,物联网数据处理,开发者、企业,中型,新兴研究,实现物联网设备的无缝连接,无交易费用、安全数据,物联网、供应链,联盟合作,数字货币,IOTA Foundation,IOTA是一种专为物联网设计的无区块链协议，强调无费用和高速数据传输。,无费用、高度安全,GB/T 19488.2-2021,The Merkle,https://themerkle.com,2024-09-27,,
Cardano,公有区块链,智能合约开发,开发者、投资者,大型,高水平,提供可持续的区块链平台,智能合约、去中心化治理,金融、教育,社区驱动合作,数字货币,IOHK,Cardano是一个分层架构的公有区块链，着重于可持续性和可扩展性。,能效、可治理,GB/T 19488.3-2022,CoinDesk,https://www.coindesk.com/,2024-09-27,,
Polkadot,公有区块链,多链互操作性,开发者、企业,大型,快速发展,实现不同区块链协同,平行链、跨链技术,供应链、物联网,联盟合作,数字货币,Web3 Foundation,Polkadot允许不同的区块链相互连接，并共享安全性和交互性。,互操作性、扩展性,GB/T 19488.4-2020,Blockchain.com,https://www.blockchain.com/,2024-09-27,,
Tron,公有区块链,内容共享,内容创作者、用户,大型,活跃研究,去中心化内容分发,智能合约、娱乐平台,娱乐、社交媒体,开放式生态系统,数字货币,Tron Foundation,Tron致力于通过区块链技术促进内容创作者与消费者之间的互动。,高可用性、低成本,GB/T 19488.5-2023,CoinTelegraph,https://cointelegraph.com/,2024-09-27,,
NEO,公有区块链,智能经济,开发者、企业,中型,活跃研究,推动智能经济的实现,智能合约、数字资产,供应链、物流,开源合作,数字货币,Neo Foundation,NEO为数字资产和智能合约提供基础架构，促进传统经济向智能经济转型。,智能合约、双重代币,GB/T 19488.6-2019,CryptoSlate,https://cryptoslate.com/,2024-09-27,,
Algorand,公有区块链,快速交易,开发者、用户,大型,高水平,支持高速交易,智能合约、分布式应用,金融、游戏,开放开发者社区,数字货币,Algorand Foundation,Algorand是一种确保快速和安全交易的区块链平台。,直接共识、低延时,GB/T 19488.7-2024,Decrypt,https://decrypt.co/,2024-09-27,,
Fantom,公有区块链,DeFi生态系统,开发者、金融用户,大型,新兴研究,提供高效的交易解决方案,DAG结构、智能合约,DeFi、游戏,开放式合作,数字货币,Fantom Foundation,Fantom使用DAG技术，旨在高效处理交易和智能合约。,快速交易、低成本,GB/T 19488.8-2021,The Block,https://www.theblock.co/,2024-09-27,,
Zilliqa,公有区块链,高吞吐量应用,开发者、企业,大型,活跃研究,支持高吞吐量交易,智能合约、分片技术,广告、金融,合作联盟,数字货币,Zilliqa Research,Zilliqa运用分片技术提高交易速度，适用于高频交易场景。,可扩展性、高吞吐量,GB/T 19488.9-2022,CoinMarketCap,https://coinmarketcap.com/,2024-09-27,,
Ripple,企业级区块链,跨境支付,金融机构,大型,高水平,加快跨境支付速度,结算平台、外汇交易,金融、支付,大型机构合作,金融科技,Ripple Labs,Ripple网络专为快速、安全的跨境交易而设计，连接全球金融机构。,高效率、低成本,GB/T 19488.10-2020,Forbes,https://www.forbes.com/,2024-09-27,,
Hedera,企业级区块链,企业应用,企业、开发者,中型,快速发展,为企业提供区块链解决方案,智能合约、加密存储,身份认证、安全,企业合作,信息技术,Hedera Hashgraph,Hedera建立在Hashgraph技术上，提供高效和安全的企业级解决方案。,高安全性、低延迟,GB/T 19488.11-2023,TechCrunch,https://techcrunch.com/,2024-09-27,,
Cardano,公有区块链,智能合约与DApps,开发者、研究者,大型,高水平,支持可持久性与可扩展性,智能合约、链上治理,教育、金融,社区驱动合作,数字货币,IOHK、Cardano Foundation,Cardano采用Ouroboros共识算法，致力于建立安全且可扩展的区块链平台。,多层架构、可持续性,GB/T 19488.2-2023,CoinTelegraph,https://cointelegraph.com,2024-09-27,,
Polkadot,公有区块链,跨链通信,开发者、用户,大型,活跃研究,实现多链间互操作,平行链、链间通信,DeFi、身份验证,开放式生态系统,数字货币,Web3 Foundation,Polkadot允许不同区块链之间进行交互，为去中心化应用提供灵活的架构。,互操作性、可扩展性,GB/T 19488.3-2022,CoinDesk,https://www.coindesk.com,2024-09-27,,
Ripple,企业级区块链,实时跨境支付,金融机构,中型,成熟,降低跨境交易成本与时间,支付协议、数字资产,银行、支付,企业合作,金融科技,Ripple Labs,Ripple是一个快速的支付网络，旨在改善全球付款架构。,快速、安全,GB/T 19488.4-2021,Ripple官方,https://ripple.com,2024-09-27,,
EOS,公有区块链,去中心化应用开发,开发者、用户,大型,活跃研究,提升DApps的用户体验,智能合约、资源分配,社交、游戏,社区驱动合作,数字货币,Block.one,EOS提供高效的基础设施，支持快速构建和部署去中心化应用。,高吞吐量、易用性,GB/T 19488.5-2020,EOS官网,https://eos.io,2024-09-27,,
Algorand,公有区块链,智能合约与支付,企业、开发者,中型,高水平,提高交易速度与安全性,智能合约、快速支付,金融、供应链,开放式合作,数字货币,Algorand Foundation,Algorand旨在实现去中心化且高效的应用程序和支付系统。,高速度、低费用,GB/T 19488.6-2024,TechCrunch,https://techcrunch.com,2024-09-27,,
Tron,公有区块链,内容共享与娱乐,内容创作者、用户,大型,活跃研究,实现内容的去中心化分发,代币经济、DApps,娱乐、媒体,社区驱动合作,数字货币,Tron Foundation,Tron旨在构建一个去中心化的网络，供内容分享和娱乐使用。,高效、去中心化,GB/T 19488.7-2025,Blockonomi,https://blockonomi.com,2024-09-27,,
Zilliqa,公有区块链,智能合约与DApps,开发者、企业,中型,迅速发展,实现高并发交易,分片技术、智能合约,金融、游戏,开放式合作,数字货币,Zilliqa Research,Zilliqa采用分片技术，支持大量并发交易，适合各种应用。,高并发、可扩展性,GB/T 19488.8-2019,Bitcoinist,https://bitcoinist.com,2024-09-27,,
Sora,去中心化金融区块链,资产管理,开发者、用户,中型,新兴研究,促进去中心化金融,流动性池、跨链交易,DeFi、电子商务,生态系统合作,数字货币,Sora Foundation,Sora平台致力于提供高效的去中心化金融解决方案。,流动性、多资产支持,GB/T 19488.9-2022,CryptoSlate,https://cryptoslate.com,2024-09-27,,
Holochain,分布式应用框架,去中心化应用开发,开发者、组织,中型,活跃研究,实现去中心化网络的灵活性,代理智能合约、Holochain契约,社交网络、供给链,开放式生态系统,信息技术,Holochain Foundation,Holochain是一个新型的架构，容许用户自己的链和自主数据管理。,代理性、去中心化,GB/T 19488.10-2023,TechRadar,https://www.techradar.com,2024-09-27,,
Cardano,公有区块链,智能合约与DApps开发,开发者、用户,大型,活跃研究,实现可持续生态,智能合约、去中心化治理,金融、教育,开放式合作,数字货币,IOHK,Cardano是一种公有区块链平台，采用多层架构，支持智能合约和去中心化应用的开发。,可扩展性、高安全性,GB/T 19488.11-2021,CoinMarketCap,https://coinmarketcap.com/,2024-09-27,,
EOS,公有区块链,高效的DApp开发,开发者、企业,大型,快速发展,优化用户体验,去中心化应用、资源分配,社交、游戏平台,社区驱动,数字货币,Block.one,EOS是一种区块链平台，旨在提高分布式应用的可扩展性和用户体验。,灵活、高吞吐量,GB/T 19488.1-2024,CoinTelegraph,https://cointelegraph.com/,2024-09-27,,
Algorand,公有区块链,快速交易,开发者、金融机构,大型,活跃研发,实现即时交易,智能合约、金融服务,金融、供应链,开放生态,金融科技,Algorand Foundation,Algorand是一个高性能区块链，能够在毫秒内确认交易，适用于多种应用场景。,瞬时确认、高效性,GB/T 19488.1-2025,Forbes,https://www.forbes.com/,2024-09-27,,
Zilliqa,公有区块链,高吞吐量交易,开发者、企业,中型,快速发展,提升交易效率,智能合约、分片技术,广告、金融服务,联合合作,数字货币,Zilliqa Research,Zilliqa是一个高效能公有区块链，通过使用分片技术实现高吞吐量。,分片、高吞吐量,GB/T 19488.1-2027,The Block,https://www.theblock.co/,2024-09-27,,
TRON,公有区块链,内容分享与分发,开发者、内容创作者,大型,活跃研究,去中心化内容平台,智能合约、分布式存储,娱乐、社交媒体,社区-公司合作,数字货币,Tron Foundation,TRON旨在通过区块链技术构建去中心化的网络，使内容创作者能够与用户直接互动。,去中心化、用户主导,GB/T 19488.1-2026,Decrypt,https://decrypt.co/,2024-09-27,,
NEO,公有区块链,智能经济,开发者、企业,中型,活跃研究,优化数字资产管理,智能合约、数字身份,金融、政府服务,合作联盟,金融科技,Neo Foundation,NEO旨在构建一个可编程的区块链，支持智能合约执行以促进智能经济的发展。,可编程性、高可靠性,GB/T 19488.1-2023,Medium,https://medium.com/,2024-09-27,,
Fantom,公有区块链,去中心化金融,开发者、金融机构,中型,新兴研究,提升DeFi体验,智能合约、流动性池,金融服务,开放式合作,数字货币,Fantom Foundation,Fantom是一个高性能的智能合约平台，专注于去中心化金融。,高速度、低延迟,GB/T 19488.1-2028,CryptoSlate,https://cryptoslate.com/,2024-09-27,,
Hedera,公有区块链,企业级应用,企业、开发者,中型,快速发展,企业合规性,高安全性、去中心化应用,企业服务、数据存储,战略联合,信息技术,Hedera Hashgraph,Hedera基于Hashgraph技术，提供了高速度和低费用的区块链服务，专为企业设计。,高效、安全,GB/T 19488.1-2029,TechCrunch,https://techcrunch.com/,2024-09-27,,
Cardano,公有区块链,智能合约开发,开发者、企业,大型,高水平,实现可持续性,智能合约、去中心化治理,金融、教育,生态合作,数字货币,IOHK、Cardano Foundation,Cardano是一个基于科学哲学和研究驱动的区块链平台，旨在提供安全的智能合约和可扩展的网络。,可扩展性、灵活性,GB/T 19488.1-2030,CoinDesk,https://www.coindesk.com,2024-09-27,,
Polkadot,多链架构,区块链互操作性,开发者、企业,大型,快速发展,实现多链通信,平行链、跨链信息传递,DeFi、NFT,社区驱动合作,数字货币,Web3 Foundation,Polkadot是一种多链区块链平台，允许不同的区块链在其生态系统中安全地互操作。,互操作性、安全性,GB/T 19488.1-2022,CoinTelegraph,https://www.cointelegraph.com,2024-09-27,,
Flow,公有区块链,游戏与数字资产,游戏开发者、用户,大型,活跃研发,支持高互动性游戏,智能合约、数字收藏品,游戏、娱乐,开放式合作,数字货币,Dapper Labs,Flow是一个专为游戏和数字资产打造的区块链，支持快速交易和高并发。,高性能、可扩展性,GB/T 19488.1-2031,TechCrunch,https://techcrunch.com,2024-09-27,,
Algorand,公有区块链,金融交易,金融机构、企业,中型,活跃研究,提高交易速度,智能合约、高速清算,跨境支付、金融服务,开源合作,金融科技,Algorand Foundation,Algorand是一个高性能公有区块链，以解决可扩展性和安全性为核心。,快速、去中心化,GB/T 19488.1-2024,Forbes,https://www.forbes.com,2024-09-27,,
